"Postal code area","Aged 18 or over, total, 2013 (HR)","Average income of inhabitants, 2013 (HR)","Median income of inhabitants, 2013 (HR)","Inhabintants belonging to the lowest income category, 2013 (HR)","Inhabitants belonging to the middle income category, 2013 (HR)","Inhabintants belonging to the highest income category, 2013 (HR)","Accumulated purchasing power of inhabitants, 2013 (HR)"
"00870 Etelä-Laajasalo   (Helsinki )",3853,23213,20380,735,2331,787,89440499
"00880 Roihupellon teollisuusalue   (Helsinki )",361,24243,23088,54,219,88,8751764
"00890 Itäsalmi   (Helsinki )",1402,48476,29995,251,469,682,67963956
"00900 Puotinharju   (Helsinki )",3495,20806,19104,751,2182,562,72715720
"00910 Puotila   (Helsinki )",5191,21745,20283,958,3318,915,112879349
"00920 Myllypuro   (Helsinki )",8924,22691,20697,1674,5479,1771,202494589
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5450,27725,20526,1156,3034,1260,151099494
"00940 Kontula - Vesala   (Helsinki )",20301,19860,18851,4441,13270,2590,403181697
"00950 Vartioharju   (Helsinki )",4307,29657,26101,680,2018,1609,127732039
"00960 Pohjois-Vuosaari   (Helsinki )",5658,22759,21681,914,3574,1170,128768213
"00970 Mellunmäki   (Helsinki )",8750,21454,20688,1669,5667,1414,187724800
"00980 Etelä-Vuosaari   (Helsinki )",17378,22093,20644,3448,10735,3195,383926976
"00990 Aurinkolahti   (Helsinki )",6118,27770,24827,828,3292,1998,169896120
"01120 Västerskog   (Sipoo )",1008,32053,23841,212,455,341,32309453
"01150 Söderkulla   (Sipoo )",3364,31931,26326,487,1581,1296,107414250
"01180 Kalkkiranta   (Porvoo )",373,29396,24685,61,187,125,10964634
"01190 Box   (Sipoo )",768,26322,24702,106,433,229,20215224
"01200 Hakunila   (Vantaa )",9286,21409,20570,1690,6166,1430,198804299
"01230 Vaarala   (Vantaa )",2310,26637,25236,326,1285,699,61532489
"01260 Itä-Hakkila   (Vantaa )",3570,27941,25332,522,1830,1218,99749890
"01280 Länsimäki   (Vantaa )",7492,23087,22249,1224,4631,1637,172968294
"01300 Tikkurila   (Vantaa )",14803,24619,22824,2160,9085,3558,364439884
"01340 Leinelä   (Vantaa )",435,23207,22575,44,316,75,10095181
"01350 Hiekkaharju   (Vantaa )",7294,24012,22450,1051,4593,1650,175142996
"01360 Koivukylä-Havukoski   (Vantaa )",9950,21016,19682,1968,6493,1489,209109779
"01370 Jokiniemi   (Vantaa )",4653,21815,21378,963,2847,843,101504260
"01380 Kuusikko-Hakkila   (Vantaa )",1444,28648,26310,194,748,502,41367738
"01390 Ruskeasanta-Ilola   (Vantaa )",6542,27518,25655,905,3421,2216,180020332
"01400 Rekola   (Vantaa )",6009,25078,23451,846,3596,1567,150695097
"01420 Päiväkumpu   (Vantaa )",2293,27903,25922,352,1136,805,63981923
"01450 Korso   (Vantaa )",14198,23955,22720,2321,8522,3355,340111290
"01480 Mikkola   (Vantaa )",4959,23091,22142,848,3069,1042,114507164
"01490 Nikinmäki   (Sipoo )",2677,29187,27444,392,1205,1080,78134507
"01510 Kirkonkylä-Veromäki   (Vantaa )",4403,24790,23871,633,2653,1117,109152115
"01520 Tammisto   (Vantaa )",5488,29057,26819,580,2903,2005,159467529
"01530 Veromiehenkylä   (Vantaa )",459,21507,21528,78,308,73,9871718
"01600 Myyrmäki   (Vantaa )",13226,22715,21729,1911,8745,2570,300430629
"01610 Kaivoksela   (Vantaa )",3447,24261,23106,511,2091,845,83626266
"01620 Martinlaakso   (Vantaa )",9624,23152,21746,1490,6105,2029,222817718
"01630 Hämeenkylä   (Vantaa )",1605,29450,26957,197,813,595,47268000
"01640 Hämevaara   (Vantaa )",2167,29441,25810,261,1124,782,63798151
"01650 Vapaala   (Vantaa )",3292,27155,23981,509,1749,1034,89395099
"01660 Varisto   (Vantaa )",1875,24871,22845,257,1144,474,46632334
"01670 Vantaanlaakso   (Vantaa )",2132,29123,26574,217,1141,774,62089314
"01680 Askisto   (Vantaa )",1481,29693,26086,205,738,538,43974772
"01690 Ylästö   (Vantaa )",3116,31953,28974,377,1323,1416,99566924
"01700 Kivistö   (Vantaa )",2194,31095,28101,252,1002,940,68223386
"01710 Pähkinärinne   (Vantaa )",3863,24222,23279,546,2386,931,93568739
"01720 Petikko   (Vantaa )",71,41243,21813,8,46,17,2928225
"01730 Vantaanpuisto   (Vantaa )",1824,26713,23981,261,1049,514,48725373
"01740 Tuupakan teollisuusalue   (Vantaa )",175,26867,24784,30,90,55,4701686
"01750 Keimola   (Vantaa )",624,30221,26315,107,284,233,18858128
"01760 Seutula   (Vantaa )",1617,26743,23577,235,915,467,43244166
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",5644,26900,24408,739,3151,1754,151822595
"01810 Luhtajoki   (Nurmijärvi )",498,28544,26660,75,239,184,14214867
"01820 Haikala   (Nurmijärvi )",2422,28914,27031,303,1185,934,70030898
"01830 Lepsämä   (Nurmijärvi )",1670,27711,25602,240,865,565,46278139
"01840 Klaukkala   (Nurmijärvi )",2892,30651,27944,347,1323,1222,88643888
"01860 Perttula   (Nurmijärvi )",1558,26961,25190,256,787,515,42004521
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6639,26726,23601,941,3778,1920,177435123
"01940 Palojoki   (Nurmijärvi )",565,27005,25383,75,298,192,15257559
"02100 Tapiola   (Espoo )",3539,31160,25483,551,1669,1319,110275948
"02110 Otsolahti   (Espoo )",2221,30751,25918,387,969,865,68298461
"02120 Länsikorkee-Hakalehto   (Espoo )",2336,30122,24538,375,1135,826,70364440
"02130 Pohjois-Tapiola   (Espoo )",4632,36095,29477,739,1682,2211,167192336
