"Postal code area","Households, total, 2016 (TR)","Average income of households, 2016 (TR)","Median income of households, 2016 (TR)","Households belonging to the lowest income category, 2016 (TR)","Households belonging to the middle income category, 2016 (TR)","Households belonging to the highest income category, 2016 (TR)","Accumulated purchasing power of households, 2016 (TR)"
"Finland",2654657,39270,31824,677223,1500917,476517,104247634221
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",10042,61679,38895,1697,4123,4222,619383515
"00120 Punavuori   (Helsinki )",3883,61960,41377,608,1567,1708,240592202
"00130 Kaartinkaupunki   (Helsinki )",818,80342,45999,149,252,417,65719684
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4427,75267,41795,713,1671,2043,333207347
"00150 Eira - Hernesaari   (Helsinki )",5767,54193,34512,1104,2439,2224,312529000
"00160 Katajanokka   (Helsinki )",2262,68242,43318,296,957,1009,154363470
"00170 Kruununhaka   (Helsinki )",4020,57678,41359,608,1665,1747,231866600
"00180 Kamppi - Ruoholahti   (Helsinki )",7503,47199,36474,1199,3724,2580,354130489
"00190 Suomenlinna   (Helsinki )",310,50396,42741,39,173,98,15622731
"00200 Lauttasaari   (Helsinki )",8401,49716,35885,1354,3984,3063,417665736
"00210 Vattuniemi   (Helsinki )",4197,64107,46739,450,1664,2083,269058205
"00220 Jätkäsaari   (Helsinki )",1939,42351,34881,477,905,557,82118427
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",2714,40304,34127,458,1590,666,109385591
"00250 Taka-Töölö   (Helsinki )",6804,43744,32726,1258,3287,2259,297637101
"00260 Keski-Töölö   (Helsinki )",3115,53146,36146,545,1351,1219,165549707
"00270 Pohjois-Meilahti   (Helsinki )",4460,39969,31034,892,2371,1197,178263127
"00280 Ruskeasuo   (Helsinki )",1602,39513,31018,323,849,430,63299664
"00290 Meilahden sairaala-alue   (Helsinki )",102,51109,34314,11,54,37,5213138
"00300 Pikku Huopalahti   (Helsinki )",2896,41626,34367,496,1658,742,120549935
"00310 Kivihaka   (Helsinki )",542,36267,29727,125,292,125,19656810
"00320 Etelä-Haaga   (Helsinki )",6271,36825,28863,1347,3343,1581,230929820
"00330 Munkkiniemi   (Helsinki )",4624,58571,38570,699,2013,1912,270830044
"00340 Kuusisaari-Lehtisaari   (Helsinki )",715,191410,68688,66,198,451,136857896
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5320,38827,29970,1154,2862,1304,206561903
"00360 Pajamäki   (Helsinki )",1150,34210,28410,276,645,229,39341951
"00370 Reimarla   (Helsinki )",3239,42337,33943,621,1823,795,137130226
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2408,39418,32649,481,1354,573,94917954
"00390 Konala   (Helsinki )",3239,40510,32557,641,1814,784,131211983
"00400 Pohjois-Haaga   (Helsinki )",5485,33638,28195,1374,3112,999,184502893
"00410 Malminkartano   (Helsinki )",4159,35907,31573,1051,2442,666,149336733
"00420 Kannelmäki   (Helsinki )",7588,33933,27991,1940,4540,1108,257481636
"00430 Maununneva   (Helsinki )",2008,58747,52658,216,968,824,117964310
"00440 Lassila   (Helsinki )",2517,36370,30010,597,1343,577,91543776
"00500 Sörnäinen   (Helsinki )",8956,30614,25636,2511,4836,1609,274175989
"00510 Etu-Vallila - Alppila   (Helsinki )",6328,32583,26610,1585,3460,1283,206186222
"00520 Itä-Pasila   (Helsinki )",3999,36783,30985,956,2080,963,147096005
"00530 Kallio   (Helsinki )",12214,35568,28142,2913,6536,2765,434433492
"00540 Kalasatama   (Helsinki )",1211,47342,39643,202,572,437,57331305
"00550 Vallila   (Helsinki )",6003,31334,26234,1778,3215,1010,188100717
"00560 Toukola-Vanhakaupunki   (Helsinki )",6745,43872,35998,1413,3296,2036,295916483
"00570 Kulosaari   (Helsinki )",1879,70079,41728,329,761,789,131679343
"00580 Verkkosaari   (Helsinki )",1329,43843,37928,258,659,412,58267194
"00590 Kaitalahti   (Helsinki )",354,57281,42472,33,187,134,20277390
"00600 Koskela-Helsinki   (Helsinki )",1992,35685,26914,614,1093,285,71085407
"00610 Käpylä   (Helsinki )",4277,39245,32341,779,2489,1009,167849322
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",1548,49624,39594,239,773,536,76817199
"00630 Maunula-Suursuo   (Helsinki )",4610,34982,26711,1193,2669,748,161264786
"00640 Oulunkylä-Patola   (Helsinki )",4251,41852,33307,860,2293,1098,177911746
"00650 Veräjämäki   (Helsinki )",1957,47241,36668,310,1075,572,92450066
"00660 Länsi-Pakila   (Helsinki )",2620,69271,60487,193,1075,1352,181488715
"00670 Paloheinä   (Helsinki )",2249,72828,65611,129,860,1260,163790539
"00680 Itä-Pakila   (Helsinki )",1404,66011,57451,87,652,665,92678945
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1068,57578,50467,97,575,396,61493216
"00700 Malmi   (Helsinki )",7031,35339,28728,1708,4287,1036,248469461
"00710 Pihlajamäki   (Helsinki )",6744,34394,29290,1573,4222,949,231952254
"00720 Pukinmäki-Savela   (Helsinki )",4535,35776,30122,991,2773,771,162246355
"00730 Tapanila   (Helsinki )",5142,47271,40115,732,2923,1487,243069624
"00740 Siltamäki   (Helsinki )",4431,43915,38513,836,2599,996,194585395
"00750 Puistola   (Helsinki )",4392,41171,34692,966,2524,902,180821585
"00760 Suurmetsä   (Helsinki )",3038,55515,51679,331,1590,1117,168655543
"00770 Jakomäki - Alppikylä   (Helsinki )",3366,32887,28114,915,2134,317,110699021
"00780 Tapaninvainio   (Helsinki )",3193,50167,43795,408,1729,1056,160184360
"00790 Viikki   (Helsinki )",4990,38883,33540,1122,2848,1020,194026479
"00800 Länsi-Herttoniemi   (Helsinki )",4034,35793,27757,1021,2223,790,144387814
"00810 Herttoniemi   (Helsinki )",5936,40354,33402,1085,3365,1486,239540309
"00820 Roihuvuori   (Helsinki )",4056,31939,26657,1152,2353,551,129544034
"00830 Tammisalo   (Helsinki )",918,112844,62909,108,284,526,103590586
"00840 Laajasalo   (Helsinki )",4119,47344,37374,690,2140,1289,195010817
"00850 Jollas   (Helsinki )",1180,79294,61500,114,471,595,93567471
"00860 Santahamina   (Helsinki )",160,49349,47576,10,94,56,7895838
"00870 Etelä-Laajasalo   (Helsinki )",2992,37340,30256,707,1745,540,111721543
"00880 Roihupellon teollisuusalue   (Helsinki )",415,37578,32155,75,246,94,15595001
"00890 Östersundom   (Helsinki )",665,109421,74227,52,243,370,72764802
"00900 Puotinharju   (Helsinki )",2363,32266,26846,685,1346,332,76244235
"00910 Puotila   (Helsinki )",3419,32669,27534,888,1997,534,111696938
"00920 Myllypuro   (Helsinki )",6019,38821,32697,1376,3513,1130,233665578
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3254,45663,31118,815,1714,725,148588278
"00940 Kontula - Vesala   (Helsinki )",12892,32976,27652,3770,7776,1346,425127787
"00950 Vartioharju   (Helsinki )",2432,57355,49186,292,1205,935,139487601
"00960 Pohjois-Vuosaari   (Helsinki )",3821,36658,30649,850,2343,628,140071944
"00970 Mellunmäki   (Helsinki )",5569,34817,29396,1422,3395,752,193897380
"00980 Etelä-Vuosaari   (Helsinki )",11064,36133,29967,2785,6638,1641,399778418
"00990 Aurinkolahti   (Helsinki )",4254,45117,37555,597,2311,1346,191927905
"01120 Västerskog   (Sipoo )",552,63315,51621,80,249,223,34950029
"01150 Söderkulla   (Sipoo )",2275,55968,46834,304,1163,808,127326168
"01180 Kalkkiranta   (Porvoo )",187,58353,48655,19,97,71,10912028
"01190 Box   (Sipoo )",401,53152,47815,47,224,130,21314130
"01200 Hakunila   (Vantaa )",5799,35424,29446,1473,3607,719,205423044
"01230 Vaarala   (Vantaa )",1307,48064,44858,164,761,382,62820212
"01260 Itä-Hakkila   (Vantaa )",1821,58076,51123,154,1017,650,105755778
"01280 Länsimäki   (Vantaa )",4573,39632,34588,943,2763,867,181239401
"01300 Tikkurila   (Vantaa )",9966,40230,33558,1660,6004,2302,400928542
"01340 Leinelä   (Vantaa )",455,33951,30649,66,317,72,15447633
"01350 Hiekkaharju   (Vantaa )",4948,39537,32708,884,3099,965,195630362
"01360 Koivukylä-Havukoski   (Vantaa )",6606,33536,27760,1853,3946,807,221539146
"01370 Jokiniemi   (Vantaa )",3323,35951,31313,764,2042,517,119466577
"01380 Kuusikko-Hakkila   (Vantaa )",735,56617,51324,52,423,260,41613764
"01390 Ruskeasanta-Ilola   (Vantaa )",3526,54281,51136,365,1952,1209,191395306
"01400 Rekola   (Vantaa )",3520,45851,39397,514,2164,842,161396188
"01420 Päiväkumpu   (Vantaa )",1105,60966,57821,87,606,412,67367133
"01450 Korso   (Vantaa )",8394,42111,36082,1606,4986,1802,353479613
"01480 Mikkola   (Vantaa )",2888,40542,34326,589,1784,515,117086711
"01490 Nikinmäki   (Sipoo )",1406,61409,58468,89,756,561,86341072
"01510 Kirkonkylä-Veromäki   (Vantaa )",2917,41702,36752,418,1797,702,121645209
"01520 Tammisto   (Vantaa )",3443,47905,42478,359,2003,1081,164936225
"01530 Veromiehenkylä   (Vantaa )",254,32674,29439,63,164,27,8299242
"01600 Myyrmäki   (Vantaa )",9129,34672,29846,1851,5810,1468,316519743
"01610 Kaivoksela   (Vantaa )",2786,37123,31228,528,1695,563,103423558
"01620 Martinlaakso   (Vantaa )",5880,38753,33772,1077,3673,1130,227866665
"01630 Hämeenkylä   (Vantaa )",855,58667,51920,63,457,335,50160308
"01640 Hämevaara   (Vantaa )",1512,50460,42873,207,805,500,76295116
"01650 Vapaala   (Vantaa )",1883,48806,40333,300,1023,560,91902115
"01660 Varisto   (Vantaa )",1058,44561,38859,160,630,268,47145108
"01670 Vantaanlaakso   (Vantaa )",1190,54278,50109,76,646,468,64590354
"01680 Askisto   (Vantaa )",788,58067,52198,61,432,295,45756773
"01690 Ylästö   (Vantaa )",1576,67148,62427,100,733,743,105825391
"01700 Kivistö   (Vantaa )",2833,47871,39343,392,1625,816,135618663
"01710 Pähkinärinne   (Vantaa )",2764,36655,31315,510,1723,531,101313304
"01720 Petikko   (Vantaa )",33,38793,31715,6,20,7,1280185
"01730 Vantaanpuisto   (Vantaa )",1059,50263,45498,113,606,340,53228217
"01740 Tuupakan teollisuusalue   (Vantaa )",86,52510,48618,12,42,32,4515902
"01750 Keimola   (Vantaa )",311,62814,56161,28,170,113,19535218
"01760 Seutula   (Vantaa )",845,52461,46446,104,491,250,44329898
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",3675,46664,39392,534,2171,970,171491676
"01810 Luhtajoki   (Nurmijärvi )",250,62665,54325,24,148,78,15666284
"01820 Haikala   (Nurmijärvi )",1290,55786,53200,92,717,481,71964185
"01830 Lepsämä   (Nurmijärvi )",870,60170,54801,84,505,281,52348055
"01840 Klaukkala   (Nurmijärvi )",1519,59291,54803,105,804,610,90062761
"01860 Perttula   (Nurmijärvi )",795,52971,51117,112,420,263,42111911
"01900 Nurmijärvi Keskus   (Nurmijärvi )",4043,46043,37678,649,2381,1013,186150968
"01940 Palojoki   (Nurmijärvi )",290,54496,52769,26,169,95,15803836
"02100 Tapiola   (Espoo )",2734,51654,37435,386,1264,1084,141222948
"02110 Otsolahti   (Espoo )",1498,49822,39491,241,674,583,74633433
"02120 Länsikorkee-Suvikumpu   (Espoo )",1581,47860,35300,253,768,560,75667271
"02130 Pohjois-Tapiola   (Espoo )",2656,68027,53580,304,999,1353,180679252
"02140 Laajalahti   (Espoo )",1419,68289,58828,150,577,692,96901845
"02150 Otaniemi   (Espoo )",1880,23080,18412,1198,563,119,43390488
"02160 Westend   (Espoo )",1244,122647,73075,102,313,829,152572682
"02170 Haukilahti   (Espoo )",2664,70450,49852,325,989,1350,187679798
"02180 Mankkaa   (Espoo )",2476,82948,65842,166,877,1433,205379228
"02200 Niittykumpu   (Espoo )",3687,55665,46190,406,1609,1672,205237207
"02210 Olari   (Espoo )",5398,46821,38705,920,2733,1745,252740481
"02230 Matinkylä   (Espoo )",10468,48156,34523,2030,5448,2990,504100636
"02240 Friisilä   (Espoo )",811,82339,72893,43,253,515,66777257
"02250 Henttaa   (Espoo )",1763,43805,35391,322,1007,434,77228079
"02260 Kaitaa   (Espoo )",1580,57409,46676,221,773,586,90706844
"02270 Finnoo-Eestinmalmi   (Espoo )",829,70890,60139,62,341,426,58767820
"02280 Malminmäki-Eestinlaakso   (Espoo )",1788,52460,46570,218,960,610,93798206
"02290 Puolarmetsän sairaala   (Espoo )",0,0,0,0,0,0,0
"02300 Nöykkiönpuro   (Espoo )",863,83037,71667,33,310,520,71660852
"02320 Espoonlahti   (Espoo )",8150,42897,35077,1586,4446,2118,349611414
"02330 Saunalahti-Kattilalaakso   (Espoo )",3605,63781,52133,435,1628,1542,229931110
"02340 Latokaski   (Espoo )",1799,61550,56786,101,930,768,110729167
"02360 Soukka   (Espoo )",4475,54493,40618,747,2246,1482,243858391
"02380 Suvisaaristo   (Espoo )",245,115569,68621,22,77,146,28314371
"02390 Sarvvik   (Kirkkonummi )",218,76220,37198,28,108,82,16615934
"02400 Kirkkonummi Keskus   (Kirkkonummi )",5501,46960,39586,925,3079,1497,258327188
"02410 Gesterby   (Kirkkonummi )",1206,30607,25115,391,678,137,36912632
"02420 Jorvas   (Kirkkonummi )",682,67086,58136,46,323,313,45752505
"02430 Masala   (Kirkkonummi )",1862,43332,38018,352,1105,405,80684136
"02440 Luoma   (Kirkkonummi )",243,74540,56152,22,112,109,18113286
"02450 Sundsberg   (Kirkkonummi )",618,71518,68351,25,251,342,44198139
"02460 Kantvik   (Kirkkonummi )",782,52190,43765,116,402,264,40812444
"02470 Upinniemi   (Kirkkonummi )",194,33527,28545,24,145,25,6504144
"02480 Porkkala   (Kirkkonummi )",1672,60351,56275,185,789,698,100907128
