"Postal code area","Free-time residences, 2013 (RA)","Buildings, total, 2013 (RA)","Other buildings, 2013 (RA)","Residential buildings, 2013 (RA)","Dwellings, 2013 (RA)","Average floor area, 2013 (RA)","Dwellings in small houses, 2013 (RA)","Dwellings in blocks of flats, 2013 (RA)"
"25180 Romsila  (Salo)",274,138,18,120,116,110.1,116,0
"25190 Inkere  (Salo)",18,357,35,322,469,92.9,433,36
"25210 Vartsala  (Salo)",87,191,12,179,178,119.1,178,0
"25230 Angelniemi  (Salo)",229,201,15,186,189,100.0,189,0
"25240 Hajala  (Salo)",93,359,26,333,341,105.2,336,5
"25250 Märynummi  (Salo)",5,356,32,324,526,92.5,429,97
"25260 Vaskio  (Salo)",139,519,53,466,510,101.9,500,10
"25320 Raatala  (Salo)",58,242,27,215,220,102.5,220,0
"25330 Kuusjoki Keskus  (Salo)",48,414,47,367,456,92.1,453,3
"25340 Kanunki  (Salo)",54,222,27,195,204,103.8,204,0
"25360 Pertteli Keskus  (Salo)",15,454,49,405,565,97.3,553,12
"25370 Hiisi  (Salo)",120,349,16,333,328,99.8,328,0
"25380 Rekijoki  (Salo)",107,292,31,261,296,90.4,293,3
"25390 Kiikala Keskus  (Salo)",432,467,78,389,495,91.1,495,0
"25410 Suomusjärvi Keskus  (Salo)",966,547,66,481,647,90.2,636,11
"25420 Lahnajärvi  (Salo)",336,126,24,102,97,96.4,97,0
"25430 Kettula  (Salo)",242,49,3,46,44,108.8,44,0
"25460 Toija  (Salo)",558,591,72,519,664,90.5,637,27
"25470 Kisko kk  (Salo)",624,224,24,200,187,90.0,187,0
"25500 Perniö Keskus  (Salo)",463,1295,165,1130,1885,90.0,1388,497
"25520 Perniö Asemanseutu  (Salo)",92,346,44,302,323,110.6,323,0
"25540 Knaapila  (Salo)",83,130,12,118,116,122.7,116,0
"25550 Aijala  (Salo)",94,68,7,61,102,71.0,59,43
"25560 Koski Asemanseutu  (Salo)",96,164,14,150,138,89.8,138,0
"25570 Teijo-Mathildedal  (Salo)",136,319,40,279,361,92.1,313,48
"25610 Ylönkylä  (Salo)",196,242,26,216,216,104.0,212,4
"25630 Finby  (Salo)",242,166,31,135,188,94.8,178,10
"25640 Förby  (Salo)",374,202,42,160,180,88.8,177,3
"25650 Strömma  (Kemiönsaari)",133,102,10,92,83,104.1,80,3
"25660 Mathildedal  (Salo)",151,137,18,119,128,92.1,119,9
"25700 Kemiö Keskus  (Kemiönsaari)",680,1214,142,1072,1353,92.3,1160,193
"25710 Vreta-Vestlax  (Kemiönsaari)",97,186,30,156,163,105.2,150,13
"25730 Mjösund  (Kemiönsaari)",238,108,22,86,84,79.0,75,9
"25760 Kiila  (Kemiönsaari)",266,88,9,79,76,111.5,76,0
"25810 Mark  (Kemiönsaari)",20,47,4,43,42,91.6,40,2
"25820 Vestlax  (Kemiönsaari)",107,74,5,69,68,93.6,65,3
"25830 Västanfjärd Keskus  (Kemiönsaari)",586,312,42,270,309,100.1,275,34
"25840 Nivelax  (Kemiönsaari)",47,154,15,139,134,100.9,134,0
"25860 Björkboda  (Kemiönsaari)",71,196,23,173,268,83.9,202,66
"25870 Dragsfjärd  (Kemiönsaari)",360,554,78,476,554,93.5,473,81
"25900 Taalintehdas  (Kemiönsaari)",957,631,85,546,1132,73.0,536,596
"25910 Vänoxa  (Kemiönsaari)",94,8,2,6,..,..,..,..
"25930 Kasnäs  (Kemiönsaari)",213,73,38,35,36,112.8,36,0
"25940 Hiittinen  (Kemiönsaari)",381,71,16,55,55,90.9,55,0
"25950 Rosala-Kasnäs-Hitis  (Kemiönsaari)",366,122,35,87,76,88.4,76,0
"25960 Högsåra  (Kemiönsaari)",106,47,18,29,30,98.3,30,0
"26100 Rauma Keskus  (Rauma)",90,3315,860,2455,10446,71.1,3208,7238
"26200 Merirauma-Kappelinluhta  (Rauma)",394,1391,77,1314,2633,94.7,1878,755
"26410 Kaaro  (Rauma)",337,636,51,585,599,111.2,599,0
"26510 Uotila  (Rauma)",11,1164,164,1000,1277,98.4,1121,156
"26560 Kolla  (Rauma)",26,342,48,294,290,118.6,290,0
"26660 Paroalho  (Rauma)",49,1066,59,1007,2766,81.1,1516,1250
"26720 Monnanummi  (Rauma)",2,135,12,123,147,113.0,147,0
"26740 Vasarainen  (Rauma)",76,268,28,240,239,110.7,239,0
"26820 Sampaanala  (Rauma)",59,468,116,352,884,77.9,496,388
"26840 Kortela  (Rauma)",72,298,15,283,360,102.3,360,0
"26910 Unaja  (Rauma)",20,318,37,281,280,109.4,280,0
"26930 Vermuntila  (Rauma)",122,316,28,288,284,106.9,284,0
"26950 Voiluoto  (Rauma)",319,209,16,193,192,107.0,192,0
"27100 Eurajoki Keskus  (Eurajoki)",137,1411,253,1158,1620,97.7,1516,104
"27110 Irjanne  (Eurajoki)",41,341,38,303,284,95.2,284,0
"27130 Eurajoki asemanseutu  (Eurajoki)",35,217,31,186,171,99.2,171,0
"27150 Lapijoki  (Eurajoki)",303,697,163,534,578,106.8,578,0
"27160 Olkiluoto  (Eurajoki)",14,68,68,0,0,0.0,0,0
"27170 Kuivalahti  (Eurajoki)",512,269,52,217,199,96.1,199,0
"27220 Ala-Kieri  (Rauma)",85,305,24,281,269,107.7,269,0
"27230 Lappi  (Rauma)",414,949,145,804,1027,99.6,917,110
"27250 Kodiksami  (Rauma)",19,89,12,77,77,100.4,77,0
"27260 Kuolimaa  (Rauma)",151,138,17,121,106,101.7,106,0
"27310 Kodisjoki  (Rauma)",144,273,31,242,257,98.4,243,14
"27320 Ihode  (Pyhäranta)",50,390,70,320,371,103.2,371,0
"27340 Reila  (Pyhäranta)",525,287,34,253,251,105.8,251,0
"27400 Kiukainen Keskus  (Eura)",20,668,87,581,683,96.7,650,33
"27420 Panelia Asemanseutu  (Eura)",7,168,25,143,141,105.3,141,0
"27430 Panelia  (Eura)",36,637,79,558,670,96.7,637,33
"27450 Harola  (Eura)",14,126,14,112,116,104.7,116,0
"27500 Kauttua  (Eura)",297,1334,172,1162,1676,92.4,1385,291
"27510 Eura Keskus  (Eura)",271,1865,294,1571,2238,92.2,1848,390
"27600 Hinnerjoki  (Eura)",147,476,74,402,428,93.0,425,3
"27640 Honkilahti kk  (Eura)",82,205,23,182,175,95.9,175,0
"27650 Honkilahti  (Eura)",316,221,35,186,205,91.8,205,0
"27670 Mannila  (Eura)",203,122,20,102,100,105.8,100,0
"27710 Köyliö Keskus  (Köyliö)",88,567,69,498,585,92.3,539,46
"27730 Tuiskula  (Köyliö)",16,112,14,98,94,108.2,94,0
"27740 Voitoinen  (Köyliö)",13,104,5,99,100,91.8,100,0
"27750 Yttilä  (Köyliö)",211,254,37,217,205,94.6,205,0
"27800 Säkylä Keskus  (Säkylä)",261,1451,218,1233,1748,96.5,1463,285
"27820 Iso-Vimma  (Säkylä)",84,409,86,323,421,96.4,366,55
"27840 Kakkuri  (Köyliö)",47,239,26,213,240,101.6,227,13
"27860 Vuori  (Köyliö)",18,224,34,190,174,107.9,174,0
"27910 Huovinrinne  (Säkylä)",0,27,7,20,213,62.0,107,106
"27920 Otajoki  (Säkylä)",238,199,47,152,153,98.3,153,0
"28100 Pori Keskus  (Pori)",364,1379,535,844,9560,58.9,1029,8531
"28120 Käppärä-Isomäki  (Pori)",0,847,79,768,2345,64.0,1148,1197
"28130 Impola  (Pori)",3,1330,305,1025,4046,63.5,1142,2904
"28190 Pormestarinluoto  (Pori)",353,739,123,616,2339,69.2,831,1508
"28200 Toejoki  (Pori)",1,1781,116,1665,2283,96.0,2263,20
"28220 Ruosniemi  (Pori)",9,1743,157,1586,1999,98.3,1978,21
"28240 Isojoenranta  (Pori)",4,344,32,312,338,106.1,338,0
"28260 Harjunpää  (Ulvila)",4,473,32,441,464,100.8,448,16
"28300 Kalaholma-Väinölä  (Pori)",41,874,71,803,1110,107.1,1106,4
"28330 Koivistonluoto  (Pori)",3,637,112,525,1572,76.9,683,889
"28360 Vanhakoivisto  (Pori)",0,1134,152,982,2416,79.7,1340,1076
"28370 Sampola  (Pori)",1,428,36,392,2087,66.1,440,1647
"28400 Ulvila Keskus  (Ulvila)",4,1964,245,1719,2839,93.9,2264,575
"28430 Kartano-Harmaalinna  (Pori)",0,711,173,538,744,98.2,740,4
"28450 Vanha-Ulvila  (Ulvila)",6,1447,105,1342,2072,96.9,1630,442
"28500 Keskussairaala-alue-Tiilimäki  (Pori)",0,96,56,40,552,47.5,316,236
"28540 Pinomäki  (Pori)",2,265,40,225,275,104.4,275,0
"28560 Lattomeri  (Pori)",10,259,27,232,226,105.5,226,0
"28580 Niittymaa  (Pori)",6,295,27,268,273,109.9,273,0
"28600 Vähärauma  (Pori)",17,1576,244,1332,2245,95.0,1722,523
"28610 Musa-Tiiliruukki  (Pori)",1,1351,177,1174,2124,82.9,1471,653
"28660 Pietniemi-Leppäkorpi  (Pori)",464,1460,141,1319,1836,99.4,1720,116
"28760 Kyläsaari  (Pori)",74,1072,198,874,1034,101.5,1034,0
"28800 Pihlava  (Pori)",46,1558,194,1364,2376,84.2,1628,748
"28840 Yyteri-Kaanaa  (Pori)",269,458,123,335,526,84.4,343,183
"28880 Mäntyluoto  (Pori)",19,230,141,89,311,71.1,113,198
"28900 Tahkoluoto-Reposaari  (Pori)",952,698,214,484,654,84.0,560,94
"29100 Luvia Keskus  (Luvia)",1219,1506,225,1281,1439,105.3,1410,29
"29180 Peränkylä  (Luvia)",152,154,20,134,123,102.7,123,0
"29200 Harjavalta Keskus  (Harjavalta)",50,2804,507,2297,4210,86.0,2950,1260
"29250 Nakkila Keskus  (Nakkila)",44,2222,398,1824,2491,94.1,2086,405
"29270 Hormisto  (Nakkila)",18,284,44,240,223,99.2,223,0
"29280 Järvimaa  (Nakkila)",4,172,18,154,145,104.1,145,0
"29310 Kaasmarkku  (Ulvila)",12,304,25,279,289,105.6,280,9
"29320 Leineperi  (Ulvila)",34,114,5,109,108,99.7,108,0
"29340 Kullaa Keskus  (Ulvila)",260,520,75,445,502,94.3,502,0
"29350 Palus  (Ulvila)",87,169,12,157,158,102.8,156,2
"29570 Söörmarkku  (Pori)",11,471,74,397,400,118.8,400,0
"29600 Noormarkku Keskus  (Pori)",311,1997,271,1726,2259,102.0,2027,232
"29630 Pomarkku Keskus  (Pomarkku)",780,1054,188,866,1068,93.0,995,73
"29640 Honkakoski  (Pomarkku)",216,218,39,179,173,97.1,173,0
"29680 Kairila  (Pori)",160,257,33,224,209,89.7,209,0
"29700 Ahlainen  (Pori)",898,609,130,479,467,89.2,467,0
"29720 Lamppi  (Pori)",156,141,22,119,112,90.4,112,0
"29740 Etelämaa  (Merikarvia)",33,61,4,57,58,95.0,58,0
"29750 Pohjansaha  (Pori)",127,78,16,62,62,90.0,62,0
"29760 Köörtilä  (Merikarvia)",406,117,48,69,60,94.7,60,0
"29790 Tuorila  (Merikarvia)",57,239,64,175,173,102.7,173,0
"29810 Siikainen Keskus  (Siikainen)",351,570,137,433,557,83.6,522,35
"29830 Sammi  (Siikainen)",59,128,21,107,103,97.7,103,0
"29860 Otamo  (Siikainen)",56,100,20,80,80,91.3,80,0
"29880 Leväsjoki-Saarineva  (Siikainen)",409,154,36,118,127,89.9,127,0
"29900 Merikarvia Keskus-Rannikko  (Merikarvia)",1143,1325,330,995,1296,86.1,1129,167
"29940 Kuvaskangas  (Merikarvia)",81,205,26,179,167,99.9,167,0
"30100 Forssa Keskus  (Forssa)",877,3411,597,2814,5996,81.8,3293,2703
"30300 Viksberg  (Forssa)",0,370,97,273,1815,62.8,253,1562
"30420 Tölö  (Forssa)",2,1286,210,1076,2635,78.4,1240,1395
"31110 Matku  (Forssa)",348,385,49,336,336,91.7,327,9
"31130 Koijärvi  (Forssa)",127,154,27,127,145,96.6,145,0
"31140 Menonen  (Urjala)",63,137,16,121,111,105.1,111,0
"31160 Nuutajärvi  (Urjala)",85,197,28,169,233,82.1,227,6
"31170 Savijoki  (Forssa)",180,147,22,125,124,100.5,124,0
"31230 Susikas  (Tammela)",447,156,31,125,119,99.2,119,0
"31250 Teuro  (Tammela)",288,159,30,129,125,98.5,125,0
"31300 Tammela Keskus  (Tammela)",498,1240,213,1027,1637,92.2,1310,327
"31310 Mustiala  (Tammela)",14,73,29,44,51,97.9,51,0
"31340 Porras  (Tammela)",451,362,62,300,292,103.7,292,0
"31350 Vistinkoski  (Tammela)",425,199,49,150,150,87.6,145,5
"31370 Eerikkilän Urheiluopisto  (Tammela)",0,11,10,1,..,..,..,..
"31380 Letku-Torro  (Tammela)",448,233,63,170,174,103.5,166,8
"31400 Somero Keskus  (Somero)",368,2574,427,2147,3646,85.7,2973,673
"31410 Ylöpirtti  (Somero)",117,242,35,207,200,107.0,200,0
"31450 Häntälä  (Somero)",119,226,26,200,193,108.2,193,0
"31460 Hirsjärvi  (Somero)",202,168,19,149,143,106.6,143,0
"31470 Somerniemi  (Somero)",929,475,90,385,385,98.7,385,0
"31490 Terttilä  (Somero)",118,168,18,150,138,106.8,138,0
"31500 Koski Tl  (Koski Tl)",272,1315,199,1116,1350,96.0,1270,80
"31520 Pitkäjärvi  (Somero)",158,355,57,298,275,108.2,275,0
"31530 Pyöli  (Somero)",112,224,26,198,184,104.5,184,0
"31600 Jokioinen Keskus  (Jokioinen)",101,1460,191,1269,1941,89.6,1632,309
"31610 Vaulammi  (Jokioinen)",55,248,21,227,238,99.3,235,3
"31620 Latovainio  (Jokioinen)",40,200,23,177,197,104.3,197,0
"31630 Minkiö  (Jokioinen)",119,306,35,271,272,111.0,268,4
"31640 Humppila Keskus  (Humppila)",318,1069,191,878,1194,92.8,967,227
"31650 Venäjänkangas  (Humppila)",35,121,29,92,89,117.3,89,0
"31700 Urjala Asemanseutu-Hanhisuo  (Urjala)",596,879,134,745,800,95.1,766,34
"31720 Urjalankylä-Kehro  (Urjala)",349,265,32,233,231,90.5,219,12
"31730 Honkola  (Urjala)",59,87,9,78,79,108.8,79,0
"31750 Kehro  (Urjala)",34,47,7,40,40,84.7,40,0
"31760 Urjala Keskus  (Urjala)",128,760,138,622,1159,80.4,916,243
"31810 Oriniemi  (Punkalaidun)",109,251,16,235,220,110.0,220,0
"31830 Halkivaha  (Urjala)",96,194,22,172,159,95.8,159,0
"31850 Koskioinen  (Punkalaidun)",48,109,6,103,90,103.3,90,0
"31860 Tursa  (Urjala)",182,234,31,203,188,100.8,188,0
"31900 Punkalaidun Keskus  (Punkalaidun)",118,1001,171,830,1177,86.3,1059,118
"31930 Vanttila  (Punkalaidun)",19,74,8,66,57,117.5,57,0
"31950 Sadonmaa  (Punkalaidun)",188,107,10,97,87,109.9,87,0
"31960 Orisuo  (Loimaa)",11,54,9,45,44,109.4,44,0
"31970 Kanteenmaa  (Punkalaidun)",31,105,11,94,99,105.8,99,0
"32100 Ypäjä Keskus  (Ypäjä)",185,1043,147,896,1185,90.4,1097,88
"32140 Ypäjä Asemanseutu  (Ypäjä)",97,190,29,161,158,100.4,158,0
"32200 Loimaa Keskus  (Loimaa)",110,3032,532,2500,4822,82.4,3067,1755
"32210 Loimaa kk  (Loimaa)",37,898,102,796,1343,90.1,910,433
"32250 Kojonkulma  (Loimaa)",27,194,41,153,146,112.1,146,0
"32260 Kojonperä  (Loimaa)",34,104,6,98,92,112.8,92,0
"32270 Metsämaa-Murto  (Loimaa)",56,278,36,242,265,95.4,264,1
"32280 Metsäkorpi  (Loimaa)",33,109,14,95,97,92.5,97,0
"32300 Mellilä  (Loimaa)",142,840,144,696,735,94.6,725,10
"32410 Niinijoki  (Loimaa)",38,309,32,277,283,118.2,283,0
"32430 Ylhäinen  (Loimaa)",17,73,15,58,48,114.6,48,0
"32440 Alastaro Keskus  (Loimaa)",112,973,214,759,1035,91.7,951,84
"32450 Tammiainen  (Loimaa)",67,204,30,174,148,104.8,148,0
"32500 Oripää Keskus  (Oripää)",66,608,95,513,636,91.0,597,39
"32520 Latva  (Oripää)",14,99,9,90,76,113.5,76,0
"32560 Virttaa  (Loimaa)",99,320,86,234,240,98.3,240,0
"32610 Vampula Keskus  (Huittinen)",115,640,128,512,586,96.7,586,0
"32620 Rutava  (Huittinen)",50,290,48,242,219,95.4,219,0
"32700 Huittinen Keskus  (Huittinen)",205,3049,421,2628,4462,87.9,3396,1066
"32710 Sampu  (Huittinen)",77,348,40,308,300,113.2,300,0
"32730 Keikyä  (Sastamala)",91,446,78,368,382,100.2,380,2
"32740 Äetsä Keskus  (Sastamala)",52,780,111,669,1082,85.1,923,159
"32760 Suttila  (Huittinen)",31,115,8,107,99,101.9,99,0
"32770 Huhtamo  (Huittinen)",22,147,12,135,126,102.7,126,0
"32800 Kokemäki Keskus  (Kokemäki)",329,1931,307,1624,2348,90.4,1932,416
"32810 Peipohja  (Kokemäki)",76,936,133,803,1009,95.3,925,84
"32830 Riste  (Kokemäki)",177,305,42,263,266,102.4,259,7
"32860 Korkeaoja  (Kokemäki)",186,94,9,85,82,107.5,82,0
"32910 Kauvatsa Asemanseutu  (Kokemäki)",86,215,11,204,187,97.5,187,0
"32920 Kauvatsa  (Kokemäki)",493,407,45,362,367,91.6,362,5
"33100 Tampere Keskus  (Tampere)",0,920,234,686,11204,57.8,518,10686
"33180 Lapinniemi-Käpylä  (Tampere)",0,174,35,139,1073,68.3,131,942
"33200 Tampere Keskus Läntinen  (Tampere)",0,191,63,128,4634,58.0,16,4618
"33210 Itä-Amuri-Tammerkoski  (Tampere)",0,154,49,105,4025,59.3,18,4007
"33230 Länsi-Amuri  (Tampere)",0,308,92,216,3811,63.7,124,3687
"33240 Tahmela  (Tampere)",1,315,9,306,958,79.2,440,518
"33250 Pispala  (Tampere)",2,514,38,476,1449,65.3,570,879
"33270 Epilä  (Tampere)",1,835,76,759,4028,71.2,1371,2657
"33300 Rahola  (Tampere)",138,801,108,693,2478,79.2,1190,1288
"33310 Tesoma  (Tampere)",1,437,58,379,4173,66.7,595,3578
"33330 Myllypuro-Kalkku  (Tampere)",0,508,127,381,1807,68.7,476,1331
"33340 Haukiluoma-Ikuri  (Tampere)",0,1145,48,1097,2299,88.5,1796,503
"33380 Pitkäniemi  (Nokia)",3,24,23,1,..,..,..,..
"33400 Luoteis-Tampere  (Tampere)",2,1604,122,1482,3566,85.2,2204,1362
"33410 Lentävänniemi  (Tampere)",1,323,11,312,2590,70.7,645,1945
"33420 Lamminpää  (Tampere)",1,688,56,632,1018,88.3,756,262
"33430 Vuorentausta  (Ylöjärvi)",2,718,19,699,1317,87.7,1300,17
"33450 Siivikkala  (Ylöjärvi)",25,827,34,793,1106,109.4,1103,3
"33470 Ylöjärvi Keskus  (Ylöjärvi)",26,1406,346,1060,3040,79.4,1508,1532
"33480 Manninmäki-Haavisto  (Ylöjärvi)",264,1621,85,1536,2981,93.9,2340,641
"33500 Osmonmäki-Petsamo  (Tampere)",14,520,49,471,7451,55.2,448,7003
"33520 Keskussairaala-alue-Kauppi  (Tampere)",0,156,38,118,658,60.1,159,499
"33530 Kissanmaa  (Tampere)",0,586,30,556,2918,63.5,799,2119
"33540 Kaleva  (Tampere)",0,246,77,169,5849,51.9,45,5804
"33560 Takahuhti  (Tampere)",164,1460,130,1330,5087,74.5,1980,3107
"33580 Atala-Linnainmaa  (Tampere)",3,2360,88,2272,7053,79.4,3681,3372
"33610 Olkahinen-Tasanne  (Tampere)",36,973,34,939,1665,93.5,1631,34
"33680 Aitolahti  (Tampere)",748,859,92,767,746,117.2,741,5
"33700 Messukylä  (Tampere)",0,437,94,343,779,83.2,517,262
"33710 Kaukajärvi  (Tampere)",10,2006,127,1879,9231,72.9,3110,6121
"33720 Hervanta  (Tampere)",32,1227,324,903,14452,59.1,1276,13176
"33730 Leinola-Vehmainen  (Tampere)",2,580,79,501,802,96.8,753,49
"33800 Nekala  (Tampere)",252,763,136,627,3147,54.1,762,2385
"33820 Koivistonkylä  (Tampere)",46,1859,82,1777,4436,81.2,2612,1824
"33840 Peltolammi  (Tampere)",18,304,94,210,1948,65.2,376,1572
"33850 Multisilta  (Tampere)",25,181,23,158,1424,67.4,122,1302
"33870 Vuores  (Tampere)",55,173,8,165,556,77.4,189,367
"33880 Höytämö  (Lempäälä)",95,1007,144,863,1750,90.9,1113,637
"33900 Härmälä-Rantaperkiö  (Tampere)",0,1138,340,798,6110,60.5,788,5322
"33920 Toivio  (Pirkkala)",1,396,32,364,447,106.1,447,0
"33950 Killo  (Pirkkala)",20,828,88,740,2468,85.8,1129,1339
"33960 Suuppa  (Pirkkala)",126,2256,386,1870,4612,87.5,2861,1751
"33980 Pirkkala kk  (Pirkkala)",310,644,112,532,543,122.0,543,0
"34110 Lakiala  (Ylöjärvi)",110,456,26,430,438,127.4,434,4
"34130 Ylinen  (Ylöjärvi)",371,497,80,417,555,105.1,428,127
"34140 Mutala  (Ylöjärvi)",464,316,25,291,291,117.9,280,11
"34150 Kyrönlahti  (Ylöjärvi)",308,203,20,183,175,107.8,175,0
"34180 Länsi-Teisko  (Ylöjärvi)",329,111,20,91,87,98.0,84,3
"34240 Kämmenteisko  (Tampere)",804,624,66,558,640,112.6,636,4
"34260 Terälahti  (Tampere)",959,544,67,477,488,98.7,457,31
"34270 Velaatta  (Tampere)",250,229,24,205,191,90.8,181,10
"34300 Kuru Keskus  (Ylöjärvi)",557,771,131,640,939,83.5,859,80
"34320 Parkkuu  (Ylöjärvi)",265,154,21,133,127,106.5,127,0
"34330 Poikelus  (Ylöjärvi)",203,132,9,123,118,115.4,118,0
"34410 Murole  (Ruovesi)",159,132,16,116,110,86.8,110,0
"34420 Muroleen Kanava  (Ruovesi)",146,48,12,36,30,95.3,30,0
"34430 Kekkonen  (Ruovesi)",157,105,10,95,78,101.4,78,0
"34450 Jäminkipohja  (Ruovesi)",198,286,56,230,269,86.1,187,82
"34510 Luode  (Ylöjärvi)",126,78,12,66,65,85.5,65,0
"34530 Länsi-Aure  (Ylöjärvi)",134,63,12,51,52,83.7,52,0
"34550 Itä-Aure  (Ylöjärvi)",300,140,16,124,116,96.1,116,0
"34600 Ruovesi Keskus-Nenonen  (Ruovesi)",660,1256,283,973,1609,80.7,1214,395
"34640 Mustajärvi  (Ruovesi)",174,161,24,137,118,95.8,118,0
"34710 Vaskivesi  (Virrat)",367,261,44,217,196,106.7,196,0
"34730 Vaskuu  (Virrat)",111,99,12,87,67,84.8,67,0
"34740 Koro  (Virrat)",92,83,12,71,57,102.2,57,0
"34770 Kurjenkylä  (Virrat)",102,159,18,141,135,95.5,135,0
"34800 Virrat Keskus  (Virrat)",965,1746,341,1405,2794,83.0,1845,949
"34870 Visuvesi  (Ruovesi)",455,388,61,327,373,86.1,294,79
"34910 Äijänneva  (Virrat)",34,66,6,60,53,98.9,53,0
"34930 Liedenpohja  (Virrat)",162,213,40,173,160,103.8,160,0
"34950 Ohtola  (Virrat)",174,127,8,119,103,100.7,102,1
"34970 Toisvesi  (Virrat)",37,87,8,79,65,95.1,65,0
"34980 Killinkoski  (Virrat)",73,247,23,224,259,81.8,209,50
"35100 Orivesi Asemanseutu  (Orivesi)",450,1229,95,1134,1443,94.4,1302,141
"35220 Eräjärvi  (Orivesi)",328,343,35,308,323,89.8,319,4
"35240 Ristakallio  (Orivesi)",187,146,12,134,109,104.5,109,0
"35260 Leväslahti  (Orivesi)",46,9,0,9,..,..,..,..
"35270 Västilä  (Orivesi)",426,146,18,128,107,97.4,107,0
"35300 Orivesi Keskus  (Orivesi)",1287,1610,244,1366,2701,82.1,1720,981
"35320 Hirsilä  (Orivesi)",102,302,37,265,292,91.5,258,34
"35400 Länkipohja  (Jämsä)",730,551,89,462,608,84.7,517,91
"35420 Talviainen  (Orivesi)",321,117,21,96,73,95.3,73,0
"35480 Längelmäki  (Orivesi)",184,64,6,58,51,100.1,50,1
"35500 Korkeakoski  (Juupajoki)",57,608,174,434,622,81.8,535,87
"35520 Pirttikangas  (Juupajoki)",25,58,6,52,47,103.6,47,0
"35530 Lyly  (Juupajoki)",225,224,39,185,216,83.4,185,31
"35540 Juupajoki  (Juupajoki)",231,251,51,200,199,110.7,199,0
"35550 Salokunta  (Juupajoki)",58,85,12,73,67,123.2,67,0
"35600 Halli  (Jämsä)",292,671,128,543,861,83.5,748,113
"35610 Pihlaisto  (Jämsä)",55,72,5,67,54,91.2,54,0
"35630 Suinula-Valkamanperä  (Jämsä)",115,134,25,109,102,93.2,102,0
"35700 Vilppula Keskus  (Mänttä-Vilppula)",766,1588,347,1241,2019,82.1,1571,448
"35740 Ylä-Vääri  (Ruovesi)",123,88,7,81,68,112.6,68,0
"35750 Väärinmaja  (Ruovesi)",330,219,21,198,168,94.2,168,0
"35800 Mänttä  (Mänttä-Vilppula)",146,1141,176,965,2749,75.7,1182,1567
"35820 Asemakulma-Mustalahti  (Jämsä)",581,944,124,820,1185,85.1,899,286
"35990 Kolho  (Mänttä-Vilppula)",233,638,102,536,695,85.9,666,29
"36100 Kangasala Asemanseutu  (Kangasala)",30,448,65,383,423,113.2,423,0
"36110 Ruutana  (Kangasala)",54,950,36,914,1065,107.9,1045,20
"36120 Suinula-Haviseva  (Kangasala)",584,512,33,479,456,114.2,449,7
"36200 Kangasala Keskus  (Kangasala)",1019,2601,230,2371,4832,92.1,2902,1930
"36220 Suorama  (Kangasala)",15,1025,186,839,2368,81.9,1167,1201
"36240 Nattari  (Kangasala)",25,922,75,847,2087,88.9,1224,863
"36270 Huutijärvi  (Kangasala)",438,541,64,477,628,105.5,514,114
"36280 Pikonlinna  (Kangasala)",1,10,5,5,27,90.9,5,22
"36340 Tohkala  (Kangasala)",285,141,13,128,121,114.0,121,0
"36420 Sahalahti Keskus  (Kangasala)",450,656,72,584,878,93.6,788,90
"36430 Pakkala  (Kangasala)",149,244,19,225,237,110.0,231,6
"36450 Salmentaka  (Pälkäne)",348,239,79,160,150,91.3,150,0
"36520 Raikku  (Kangasala)",372,223,13,210,197,104.2,197,0
"36570 Kaivanto  (Kangasala)",310,153,17,136,130,119.4,127,3
"36600 Pälkäne Keskus  (Pälkäne)",768,1448,238,1210,1714,92.5,1429,285
"36640 Iltasmäki  (Pälkäne)",152,215,17,198,194,109.6,194,0
"36660 Laitikkala  (Pälkäne)",193,145,34,111,102,118.8,102,0
"36720 Aitoo  (Pälkäne)",272,347,61,286,322,94.8,319,3
"36760 Luopioinen Keskus  (Pälkäne)",710,437,86,351,504,85.1,488,16
"36810 Kuhmalahti Keskus  (Kangasala)",389,294,30,264,305,89.2,305,0
"36840 Kuhmajärvi  (Kangasala)",188,226,28,198,201,92.2,201,0
"36880 Vehkajärvi  (Kangasala)",527,135,14,121,110,85.3,110,0
"36910 Rautajärvi  (Pälkäne)",398,255,43,212,232,89.4,226,6
"36930 Kyynärö  (Pälkäne)",258,130,17,113,112,100.0,112,0
"37100 Nokia Keskus  (Nokia)",2,1024,214,810,4011,67.0,942,3069
"37120 Koskenmäki  (Nokia)",305,2661,188,2473,4554,87.9,3196,1358
"37130 Alhoniitty  (Nokia)",11,1076,36,1040,2048,88.6,1478,570
"37140 Harjuniitty  (Nokia)",10,709,56,653,917,100.4,909,8
"37150 Kankaantaka  (Nokia)",17,907,214,693,1886,80.7,1149,737
"37180 Sarkola  (Nokia)",289,198,24,174,162,109.4,160,2
"37200 Siuro  (Nokia)",389,1029,79,950,1121,94.6,984,137
"37210 Kulovesi  (Nokia)",3,17,4,13,11,104.8,11,0
"37240 Linnavuori  (Nokia)",0,186,38,148,405,71.9,223,182
"37310 Tottijärvi  (Nokia)",600,444,49,395,379,111.4,379,0
"37350 Rämsöö  (Vesilahti)",150,110,17,93,89,103.3,89,0
"37370 Narva  (Vesilahti)",729,521,54,467,517,103.7,509,8
"37380 Krääkkiö  (Vesilahti)",194,106,13,93,91,97.9,91,0
"37420 Valkkinen  (Vesilahti)",347,393,39,354,352,115.2,352,0
