"Postal code area","Free-time residences, 2013 (RA)","Buildings, total, 2013 (RA)","Other buildings, 2013 (RA)","Residential buildings, 2013 (RA)","Dwellings, 2013 (RA)","Average floor area, 2013 (RA)","Dwellings in small houses, 2013 (RA)","Dwellings in blocks of flats, 2013 (RA)"
"00900 Puotinharju  (Helsinki)",0,162,38,124,2422,59.3,130,2292
"00910 Puotila  (Helsinki)",0,231,38,193,3646,55.6,124,3522
"00920 Myllypuro  (Helsinki)",1,889,66,823,5769,68.1,1161,4608
"00930 Itäkeskus-Marjaniemi  (Helsinki)",19,663,63,600,3374,79.9,902,2472
"00940 Kontula  (Helsinki)",1,1234,133,1101,12991,64.6,1432,11559
"00950 Vartioharju  (Helsinki)",3,1426,90,1336,2395,91.5,1922,473
"00960 Pohjois-Vuosaari  (Helsinki)",2,293,18,275,3835,62.7,589,3246
"00970 Mellunkylä  (Helsinki)",0,640,65,575,5738,63.8,835,4903
"00980 Etelä-Vuosaari  (Helsinki)",89,1248,283,965,11127,67.3,1469,9658
"00990 Aurinkolahti  (Helsinki)",9,198,27,171,4260,66.4,188,4072
"01120 Västerskog  (Sipoo)",830,709,130,579,607,117.9,551,56
"01150 Söderkulla  (Sipoo)",438,1545,191,1354,1899,112.7,1523,376
"01180 Kalkkiranta  (Sipoo)",489,291,61,230,218,121.2,215,3
"01190 Box  (Sipoo)",58,518,80,438,428,116.1,428,0
"01200 Hakunila  (Vantaa)",17,886,101,785,5966,68.1,1230,4736
"01230 Vaarala  (Vantaa)",1,483,43,440,1312,82.1,995,317
"01260 Itä-Hakkila  (Vantaa)",26,1429,93,1336,1838,100.0,1720,118
"01280 Länsimäki  (Vantaa)",2,897,34,863,4605,71.2,1961,2644
"01300 Tikkurila  (Vantaa)",1,1738,236,1502,9863,66.8,2535,7328
"01340 Leinelä  (Vantaa)",0,12,3,9,304,56.4,0,304
"01350 Hiekkaharju  (Vantaa)",2,1004,35,969,4888,68.3,1405,3483
"01360 Koivukylä-Havukoski  (Vantaa)",4,824,53,771,6686,63.7,1066,5620
"01370 Jokiniemi  (Vantaa)",0,439,39,400,3060,63.4,724,2336
"01380 Kuusikko-Hakkila  (Vantaa)",2,568,78,490,759,97.4,759,0
"01390 Ruskeasanta-Ilola  (Vantaa)",5,2160,64,2096,3495,92.4,2884,611
"01400 Rekola  (Vantaa)",12,1691,75,1616,3469,83.7,2069,1400
"01420 Päiväkumpu  (Vantaa)",13,1006,25,981,1124,109.1,1124,0
"01450 Korso  (Vantaa)",17,3409,220,3189,8670,76.9,4438,4232
"01480 Mikkola  (Vantaa)",14,916,58,858,3055,75.4,966,2089
"01490 Nikinmäki  (Vantaa)",24,1172,49,1123,1335,118.3,1335,0
"01510 Kirkonkylä-Veromäki  (Vantaa)",4,670,260,410,2939,64.7,564,2375
"01520 Tammisto  (Vantaa)",0,396,30,366,3589,68.7,866,2723
"01530 Veromiehenkylä  (Vantaa)",0,245,221,24,398,52.1,25,373
"01600 Myyrmäki  (Vantaa)",0,351,81,270,9093,62.6,117,8976
"01610 Kaivoksela  (Vantaa)",3,273,57,216,2424,62.1,305,2119
"01620 Martinlaakso  (Vantaa)",1,584,76,508,6161,69.1,900,5261
"01630 Hämeenkylä  (Vantaa)",2,371,25,346,864,91.4,847,17
"01640 Hämevaara  (Vantaa)",2,647,23,624,1236,88.8,663,573
"01650 Vapaala  (Vantaa)",3,736,38,698,1948,83.9,883,1065
"01660 Varisto  (Vantaa)",3,407,15,392,1089,80.2,938,151
"01670 Vantaanlaakso  (Vantaa)",127,509,38,471,1210,88.0,973,237
"01680 Askisto  (Vantaa)",2,573,23,550,791,100.4,732,59
"01690 Ylästö  (Vantaa)",12,1192,40,1152,1586,105.4,1530,56
"01700 Kivistö  (Vantaa)",3,960,36,924,1187,108.0,1089,98
"01710 Pähkinärinne  (Vantaa)",0,152,9,143,2675,63.3,299,2376
"01720 Petikko  (Vantaa)",3,118,104,14,32,64.5,20,12
"01730 Vantaanpuisto  (Vantaa)",247,655,88,567,1074,91.6,658,416
"01740 Tuupakan teollisuusalue  (Vantaa)",5,193,98,95,111,112.9,111,0
"01750 Keimola  (Vantaa)",29,377,46,331,335,117.0,335,0
"01760 Seutula  (Vantaa)",107,889,79,810,918,95.8,848,70
"01770 Martinlaakson teollisuusalue  (Vantaa)",0,2,2,0,0,0.0,0,0
"01800 Klaukkala Keskus  (Nurmijärvi)",87,1713,238,1475,3461,87.7,2047,1414
"01810 Luhtajoki  (Nurmijärvi)",12,291,41,250,262,122.1,259,3
"01820 Haikala  (Nurmijärvi)",6,656,34,622,1331,102.1,1261,70
"01830 Lepsämä  (Nurmijärvi)",55,937,99,838,877,121.2,877,0
"01840 Klaukkala  (Nurmijärvi)",10,1042,86,956,1551,108.4,1409,142
"01860 Perttula  (Nurmijärvi)",103,922,115,807,834,122.0,819,15
"01900 Nurmijärvi Keskus  (Nurmijärvi)",50,2325,393,1932,4077,89.7,2473,1604
"01940 Palojoki  (Nurmijärvi)",31,341,44,297,300,114.3,300,0
"02100 Tapiola  (Espoo)",0,285,84,201,2657,65.2,294,2363
"02110 Otsolahti  (Espoo)",0,137,16,121,1651,65.5,252,1399
"02120 Länsikorkee-Hakalehto  (Espoo)",0,136,14,122,1719,64.5,196,1523
"02130 Pohjois-Tapiola  (Espoo)",1,800,75,725,2759,88.8,1404,1355
"02140 Laajalahti-Friisinmäki  (Espoo)",46,665,26,639,1469,95.0,1044,425
"02150 Otaniemi  (Espoo)",0,189,146,43,1790,47.4,20,1770
"02160 Westend  (Espoo)",71,615,36,579,1327,128.5,904,423
"02170 Haukilahti  (Espoo)",1,521,45,476,2863,89.3,1184,1679
"02180 Mankkaa  (Espoo)",0,1383,63,1320,2474,102.9,2361,113
"02200 Niittykumpu  (Espoo)",11,1170,171,999,4694,79.1,1678,3016
"02210 Olari-Kuitinmäki  (Espoo)",100,774,61,713,5673,75.3,1491,4182
"02230 Matinkylä  (Espoo)",67,1408,130,1278,10305,70.1,2000,8305
"02240 Friisilä  (Espoo)",5,609,43,566,769,122.4,695,74
"02260 Iivisniemi  (Espoo)",10,555,29,526,1651,86.7,967,684
"02270 Suomenoja  (Espoo)",6,711,176,535,852,103.7,852,0
"02280 Puolarmetsä  (Espoo)",3,635,34,601,1802,83.1,1245,557
"02290 Puolarmetsän sairaala  (Espoo)",0,2,2,0,0,0.0,0,0
"02300 Nöykkiö  (Espoo)",4,760,29,731,878,127.9,878,0
"02320 Kivenlahti  (Espoo)",3,971,99,872,8395,71.8,1666,6729
"02330 Kattilalaakso  (Espoo)",27,1726,99,1627,3461,98.2,1964,1497
"02340 Latokaski  (Espoo)",2,968,29,939,1837,91.2,1837,0
"02360 Espoonlahti  (Espoo)",42,1100,64,1036,4539,85.5,1587,2952
"02380 Suvisaaristo  (Espoo)",337,302,33,269,270,165.3,270,0
"02400 Kirkkonummi Keskus  (Kirkkonummi)",302,2625,200,2425,5630,90.9,3424,2206
"02410 Gesterby  (Kirkkonummi)",0,173,5,168,1287,65.6,285,1002
"02420 Jorvas  (Kirkkonummi)",318,685,74,611,724,142.3,697,27
"02430 Masala  (Kirkkonummi)",7,646,75,571,1792,82.7,1230,562
"02440 Luoma  (Kirkkonummi)",49,276,18,258,256,138.5,256,0
"02450 Sundsberg  (Kirkkonummi)",31,313,21,292,569,119.1,569,0
"02460 Kantvik  (Kirkkonummi)",2,392,32,360,752,98.7,449,303
"02470 Upinniemi  (Kirkkonummi)",10,38,14,24,278,63.8,9,269
"02480 Porkkala  (Kirkkonummi)",883,1414,152,1262,1723,118.3,1532,191
"02490 Pikkala  (Siuntio)",18,102,33,69,178,87.1,70,108
"02510 Oitmäki  (Kirkkonummi)",35,225,22,203,226,108.3,221,5
"02520 Lapinkylä  (Kirkkonummi)",46,373,26,347,339,122.2,339,0
"02540 Kylmälä  (Kirkkonummi)",246,306,31,275,273,125.0,271,2
"02550 Evitskog  (Kirkkonummi)",220,382,22,360,366,120.1,365,1
