"Postal code area","Households, total, 2017 (TE)","Average size of households, 2017 (TE)","Occupancy rate, 2017 (TE)","Young single persons, 2017 (TE)","Young couples without children, 2017 (TE)","Households with children, 2017 (TE)","Households with small children, 2017 (TE)","Households with children under school age, 2017 (TE)","Households with school-age children, 2017 (TE)","Households with teenagers, 2017 (TE)","Adult households, 2017 (TE)","Pensioner households, 2017 (TE)","Households living in owner-occupied dwellings, 2017 (TE)","Households living in rented dwellings, 2017 (TE)","Households living in other dwellings, 2017 (TE)"
"Finland",2680077,2.0,40.5,291052,115168,570112,142781,278849,263490,221106,1280056,840649,1706303,920974,52800
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",10205,1.8,38.6,2101,861,1326,400,715,541,373,6578,2345,4742,5103,360
"00120 Punavuori   (Helsinki )",3933,1.8,39.4,708,328,581,166,305,236,165,2501,869,2023,1744,166
"00130 Kaartinkaupunki   (Helsinki )",818,1.8,43.5,142,63,128,32,66,49,38,509,186,421,363,34
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4404,1.8,41.7,764,345,693,205,361,285,199,2615,1112,2196,2000,208
"00150 Eira - Hernesaari   (Helsinki )",5759,1.6,34.1,1384,478,708,223,410,279,160,3968,1097,2802,2707,250
"00160 Katajanokka   (Helsinki )",2304,2.0,40.2,161,143,432,117,217,175,146,1087,792,1201,1019,84
"00170 Kruununhaka   (Helsinki )",4036,1.8,38.1,675,268,657,193,352,254,212,2455,945,2098,1794,144
"00180 Kamppi - Ruoholahti   (Helsinki )",7666,1.8,33.5,1328,634,1208,400,698,455,315,4936,1551,3070,4367,229
"00190 Suomenlinna   (Helsinki )",308,2.4,30.9,0,8,104,16,45,59,32,142,64,10,279,19
"00200 Lauttasaari   (Helsinki )",8688,1.8,33.5,1531,792,1533,473,893,637,367,5113,2072,4836,3556,296
"00210 Vattuniemi   (Helsinki )",4397,1.9,37.0,442,329,919,304,545,369,219,2197,1297,2954,1334,109
"00220 Jätkäsaari   (Helsinki )",3185,1.8,29.8,825,530,552,216,372,149,104,2345,295,688,2470,27
"00230 Ilmala   (Helsinki )",0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",2780,1.9,33.5,225,250,432,148,248,153,124,1544,813,1174,1562,44
"00250 Taka-Töölö   (Helsinki )",6796,1.6,33.5,1723,635,811,284,481,281,194,4683,1323,3077,3457,262
"00260 Keski-Töölö   (Helsinki )",3148,1.6,39.2,568,216,351,107,195,136,89,1854,949,1514,1509,125
"00270 Pohjois-Meilahti   (Helsinki )",4491,1.7,31.3,973,354,698,181,358,305,218,2901,905,1821,2532,138
"00280 Ruskeasuo   (Helsinki )",1610,1.7,31.6,285,144,250,84,140,92,63,984,380,793,788,29
"00290 Meilahden sairaala-alue   (Helsinki )",92,1.6,41.9,17,5,10,4,7,3,0,62,20,35,56,1
