"Postal code area","Inhabitants, total, 2017 (HE)","Females, 2017 (HE)","Males, 2017 (HE)","Average age of inhabitants, 2017 (HE)","0-2 years, 2017 (HE)","3-6 years, 2017 (HE)","7-12 years, 2017 (HE)","13-15 years, 2017 (HE)","16-17 years, 2017 (HE)","18-19 years, 2017 (HE)","20-24 years, 2017 (HE)","25-29 years, 2017 (HE)","30-34 years, 2017 (HE)","35-39 years, 2017 (HE)","40-44 years, 2017 (HE)","45-49 years, 2017 (HE)","50-54 years, 2017 (HE)","55-59 years, 2017 (HE)","60-64 years, 2017 (HE)","65-69 years, 2017 (HE)","70-74 years, 2017 (HE)","75-79 years, 2017 (HE)","80-84 years, 2017 (HE)","85 years or over, 2017 (HE)"
"Finland",5513130,2793999,2719131,42,160297,240994,369950,177163,117857,120218,327752,354325,352269,350498,332814,327889,369756,364798,367232,370001,307517,207063,148572,146165
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",18284,9613,8671,41,434,521,711,274,185,264,1573,2512,2000,1564,1203,1048,1083,973,800,848,1030,575,336,350
"00120 Punavuori   (Helsinki )",7108,3751,3357,40,183,234,316,131,74,109,519,896,735,645,512,442,420,373,369,333,360,219,125,113
"00130 Kaartinkaupunki   (Helsinki )",1508,772,736,41,34,48,65,30,24,27,110,162,150,113,113,105,115,88,72,94,80,43,23,12
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7865,4277,3588,41,224,250,370,162,92,108,515,907,737,653,542,489,498,451,398,402,459,293,157,158
"00150 Eira - Hernesaari   (Helsinki )",9496,5129,4367,40,250,282,359,122,75,120,756,1321,1162,883,753,552,540,482,435,422,429,250,164,139
"00160 Katajanokka   (Helsinki )",4541,2411,2130,44,129,171,248,113,66,68,240,316,327,320,326,286,278,256,305,335,378,198,88,93
"00170 Kruununhaka   (Helsinki )",7461,4024,3437,41,204,252,338,139,105,124,549,785,771,615,582,461,484,413,400,364,395,218,129,133
"00180 Kamppi - Ruoholahti   (Helsinki )",13872,7219,6653,39,440,487,599,234,167,188,1039,1735,1650,1325,926,786,883,793,658,653,620,327,214,148
"00190 Suomenlinna   (Helsinki )",743,372,371,38,18,44,86,23,13,9,27,30,35,64,75,56,89,50,38,27,35,11,8,5
"00200 Lauttasaari   (Helsinki )",15786,8511,7275,40,502,692,843,296,182,211,996,1848,1692,1522,1240,868,802,695,703,748,794,450,286,416
"00210 Vattuniemi   (Helsinki )",8412,4523,3889,42,326,394,464,173,97,77,290,656,820,822,616,464,490,471,491,512,583,301,190,175
"00220 Jätkäsaari   (Helsinki )",5884,3095,2789,32,232,293,190,76,55,87,1018,1111,745,544,302,199,235,217,202,196,101,54,14,13
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",5254,2863,2391,42,158,173,198,92,77,84,401,610,531,426,268,221,296,320,329,358,334,162,121,95
"00250 Taka-Töölö   (Helsinki )",11277,6206,5071,39,307,323,392,148,94,154,1017,1809,1422,1017,755,580,587,512,479,462,455,354,197,213
"00260 Keski-Töölö   (Helsinki )",5478,2989,2489,44,116,142,179,67,44,59,389,668,562,405,364,266,323,304,275,325,357,248,148,237
"00270 Pohjois-Meilahti   (Helsinki )",7723,4326,3397,39,194,268,413,175,111,120,655,1001,840,619,529,434,448,412,396,331,311,202,133,131
"00280 Ruskeasuo   (Helsinki )",2963,1639,1324,40,89,102,123,38,37,58,344,387,280,231,203,146,168,154,124,96,121,78,61,123
"00290 Meilahden sairaala-alue   (Helsinki )",143,87,56,44,4,7,3,0,0,1,3,17,17,15,8,8,11,11,7,9,16,3,1,2
"00300 Pikku Huopalahti   (Helsinki )",5809,3226,2583,41,181,279,392,185,111,141,325,448,445,391,374,333,415,417,334,299,261,172,117,189
"00310 Kivihaka   (Helsinki )",890,491,399,41,26,26,33,12,10,6,62,128,96,87,58,41,52,46,49,51,46,23,16,22
"00320 Etelä-Haaga   (Helsinki )",10231,5655,4576,40,264,336,375,164,104,122,1065,1543,1215,868,611,476,498,450,457,444,396,283,206,354
"00330 Munkkiniemi   (Helsinki )",8848,5016,3832,44,237,332,537,190,168,159,520,716,676,599,540,497,484,514,455,458,547,405,320,494
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1722,875,847,43,42,71,114,59,42,51,100,72,70,106,116,116,148,146,108,102,88,71,50,50
"00350 Munkkivuori-Niemenmäki   (Helsinki )",9309,5098,4211,40,215,374,523,217,144,158,787,1005,779,761,652,577,605,516,460,402,429,261,179,265
"00360 Pajamäki   (Helsinki )",1825,972,853,41,68,64,71,28,13,17,124,200,216,170,108,88,111,112,108,87,83,53,38,66
"00370 Reimarla   (Helsinki )",6702,3496,3206,40,272,312,443,179,125,132,437,612,538,561,437,361,387,359,332,346,302,219,153,195
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",4515,2318,2197,39,141,184,254,94,82,79,279,463,417,385,286,306,334,311,285,223,182,98,77,35
"00390 Konala   (Helsinki )",6328,3217,3111,40,199,284,339,157,119,143,401,565,565,490,386,413,451,414,431,344,283,166,98,80
"00400 Pohjois-Haaga   (Helsinki )",9672,5167,4505,41,293,339,395,158,103,182,748,1149,1048,807,623,452,533,468,471,481,474,330,245,373
"00410 Malminkartano   (Helsinki )",8553,4471,4082,37,317,389,520,231,177,186,814,884,775,652,512,472,571,533,562,411,299,137,76,35
"00420 Kannelmäki   (Helsinki )",13989,7407,6582,41,388,511,698,295,241,287,1145,1413,1186,1044,844,748,857,821,809,873,756,452,300,321
"00430 Maununneva   (Helsinki )",5454,2803,2651,39,193,269,400,201,154,148,339,324,322,338,384,378,425,365,387,358,267,94,57,51
"00440 Lassila   (Helsinki )",4626,2522,2104,44,152,169,179,69,53,59,344,489,467,328,214,176,215,221,283,339,305,179,157,228
"00500 Sörnäinen   (Helsinki )",12634,6316,6318,37,216,159,146,54,39,147,1430,2703,2148,1406,803,590,622,497,480,399,331,199,126,139
"00510 Etu-Vallila - Alppila   (Helsinki )",9628,4978,4650,39,234,195,187,56,34,85,805,1723,1550,1116,715,463,485,439,419,403,295,184,128,112
"00520 Itä-Pasila   (Helsinki )",7306,3691,3615,39,242,279,276,90,67,98,624,956,921,759,476,365,368,342,337,376,321,190,108,111
"00530 Kallio   (Helsinki )",18612,9733,8879,41,373,302,296,107,76,164,1663,3097,2743,1926,1196,913,983,859,874,906,892,516,366,360
"00540 Kalasatama   (Helsinki )",2521,1314,1207,36,94,128,102,31,26,40,278,325,297,245,169,121,121,123,126,118,94,43,19,21
"00550 Vallila   (Helsinki )",9464,5029,4435,38,241,247,268,79,71,127,1123,1533,1315,945,643,451,481,449,361,371,301,191,115,152
"00560 Toukola-Vanhakaupunki   (Helsinki )",13438,7257,6181,36,561,712,796,301,169,165,1172,1532,1456,1320,1036,645,696,674,629,636,477,233,136,92
"00570 Kulosaari   (Helsinki )",3962,2132,1830,41,112,185,267,124,78,95,219,297,295,325,300,235,253,208,193,192,202,158,104,120
"00580 Verkkosaari   (Helsinki )",2727,1415,1312,37,110,128,181,46,25,27,262,302,289,247,202,145,149,136,102,117,85,56,50,68
"00590 Kaitalahti   (Helsinki )",904,497,407,40,45,43,40,21,13,12,56,85,63,76,52,57,84,75,70,36,38,21,9,8
"00600 Koskela-Helsinki   (Helsinki )",4147,2222,1925,44,110,141,221,106,74,82,318,344,289,268,220,229,244,258,232,258,256,167,134,196
"00610 Käpylä   (Helsinki )",8249,4593,3656,41,312,416,480,177,108,126,337,595,796,855,600,476,531,486,438,452,374,235,180,275
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",3349,1807,1542,44,99,111,174,94,65,62,183,288,253,250,203,169,221,207,174,178,165,127,126,200
"00630 Maunula-Suursuo   (Helsinki )",8383,4476,3907,43,262,388,489,216,122,144,434,642,635,590,533,485,528,516,552,531,436,324,244,312
"00640 Oulunkylä-Patola   (Helsinki )",8171,4368,3803,42,269,320,496,213,145,142,517,727,639,586,505,470,552,492,440,493,413,272,227,253
"00650 Veräjämäki   (Helsinki )",4315,2278,2037,39,179,218,320,160,96,91,244,268,308,323,322,295,281,279,223,218,166,119,86,119
"00660 Länsi-Pakila   (Helsinki )",6702,3371,3331,43,195,326,515,246,186,165,278,224,290,433,462,475,508,468,394,415,416,267,211,228
"00670 Paloheinä   (Helsinki )",6025,3073,2952,41,194,343,564,262,158,149,204,139,251,416,458,419,490,499,395,409,334,160,87,94
"00680 Itä-Pakila   (Helsinki )",3695,1829,1866,40,114,204,317,155,127,99,124,131,196,232,288,282,292,277,206,198,175,119,93,66
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2761,1409,1352,38,99,169,262,113,78,80,106,96,142,214,208,227,189,183,164,181,158,48,25,19
"00700 Malmi   (Helsinki )",13271,6981,6290,40,459,594,756,356,265,296,957,1229,1030,891,738,779,919,921,870,755,546,368,279,263
"00710 Pihlajamäki   (Helsinki )",12710,6707,6003,41,467,575,715,300,205,224,695,1020,1144,1034,808,705,895,778,760,742,639,417,314,273
"00720 Pukinmäki-Savela   (Helsinki )",8574,4625,3949,41,308,382,433,204,135,165,603,763,771,626,451,433,494,533,571,544,451,308,210,189
"00730 Tapanila   (Helsinki )",11226,5857,5369,39,373,534,875,427,262,246,525,612,783,853,810,724,895,939,758,622,460,271,124,133
"00740 Siltamäki   (Helsinki )",10347,5302,5045,40,359,493,747,361,239,259,672,655,714,728,620,606,758,674,620,633,552,290,218,149
"00750 Puistola   (Helsinki )",9629,4970,4659,38,366,505,686,298,197,211,621,782,719,742,635,608,652,600,591,524,391,237,132,132
"00760 Suurmetsä   (Helsinki )",7672,3910,3762,40,247,381,672,320,210,213,317,297,418,549,526,515,656,572,532,419,391,218,131,88
"00770 Jakomäki - Alppikylä   (Helsinki )",7289,3787,3502,38,336,368,452,223,153,167,596,658,620,474,397,434,518,431,336,305,321,219,149,132
"00780 Tapaninvainio   (Helsinki )",7079,3646,3433,44,225,310,448,183,159,133,302,357,444,446,423,398,536,573,541,536,400,281,180,204
"00790 Viikki   (Helsinki )",11039,5858,5181,33,475,679,961,387,201,207,1064,1216,1068,983,840,610,610,452,366,301,279,151,106,83
"00800 Länsi-Herttoniemi   (Helsinki )",7190,3874,3316,42,223,298,356,168,99,105,407,639,584,653,492,441,493,489,461,380,309,210,157,226
"00810 Herttoniemi   (Helsinki )",11578,6118,5460,38,465,525,676,332,197,207,672,1171,1112,929,839,751,844,708,639,552,445,267,137,110
"00820 Roihuvuori   (Helsinki )",7265,3842,3423,41,215,315,401,145,109,132,430,578,620,659,484,457,537,479,430,372,300,204,186,212
"00830 Tammisalo   (Helsinki )",2243,1163,1080,44,66,107,184,86,69,41,65,59,81,138,168,167,196,172,105,133,163,85,70,88
"00840 Laajasalo   (Helsinki )",8206,4448,3758,44,209,373,501,209,152,178,422,387,488,554,552,452,569,543,477,629,655,380,246,230
"00850 Jollas   (Helsinki )",3144,1576,1568,39,81,172,342,146,100,89,129,89,115,179,254,257,322,248,170,191,144,61,30,25
"00860 Santahamina   (Helsinki )",395,180,215,28,25,39,44,11,2,2,44,35,37,57,36,23,21,12,4,2,1,0,0,0
"00870 Etelä-Laajasalo   (Helsinki )",6211,3328,2883,39,262,317,413,173,126,133,460,547,491,413,389,357,422,375,308,317,271,163,125,149
"00880 Roihupellon teollisuusalue   (Helsinki )",719,379,340,42,24,20,16,9,6,7,53,99,86,60,39,45,41,35,43,43,36,16,24,17
"00890 Östersundom   (Helsinki )",2007,1014,993,38,32,84,186,118,102,106,106,49,50,90,130,222,289,144,90,68,76,34,19,12
"00900 Puotinharju   (Helsinki )",4248,2212,2036,43,146,157,189,94,81,98,264,336,316,290,252,245,330,303,255,219,200,167,156,150
"00910 Puotila   (Helsinki )",6183,3280,2903,42,184,247,330,142,109,116,410,557,473,450,403,389,383,371,337,335,253,209,205,280
"00920 Myllypuro   (Helsinki )",13019,6725,6294,41,507,715,849,374,309,271,657,817,915,873,863,789,967,856,746,675,631,466,408,331
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6830,3621,3209,41,211,293,400,236,179,159,462,511,405,415,366,420,524,496,402,426,365,218,180,162
"00940 Kontula - Vesala   (Helsinki )",26173,13644,12529,41,896,1177,1697,883,607,592,1743,1960,1847,1633,1564,1644,1879,1711,1461,1345,1211,955,754,614
"00950 Vartioharju   (Helsinki )",5967,3064,2903,42,162,223,460,261,152,156,293,243,311,373,399,409,557,475,418,362,318,215,95,85
"00960 Pohjois-Vuosaari   (Helsinki )",7201,3732,3469,43,203,272,450,226,171,141,356,455,443,456,486,521,606,562,424,445,393,271,180,140
"00970 Mellunmäki   (Helsinki )",10628,5624,5004,42,302,427,612,300,242,225,621,751,760,680,598,645,851,764,720,675,583,408,272,192
"00980 Etelä-Vuosaari   (Helsinki )",23055,12352,10703,40,806,1166,1595,828,536,560,1490,1686,1486,1433,1436,1511,1786,1538,1275,1112,1043,765,525,478
"00990 Aurinkolahti   (Helsinki )",8398,4493,3905,41,277,405,551,208,118,114,411,619,636,631,619,556,597,542,496,523,473,305,204,113
"01120 Västerskog   (Sipoo )",1420,670,750,42,35,61,108,65,32,33,59,54,55,94,105,116,128,117,94,84,80,45,33,22
"01150 Söderkulla   (Sipoo )",5747,2867,2880,38,217,377,559,250,121,119,281,274,299,464,463,458,452,297,266,291,233,131,91,104
"01180 Kalkkiranta   (Porvoo )",466,226,240,44,7,16,34,29,17,13,20,7,11,24,35,42,50,35,26,32,25,21,8,14
"01190 Box   (Sipoo )",1020,533,487,42,25,45,85,41,24,35,31,21,47,75,70,87,97,66,68,65,53,41,29,15
