"Postal code area","Households, total, 2013 (TE)","Average size of households, 2013 (TE)","Occupancy rate, 2013 (TE)","Young single persons, 2013 (TE)","Young couples without children, 2013 (TE)","Households with children, 2013 (TE)","Households with small children, 2013 (TE)","Households with children under school age, 2013 (TE)","Households with school-age children, 2013 (TE)","Households with teenagers, 2013 (TE)","Adult households, 2013 (TE)","Pensioner households, 2013 (TE)","Households living in owner-occupied dwellings, 2013 (TE)","Households living in rented dwellings, 2013 (TE)","Households living in other dwellings, 2013 (TE)"
"Finland",2599613,2.1,39.8,260341,118920,580042,157447,288733,253682,225046,1271544,758896,1696096,833667,69850
"00100 Helsinki Keskusta  (Helsinki)",9800,1.7,39.1,2011,895,1160,418,700,404,295,6367,2309,4579,4830,391
"00120 Punavuori  (Helsinki)",3838,1.8,40.2,723,316,518,176,303,180,130,2515,826,1944,1730,164
"00130 Kaartinkaupunki  (Helsinki)",789,1.8,44.4,126,64,114,31,52,45,37,506,172,414,338,37
"00140 Kaivopuisto  (Helsinki)",4363,1.8,42.3,799,345,641,178,339,260,196,2698,1040,2159,1974,230
"00150 Eira  (Helsinki)",5671,1.6,34.5,1473,466,652,234,399,205,155,4021,1011,2833,2574,264
"00160 Katajanokka  (Helsinki)",2314,1.9,40.6,169,130,419,108,218,175,126,1184,721,1178,1058,78
"00170 Kruununhaka  (Helsinki)",3961,1.8,38.5,677,294,616,199,341,231,170,2467,900,2028,1767,166
"00180 Ruoholahti  (Helsinki)",6984,1.8,33.8,1247,621,1044,310,537,384,354,4669,1291,2826,3894,264
"00190 Suomenlinna  (Helsinki)",322,2.4,30.4,10,12,112,22,48,53,42,152,62,13,296,13
"00200 Lauttasaari  (Helsinki)",8349,1.8,34.2,1467,720,1365,526,832,484,338,4994,2018,4725,3309,315
"00210 Vattuniemi  (Helsinki)",3759,1.9,37.6,354,269,732,267,446,265,159,1913,1127,2547,1094,118
"00220 Jätkäsaari  (Helsinki)",904,1.8,29.4,276,166,141,69,99,33,25,695,70,119,773,12
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",2774,1.9,34.0,217,211,427,146,236,135,131,1594,756,1201,1545,28
"00250 Taka-Töölö  (Helsinki)",6716,1.6,34.2,1652,658,706,263,431,217,184,4639,1382,3110,3328,278
"00260 Keski-Töölö  (Helsinki)",3067,1.7,39.0,533,215,331,126,210,107,70,1859,888,1481,1475,111
"00270 Pohjois-Meilahti  (Helsinki)",4425,1.7,31.6,954,364,646,188,342,263,221,2902,884,1870,2430,125
"00280 Ruskeasuo  (Helsinki)",1550,1.7,32.3,258,160,217,72,126,78,58,941,397,800,708,42
"00290 Meilahden sairaala-alue  (Helsinki)",104,1.5,42.9,11,9,8,4,7,0,1,77,19,37,67,0
"00300 Pikku Huopalahti  (Helsinki)",2918,1.9,32.3,257,186,652,201,340,255,226,1602,676,997,1883,38
"00310 Kivihaka  (Helsinki)",556,1.6,32.4,112,32,70,29,47,15,19,367,121,321,223,12
"00320 Etelä-Haaga  (Helsinki)",5905,1.6,32.2,1625,454,675,246,408,233,159,4065,1180,2907,2833,165
"00330 Munkkiniemi  (Helsinki)",4620,1.8,39.5,589,251,820,196,397,349,296,2172,1657,2382,2063,175
"00340 Kuusisaari-Lehtisaari  (Helsinki)",708,2.3,52.9,36,16,203,44,83,90,96,278,233,521,155,32
"00350 Munkkivuori-Niemenmäki  (Helsinki)",5271,1.7,32.1,971,320,867,253,452,356,268,3218,1195,2458,2644,169
"00360 Pajamäki  (Helsinki)",1131,1.6,31.5,205,77,140,51,83,45,36,718,274,678,436,17
"00370 Reimarla  (Helsinki)",3125,2.0,33.6,329,201,683,208,390,287,217,1618,833,1354,1667,104
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",2310,1.9,32.1,219,215,461,154,266,167,156,1467,386,582,1692,36
"00390 Konala  (Helsinki)",3259,1.9,33.0,499,233,667,221,369,250,209,1983,620,1727,1420,112
"00400 Pohjois-Haaga  (Helsinki)",5336,1.7,31.0,825,362,729,241,414,234,226,3129,1488,2322,2905,109
"00410 Malminkartano  (Helsinki)",4059,2.1,30.7,352,377,933,252,458,362,346,2532,601,1473,2538,48
"00420 Kannelmäki  (Helsinki)",7460,1.8,32.8,900,423,1260,350,616,478,460,4333,1891,3224,4012,224
"00430 Maununneva  (Helsinki)",1894,2.5,36.4,66,90,624,136,270,285,267,836,449,1373,472,49
"00440 Lassila  (Helsinki)",2478,1.7,33.4,276,169,346,131,200,119,100,1351,783,1357,1049,72
"00500 Sörnäinen  (Helsinki)",8842,1.4,28.6,3039,858,419,196,280,103,69,7421,1007,3384,5185,273
"00510 Etu-Vallila  (Helsinki)",6074,1.4,28.4,1882,578,389,180,267,94,58,4797,892,2534,3366,174
"00520 Itä-Pasila  (Helsinki)",3775,1.7,31.5,610,317,500,211,353,126,124,2477,804,1842,1839,94
"00530 Kallio  (Helsinki)",12335,1.5,31.1,3171,1166,682,293,450,186,126,9343,2322,5423,6566,346
"00540 Kalasatama  (Helsinki)",606,1.9,30.6,112,97,94,50,68,23,16,445,68,121,479,6
"00550 Vallila  (Helsinki)",5875,1.5,29.8,1428,557,537,206,339,139,137,4332,1012,2100,3644,131
"00560 Toukola-Vanhakaupunki  (Helsinki)",6201,2.0,31.0,1083,649,1375,540,880,482,302,3914,934,2699,3400,102
"00570 Kulosaari  (Helsinki)",1884,2.0,43.9,210,103,413,109,195,175,165,880,601,1160,624,100
"00580 Verkkosaari  (Helsinki)",1030,2.0,32.4,99,119,250,98,177,77,48,567,213,351,642,37
"00590 Kaitalahti  (Helsinki)",135,2.8,37.2,1,0,56,15,26,23,22,44,38,118,9,8
"00600 Koskela-Helsinki  (Helsinki)",1998,1.9,33.3,178,82,354,102,187,136,130,967,688,605,1368,25
"00610 Käpylä  (Helsinki)",4199,1.8,30.9,459,245,872,289,501,296,262,2311,1029,1879,2225,95
