"Postal code area","Households, total, 2015 (TE)","Average size of households, 2015 (TE)","Occupancy rate, 2015 (TE)","Young single persons, 2015 (TE)","Young couples without children, 2015 (TE)","Households with children, 2015 (TE)","Households with small children, 2015 (TE)","Households with children under school age, 2015 (TE)","Households with school-age children, 2015 (TE)","Households with teenagers, 2015 (TE)","Adult households, 2015 (TE)","Pensioner households, 2015 (TE)","Households living in owner-occupied dwellings, 2015 (TE)","Households living in rented dwellings, 2015 (TE)","Households living in other dwellings, 2015 (TE)"
"00640 Oulunkylä-Patola   (Helsinki )",4229,1.9,35.9,509,260,821,230,407,348,269,2188,1235,2366,1741,122
"00650 Veräjämäki   (Helsinki )",1995,2.2,35.3,121,108,549,150,297,237,176,1012,446,816,1142,37
"00660 Länsi-Pakila   (Helsinki )",2620,2.5,39.5,80,47,850,176,369,367,355,855,946,2241,273,106
"00670 Paloheinä   (Helsinki )",2235,2.7,37.7,22,25,863,193,382,400,328,735,651,1975,165,95
"00680 Itä-Pakila   (Helsinki )",1401,2.5,39.7,34,33,483,108,214,230,202,514,412,1125,213,63
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1069,2.6,35.6,21,22,421,102,199,182,166,383,272,768,278,23
"00700 Malmi   (Helsinki )",6944,1.9,33.3,875,364,1370,434,745,515,470,3899,1696,2672,4161,111
"00710 Pihlajamäki   (Helsinki )",6702,1.9,33.6,689,287,1317,429,743,498,389,3560,1852,2794,3777,131
"00720 Pukinmäki-Savela   (Helsinki )",4538,1.9,33.2,411,279,845,279,476,336,249,2377,1327,2121,2294,123
"00730 Tapanila   (Helsinki )",5094,2.2,34.2,344,235,1424,338,677,670,522,2580,1112,2937,2046,111
"00740 Siltamäki   (Helsinki )",4420,2.3,34.4,199,241,1266,312,612,549,478,1931,1238,2787,1529,104
"00750 Puistola   (Helsinki )",4274,2.1,33.7,356,202,1123,332,594,458,403,2213,964,2062,2133,79
"00760 Suurmetsä   (Helsinki )",3031,2.5,35.4,80,102,1019,212,453,500,418,1221,812,2294,657,80
"00770 Jakomäki - Alppikylä   (Helsinki )",3320,2.0,32.3,335,131,760,253,438,293,269,1683,886,863,2403,54
"00780 Tapaninvainio   (Helsinki )",3173,2.2,37.4,182,115,743,189,361,316,275,1479,967,2296,804,73
"00790 Viikki   (Helsinki )",4949,2.2,29.4,704,534,1502,470,873,665,438,2791,664,1481,3437,31
