Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.2	13.1	16.1	382	362	403
2h	-	9.8	10.1	-	524	516
3h+	-	10.5	-	-	971	-
Kaikki	10.0	10.2	11.5	438	541	475
Lkm	16	80.0	22	16	80	22
