Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.9	12.2	13.8	433	401	444
2h	10.4	10.8	10.6	576	568	638
3h+	9.7	9.1	10.8	798	808	892
Kaikki	10.3	10.3	11.1	624	587	682
Lkm	332.0	204.0	94.0	332	204	94
