Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	14.2	15.4	17.2	472	529	536
2h	11.6	12.4	12.5	653	732	710
3h+	10.6	10.5	12.3	835	832	892
Kaikki	11.4	12.5	13.5	682	664	718
Lkm	474.0	158.0	76.0	474	158	76
