Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	14.6	20.6	23.2	491	618	637
2h	13.6	15.6	16.8	684	784	878
3h+	12.0	14.0	14.1	940	1109	1071
Kaikki	12.7	16.3	17.8	768	796	800
Lkm	1884.0	722.0	258.0	1884	722	258
