Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	11.0	-	-	356	-
2h	-	8.9	8.1	-	485	529
3h+	-	6.1	6.5	-	600	599
Kaikki	8.6	7.9	7.0	504	473	559
Lkm	4	32.0	25	4	32	25
