Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.2	12.6	14.5	415	446	465
2h	10.3	10.6	10.2	520	524	526
3h+	9.7	9.6	9.1	758	801	840
Kaikki	10.2	10.6	10.7	588	574	570
Lkm	380.0	200.0	100.0	380	200	100
