Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	9.2	10.6	-	352	329
2h	9.6	7.7	-	501	416	-
3h+	10.1	8.2	-	743	731	-
Kaikki	9.8	8.2	8.3	588	499	440
Lkm	33	48.0	14	33	48	14
