Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	16.0	20.2	-	446	532
2h	-	5.7	-	-	339	-
3h+	-	8.4	-	-	835	-
Kaikki	-	9.9	17.2	-	526	518
Lkm	-	38.0	18	-	38	18
