Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.8	12.5	14.6	412	421	562
2h	12.2	10.7	-	609	623	-
3h+	11.2	8.5	9.2	886	850	855
Kaikki	11.7	10.0	10.6	643	630	707
Lkm	40.0	50.0	20	40	50	20
