Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	-	-	-	-	-	-
3h+	-	6.2	-	-	942	-
Kaikki	-	6.8	9.1	-	760	340
Lkm	-	13	4	-	13	4
