Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.6	13.2	13.3	445	421	426
2h	9.5	9.8	11.4	518	519	588
3h+	9.1	9.7	11.1	726	912	922
Kaikki	9.8	10.8	11.5	556	557	677
Lkm	126.0	130.0	42.0	126	130	42
