Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	9.8	-	-	531	-	-
3h+	7.8	-	-	593	-	-
Kaikki	9.0	-	-	540	-	-
Lkm	29.0	-	-	29	-	-
