Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.6	-	-	387	-
2h	7.7	-	-	442	-	-
3h+	7.3	6.3	-	528	696	-
Kaikki	7.8	7.2	-	460	552	-
Lkm	28	19	-	28	19	-
