Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	10.8	-	-	394	-	-
2h	8.6	9.0	-	514	496	-
3h+	9.9	-	-	748	-	-
Kaikki	9.8	10.5	11.0	544	582	661
Lkm	30.0	17	5	30	17	5
