Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.1	9.9	-	325	320
2h	8.9	9.2	9.2	466	403	475
3h+	-	7.5	8.5	-	728	747
Kaikki	8.8	8.2	9.0	449	521	511
Lkm	32	32.0	26.0	32	32	26
