Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	15.8	20.2	21.7	487	596	672
2h	11.8	15.1	16.5	583	776	848
3h+	12.1	12.2	12.0	932	989	891
Kaikki	12.6	16.6	16.5	694	695	772
Lkm	416.0	386.0	220.0	416	386	220
