Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	11.1	-	-	379	-	-
2h	10.6	-	-	523	-	-
3h+	10.6	6.9	-	799	865	-
Kaikki	10.6	7.3	8.9	543	771	653
Lkm	84.0	14	4	84	14	4
