Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	8.1	-	-	477	-	-
Kaikki	8.1	8.1	-	415	476	-
Lkm	12.0	4	-	12	4	-
