Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	12.6	14.4	14.4	418	440	423
2h	12.1	12.2	12.0	582	596	558
3h+	10.6	10.1	11.1	797	892	769
Kaikki	11.7	12.8	12.8	565	527	507
Lkm	376.0	466.0	230.0	376	466	230
