Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	9.8	11.8	12.0	294	410	401
2h	9.1	9.2	11.0	505	546	612
3h+	10.1	8.2	8.8	756	706	718
Kaikki	9.7	9.2	10.1	569	558	555
Lkm	134.0	120.0	44.0	134	120	44
