Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	8.6	10.3	9.9	289	324	320
2h	7.0	9.0	8.5	446	442	438
3h+	8.2	7.3	7.5	620	678	688
Kaikki	7.8	8.7	8.7	460	431	418
Lkm	216.0	174.0	104.0	216	174	104
