Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	10.9	11.8	-	596	660	-
3h+	11.9	10.0	-	1030	913	-
Kaikki	11.3	11.0	12.0	730	730	713
Lkm	26.0	30.0	5	26	30	5
