Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.2	-	-	298	-
2h	-	8.6	-	-	458	-
3h+	-	7.0	7.7	-	597	768
Kaikki	-	8.4	8.2	-	418	682
Lkm	-	36.0	14	-	36	14
