Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	10.3	-	-	322	-
2h	7.8	7.8	8.6	429	414	447
3h+	7.3	7.4	7.9	552	578	530
Kaikki	7.6	7.7	8.3	475	484	476
Lkm	90	100.0	40	90	100	40
