Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	9.9	9.0	11.7	357	386	410
2h	9.0	9.3	10.0	500	508	552
3h+	8.6	10.4	9.2	696	902	746
Kaikki	9.0	9.8	9.9	529	622	586
Lkm	40.0	38.0	38.0	40	38	38
