Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	21.4	25.6	27.0	578	710	729
2h	16.5	18.2	18.7	865	900	967
3h+	14.7	14.3	14.2	1212	1166	1073
Kaikki	16.6	20.3	22.0	867	818	816
Lkm	762.0	872.0	362.0	762	872	362
