Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	-	11.3	8.1	-	517	604
2h	-	10.8	-	-	644	-
3h+	-	10.4	-	-	947	-
Kaikki	-	10.7	9.1	-	712	653
Lkm	-	46.0	17	-	46	17
