Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	9.6	10.1	-	308	322	-
2h	8.7	9.1	-	419	524	-
3h+	7.2	7.1	-	454	568	-
Kaikki	8.4	8.2	8.7	392	497	642
Lkm	44.0	38.0	6	44	38	6
