Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
1h	13.5	14.8	15.1	429	471	491
2h	10.4	11.8	11.6	510	568	596
3h+	10.6	10.3	10.5	789	816	866
Kaikki	10.8	11.9	12.0	587	587	612
Lkm	418.0	512.0	338.0	418	512	338
