Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	10.7	-	-	630	-	-
3h+	-	8.5	-	-	774	-
Kaikki	10.9	9.0	-	615	623	-
Lkm	16	11	-	16	11	-
