Unnamed	Keskivuokra ARA-vuokra	Keskivuokra Vapaarah. vanhat	Keskivuokra Vapaarah. uudet	Kuukausivuokra ARA-vuokra	Kuukausivuokra Vapaarah. vanhat	Kuukausivuokra Vapaarah. uudet
2h	8.7	-	-	487	-	-
3h+	-	8.6	-	-	720	-
Kaikki	8.2	8.6	9.3	448	613	603
Lkm	16	15	4	16	15	4
