"Postal code area","Aged 18 or over, total, 2013 (KO)","Basic level studies, 2013 (KO)","With education, total, 2013 (KO)","Matriculation examination, 2013 (KO)","Vocational diploma, 2013 (KO)","Academic degree - Lower level university degree, 2013 (KO)","Academic degree - Higher level university degree, 2013 (KO)"
"Finland",4374590,1210574,3164016,315544,1975022,451442,422008
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15529,2164,13365,2833,2826,2558,5148
"00120 Punavuori   (Helsinki )",5995,835,5160,1124,1174,927,1935
"00130 Kaartinkaupunki   (Helsinki )",1274,159,1115,246,227,181,461
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6689,879,5810,1197,1257,1022,2334
"00150 Eira - Hernesaari   (Helsinki )",8279,1239,7040,1516,1683,1349,2492
"00160 Katajanokka   (Helsinki )",3759,629,3130,545,873,555,1157
"00170 Kruununhaka   (Helsinki )",6269,748,5521,1096,1213,970,2242
"00180 Kamppi - Ruoholahti   (Helsinki )",10810,2104,8706,1748,2676,1699,2583
"00190 Suomenlinna   (Helsinki )",590,117,473,69,189,59,156
"00200 Lauttasaari   (Helsinki )",12617,1898,10719,1972,2798,2097,3852
"00210 Vattuniemi   (Helsinki )",5958,869,5089,651,1482,1001,1955
"00220 Jätkäsaari   (Helsinki )",1432,184,1248,419,350,252,227
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",4505,938,3567,636,1460,641,830
"00250 Taka-Töölö   (Helsinki )",9850,1341,8509,1772,2158,1795,2784
"00260 Keski-Töölö   (Helsinki )",4876,807,4069,768,972,835,1494
"00270 Pohjois-Meilahti   (Helsinki )",6449,1090,5359,1089,1587,1033,1650
"00280 Ruskeasuo   (Helsinki )",2466,366,2100,539,542,407,612
"00290 Meilahden sairaala-alue   (Helsinki )",147,15,132,9,53,30,40
"00300 Pikku Huopalahti   (Helsinki )",4627,1012,3615,567,1453,629,966
"00310 Kivihaka   (Helsinki )",779,145,634,114,237,141,142
"00320 Etelä-Haaga   (Helsinki )",8406,1434,6972,1357,2099,1497,2019
"00330 Munkkiniemi   (Helsinki )",7079,1095,5984,976,1636,1065,2307
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1274,187,1087,177,256,144,510
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7714,1423,6291,1218,2150,1224,1699
"00360 Pajamäki   (Helsinki )",1611,347,1264,205,505,234,320
"00370 Reimarla   (Helsinki )",5131,1305,3826,621,1618,687,900
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3547,875,2672,388,1156,518,610
"00390 Konala   (Helsinki )",5030,1301,3729,551,1852,671,655
"00400 Pohjois-Haaga   (Helsinki )",8097,2237,5860,1017,2378,1110,1355
"00410 Malminkartano   (Helsinki )",6915,2061,4854,982,2424,762,686
"00420 Kannelmäki   (Helsinki )",11612,3699,7913,1396,3986,1319,1212
"00430 Maununneva   (Helsinki )",3650,695,2955,447,1254,462,792
"00440 Lassila   (Helsinki )",3922,1062,2860,460,1232,534,634
"00500 Sörnäinen   (Helsinki )",11815,2241,9574,2317,3129,2132,1996
"00510 Etu-Vallila - Alppila   (Helsinki )",8191,1739,6452,1335,2310,1437,1370
"00520 Itä-Pasila   (Helsinki )",5892,1480,4412,873,1630,881,1028
"00530 Kallio   (Helsinki )",17530,3382,14148,3188,4490,2939,3531
"00540 Kalasatama   (Helsinki )",1091,167,924,255,275,193,201
"00550 Vallila   (Helsinki )",8421,1838,6583,1719,2165,1374,1325
"00560 Toukola-Vanhakaupunki   (Helsinki )",10036,1487,8549,1811,2570,1820,2348
"00570 Kulosaari   (Helsinki )",3094,530,2564,443,680,449,992
"00580 Verkkosaari   (Helsinki )",1819,372,1447,202,492,314,439
"00590 Kaitalahti   (Helsinki )",280,39,241,24,81,39,97
"00600 Koskela-Helsinki   (Helsinki )",3472,1253,2219,496,974,325,424
"00610 Käpylä   (Helsinki )",6547,1594,4953,742,1910,915,1386
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",2636,603,2033,344,763,349,577
"00630 Maunula-Suursuo   (Helsinki )",6649,2338,4311,653,2045,634,979
"00640 Oulunkylä-Patola   (Helsinki )",6550,1526,5024,838,2007,905,1274
"00650 Veräjämäki   (Helsinki )",3354,796,2558,369,1050,417,722
"00660 Länsi-Pakila   (Helsinki )",5090,911,4179,533,1464,640,1542
"00670 Paloheinä   (Helsinki )",4525,693,3832,524,1352,607,1349
"00680 Itä-Pakila   (Helsinki )",2769,553,2216,291,857,382,686
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",2022,434,1588,225,703,243,417
"00700 Malmi   (Helsinki )",10771,3571,7200,1059,4139,1075,927
"00710 Pihlajamäki   (Helsinki )",10198,3487,6711,945,3754,998,1014
"00720 Pukinmäki-Savela   (Helsinki )",7093,2121,4972,747,2648,811,766
"00730 Tapanila   (Helsinki )",8674,2029,6645,853,3226,1172,1394
"00740 Siltamäki   (Helsinki )",7967,2333,5634,948,3057,883,746
"00750 Puistola   (Helsinki )",7272,2134,5138,751,2728,823,836
"00760 Suurmetsä   (Helsinki )",5840,1338,4502,587,2325,707,883
"00770 Jakomäki - Alppikylä   (Helsinki )",5186,2279,2907,445,1999,270,193
"00780 Tapaninvainio   (Helsinki )",5715,1453,4262,538,2145,691,888
"00790 Viikki   (Helsinki )",7746,1635,6111,1315,2033,1214,1549
"00800 Länsi-Herttoniemi   (Helsinki )",6044,1744,4300,743,1798,711,1048
"00810 Herttoniemi   (Helsinki )",9062,2228,6834,1040,3027,1224,1543
"00820 Roihuvuori   (Helsinki )",6095,1959,4136,688,1995,665,788
"00830 Tammisalo   (Helsinki )",1776,301,1475,220,440,236,579
"00840 Laajasalo   (Helsinki )",6697,1440,5257,721,2213,879,1444
"00850 Jollas   (Helsinki )",2295,392,1903,291,675,272,665
"00860 Santahamina   (Helsinki )",316,26,290,24,127,45,94
"00870 Etelä-Laajasalo   (Helsinki )",3853,1275,2578,437,1274,358,509
"00880 Roihupellon teollisuusalue   (Helsinki )",361,75,286,40,120,67,59
"00890 Itäsalmi   (Helsinki )",1402,269,1133,147,494,161,331
"00900 Puotinharju   (Helsinki )",3495,1261,2234,390,1181,327,336
"00910 Puotila   (Helsinki )",5191,1712,3479,555,1811,536,577
"00920 Myllypuro   (Helsinki )",8924,3153,5771,739,3247,805,980
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5450,1812,3638,577,1751,517,793
"00940 Kontula - Vesala   (Helsinki )",20301,8299,12002,1803,7470,1466,1263
"00950 Vartioharju   (Helsinki )",4307,974,3333,444,1607,479,803
"00960 Pohjois-Vuosaari   (Helsinki )",5658,1793,3865,531,2281,534,519
"00970 Mellunmäki   (Helsinki )",8750,3043,5707,784,3637,697,589
"00980 Etelä-Vuosaari   (Helsinki )",17378,5831,11547,1569,6450,1727,1801
"00990 Aurinkolahti   (Helsinki )",6118,1367,4751,621,2160,841,1129
"01120 Västerskog   (Sipoo )",1008,272,736,82,403,117,134
"01150 Söderkulla   (Sipoo )",3364,832,2532,263,1280,499,490
"01180 Kalkkiranta   (Porvoo )",373,94,279,26,158,49,46
"01190 Box   (Sipoo )",768,222,546,57,335,82,72
"01200 Hakunila   (Vantaa )",9286,3673,5613,648,3794,670,501
"01230 Vaarala   (Vantaa )",2310,614,1696,223,965,272,236
"01260 Itä-Hakkila   (Vantaa )",3570,929,2641,280,1593,381,387
"01280 Länsimäki   (Vantaa )",7492,2519,4973,568,3155,721,529
"01300 Tikkurila   (Vantaa )",14803,4316,10487,1365,5945,1798,1379
"01340 Leinelä   (Vantaa )",435,104,331,47,204,47,33
"01350 Hiekkaharju   (Vantaa )",7294,2061,5233,677,3145,797,614
"01360 Koivukylä-Havukoski   (Vantaa )",9950,3574,6376,855,4010,915,596
"01370 Jokiniemi   (Vantaa )",4653,1211,3442,684,1833,545,380
"01380 Kuusikko-Hakkila   (Vantaa )",1444,345,1099,112,640,179,168
"01390 Ruskeasanta-Ilola   (Vantaa )",6542,1536,5006,631,2903,855,617
"01400 Rekola   (Vantaa )",6009,1735,4274,433,2615,650,576
"01420 Päiväkumpu   (Vantaa )",2293,593,1700,182,1002,252,264
"01450 Korso   (Vantaa )",14198,4445,9753,1133,6116,1494,1010
"01480 Mikkola   (Vantaa )",4959,1678,3281,388,2106,462,325
"01490 Nikinmäki   (Sipoo )",2677,599,2078,211,1167,361,339
"01510 Kirkonkylä-Veromäki   (Vantaa )",4403,1214,3189,417,1740,655,377
"01520 Tammisto   (Vantaa )",5488,894,4594,553,1953,1062,1026
"01530 Veromiehenkylä   (Vantaa )",459,181,278,43,175,41,19
"01600 Myyrmäki   (Vantaa )",13226,4097,9129,1302,5079,1504,1244
"01610 Kaivoksela   (Vantaa )",3447,972,2475,324,1372,410,369
"01620 Martinlaakso   (Vantaa )",9624,3065,6559,864,3784,1061,850
"01630 Hämeenkylä   (Vantaa )",1605,296,1309,154,649,262,244
"01640 Hämevaara   (Vantaa )",2167,520,1647,184,834,296,333
"01650 Vapaala   (Vantaa )",3292,822,2470,345,1279,383,463
"01660 Varisto   (Vantaa )",1875,553,1322,167,737,220,198
"01670 Vantaanlaakso   (Vantaa )",2132,460,1672,156,852,350,314
"01680 Askisto   (Vantaa )",1481,381,1100,141,596,180,183
"01690 Ylästö   (Vantaa )",3116,524,2592,267,1160,551,614
