"Postal code area","Inhabitants, total, 2015 (HE)","Females, 2015 (HE)","Males, 2015 (HE)","Average age of inhabitants, 2015 (HE)","0-2 years, 2015 (HE)","3-6 years, 2015 (HE)","7-12 years, 2015 (HE)","13-15 years, 2015 (HE)","16-17 years, 2015 (HE)","18-19 years, 2015 (HE)","20-24 years, 2015 (HE)","25-29 years, 2015 (HE)","30-34 years, 2015 (HE)","35-39 years, 2015 (HE)","40-44 years, 2015 (HE)","45-49 years, 2015 (HE)","50-54 years, 2015 (HE)","55-59 years, 2015 (HE)","60-64 years, 2015 (HE)","65-69 years, 2015 (HE)","70-74 years, 2015 (HE)","75-79 years, 2015 (HE)","80-84 years, 2015 (HE)","85 years or over, 2015 (HE)"
"21490 Marttila   (Marttila )",1108,588,520,46,30,57,60,32,25,19,35,43,70,69,57,71,72,80,77,86,77,48,47,53
"21500 Piikkiö   (Kaarina )",7185,3589,3596,40,246,429,635,290,187,133,212,271,450,571,519,560,522,448,425,466,321,193,171,136
"21510 Hevonpää   (Paimio )",475,227,248,39,21,34,40,17,10,4,11,24,36,35,39,30,29,31,45,27,17,8,10,7
"21520 Naskarla   (Paimio )",9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21530 Paimio Keskus   (Paimio )",8383,4309,4074,41,313,464,605,282,194,183,355,396,590,566,532,546,503,516,543,654,425,269,216,231
"21540 Preitilä   (Paimio )",1348,662,686,39,43,79,133,50,36,45,35,31,63,102,88,103,122,142,99,88,44,21,12,12
"21555 Taatila   (Paimio )",317,146,171,43,16,14,25,7,7,3,3,12,23,27,22,22,28,17,27,23,13,12,9,7
"21560 Ollila   (Marttila )",514,228,286,45,9,27,32,21,17,14,12,21,15,37,31,35,35,41,42,45,37,19,6,18
"21570 Sauvo Keskus   (Sauvo )",2541,1275,1266,44,76,116,195,92,61,39,70,100,137,137,173,186,194,187,213,204,124,88,72,77
"21590 Karuna   (Sauvo )",449,211,238,47,12,18,20,13,5,3,11,13,24,19,27,44,47,35,54,45,29,12,7,11
"21600 Parainen Keskus   (Parainen )",10718,5490,5228,44,292,513,775,368,272,249,417,386,524,638,700,732,749,724,773,887,554,481,327,357
"21610 Kirjala   (Parainen )",1119,546,573,40,28,69,97,61,29,20,36,47,59,66,90,95,79,76,77,75,49,36,13,17
"21620 Kuusisto   (Kaarina )",2112,1073,1039,39,69,117,237,99,62,49,34,54,105,163,213,199,126,107,114,146,103,55,34,26
"21630 Lielahti   (Parainen )",573,281,292,41,16,20,54,36,18,15,17,12,26,33,50,53,50,44,31,39,31,12,8,8
"21650 Lillandet   (Parainen )",445,216,229,50,15,14,16,12,10,5,8,8,20,19,10,34,43,48,67,47,27,13,17,12
"21660 Nauvo Keskus   (Parainen )",740,385,355,47,24,26,39,16,16,16,35,31,27,38,46,48,52,44,72,75,56,25,26,28
"21670 Mattnäs-Nötö   (Parainen )",206,98,108,50,2,5,9,5,7,5,5,3,11,12,11,11,15,16,23,25,17,13,8,3
"21680 Nötö   (Parainen )",9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21710 Korppoo Keskus-Utö   (Parainen )",649,330,319,50,14,17,30,26,9,13,21,30,19,27,28,39,44,70,60,73,46,38,17,28
"21720 Korpoström   (Parainen )",22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"21740 Utö   (Parainen )",41,18,23,49,0,3,3,0,0,0,0,0,2,2,0,3,8,7,4,6,2,0,0,1
"21750 Norrskata   (Parainen )",102,47,55,57,2,3,2,0,0,0,5,2,2,4,3,6,5,9,13,21,7,7,7,4
"21760 Houtskär Keskus   (Parainen )",403,183,220,52,6,13,17,8,4,4,16,20,14,16,12,22,32,32,40,46,33,19,24,25
"21770 Mossala   (Parainen )",124,57,67,44,1,5,9,8,7,4,1,2,4,8,15,6,10,3,11,7,14,6,1,2
"21800 Kyrö   (Pöytyä )",2505,1246,1259,41,97,146,182,94,63,42,152,129,149,141,127,165,154,154,169,182,115,85,72,87
"21820 Kumila   (Pöytyä )",357,172,185,43,17,20,35,9,4,2,10,16,13,35,25,18,27,16,25,23,25,10,14,13
"21840 Karinainen   (Pöytyä )",365,178,187,34,18,33,42,18,17,9,20,25,19,16,21,24,22,16,19,17,13,5,4,7
"21860 Auvainen   (Pöytyä )",420,196,224,40,15,24,43,15,18,10,13,15,18,26,24,39,25,31,25,27,14,10,13,15
"21870 Riihikoski   (Pöytyä )",1949,965,984,42,72,119,136,62,37,44,73,82,124,140,101,123,157,132,149,135,90,61,51,61
"21880 Pöytyä   (Pöytyä )",402,189,213,50,12,12,16,12,7,11,10,12,14,23,22,24,34,41,25,36,31,18,15,27
"21890 Haveri   (Pöytyä )",270,124,146,44,3,15,22,13,10,5,11,7,15,10,14,27,20,17,22,12,16,13,3,15
"21900 Yläne Keskus   (Pöytyä )",1524,762,762,47,45,68,99,50,34,22,45,60,73,73,79,92,110,94,116,132,101,92,57,82
"21930 Uusikartano   (Pöytyä )",539,248,291,46,10,19,34,20,8,9,16,17,35,31,19,40,50,50,61,45,32,24,10,9
"22100 Maarianhamina   (Maarianhamina )",11467,5955,5512,43,294,424,663,326,256,290,728,809,705,674,689,784,769,725,838,809,614,436,322,312
"22120 Möckelö   (Jomala )",817,395,422,37,40,51,81,23,17,19,33,36,60,68,68,62,63,48,56,36,19,14,16,7
"22130 Gottby   (Jomala )",850,433,417,38,32,53,87,35,24,14,16,34,53,64,75,73,52,57,59,52,35,18,8,9
"22140 Önningby   (Jomala )",1158,547,611,35,58,86,124,46,30,17,46,48,75,129,122,73,72,71,51,45,36,18,7,4
"22150 Jomala Centrum   (Jomala )",1768,865,903,40,65,94,127,58,40,30,96,118,131,109,107,134,128,106,107,109,83,53,38,35
"22160 Järsö   (Lemland )",330,160,170,42,13,14,24,10,11,11,5,12,17,21,24,31,18,18,31,27,25,9,7,2
"22220 Emkarby   (Finström )",406,199,207,41,15,24,21,17,9,7,19,19,29,25,37,32,34,22,30,21,20,13,7,5
"22240 Hammarland   (Hammarland )",1501,733,768,42,46,71,117,48,39,27,67,73,89,96,112,111,100,100,100,109,74,40,43,39
"22270 Storby   (Eckerö )",920,435,485,46,21,37,50,31,13,16,36,49,54,47,54,58,74,84,70,73,61,31,23,38
"22310 Pålsböle   (Finström )",507,243,264,44,12,16,45,16,13,7,17,23,26,26,28,47,41,39,40,33,27,23,11,17
"22320 Ödkarby   (Saltvik )",823,402,421,43,21,24,66,32,21,16,45,44,49,37,51,60,65,59,52,63,38,26,29,25
"22330 Tjudö   (Finström )",300,153,147,44,7,15,17,10,5,8,17,11,21,17,13,24,23,23,19,22,11,12,15,10
"22340 Geta   (Geta )",494,243,251,45,14,23,29,14,11,5,18,28,32,29,26,27,43,45,34,25,34,21,16,20
"22410 Godby   (Finström )",1558,793,765,40,58,90,121,52,41,31,71,97,98,88,108,105,100,88,105,104,79,65,25,32
"22430 Saltvik   (Saltvik )",697,359,338,44,27,35,46,23,8,10,29,21,33,57,45,39,43,53,60,50,43,24,27,24
"22520 Tosarby   (Sund )",496,237,259,45,11,15,38,11,12,11,28,18,16,27,35,44,33,45,40,45,30,13,17,7
"22530 Sund   (Sund )",526,267,259,44,19,21,44,12,12,9,15,26,22,32,47,31,42,37,30,46,29,24,13,15
"22550 Vårdö   (Vårdö )",414,209,205,47,11,10,26,18,9,4,25,23,7,26,19,29,32,24,28,37,25,22,26,13
"22610 Lemland   (Lemland )",1492,740,752,39,63,70,116,65,51,28,68,75,100,89,104,137,107,99,87,82,60,39,24,28
"22630 Lumparland   (Lumparland )",409,190,219,45,10,18,28,12,18,6,14,10,16,20,25,32,30,34,31,30,24,25,15,11
"22710 Ålands Degerby   (Föglö )",540,259,281,48,13,12,26,28,10,12,23,25,22,21,33,35,29,36,50,54,36,24,21,30
"22720 Sottunga   (Sottunga )",94,43,51,56,1,0,1,2,0,3,5,4,3,1,0,9,5,15,12,6,10,5,4,8
"22730 Kökar   (Kökar )",246,112,134,50,3,5,12,10,8,5,7,11,7,3,9,26,22,16,19,30,23,11,12,7
"22810 Seglinge   (Kumlinge )",34,20,14,50,0,2,2,0,0,1,5,0,0,1,0,3,4,1,1,4,3,4,3,0
"22820 Kumlinge   (Kumlinge )",191,86,105,53,0,4,5,3,3,3,8,18,7,7,8,5,19,24,19,9,9,13,10,17
"22830 Enklinge   (Kumlinge )",75,35,40,47,3,3,2,4,3,0,2,2,3,4,5,1,6,6,11,8,4,5,2,1
"22840 Lappo   (Brändö )",72,28,44,53,0,0,5,1,2,3,0,3,0,3,5,3,11,3,9,7,7,5,1,4
"22910 Torsholma   (Brändö )",89,40,49,42,3,1,9,4,4,2,7,6,0,5,2,12,6,1,4,8,6,5,2,2
"22920 Brändö-Åland   (Brändö )",157,77,80,54,1,3,3,0,2,1,6,9,7,4,9,5,16,23,13,19,16,4,5,11
"22930 Fiskö   (Brändö )",33,18,15,57,0,0,0,1,1,0,2,1,1,0,0,5,0,3,6,5,4,1,0,3
"22940 Åva   (Brändö )",84,32,52,48,1,5,5,1,1,2,4,1,5,4,6,4,5,7,7,7,8,4,7,0
"22950 Jurmo   (Brändö )",43,20,23,50,0,0,4,2,0,0,2,1,1,0,4,3,2,12,4,1,3,1,1,2
"23100 Mynämäki Keskus   (Mynämäki )",6201,3128,3073,44,152,247,424,224,175,141,258,220,351,329,356,440,490,432,441,489,357,250,204,221
"23120 Mietoinen Keskus   (Mynämäki )",896,440,456,44,31,46,47,24,27,23,27,38,48,60,44,51,75,73,95,78,49,27,12,21
"23140 Hietamäki   (Mynämäki )",671,324,347,44,16,30,45,27,18,14,20,28,39,35,31,53,59,62,54,48,32,32,16,12
"23200 Vinkkilä   (Vehmaa )",1566,788,778,47,39,56,97,48,36,28,60,68,57,87,80,92,107,143,135,138,97,72,65,61
"23210 Vehmaa   (Vehmaa )",559,271,288,47,21,16,24,20,12,12,18,18,18,40,35,40,52,37,45,49,30,25,24,23
"23260 Rautila   (Vehmaa )",188,100,88,45,7,8,6,8,3,5,8,7,9,12,7,16,14,22,18,15,6,7,6,4
"23310 Taivassalo   (Taivassalo )",1623,794,829,49,49,66,89,33,23,13,40,65,89,81,55,91,128,130,160,160,109,86,68,88
"23360 Kustavi   (Kustavi )",885,430,455,53,10,23,32,15,17,17,26,35,27,23,38,42,75,92,95,114,84,46,28,46
"23390 Iniö   (Parainen )",222,110,112,53,5,5,8,5,6,1,6,11,4,9,11,14,16,14,22,29,21,12,7,16
"23450 Lokalahti   (Uusikaupunki )",966,478,488,45,33,48,61,24,18,15,32,30,53,56,41,60,75,90,93,86,52,43,37,19
"23500 Uusikaupunki Keskus   (Uusikaupunki )",11241,5657,5584,46,278,384,616,297,219,230,601,573,562,564,609,660,827,816,952,1083,721,555,353,341
"23600 Kalanti Keskus   (Uusikaupunki )",2238,1092,1146,44,85,107,158,61,54,33,98,100,110,140,131,141,166,139,187,191,124,78,59,76
"23660 Kalanti Asemanseutu   (Uusikaupunki )",401,203,198,40,13,23,40,16,5,9,20,17,27,26,23,27,21,31,22,35,16,11,10,9
"23800 Laitila Keskus   (Laitila )",8091,4097,3994,43,272,384,550,283,178,166,351,407,453,469,467,511,555,567,584,584,434,352,259,265
"23840 Soukainen   (Laitila )",173,90,83,46,6,12,8,2,2,3,3,7,11,14,7,10,8,21,17,16,10,8,5,3
"23880 Suontaka   (Laitila )",102,46,56,45,2,5,7,4,3,0,3,2,8,5,5,6,9,12,9,10,4,1,4,3
"23930 Pyhämaa   (Uusikaupunki )",531,251,280,52,8,10,22,14,12,16,12,7,10,25,27,31,56,48,61,55,43,34,21,19
"23950 Pyhäranta   (Pyhäranta )",530,255,275,47,10,13,35,20,15,15,23,18,21,22,27,47,38,37,37,42,42,29,23,16
"23960 Santtio   (Pyhäranta )",246,127,119,47,6,11,13,11,6,3,6,8,10,8,17,12,26,9,28,32,13,10,11,6
"24100 Salo Keskus   (Salo )",9094,4977,4117,48,211,264,351,228,166,223,590,474,483,431,444,543,501,612,692,870,614,584,426,387
"24130 Ylhäisi   (Salo )",3910,1983,1927,41,125,228,321,150,81,89,159,153,234,280,246,292,279,242,239,263,168,134,94,133
"24240 Rappula   (Salo )",3997,2093,1904,48,76,115,182,131,89,107,221,189,177,187,200,272,244,263,284,329,257,212,194,268
"24260 Ollikkala   (Salo )",4449,2280,2169,44,130,171,211,101,82,79,244,267,282,259,231,323,325,360,412,382,255,174,98,63
"24280 Tupuri-Hähkänä   (Salo )",5200,2604,2596,36,162,321,530,270,157,121,214,233,330,455,414,457,408,310,298,250,125,83,32,30
"24800 Halikko Keskus   (Salo )",4611,2396,2215,44,85,164,319,188,120,124,205,190,226,253,318,359,330,298,372,325,259,210,126,140
"24910 Halikko Asemanseutu   (Salo )",1112,542,570,36,41,95,132,55,27,15,16,36,61,109,99,98,67,49,40,72,50,30,10,10
"25110 Kruusila   (Salo )",348,161,187,46,12,14,16,10,10,7,13,11,13,21,22,19,34,36,32,28,16,15,11,8
"25130 Muurla   (Salo )",1540,741,799,42,46,67,146,53,32,39,44,76,73,110,96,105,139,103,104,106,75,54,39,33
"25160 Tuohittu   (Salo )",109,53,56,47,4,5,3,1,3,1,4,6,9,6,4,7,11,5,15,8,2,6,5,4
"25170 Kotalato   (Salo )",140,66,74,45,1,4,16,4,1,2,6,6,11,8,6,8,7,9,11,15,12,4,2,7
"25180 Romsila   (Salo )",245,120,125,43,5,16,19,6,9,1,8,7,18,14,15,17,27,16,20,19,7,12,7,2
"25190 Inkere   (Salo )",1018,490,528,39,33,62,87,51,29,14,33,36,62,77,73,84,79,68,82,61,39,22,14,12
"25210 Vartsala   (Salo )",417,201,216,39,16,27,44,18,8,8,7,13,15,41,32,39,29,25,26,33,16,10,4,6
"25230 Angelniemi   (Salo )",368,185,183,47,4,14,22,12,15,9,9,10,9,15,25,31,34,30,34,30,20,29,8,8
"25240 Hajala   (Salo )",660,311,349,45,16,27,49,17,15,18,18,18,21,41,39,55,61,55,47,62,42,27,19,13
"25250 Märynummi   (Salo )",1032,520,512,41,38,49,80,44,25,26,42,39,57,66,76,85,58,89,89,69,46,22,18,14
"25260 Vaskio   (Salo )",1054,524,530,42,41,58,74,40,24,17,43,32,62,65,73,86,80,58,77,79,45,39,28,33
"25320 Raatala   (Salo )",433,201,232,45,8,19,26,15,11,9,25,17,11,27,28,32,44,28,32,30,24,19,16,12
"25330 Kuusjoki Keskus   (Salo )",814,391,423,45,28,44,46,19,13,14,34,49,44,54,35,43,44,81,70,72,39,18,36,31
"25340 Kanunki   (Salo )",404,188,216,45,11,13,35,11,7,14,12,11,21,22,22,27,47,17,38,34,27,12,13,10
"25360 Pertteli Keskus   (Salo )",1234,624,610,40,39,54,111,65,38,30,39,59,72,72,93,89,90,74,82,64,60,46,32,25
"25370 Hiisi   (Salo )",687,323,364,41,19,40,68,30,21,11,18,30,35,40,51,44,51,40,64,44,35,19,14,13
"25380 Rekijoki   (Salo )",487,244,243,48,12,16,31,7,8,7,20,14,21,21,19,35,43,40,55,55,32,25,11,15
"25390 Kiikala Keskus   (Salo )",828,395,433,47,19,33,56,28,19,15,24,20,41,41,46,55,54,63,69,67,67,41,40,30
"25410 Suomusjärvi Keskus   (Salo )",1144,581,563,49,16,36,67,40,25,22,45,31,55,53,55,81,86,90,101,97,75,48,50,71
"25420 Lahnajärvi   (Salo )",146,74,72,48,2,4,10,7,4,0,1,4,6,10,9,9,14,20,8,10,10,8,7,3
"25430 Kettula   (Salo )",67,31,36,53,0,0,0,5,2,1,2,0,2,3,4,5,4,9,10,6,6,5,3,0
"25460 Toija   (Salo )",1208,569,639,46,25,45,79,48,23,31,43,46,51,54,76,80,89,100,73,112,75,60,49,49
"25470 Kisko kk   (Salo )",288,133,155,51,7,9,18,6,6,4,4,8,8,16,16,10,17,21,24,51,31,12,10,10
"25500 Perniö Keskus   (Salo )",3462,1781,1681,47,89,140,248,106,99,70,92,124,162,187,208,191,211,251,256,325,211,185,136,171
"25520 Perniö Asemanseutu   (Salo )",648,326,322,46,12,18,47,21,15,15,27,22,36,31,35,31,61,59,64,69,34,16,20,15
"25540 Knaapila   (Salo )",215,108,107,45,7,10,13,9,2,6,8,10,5,15,9,15,10,19,21,22,13,9,6,6
"25550 Aijala   (Salo )",92,43,49,50,0,2,7,5,0,1,2,0,2,6,9,4,6,11,9,11,7,7,3,0
"25560 Koski Asemanseutu   (Salo )",222,98,124,45,4,10,17,5,2,4,7,6,12,15,15,14,23,23,20,17,12,5,7,4
"25570 Teijo-Mathildedal   (Salo )",571,291,280,50,8,14,32,17,11,8,16,13,11,31,32,41,50,49,63,61,44,36,18,16
"25610 Ylönkylä   (Salo )",413,193,220,44,7,17,26,19,13,7,23,15,14,23,23,36,43,26,33,31,27,15,9,6
"25630 Finby   (Salo )",295,150,145,50,5,13,13,10,4,8,6,6,13,12,13,20,23,24,19,32,29,15,16,14
"25640 Förby   (Salo )",253,124,129,50,7,5,10,6,6,5,8,7,10,15,14,19,15,17,21,40,8,12,12,16
"25650 Strömma   (Kemiönsaari )",109,51,58,49,4,6,1,0,1,2,8,4,4,5,7,2,8,10,18,10,8,3,3,5
"25660 Mathildedal   (Salo )",134,63,71,51,1,7,4,5,0,0,1,4,7,6,6,7,16,11,11,21,16,6,2,3
"25700 Kemiö Keskus   (Kemiönsaari )",2357,1210,1147,46,77,92,153,80,48,36,113,99,107,127,119,165,141,155,185,202,142,105,108,103
"25710 Vreta-Vestlax   (Kemiönsaari )",323,151,172,42,9,12,35,11,4,9,9,19,16,18,24,21,24,25,28,15,18,10,9,7
"25730 Mjösund   (Kemiönsaari )",103,53,50,46,3,5,5,3,3,2,2,2,4,3,11,12,5,11,7,11,7,3,3,1
"25760 Kiila   (Kemiönsaari )",136,63,73,49,3,10,9,3,1,3,2,6,4,8,7,3,8,9,15,13,13,6,4,9
"25810 Mark   (Kemiönsaari )",60,24,36,52,0,0,1,2,3,1,2,2,2,1,3,6,7,11,3,6,1,2,3,4
"25820 Vestlax   (Kemiönsaari )",103,47,56,43,4,4,6,2,3,3,7,5,6,5,1,14,5,8,7,11,2,3,3,4
"25830 Västanfjärd Keskus   (Kemiönsaari )",472,227,245,50,9,14,24,16,10,6,16,9,24,20,21,28,40,39,46,56,24,25,13,32
"25840 Nivelax   (Kemiönsaari )",282,136,146,44,9,15,24,12,3,2,13,12,19,17,8,18,18,25,16,17,19,19,12,4
"25860 Björkboda   (Kemiönsaari )",330,168,162,47,10,5,14,14,10,4,14,6,18,21,16,22,34,29,29,38,17,11,9,9
"25870 Dragsfjärd   (Kemiönsaari )",930,470,460,51,13,25,42,21,21,23,39,27,34,29,39,78,75,61,78,81,72,63,44,65
"25900 Taalintehdas   (Kemiönsaari )",1385,682,703,52,14,28,62,32,26,24,63,26,50,70,73,78,69,102,140,194,120,84,63,67
"25910 Vänoxa   (Kemiönsaari )",11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",75,41,34,49,2,3,4,3,1,1,0,1,3,3,6,9,4,6,6,7,8,3,3,2
"25940 Hiittinen   (Kemiönsaari )",67,31,36,56,1,4,2,1,0,0,3,1,3,6,0,2,2,3,5,10,6,3,7,8
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",115,52,63,52,0,4,6,2,3,2,2,2,4,3,6,13,5,12,12,17,11,4,3,4
"25960 Högsåra   (Kemiönsaari )",44,25,19,56,1,0,4,0,0,1,1,1,1,3,2,1,3,1,3,7,3,6,0,6
"26100 Rauma Keskus   (Rauma )",16046,8458,7588,45,407,542,722,355,268,339,1461,1107,941,876,765,804,1002,1002,1107,1206,952,780,676,734
"26200 Merirauma-Kappelinluhta   (Rauma )",5051,2513,2538,43,151,238,313,164,111,106,169,216,323,316,273,379,382,434,431,410,239,184,127,85
"26410 Kaaro   (Rauma )",1602,788,814,36,65,122,206,46,41,42,40,56,106,155,129,133,103,89,95,67,38,28,22,19
"26510 Uotila   (Rauma )",2670,1308,1362,43,74,121,190,100,77,79,117,111,138,143,148,214,204,178,181,211,168,119,53,44
"26560 Kolla   (Rauma )",721,351,370,42,24,42,54,20,21,14,20,33,48,52,40,40,48,68,63,53,31,25,14,11
"26660 Paroalho   (Rauma )",4964,2510,2454,44,140,184,268,129,111,115,321,270,258,282,261,328,343,328,433,446,288,232,133,94
"26720 Monnanummi   (Rauma )",389,195,194,40,8,27,39,20,14,6,10,11,12,33,42,32,29,23,17,18,6,9,7,26
"26740 Vasarainen   (Rauma )",537,257,280,41,17,20,39,21,17,13,19,23,40,29,34,43,50,37,54,35,17,10,11,8
"26820 Sampaanala   (Rauma )",1554,723,831,43,31,55,76,42,32,47,91,114,88,102,113,84,101,118,141,122,97,44,36,20
"26840 Kortela   (Rauma )",813,381,432,42,22,32,65,35,16,25,23,39,35,66,54,69,44,53,65,75,31,34,17,13
"26910 Unaja   (Rauma )",690,342,348,40,13,47,78,31,15,13,18,24,31,54,50,56,53,49,35,55,23,18,12,15
"26930 Vermuntila   (Rauma )",612,274,338,42,23,36,39,23,11,14,16,34,40,33,26,55,49,37,49,39,33,24,19,12
"26950 Voiluoto   (Rauma )",382,174,208,43,9,17,19,12,13,13,14,16,21,25,18,40,33,33,28,34,16,11,5,5
"27100 Eurajoki Keskus   (Eurajoki )",3372,1719,1653,43,107,162,256,132,71,72,128,144,190,213,214,218,209,179,231,285,169,168,97,127
"27110 Irjanne   (Eurajoki )",576,279,297,41,16,28,52,14,9,14,21,22,49,38,41,41,51,30,46,34,28,23,11,8
"27130 Eurajoki asemanseutu   (Eurajoki )",332,156,176,43,9,17,25,9,2,9,13,11,17,28,27,20,16,28,27,31,19,16,4,4
"27150 Lapijoki   (Eurajoki )",1270,617,653,42,41,78,88,48,29,22,44,48,83,100,68,66,76,101,124,112,69,45,14,14
"27160 Olkiluoto   (Eurajoki )",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"27170 Kuivalahti   (Eurajoki )",348,171,177,48,3,16,18,12,6,10,11,9,9,17,20,24,43,28,36,23,22,20,13,8
"27220 Ala-Kieri   (Rauma )",635,297,338,42,24,33,52,23,15,9,12,21,48,41,39,45,48,42,46,53,31,31,12,10
"27230 Lappi   (Rauma )",2080,1045,1035,44,73,101,150,70,39,46,67,82,139,128,110,121,150,138,146,165,97,89,85,84
"27250 Kodiksami   (Rauma )",147,67,80,45,2,5,11,9,9,4,2,2,4,7,14,8,14,7,9,14,7,10,5,4
"27260 Kuolimaa   (Rauma )",189,88,101,48,2,3,15,11,5,4,4,5,5,10,13,14,15,12,16,11,16,7,11,10
"27310 Kodisjoki   (Rauma )",534,265,269,42,16,44,38,18,17,9,12,18,24,38,37,33,35,30,55,49,18,17,14,12
"27320 Ihode   (Pyhäranta )",764,380,384,43,28,42,45,34,28,14,27,36,41,38,43,62,50,46,62,57,31,37,25,18
"27340 Reila   (Pyhäranta )",491,227,264,46,13,24,30,12,5,6,13,14,29,32,23,26,39,57,54,47,28,14,16,9
"27400 Kiukainen Keskus   (Eura )",1365,675,690,45,37,52,98,43,36,28,61,41,66,71,78,97,116,99,101,99,69,54,60,59
"27420 Panelia Asemanseutu   (Eura )",267,130,137,47,6,11,19,6,3,5,6,7,13,10,28,18,20,28,20,26,12,10,10,9
"27430 Panelia   (Eura )",1223,596,627,46,33,57,78,38,26,21,43,53,61,71,63,89,73,71,100,137,78,60,29,42
"27450 Harola   (Eura )",216,100,116,45,9,8,10,5,6,4,12,10,12,10,9,14,14,17,15,30,12,6,6,7
"27500 Kauttua   (Eura )",3255,1617,1638,41,114,161,251,103,76,75,151,186,209,185,192,216,234,204,223,238,156,140,77,64
"27510 Eura Keskus   (Eura )",4225,2162,2063,46,111,172,273,150,91,94,183,181,214,203,216,265,284,279,334,372,248,198,159,198
"27600 Hinnerjoki   (Eura )",735,348,387,45,19,37,62,19,8,12,28,32,46,41,28,35,56,60,52,54,52,47,31,16
"27640 Honkilahti kk   (Eura )",308,144,164,46,12,5,19,11,7,6,18,13,20,9,13,14,22,26,22,31,14,26,8,12
"27650 Honkilahti   (Eura )",311,154,157,49,7,9,15,9,10,5,13,18,9,14,15,16,17,23,31,32,13,21,20,14
"27670 Mannila   (Eura )",179,91,88,47,6,8,12,7,3,7,4,3,7,10,10,11,13,10,12,19,9,10,8,10
"27710 Köyliö Keskus   (Säkylä )",1075,526,549,48,24,33,62,37,19,21,42,49,46,42,64,78,84,74,92,94,69,58,35,52
"27730 Tuiskula   (Säkylä )",202,105,97,45,6,6,7,8,4,7,14,10,7,4,10,18,17,19,20,21,10,4,3,7
"27740 Voitoinen   (Säkylä )",168,76,92,47,4,9,11,1,6,2,4,9,10,6,8,11,14,11,18,9,13,7,7,8
"27750 Yttilä   (Säkylä )",342,167,175,48,8,13,18,10,9,7,6,9,4,23,19,30,35,23,33,28,22,19,11,15
"27800 Säkylä Keskus   (Säkylä )",3176,1656,1520,47,75,127,207,97,76,58,130,125,127,162,156,208,213,266,251,304,204,145,134,111
"27820 Iso-Vimma   (Säkylä )",749,370,379,46,23,36,39,26,15,8,30,37,43,41,34,42,52,60,74,53,51,38,30,17
"27840 Kakkuri   (Säkylä )",461,228,233,48,15,7,21,10,8,16,17,26,24,11,13,42,46,27,35,58,32,15,20,18
"27860 Vuori   (Säkylä )",343,161,182,44,6,15,22,15,12,10,13,13,15,14,20,31,29,19,32,19,19,17,14,8
"27910 Huovinrinne   (Säkylä )",163,79,84,39,6,7,6,5,1,2,14,21,20,8,8,3,15,14,12,9,8,3,1,0
"27920 Otajoki   (Säkylä )",272,122,150,47,2,11,13,12,6,4,10,10,12,16,16,28,20,23,20,23,15,14,9,8
"28100 Pori Keskus   (Pori )",12557,7050,5507,49,177,208,279,125,134,325,1533,1102,710,465,417,545,663,689,875,1081,921,868,733,707
"28120 Käppärä-Isomäki   (Pori )",3669,1878,1791,43,78,93,213,117,75,108,326,264,226,187,212,239,262,252,235,226,169,170,108,109
"28130 Impola   (Pori )",6211,3328,2883,42,152,191,258,143,120,186,712,543,399,309,262,376,396,414,425,414,332,244,174,161
"28190 Pormestarinluoto   (Pori )",3796,1993,1803,47,107,122,196,86,59,88,245,228,209,191,157,215,230,257,258,372,222,190,162,202
"28200 Toejoki   (Pori )",4825,2438,2387,42,166,247,365,162,103,95,188,263,305,309,291,309,325,342,405,392,231,160,104,63
"28220 Ruosniemi   (Pori )",4939,2427,2512,37,221,288,445,204,120,114,222,283,389,360,328,358,318,305,257,306,184,117,74,46
"28240 Isojoenranta   (Pori )",745,346,399,43,25,38,57,18,12,17,26,38,42,50,57,48,49,37,55,59,38,43,17,19
"28260 Harjunpää   (Ulvila )",987,478,509,41,43,59,71,38,26,19,27,41,79,71,43,73,57,89,76,65,50,31,14,15
"28300 Kalaholma-Väinölä   (Pori )",2610,1315,1295,40,81,112,216,112,84,65,96,109,151,159,212,228,220,181,199,166,96,64,29,30
"28330 Koivistonluoto   (Pori )",2799,1435,1364,41,103,117,166,93,73,67,201,184,163,159,170,183,207,170,182,241,123,102,61,34
"28360 Vanhakoivisto   (Pori )",4378,2327,2051,46,107,157,240,138,94,104,223,249,240,209,226,256,282,283,324,368,280,232,197,169
"28370 Sampola   (Pori )",3139,1669,1470,50,66,96,108,68,42,54,165,173,155,138,127,168,187,213,265,315,270,201,159,169
"28400 Ulvila Keskus   (Ulvila )",5705,2942,2763,43,184,265,388,211,151,134,258,212,302,321,337,377,394,395,379,446,350,309,171,121
"28430 Kartano-Harmaalinna   (Pori )",1680,843,837,39,66,105,130,51,36,34,79,107,115,111,91,125,128,138,110,96,64,51,31,12
