"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"00990 Aurinkolahti   (Helsinki )",8398,5221,74.7,9.5,113
"01120 Västerskog   (Sipoo )",1424,857,79.6,6.6,108
"01150 Söderkulla   (Sipoo )",5746,3373,82.7,6.3,104
"01180 Kalkkiranta   (Porvoo )",466,263,82.5,3.1,111
"01190 Box   (Sipoo )",1020,597,83.1,4.6,102
"01200 Hakunila   (Vantaa )",11967,7400,66.1,16.0,142
"01230 Vaarala   (Vantaa )",2981,1969,80.7,7.5,87
"01260 Itä-Hakkila   (Vantaa )",4839,2914,81.0,5.7,102
"01280 Länsimäki   (Vantaa )",9620,6146,71.6,11.7,117
"01300 Tikkurila   (Vantaa )",19509,12677,75.4,9.0,102
"01340 Leinelä   (Vantaa )",1141,864,79.7,6.6,65
"01350 Hiekkaharju   (Vantaa )",10255,6715,74.4,10.4,103
"01360 Koivukylä-Havukoski   (Vantaa )",12578,8276,66.0,13.9,129
"01370 Jokiniemi   (Vantaa )",6562,4769,72.8,9.8,88
"01380 Kuusikko-Hakkila   (Vantaa )",1907,1132,80.4,7.6,108
"01390 Ruskeasanta-Ilola   (Vantaa )",9046,5796,80.7,5.9,92
"01400 Rekola   (Vantaa )",8595,5101,73.5,10.2,127
"01420 Päiväkumpu   (Vantaa )",3225,1942,79.9,6.7,106
"01450 Korso   (Vantaa )",18228,11575,74.4,10.0,110
"01480 Mikkola   (Vantaa )",6386,4133,72.7,11.0,111
"01490 Nikinmäki   (Sipoo )",4233,2524,85.1,5.1,96
"01510 Kirkonkylä-Veromäki   (Vantaa )",6359,4277,77.1,9.9,92
"01520 Tammisto   (Vantaa )",7835,5149,83.1,6.3,83
"01530 Veromiehenkylä   (Vantaa )",418,357,65.5,17.6,78
"01600 Myyrmäki   (Vantaa )",17170,10291,69.6,12.0,138
"01610 Kaivoksela   (Vantaa )",5150,3500,75.7,10.1,93
"01620 Martinlaakso   (Vantaa )",12106,7274,71.3,12.2,130
"01630 Hämeenkylä   (Vantaa )",2055,1251,82.4,5.3,97
"01640 Hämevaara   (Vantaa )",3395,2196,77.0,9.0,99
"01650 Vapaala   (Vantaa )",4124,2559,75.7,9.5,110
"01660 Varisto   (Vantaa )",2306,1358,72.6,11.3,133
"01670 Vantaanlaakso   (Vantaa )",2813,1724,84.3,5.7,92
"01680 Askisto   (Vantaa )",2087,1267,77.3,6.5,112
"01690 Ylästö   (Vantaa )",4787,2841,85.8,4.4,95
"01700 Kivistö   (Vantaa )",6944,4865,83.1,6.0,71
"01710 Pähkinärinne   (Vantaa )",5071,3200,72.9,11.9,115
"01720 Petikko   (Vantaa )",65,52,76.9,4.8,63
"01730 Vantaanpuisto   (Vantaa )",2586,1545,82.1,6.1,102
"01740 Tuupakan teollisuusalue   (Vantaa )",199,119,76.5,8.1,119
"01750 Keimola   (Vantaa )",868,539,78.7,8.2,102
"01760 Seutula   (Vantaa )",2096,1281,81.3,5.8,100
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0.0,0.0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",8238,4850,80.3,6.8,110
"01810 Luhtajoki   (Nurmijärvi )",701,408,83.6,5.0,103
"01820 Haikala   (Nurmijärvi )",3372,2017,83.4,4.9,99
"01830 Lepsämä   (Nurmijärvi )",2627,1481,82.7,4.9,113
"01840 Klaukkala   (Nurmijärvi )",4080,2454,84.2,4.9,96
"01860 Perttula   (Nurmijärvi )",2072,1190,79.8,6.6,115
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8978,5121,78.1,6.8,122
"01940 Palojoki   (Nurmijärvi )",760,419,85.4,3.8,110
"02100 Tapiola   (Espoo )",5052,3060,75.8,7.4,114
"02110 Otsolahti   (Espoo )",2790,1811,77.7,6.0,96
"02120 Länsikorkee-Suvikumpu   (Espoo )",2810,1785,78.8,5.9,97
"02130 Pohjois-Tapiola   (Espoo )",6286,3674,79.4,5.5,112
"02140 Laajalahti   (Espoo )",3786,2244,77.5,7.1,116
"02150 Otaniemi   (Espoo )",3720,3508,48.8,1.8,117
"02160 Westend   (Espoo )",3181,1786,77.9,4.1,125
"02170 Haukilahti   (Espoo )",5649,3189,76.8,7.4,127
"02180 Mankkaa   (Espoo )",6846,3944,80.8,5.2,113
"02200 Niittykumpu   (Espoo )",8465,5328,80.3,6.2,96
"02210 Olari   (Espoo )",11238,6694,73.9,9.1,123
"02230 Matinkylä   (Espoo )",21597,13946,72.6,10.1,111
"02240 Friisilä   (Espoo )",2301,1339,81.3,5.6,110
"02250 Henttaa   (Espoo )",4025,2738,75.0,10.8,94
"02260 Kaitaa   (Espoo )",3729,2298,76.0,8.1,112
"02270 Finnoo-Eestinmalmi   (Espoo )",2217,1309,79.4,6.6,111
"02280 Malminmäki-Eestinlaakso   (Espoo )",4455,2875,77.2,8.5,100
"02290 Puolarmetsän sairaala   (Espoo )",6,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2585,1552,82.3,5.7,101
"02320 Espoonlahti   (Espoo )",16246,9522,71.1,11.2,137
"02330 Saunalahti-Kattilalaakso   (Espoo )",9579,5916,78.9,7.4,104
"02340 Latokaski   (Espoo )",4971,2957,82.4,5.2,102
"02360 Soukka   (Espoo )",9773,5736,72.8,10.7,131
"02380 Suvisaaristo   (Espoo )",673,361,77.6,4.4,136
"02390 Sarvvik   (Kirkkonummi )",502,389,83.5,4.1,53
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12420,7209,75.3,8.6,126
"02410 Gesterby   (Kirkkonummi )",2051,1309,62.7,19.2,147
