"Postialue","Inhabitants, total, 2017","Inhabitants aged 18-64, 2017","Employment rate %, 2017","Unemployment rate %, 2017","Economic dependency ratio, 2017"
"10660 Trollböle   (Raasepori )",851,521,73.3,12.2,120
"10680 Skogby   (Raasepori )",206,119,76.5,7.1,122
"10710 Snappertuna   (Raasepori )",361,208,78.4,6.3,120
"10820 Lappohja   (Hanko )",548,277,65.0,14.3,198
"10900 Hanko Keskus   (Hanko )",4054,2128,67.8,12.9,178
"10940 Hangonkylä   (Hanko )",2030,1090,80.4,6.6,130
"10960 Hanko Pohjoinen   (Hanko )",1793,952,74.9,10.5,149
"11100 Riihimäki Keskus   (Riihimäki )",6610,3879,68.5,11.6,146
"11120 Pohjois-Riihimäki   (Riihimäki )",6972,4083,74.2,8.6,128
"11130 Peltosaari-Patastenmäki   (Riihimäki )",9600,5808,70.9,10.3,131
"11310 Taka-Kasarmi   (Riihimäki )",760,449,75.9,8.6,121
"11710 Herajoki   (Riihimäki )",3092,1801,74.5,9.1,128
"11910 Lasi-Kumela   (Janakkala )",2445,1470,71.1,11.8,132
"12100 Oitti   (Hausjärvi )",2634,1410,68.9,10.7,168
"12130 Mommila   (Hausjärvi )",311,176,73.9,8.5,130
"12170 Hietoinen   (Hausjärvi )",210,111,75.7,9.7,150
"12210 Hausjärvi kk   (Hausjärvi )",234,124,79.8,1.0,132
"12240 Hikiä   (Hausjärvi )",1658,1007,76.7,7.8,112
"12310 Ryttylä   (Hausjärvi )",1824,1080,72.9,6.8,128
"12350 Turkhauta   (Hausjärvi )",434,277,79.4,4.3,93
"12380 Leppäkoski   (Janakkala )",526,305,76.7,9.3,124
"12400 Tervakoski   (Janakkala )",4642,2540,75.1,8.6,141
"12450 Vähikkälä   (Janakkala )",275,152,77.6,9.9,129
"12520 Kormu   (Loppi )",478,238,83.6,4.8,136
"12540 Launonen   (Loppi )",1584,913,78.1,6.6,121
"12600 Läyliäinen   (Loppi )",1832,1029,78.6,5.3,124
"12630 Sajaniemi   (Loppi )",286,148,76.4,4.2,153
"12640 Joentaka   (Loppi )",309,201,78.1,6.0,96
"12700 Loppi kk   (Loppi )",2305,1128,71.8,7.6,179
"12750 Pilpala   (Loppi )",524,278,74.1,9.3,153
"12820 Räyskälä   (Loppi )",52,32,62.5,20.0,160
"12920 Topeno   (Loppi )",360,211,71.1,8.5,135
"12950 Vojakkala-Eerolankulma   (Loppi )",164,85,75.3,5.9,156
"13100 Hämeenlinna Keskus   (Hämeenlinna )",11154,6485,67.7,11.6,151
"13110 Kantola   (Hämeenlinna )",190,133,59.4,15.1,138
"13130 Kauriala   (Hämeenlinna )",6073,3617,68.1,12.4,143
"13200 Keinusaari   (Hämeenlinna )",1475,794,67.8,14.5,170
"13210 Hätilä   (Hämeenlinna )",8152,4609,70.2,12.9,149
"13220 Sairio   (Hämeenlinna )",1779,999,75.2,8.3,134
"13250 Katuma   (Hämeenlinna )",982,645,53.0,26.0,184
"13270 Ruununmylly   (Hämeenlinna )",1716,1011,84.1,4.4,100
"13300 Käikälä   (Hämeenlinna )",2850,1707,83.4,6.0,98
"13330 Harviala   (Janakkala )",823,452,83.8,5.5,116
"13430 Hattelmala   (Hämeenlinna )",1180,694,77.7,7.9,117
"13500 Jukola   (Hämeenlinna )",11824,7001,72.1,11.3,132
"13530 Hämeenlinna sairaala-alue   (Hämeenlinna )",1,..,..,..,..
"13600 Ojoinen   (Hämeenlinna )",3730,2193,66.8,14.0,152
"13700 Parolannummi   (Hattula )",410,238,74.4,9.2,129
"13720 Parola   (Hattula )",4527,2581,76.5,7.8,128
"13800 Katinala   (Hattula )",1343,724,75.6,8.5,142
"13880 Rahkoila   (Hattula )",1224,694,82.0,6.1,113
"13900 Pekola   (Hattula )",896,470,78.1,6.6,140
"14140 Jokimaa   (Janakkala )",205,110,71.8,11.2,156
"14200 Turenki   (Janakkala )",8728,4887,72.1,10.4,146
"14240 Väli-Janakkala   (Janakkala )",873,531,77.8,7.8,109
"14300 Renko kk   (Hämeenlinna )",2258,1255,72.6,11.7,145
"14430 Vuohiniemi   (Hattula )",66,42,61.9,23.5,154
"14450 Rimmilä   (Hämeenlinna )",132,78,66.7,16.1,144
"14500 Iittala   (Hämeenlinna )",3278,1782,74.4,10.5,145
"14530 Leteensuo   (Hattula )",228,152,80.3,5.4,85
"14610 Lepaa   (Hattula )",402,252,67.5,7.6,137
"14620 Tyrväntö   (Hattula )",156,87,73.6,15.8,144
"14680 Alvettula   (Hämeenlinna )",585,309,73.5,10.3,151
"14690 Torvoila   (Hämeenlinna )",175,88,64.8,12.3,197
"14700 Hauho kk   (Hämeenlinna )",1911,957,64.7,15.7,200
"14770 Eteläinen   (Hämeenlinna )",946,526,76.8,9.4,132
"14810 Pohjoinen   (Hämeenlinna )",304,179,67.6,16.6,149
"14820 Syrjäntaka   (Hämeenlinna )",817,439,71.8,11.3,155
"14840 Sairiala   (Hämeenlinna )",226,115,69.6,15.8,172
"14870 Juttila   (Hämeenlinna )",222,115,65.2,14.8,196
"14930 Sappee   (Hämeenlinna )",104,53,69.8,14.0,181
"14960 Puutikkala   (Pälkäne )",74,29,55.2,23.8,335
"14980 Kuohijoki   (Pälkäne )",44,24,87.5,4.5,110
"15100 Lahti Asemanseutu   (Lahti )",6357,3964,65.0,17.1,144
"15110 Keski-Lahti   (Lahti )",5020,3245,62.7,17.5,144
"15140 Kartano-Paavola   (Lahti )",15326,8916,63.0,16.5,169
"15150 Möysä   (Lahti )",4264,2583,64.1,18.5,154
"15160 Kolava   (Lahti )",2486,1362,86.3,6.2,111
"15170 Tenava-Tonttila   (Lahti )",3834,2254,61.4,21.3,175
"15200 Kiveriö   (Lahti )",3487,2251,58.4,20.7,163
"15210 Kivistönmäki   (Lahti )",4376,2697,62.1,18.5,159
"15230 Kytölä   (Lahti )",2783,1603,77.9,9.0,120
"15240 Mukkula   (Lahti )",7880,4212,60.1,21.0,207
"15270 Kukkila   (Hollola )",1817,1019,79.6,7.8,123
"15300 Myllypohja-Koiskala   (Lahti )",4002,2448,69.8,15.6,132
"15320 Ahtiala   (Lahti )",2995,1733,74.0,11.2,131
"15340 Kunnas-Hiekkanummi   (Lahti )",2779,1622,79.0,10.1,115
"15460 Mäkelä   (Lahti )",573,322,78.0,8.4,126
"15500 Liipola   (Lahti )",5014,2859,49.1,33.3,251
"15520 Saksala   (Lahti )",2199,1251,68.7,16.2,154
"15540 Villähde   (Lahti )",4471,2554,78.9,8.1,120
"15550 Rakokivi   (Lahti )",3603,2003,67.7,13.6,162
"15560 Nastola kk   (Lahti )",4083,2235,66.8,15.4,170
"15580 Ruuhijärvi   (Lahti )",226,144,74.3,13.7,106
"15610 Laune-Nikkilä   (Lahti )",5329,3059,75.6,10.9,129
"15680 Renkomäki-Ämmälä   (Lahti )",3260,1877,81.4,8.4,112
"15700 Hennala-Jokimaa   (Hollola )",6855,4189,68.4,15.3,137
"15800 Kärpänen   (Lahti )",3422,2206,62.8,19.1,145
"15810 Kasakkamäki   (Lahti )",1379,791,75.2,12.0,130
"15820 Okeroinen   (Hollola )",1089,591,77.0,11.0,136
"15830 Metsäkangas   (Lahti )",3797,2173,67.3,15.3,157
"15840 Riihelä   (Lahti )",2040,1221,72.3,13.6,129
"15850 Likolampi   (Lahti )",625,411,60.1,21.3,147
"15860 Kartano   (Hollola )",3492,1978,72.6,12.6,141
"15870 Salpakangas   (Hollola )",4134,2051,69.0,13.0,188
"15880 Soramäki   (Hollola )",4751,2646,75.6,9.6,135
"15900 Jalkaranta   (Lahti )",1693,877,75.1,9.0,153
"15950 Kiikkula   (Lahti )",3860,2110,70.2,14.3,155
"15980 Messilä   (Hollola )",0,0,0.0,0.0,0
"16100 Uusikylä   (Lahti )",1366,785,68.3,15.7,153
"16160 Okkeri   (Lahti )",100,64,67.2,17.3,133
"16200 Artjärvi Keskus   (Orimattila )",659,357,66.1,16.3,177
"16230 Artjärvi Kirkonkylä   (Orimattila )",329,158,71.5,13.1,186
"16260 Hietana   (Orimattila )",171,93,67.7,12.5,167
"16270 Villikkala   (Orimattila )",135,74,68.9,20.3,160
"16280 Kuivanto   (Orimattila )",589,348,73.9,14.6,127
"16300 Orimattila Keskus   (Orimattila )",10563,5736,71.3,12.8,155
"16310 Virenoja   (Orimattila )",648,351,73.8,11.3,147
"16320 Pennala   (Orimattila )",1142,655,82.0,6.8,112
"16330 Heinämaa   (Orimattila )",348,196,78.1,10.0,123
"16350 Niinikoski   (Orimattila )",321,189,72.0,9.9,134
"16390 Pakaa   (Orimattila )",282,182,73.1,8.9,109
"16450 Mallusjoki   (Orimattila )",447,241,72.6,8.9,151
"16500 Herrala   (Hollola )",899,518,77.0,8.7,121
"16510 Luhtikylä   (Orimattila )",440,258,76.7,7.0,120
"16540 Mertie   (Kärkölä )",289,174,78.2,8.1,111
"16600 Järvelä   (Kärkölä )",2902,1618,70.2,13.7,153
"16610 Kärkölä kk   (Kärkölä )",706,382,78.5,7.1,134
"16630 Tennilä   (Hollola )",334,176,79.5,7.3,135
"16670 Lappila   (Kärkölä )",608,351,67.2,14.2,152
"16710 Hollola kk   (Hollola )",1005,563,78.3,7.5,127
"16730 Kutajärvi   (Hollola )",1001,567,75.8,10.4,131
"16790 Manskivi   (Hollola )",107,58,77.6,8.2,138
"16800 Hämeenkoski   (Hollola )",2042,1089,71.3,12.7,160
"16900 Lammi kk   (Hämeenlinna )",4737,2408,70.2,12.8,176
"16960 Iso-Evo   (Hämeenlinna )",158,76,75.0,10.9,163
"16970 Evo   (Hämeenlinna )",78,59,50.8,9.1,144
"17110 Sipilä   (Hollola )",1150,637,77.9,6.9,130
"17120 Paimela   (Hollola )",568,320,77.5,9.5,128
"17130 Vesivehmaa   (Asikkala )",811,480,78.3,8.3,115
"17150 Urajärvi   (Asikkala )",363,198,71.2,11.3,144
"17200 Vääksy Keskus   (Asikkala )",5276,2609,68.0,12.9,192
"17220 Pietilä   (Asikkala )",167,83,67.5,12.5,198
"17240 Kalkkinen   (Asikkala )",391,194,60.8,15.7,221
"17320 Asikkala   (Asikkala )",338,174,69.5,11.7,175
"17410 Viitaila   (Asikkala )",250,134,67.2,15.9,175
"17430 Kurhila   (Asikkala )",285,168,74.4,10.7,126
"17440 Vähimaa   (Asikkala )",55,26,65.4,19.0,224
"17450 Iso-Äiniö-Vähimaa   (Asikkala )",209,124,72.6,8.2,122
"17470 Maakeski   (Padasjoki )",281,142,73.2,8.8,168
"17500 Padasjoki Keskus   (Padasjoki )",1796,844,65.4,14.0,218
"17510 Nyystölä   (Padasjoki )",254,132,66.7,10.2,182
"17530 Arrakoski   (Padasjoki )",223,106,71.7,13.6,182
"17610 Auttoinen   (Padasjoki )",258,139,71.2,13.9,155
"17630 Vesijako   (Padasjoki )",111,62,58.1,23.4,200
"17710 Torittu   (Padasjoki )",67,31,64.5,13.0,219
"17740 Kasiniemi-Torittu   (Padasjoki )",50,21,57.1,20.0,317
"17780 Harmoinen   (Kuhmoinen )",71,36,69.4,13.8,163
"17800 Kuhmoinen Keskus   (Kuhmoinen )",1768,793,67.1,13.2,225
"17840 Harjunsalmi   (Kuhmoinen )",76,36,61.1,24.1,246
"17850 Pihlajakoski   (Kuhmoinen )",66,32,68.8,8.3,200
"17870 Ruolahti   (Kuhmoinen )",60,32,68.8,12.0,173
"17930 Päijälä   (Kuhmoinen )",78,40,57.5,23.3,239
"17950 Kylämä   (Kuhmoinen )",28,..,..,..,..
"17970 Puukkoinen   (Kuhmoinen )",34,19,68.4,13.3,162
"18100 Heinola Keskus   (Heinola )",6900,3361,65.8,13.4,207
"18120 Reumasairaala-alue   (Heinola )",905,503,66.6,13.0,167
"18130 Tommola-Sahanniemi   (Heinola )",1814,1013,56.7,21.9,214
"18150 Jyränkö   (Heinola )",2335,1302,68.1,15.6,159
"18200 Kaakonlampi-Pyhätön   (Heinola )",2021,1139,62.9,19.2,179
"18300 Heinola kk   (Heinola )",2737,1495,71.4,12.0,152
"18600 Myllyoja   (Heinola )",810,478,75.7,11.1,122
"19110 Vierumäki taajama   (Heinola )",642,395,73.7,10.7,115
"19120 Vierumäki urheiluopisto   (Heinola )",136,110,68.2,5.1,79
"19160 Huutotöyry   (Iitti )",492,273,64.8,16.9,170
"19210 Lusi   (Heinola )",482,261,67.8,13.2,169
"19230 Onkiniemi   (Sysmä )",115,65,66.2,12.2,161
"19250 Syrjäkoski   (Heinola )",49,24,66.7,20.0,206
"19260 Paaso-Syrjäkoski   (Heinola )",117,51,74.5,13.6,185
"19310 Karilanmaa   (Sysmä )",80,42,76.2,8.6,150
"19320 Nikkaroinen   (Sysmä )",95,56,69.6,7.1,144
"19370 Nuoramoinen   (Sysmä )",396,213,70.9,9.6,161
"19410 Kuortti   (Pertunmaa )",441,250,70.8,11.9,146
"19420 Mansikkamäki   (Pertunmaa )",152,92,71.7,13.2,127
"19430 Pertunmaa Keskus   (Pertunmaa )",748,335,66.6,12.9,228
"19460 Ruorasmäki   (Pertunmaa )",104,50,60.0,21.1,236
"19470 Lihavanpää-Hartosenpää   (Pertunmaa )",158,83,60.2,12.3,210
"19480 Hartosenpää   (Pertunmaa )",77,36,69.4,13.8,208
"19510 Lepsala   (Hartola )",36,21,57.1,20.0,200
"19540 Koitti-Lepsala   (Hartola )",284,157,68.8,11.5,158
"19600 Hartola Keskus   (Hartola )",2065,1024,66.4,14.2,199
"19610 Murakka   (Hartola )",84,47,61.7,14.7,190
"19620 Pohela   (Hartola )",177,86,72.1,10.1,181
"19630 Kalhonkylä   (Hartola )",79,46,87.0,4.8,98
"19650 Joutsa Keskus   (Joutsa )",3313,1606,66.6,15.3,203
"19670 Mieskonmäki   (Joutsa )",150,87,77.0,8.2,121
"19700 Sysmä Keskus   (Sysmä )",2845,1315,63.1,13.2,232
"19730 Särkilampi   (Sysmä )",29,..,..,..,..
"19740 Liikola   (Sysmä )",118,56,69.6,9.3,203
"19770 Valittula   (Sysmä )",138,82,68.3,15.2,142
"19850 Putkijärvi-Siltasuo   (Hartola )",83,45,75.6,5.6,137
"19910 Tammijärvi   (Luhanka )",425,212,71.2,8.5,172
"19920 Pappinen   (Joutsa )",155,88,73.9,14.5,139
"19950 Luhanka   (Luhanka )",298,121,66.9,15.6,259
"20100 Turku Keskus   (Turku )",26578,18725,70.9,10.9,98
"20200 Iso-Heikkilä   (Turku )",2204,1511,67.3,14.7,116
"20210 Pahaniemi   (Turku )",4204,2553,59.7,22.5,172
"20240 Pansio-Perno   (Turku )",5105,3306,55.5,24.7,175
"20250 Pitkämäki-Muhkuri   (Turku )",761,452,78.8,7.0,109
"20300 Pohjola-Kastu   (Turku )",6851,4364,74.9,9.9,108
"20320 Kuninkoja-Mälikkälä   (Turku )",16854,9703,74.0,11.6,132
"20360 Kärsämäki-Urusvuori-Halinen   (Turku )",10975,6345,62.3,18.8,174
"20380 Räntämäki-Saramäki   (Turku )",2852,1841,63.5,11.1,141
"20400 Moisio   (Turku )",3446,2011,81.4,6.9,110
"20460 Jäkärlä   (Turku )",3517,2154,69.4,14.7,133
"20500 Vesilinna   (Turku )",6609,5139,63.7,8.8,100
"20520 Kupittaa   (Turku )",3631,2721,67.2,9.1,97
"20540 Nummi-Ylioppilaskylä   (Turku )",20801,14619,61.2,13.5,131
"20610 Varissuo   (Turku )",13345,7729,55.2,24.3,208
"20660 Littoinen   (Kaarina )",7324,4357,81.2,6.0,105
"20700 Vartiovuori-Samppalinna   (Turku )",5855,3822,68.8,9.6,121
"20720 Vasaramäki   (Turku )",6229,3544,68.5,11.7,153
"20730 Skanssi   (Turku )",86,57,78.9,2.2,91
"20740 Ilpoinen-Harittu   (Turku )",9489,5984,66.1,15.1,137
"20750 Huhkola-Lauste-Vaala   (Turku )",5031,3021,58.9,22.7,181
"20760 Piispanristi   (Kaarina )",4408,2633,78.0,7.7,112
"20780 Kaarina Keskus   (Kaarina )",11978,6653,73.7,9.3,141
"20800 Ammattikorkeakoulu   (Turku )",0,0,0.0,0.0,0
"20810 Martti-Korppolaismäki   (Turku )",16881,11313,71.1,11.8,108
"20880 Uittamo   (Turku )",4030,2171,73.9,10.4,147
"20900 Moikoinen-Pikisaari   (Turku )",9869,5658,77.6,8.0,122
"20960 Kakskerta   (Turku )",1401,752,74.1,8.2,147
"21100 Naantali Keskus   (Naantali )",6927,3650,71.8,9.9,160
"21110 Taimo-Nuhjala-Lietsala   (Naantali )",7646,4558,77.1,8.0,115
"21120 Viherjäinen   (Raisio )",1947,1246,80.7,6.3,93
"21130 Poikko   (Naantali )",567,341,81.5,2.8,102
"21140 Rymättylä Keskus   (Naantali )",1287,702,73.2,10.3,148
"21150 Röölä   (Naantali )",301,159,76.7,6.9,143
"21160 Merimasku   (Naantali )",1714,1028,80.4,6.3,105
"21180 Livonsaari   (Naantali )",224,130,70.0,12.5,144
"21195 Velkua   (Naantali )",229,106,75.5,5.9,179
"21200 Raisio Keskus   (Raisio )",12059,6868,69.3,11.3,150
"21210 Hakinmäki   (Raisio )",2521,1664,75.7,8.1,99
"21220 Somersoja   (Raisio )",1363,801,72.4,9.7,131
"21230 Lemu   (Masku )",1845,1046,82.2,5.6,112
"21240 Askainen Keskus   (Masku )",878,494,76.1,9.4,132
"21250 Masku   (Masku )",6647,3821,82.0,5.5,110
"21260 Ihala   (Raisio )",3586,2168,79.9,6.1,105
"21270 Nousiainen   (Nousiainen )",4803,2738,80.1,6.3,117
"21280 Kuloinen   (Raisio )",2253,1311,81.2,6.2,110
"21290 Rusko   (Rusko )",4327,2459,81.2,6.2,114
"21310 Vahto   (Rusko )",1792,1048,82.8,5.3,103
"21330 Paattinen   (Turku )",1855,1043,76.8,8.8,129
"21340 Tortinmäki   (Turku )",507,307,74.9,10.2,120
"21350 Ilmarinen   (Lieto )",2024,1189,84.5,4.4,100
"21360 Lieto Asemanseutu   (Lieto )",1828,1064,79.6,6.7,113
"21370 Aura kk.   (Aura )",570,338,81.1,7.1,102
"21380 Aura Keskus   (Aura )",3412,1968,77.9,6.3,121
"21410 Vanhalinna   (Lieto )",2462,1470,85.0,4.5,95
"21420 Lieto Keskus   (Lieto )",7849,4258,77.2,6.8,137
"21430 Yliskulma   (Lieto )",829,486,78.8,5.7,114
"21450 Tarvasjoki Keskus   (Lieto )",1827,1002,78.7,8.3,127
"21480 Prunkila   (Marttila )",354,195,78.5,7.3,130
"21490 Marttila   (Marttila )",1107,594,73.2,6.0,149
"21500 Piikkiö   (Kaarina )",7284,4161,77.8,8.2,122
"21510 Hevonpää   (Paimio )",477,275,75.6,7.1,124
"21520 Naskarla   (Paimio )",5,..,..,..,..
"21530 Paimio Keskus   (Paimio )",8502,4744,76.3,6.5,133
"21540 Preitilä   (Paimio )",1298,785,82.7,4.1,99
"21555 Taatila   (Paimio )",332,190,82.6,6.5,109
"21560 Ollila   (Marttila )",492,270,72.2,6.7,149
"21570 Sauvo Keskus   (Sauvo )",2554,1398,76.8,6.8,134
"21590 Karuna   (Sauvo )",431,248,75.0,7.0,128
"21600 Parainen Keskus   (Parainen )",10622,5740,76.4,7.4,139
"21610 Kirjala   (Parainen )",1067,588,79.4,4.9,126
"21620 Kuusisto   (Kaarina )",2096,1161,82.4,5.6,117
"21630 Lielahti   (Parainen )",579,330,83.0,4.9,107
"21650 Lillandet   (Parainen )",428,240,78.8,3.6,117
"21660 Nauvo Keskus   (Parainen )",764,397,71.8,9.2,161
"21670 Mattnäs-Nötö   (Parainen )",200,112,75.0,5.6,138
"21680 Nötö   (Parainen )",10,..,..,..,..
"21710 Korppoo Keskus-Utö   (Parainen )",648,333,75.7,7.7,149
"21720 Korpoström   (Parainen )",22,..,..,..,..
"21740 Utö   (Parainen )",44,26,69.2,14.3,132
"21750 Norrskata   (Parainen )",89,37,54.1,13.0,305
"21760 Houtskär Keskus   (Parainen )",380,193,74.1,5.9,160
"21770 Mossala   (Parainen )",122,63,76.2,5.9,144
"21800 Kyrö   (Pöytyä )",2433,1319,74.9,9.4,144
"21820 Kumila   (Pöytyä )",354,189,76.2,8.3,141
"21840 Karinainen   (Pöytyä )",369,198,84.8,6.7,118
"21860 Auvainen   (Pöytyä )",405,222,82.0,3.2,120
"21870 Riihikoski   (Pöytyä )",1917,1069,75.7,9.6,134
"21880 Pöytyä   (Pöytyä )",394,203,79.8,6.4,142
"21890 Haveri   (Pöytyä )",265,144,76.4,9.8,141
"21900 Yläne Keskus   (Pöytyä )",1515,754,74.0,12.1,168
"21930 Uusikartano   (Pöytyä )",528,304,75.7,9.8,127
"22100 Maarianhamina   (Maarianhamina - Mariehamn )",11690,6975,81.2,4.5,101
"22120 Möckelö   (Jomala )",902,549,87.6,2.6,85
"22130 Gottby   (Jomala )",854,496,89.5,2.6,90
"22140 Önningby   (Jomala )",1177,710,89.3,2.2,84
"22150 Jomala Centrum   (Jomala )",1878,1133,86.5,3.4,88
"22160 Järsö   (Lemland )",364,213,82.6,3.3,105
"22220 Emkarby   (Finström )",389,241,85.9,1.9,82
"22240 Hammarland   (Hammarland )",1510,862,84.7,4.1,102
"22270 Storby   (Eckerö )",928,531,83.4,3.9,102
"22310 Pålsböle   (Finström )",529,307,83.4,3.8,98
"22320 Ödkarby   (Saltvik )",852,495,86.5,3.6,96
"22330 Tjudö   (Finström )",337,192,86.5,1.2,97
"22340 Geta   (Geta )",479,284,80.3,5.8,106
"22410 Godby   (Finström )",1554,886,83.0,4.4,108
"22430 Saltvik   (Saltvik )",714,381,85.0,2.1,111
"22520 Tosarby   (Sund )",503,302,86.4,3.3,88
"22530 Sund   (Sund )",518,283,84.5,5.9,110
"22550 Vårdö   (Vårdö )",408,200,88.0,2.8,124
"22610 Lemland   (Lemland )",1562,943,86.1,2.6,90
"22630 Lumparland   (Lumparland )",407,223,86.1,2.0,104
"22710 Ålands Degerby   (Föglö )",523,273,85.7,1.3,113
"22720 Sottunga   (Sottunga )",87,52,78.8,2.4,98
"22730 Kökar   (Kökar )",232,125,82.4,3.7,115
"22810 Seglinge   (Kumlinge )",33,16,75.0,7.7,154
"22820 Kumlinge   (Kumlinge )",192,114,80.7,5.2,100
"22830 Enklinge   (Kumlinge )",75,39,74.4,3.3,159
"22840 Lappo   (Brändö )",57,30,73.3,8.3,128
"22910 Torsholma   (Brändö )",86,48,93.8,0.0,91
"22920 Brändö-Åland   (Brändö )",151,80,81.3,5.8,122
"22930 Fiskö   (Brändö )",30,15,53.3,0.0,275
"22940 Åva   (Brändö )",89,44,81.8,0.0,134
"22950 Jurmo   (Brändö )",40,21,71.4,11.8,167
"23100 Mynämäki Keskus   (Mynämäki )",6190,3458,75.4,7.4,136
"23120 Mietoinen Keskus   (Mynämäki )",886,516,74.4,8.4,128
"23140 Hietamäki   (Mynämäki )",676,393,79.1,7.4,113
"23200 Vinkkilä   (Vehmaa )",1586,884,75.0,8.2,136
"23210 Vehmaa   (Vehmaa )",590,321,80.4,6.2,121
"23260 Rautila   (Vehmaa )",178,109,76.1,7.8,112
"23310 Taivassalo   (Taivassalo )",1640,853,75.7,8.8,149
"23360 Kustavi   (Kustavi )",903,465,69.9,12.4,171
"23390 Iniö   (Parainen )",205,99,74.7,7.5,166
"23450 Lokalahti   (Uusikaupunki )",970,530,75.5,5.9,141
"23500 Uusikaupunki Keskus   (Uusikaupunki )",11420,6498,76.9,7.1,126
"23600 Kalanti Keskus   (Uusikaupunki )",2220,1205,80.3,4.5,127
"23660 Kalanti Asemanseutu   (Uusikaupunki )",394,212,81.1,4.4,128
"23800 Laitila Keskus   (Laitila )",8069,4514,78.7,5.7,125
"23840 Soukainen   (Laitila )",259,140,78.6,1.8,136
"23880 Suontaka   (Laitila )",106,61,73.8,15.1,126
"23930 Pyhämaa   (Uusikaupunki )",535,288,70.1,10.2,156
"23950 Pyhäranta   (Pyhäranta )",542,293,76.8,6.3,136
"23960 Santtio   (Pyhäranta )",238,119,80.7,3.0,145
"24100 Salo Keskus   (Salo )",9017,4817,61.0,18.1,203
"24130 Ylhäisi   (Salo )",3771,2107,72.2,11.9,147
"24240 Rappula   (Salo )",3922,2072,62.2,19.1,201
"24260 Ollikkala   (Salo )",4367,2622,56.3,23.7,193
"24280 Tupuri-Hähkänä   (Salo )",5079,3116,77.5,10.1,109
"24800 Halikko Keskus   (Salo )",4639,2661,68.8,15.2,149
"24910 Halikko Asemanseutu   (Salo )",1142,610,81.8,5.7,128
"25110 Kruusila   (Salo )",350,214,67.8,17.6,138
"25130 Muurla   (Salo )",1497,852,72.8,11.9,140
"25160 Tuohittu   (Salo )",112,66,72.7,9.4,129
"25170 Kotalato   (Salo )",139,72,80.6,7.9,136
"25180 Romsila   (Salo )",251,149,73.2,15.5,130
"25190 Inkere   (Salo )",990,574,68.3,16.1,149
"25210 Vartsala   (Salo )",396,214,73.4,9.2,152
"25230 Angelniemi   (Salo )",351,197,67.5,18.4,160
"25240 Hajala   (Salo )",646,355,74.9,11.3,139
"25250 Märynummi   (Salo )",1009,608,76.2,11.1,117
"25260 Vaskio   (Salo )",1018,559,73.3,9.9,146
"25320 Raatala   (Salo )",414,243,72.8,10.6,133
"25330 Kuusjoki Keskus   (Salo )",814,451,69.2,15.7,160
"25340 Kanunki   (Salo )",394,218,75.7,8.8,133
"25360 Pertteli Keskus   (Salo )",1245,696,75.7,12.0,134
"25370 Hiisi   (Salo )",689,385,73.5,11.6,143
"25380 Rekijoki   (Salo )",462,252,67.5,17.1,166
"25390 Kiikala Keskus   (Salo )",783,406,60.8,16.3,211
"25410 Suomusjärvi Keskus   (Salo )",1145,601,66.7,14.9,180
"25420 Lahnajärvi   (Salo )",147,90,70.0,11.3,133
"25430 Kettula   (Salo )",65,38,65.8,16.7,160
"25460 Toija   (Salo )",1174,622,69.3,12.4,169
"25470 Kisko kk   (Salo )",279,125,71.2,12.7,210
"25500 Perniö Keskus   (Salo )",3391,1718,70.3,12.7,178
"25520 Perniö Asemanseutu   (Salo )",613,356,69.4,13.0,141
"25540 Knaapila   (Salo )",202,112,71.4,15.8,149
"25550 Aijala   (Salo )",95,46,63.0,25.6,217
"25560 Koski Asemanseutu   (Salo )",208,126,67.5,15.8,142
"25570 Teijo-Mathildedal   (Salo )",558,299,58.5,26.8,214
"25610 Ylönkylä   (Salo )",392,248,69.4,14.4,128
"25630 Finby   (Salo )",273,135,65.9,16.8,203
"25640 Förby   (Salo )",233,114,62.3,21.1,224
"25650 Strömma   (Kemiönsaari )",101,51,58.8,14.3,216
"25660 Mathildedal   (Salo )",131,59,62.7,19.6,236
"25700 Kemiö Keskus   (Kemiönsaari )",2332,1186,73.3,7.8,164
"25710 Vreta-Vestlax   (Kemiönsaari )",316,183,74.9,10.5,129
"25730 Mjösund   (Kemiönsaari )",99,58,70.7,10.9,136
"25760 Kiila   (Kemiönsaari )",132,64,68.8,8.3,181
"25810 Mark   (Kemiönsaari )",57,42,73.8,13.9,84
"25820 Vestlax   (Kemiönsaari )",102,57,70.2,9.1,143
"25830 Västanfjärd Keskus   (Kemiönsaari )",491,253,74.3,2.6,160
"25840 Nivelax   (Kemiönsaari )",261,142,77.5,10.6,137
"25860 Björkboda   (Kemiönsaari )",312,190,63.7,14.8,154
"25870 Dragsfjärd   (Kemiönsaari )",897,467,72.8,8.1,160
"25900 Taalintehdas   (Kemiönsaari )",1365,672,63.7,14.1,210
"25910 Vänoxa   (Kemiönsaari )",10,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",81,43,76.7,2.9,131
"25940 Hiittinen   (Kemiönsaari )",58,21,66.7,17.6,287
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",111,60,78.3,6.0,131
"25960 Högsåra   (Kemiönsaari )",45,19,68.4,0.0,246
"26100 Rauma Keskus   (Rauma )",16046,9269,68.3,11.6,152
"26200 Merirauma-Kappelinluhta   (Rauma )",5050,2958,74.8,9.2,125
