"Postal code area","Households, total, 2012 (TR)","Average income of households, 2012 (TR)","Median income of households, 2012 (TR)","Households belonging to the lowest income category, 2012 (TR)","Households belonging to the middle income category, 2012 (TR)","Households belonging to the highest income category, 2012 (TR)","Accumulated purchasing power of households, 2012 (TR)"
"Finland",2579781,37895,30766,657836,1454002,467943,97761156559
"00100 Helsinki Keskusta  (Helsinki)",9765,49839,35825,1836,4032,3897,486679728
"00120 Punavuori  (Helsinki)",3790,54641,37216,684,1510,1596,207090012
"00130 Kaartinkaupunki  (Helsinki)",798,75405,40654,131,278,389,60173526
"00140 Kaivopuisto  (Helsinki)",4354,73024,38378,801,1645,1908,317947868
"00150 Eira  (Helsinki)",5689,50770,31543,1171,2507,2011,288832170
"00160 Katajanokka  (Helsinki)",2325,58218,40203,333,1060,932,135356311
"00170 Kruununhaka  (Helsinki)",3898,53280,39070,659,1589,1650,207683964
"00180 Ruoholahti  (Helsinki)",6853,41494,33155,1274,3378,2201,284359854
"00190 Suomenlinna  (Helsinki)",313,44382,38791,40,185,88,13891600
"00200 Lauttasaari  (Helsinki)",8300,45393,33814,1474,3868,2958,376761010
"00210 Vattuniemi  (Helsinki)",3617,56911,43834,386,1531,1700,205848520
"00220 Jätkäsaari  (Helsinki)",377,22110,18314,199,154,24,8335419
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",2634,37706,31522,516,1496,622,99317617
"00250 Taka-Töölö  (Helsinki)",6729,40206,30112,1329,3326,2074,270543876
"00260 Keski-Töölö  (Helsinki)",3095,50368,34529,554,1319,1222,155888898
"00270 Pohjois-Meilahti  (Helsinki)",4469,37786,28917,952,2350,1167,168863695
"00280 Ruskeasuo  (Helsinki)",1539,37428,29062,320,803,416,57601581
"00290 Meilahden sairaala-alue  (Helsinki)",104,54574,35004,10,50,44,5675655
"00300 Pikku Huopalahti  (Helsinki)",2913,39764,33197,499,1680,734,115833814
"00310 Kivihaka  (Helsinki)",554,34316,27798,113,297,144,19010887
"00320 Etelä-Haaga  (Helsinki)",5863,34328,27400,1324,3127,1412,201267044
"00330 Munkkiniemi  (Helsinki)",4661,52761,35512,756,2100,1805,245918449
"00340 Kuusisaari-Lehtisaari  (Helsinki)",708,129917,63601,73,213,422,91981055
"00350 Munkkivuori-Niemenmäki  (Helsinki)",5122,37000,29216,1072,2796,1254,189516116
"00360 Pajamäki  (Helsinki)",1156,32830,28138,240,681,235,37950915
"00370 Reimarla  (Helsinki)",3147,41466,33194,576,1756,815,130494693
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",2178,38781,32989,430,1182,566,84465556
"00390 Konala  (Helsinki)",3124,39134,31895,585,1783,756,122253470
"00400 Pohjois-Haaga  (Helsinki)",5327,32141,26551,1344,3041,942,171216826
"00410 Malminkartano  (Helsinki)",4093,34356,29523,1042,2429,622,140617886
"00420 Kannelmäki  (Helsinki)",7430,32809,27026,1828,4492,1110,243773723
"00430 Maununneva  (Helsinki)",1891,57208,52781,227,866,798,108180544
"00440 Lassila  (Helsinki)",2462,34587,28222,598,1338,526,85153110
"00500 Sörnäinen  (Helsinki)",8905,28166,23793,2676,4716,1513,250817957
"00510 Etu-Vallila  (Helsinki)",5964,28296,24339,1711,3253,1000,168756555
"00520 Itä-Pasila  (Helsinki)",3676,33650,28570,898,1977,801,123696059
"00530 Kallio  (Helsinki)",12328,31855,26284,3142,6523,2663,392710724
"00540 Kalasatama  (Helsinki)",332,30188,25996,128,157,47,10022354
"00550 Vallila  (Helsinki)",5763,29110,24694,1745,3098,920,167762391
"00560 Toukola-Vanhakaupunki  (Helsinki)",6073,40295,32836,1390,3006,1677,244712629
"00570 Kulosaari  (Helsinki)",1898,69934,38984,324,768,806,132733953
"00580 Verkkosaari  (Helsinki)",860,45785,40437,78,472,310,39374786
"00590 Kaitalahti  (Helsinki)",132,80537,64506,6,51,75,10630930
"00600 Koskela-Helsinki  (Helsinki)",1998,33714,24852,600,1131,267,67359631
"00610 Käpylä  (Helsinki)",4190,36446,29883,836,2435,919,152708838
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",1453,46569,34767,242,741,470,67664199
"00630 Maunula-Suursuo  (Helsinki)",4420,32129,25134,1205,2544,671,142011479
"00640 Oulunkylä-Patola  (Helsinki)",4059,40102,31652,788,2271,1000,162774864
"00650 Veräjämäki  (Helsinki)",1986,45290,35959,317,1104,565,89945041
"00660 Länsi-Pakila  (Helsinki)",2583,66052,57270,197,1060,1326,170612464
"00670 Paloheinä  (Helsinki)",2189,69427,63415,118,852,1219,151974949
"00680 Itä-Pakila  (Helsinki)",1414,66928,57076,83,642,689,94635723
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",1038,54900,49584,90,569,379,56986513
"00700 Malmi  (Helsinki)",6846,34218,27899,1635,4079,1132,234259300
"00710 Pihlajamäki  (Helsinki)",6413,32509,27386,1576,3955,882,208480061
"00720 Pukinmäki-Savela  (Helsinki)",4473,34627,28930,1000,2670,803,154885819
"00730 Tapanila  (Helsinki)",5058,45173,38688,748,2862,1448,228484908
"00740 Siltamäki  (Helsinki)",4321,42380,36586,822,2514,985,183124854
"00750 Puistola  (Helsinki)",4249,39440,32603,954,2414,881,167580826
"00760 Suurmetsä  (Helsinki)",3007,54295,49809,339,1619,1049,163263707
"00770 Jakomäki  (Helsinki)",3094,29703,25036,957,1901,236,91899803
"00780 Tapaninvainio  (Helsinki)",3125,49074,41919,417,1655,1053,153356669
"00790 Viikki  (Helsinki)",4617,36902,31460,1105,2614,898,170376391
"00800 Länsi-Herttoniemi  (Helsinki)",4090,33102,25880,1111,2267,712,135387165
"00810 Herttoniemi  (Helsinki)",5726,39094,32149,1020,3248,1458,223853330
"00820 Roihuvuori  (Helsinki)",4105,30169,25922,1138,2455,512,123844329
"00830 Tammisalo  (Helsinki)",905,99075,59968,100,292,513,89662970
"00840 Laajasalo  (Helsinki)",4095,46236,37096,624,2160,1311,189336124
"00850 Jollas  (Helsinki)",1170,76167,58858,105,463,602,89115463
"00860 Santahamina  (Helsinki)",196,46248,44561,8,125,63,9064657
"00870 Etelä-Laajasalo  (Helsinki)",2409,37024,29196,583,1405,421,89190951
"00880 Roihupellon teollisuusalue  (Helsinki)",37,25570,23582,13,18,6,946073
"00890 Itäsalmi  (Helsinki)",672,93591,71542,46,259,367,62892864
"00900 Puotinharju  (Helsinki)",2268,30781,25217,650,1311,307,69811971
"00910 Puotila  (Helsinki)",3380,31537,26179,880,1968,532,106594405
"00920 Myllypuro  (Helsinki)",5396,36032,29625,1332,3122,942,194426308
"00930 Itäkeskus-Marjaniemi  (Helsinki)",3136,43609,30058,779,1625,732,136757551
"00940 Kontula  (Helsinki)",12641,31725,26749,3754,7554,1333,401033073
"00950 Vartioharju  (Helsinki)",2274,55342,48533,270,1118,886,125848026
"00960 Pohjois-Vuosaari  (Helsinki)",3652,35068,29253,790,2262,600,128067369
"00970 Mellunkylä  (Helsinki)",5448,33419,28143,1408,3278,762,182066182
"00980 Etelä-Vuosaari  (Helsinki)",10842,35089,28708,2780,6370,1692,380438301
"00990 Aurinkolahti  (Helsinki)",3771,43651,36706,506,2028,1237,164608829
