"Postal code area","Aged 18 or over, total, 2014 (HR)","Average income of inhabitants, 2014 (HR)","Median income of inhabitants, 2014 (HR)","Inhabintants belonging to the lowest income category, 2014 (HR)","Inhabitants belonging to the middle income category, 2014 (HR)","Inhabintants belonging to the highest income category, 2014 (HR)","Accumulated purchasing power of inhabitants, 2014 (HR)"
"Finland",4396261,23258,20509,879966,2637265,879030,102246930745
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15587,33414,25603,2833,6743,6011,520824331
"00120 Punavuori   (Helsinki )",6031,36785,26218,1112,2502,2417,221850307
"00130 Kaartinkaupunki   (Helsinki )",1294,51401,28110,257,450,587,66513044
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6712,52583,27597,1225,2532,2955,352940136
"00150 Eira - Hernesaari   (Helsinki )",8216,36873,24867,1490,3691,3035,302951655
"00160 Katajanokka   (Helsinki )",3742,37245,26668,600,1641,1501,139372113
"00170 Kruununhaka   (Helsinki )",6234,35320,27197,1082,2524,2628,220187426
"00180 Kamppi - Ruoholahti   (Helsinki )",11143,27990,24399,2068,5469,3606,311897559
"00190 Suomenlinna   (Helsinki )",592,26425,24664,103,299,190,15643382
"00200 Lauttasaari   (Helsinki )",12664,31358,25945,2041,5840,4783,397120282
"00210 Vattuniemi   (Helsinki )",6172,37320,29079,738,2613,2821,230338881
"00220 Jätkäsaari   (Helsinki )",2331,25370,22650,488,1191,652,59137350
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",4478,23971,22207,825,2599,1054,107343363
"00250 Taka-Töölö   (Helsinki )",9805,29376,24326,1672,4850,3283,288027753
"00260 Keski-Töölö   (Helsinki )",4822,33335,25436,772,2232,1818,160739372
"00270 Pohjois-Meilahti   (Helsinki )",6471,27037,23397,1116,3452,1903,174954029
"00280 Ruskeasuo   (Helsinki )",2568,25031,22252,557,1305,706,64280816
"00290 Meilahden sairaala-alue   (Helsinki )",138,37094,27090,15,69,54,5118999
"00300 Pikku Huopalahti   (Helsinki )",4642,25630,23616,772,2586,1284,118975515
"00310 Kivihaka   (Helsinki )",777,24884,23344,121,457,199,19334851
"00320 Etelä-Haaga   (Helsinki )",8459,25673,23136,1440,4673,2346,217166726
"00330 Munkkiniemi   (Helsinki )",7124,37485,26687,1078,3151,2895,267042909
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1319,66676,32384,258,365,696,87946283
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7788,25643,22890,1481,4133,2174,199707089
"00360 Pajamäki   (Helsinki )",1632,23379,22105,276,959,397,38153880
"00370 Reimarla   (Helsinki )",5260,24922,22826,917,2928,1415,131089324
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3596,25081,23192,551,2074,971,90192874
"00390 Konala   (Helsinki )",5064,25188,23441,784,2915,1365,127550662
"00400 Pohjois-Haaga   (Helsinki )",8223,22166,20504,1677,4861,1685,182271119
"00410 Malminkartano   (Helsinki )",6965,20648,19595,1750,4097,1118,143816433
