"Postal code area","Inhabitants, total, 2016 (HE)","Females, 2016 (HE)","Males, 2016 (HE)","Average age of inhabitants, 2016 (HE)","0-2 years, 2016 (HE)","3-6 years, 2016 (HE)","7-12 years, 2016 (HE)","13-15 years, 2016 (HE)","16-17 years, 2016 (HE)","18-19 years, 2016 (HE)","20-24 years, 2016 (HE)","25-29 years, 2016 (HE)","30-34 years, 2016 (HE)","35-39 years, 2016 (HE)","40-44 years, 2016 (HE)","45-49 years, 2016 (HE)","50-54 years, 2016 (HE)","55-59 years, 2016 (HE)","60-64 years, 2016 (HE)","65-69 years, 2016 (HE)","70-74 years, 2016 (HE)","75-79 years, 2016 (HE)","80-84 years, 2016 (HE)","85 years or over, 2016 (HE)"
"Finland",5503297,2790970,2712327,42,167342,244213,365936,175012,119402,120937,335040,347839,356563,346604,324746,339818,372735,365424,371711,375219,274915,211742,145222,142877
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",18035,9507,8528,40,456,508,679,256,201,240,1568,2580,1996,1504,1144,1049,1032,907,804,913,938,540,328,392
"00120 Punavuori   (Helsinki )",7055,3705,3350,40,211,227,298,114,89,98,521,868,768,650,474,444,409,367,369,361,338,206,131,112
"00130 Kaartinkaupunki   (Helsinki )",1522,783,739,40,32,54,66,29,19,29,115,168,161,119,98,125,91,89,73,101,75,42,23,13
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",7934,4276,3658,41,217,245,361,145,100,114,598,890,818,649,543,461,505,458,390,446,408,286,149,151
"00150 Eira - Hernesaari   (Helsinki )",9527,5119,4408,39,255,302,303,112,89,94,793,1370,1187,909,736,542,541,474,438,446,394,249,154,139
"00160 Katajanokka   (Helsinki )",4448,2356,2092,44,124,163,245,103,71,60,224,322,331,336,289,274,273,262,293,386,330,181,85,96
"00170 Kruununhaka   (Helsinki )",7427,4007,3420,40,229,263,309,136,87,112,535,846,781,616,539,466,459,420,389,390,374,225,119,132
"00180 Kamppi - Ruoholahti   (Helsinki )",13555,7086,6469,39,416,484,556,241,164,206,999,1742,1658,1280,865,796,875,751,653,655,545,318,208,143
"00190 Suomenlinna   (Helsinki )",748,379,369,37,28,52,77,26,14,15,21,25,45,62,70,53,94,46,41,31,24,12,8,4
