"Postal code area","Inhabitants, 2014 (PT)","Labour force, 2014 (PT)","Employed, 2014 (PT)","Unemployed, 2014 (PT)","Persons outside the labour force, 2014 (PT)","Children aged 0 to 14, 2014 (PT)","Students, 2014 (PT)","Pensioners, 2014 (PT)","Others, 2014 (PT)"
"00840 Laajasalo   (Helsinki )",8168,3880,3489,391,4288,1225,517,2289,257
"00850 Jollas   (Helsinki )",3152,1593,1461,132,1559,697,249,498,115
"00860 Santahamina   (Helsinki )",433,263,257,6,170,129,28,6,7
"00870 Etelä-Laajasalo   (Helsinki )",4837,2317,1975,342,2520,855,398,1051,216
"00880 Roihupellon teollisuusalue   (Helsinki )",624,402,355,47,222,77,46,74,25
"00890 Itäsalmi   (Helsinki )",2063,1036,977,59,1027,466,249,238,74
"00900 Puotinharju   (Helsinki )",4137,2086,1717,369,2051,490,278,1044,239
"00910 Puotila   (Helsinki )",6215,3162,2683,479,3053,838,433,1496,286
"00920 Myllypuro   (Helsinki )",11772,5578,4808,770,6194,1985,820,2823,566
"00930 Itäkeskus-Marjaniemi   (Helsinki )",6748,3155,2683,472,3593,1042,587,1558,406
"00940 Kontula - Vesala   (Helsinki )",25578,11769,9595,2174,13809,4208,2333,5774,1494
"00950 Vartioharju   (Helsinki )",5501,2859,2629,230,2642,978,415,1087,162
"00960 Pohjois-Vuosaari   (Helsinki )",6942,3546,3054,492,3396,1060,458,1597,281
"00970 Mellunmäki   (Helsinki )",10686,5295,4509,786,5391,1555,821,2478,537
"00980 Etelä-Vuosaari   (Helsinki )",22412,10497,8611,1886,11915,4217,1986,4458,1254
"00990 Aurinkolahti   (Helsinki )",7757,4243,3817,426,3514,1241,377,1581,315
"01120 Västerskog   (Sipoo )",1318,671,627,44,647,225,87,282,53
"01150 Söderkulla   (Sipoo )",4838,2443,2290,153,2395,1106,321,810,158
"01180 Kalkkiranta   (Porvoo )",480,233,219,14,247,94,35,106,12
"01190 Box   (Sipoo )",1026,541,506,35,485,187,75,206,17
"01200 Hakunila   (Vantaa )",11977,6086,5020,1066,5891,2271,895,2177,548
"01230 Vaarala   (Vantaa )",2906,1681,1528,153,1225,478,193,472,82
"01260 Itä-Hakkila   (Vantaa )",4749,2503,2305,198,2246,964,354,811,117
"01280 Länsimäki   (Vantaa )",9410,5073,4367,706,4337,1680,641,1628,388
"01300 Tikkurila   (Vantaa )",17977,9783,8749,1034,8194,2411,1146,4101,536
"01340 Leinelä   (Vantaa )",599,387,343,44,212,68,32,96,16
"01350 Hiekkaharju   (Vantaa )",9468,5205,4669,536,4263,1576,673,1703,311
"01360 Koivukylä-Havukoski   (Vantaa )",12191,6310,5312,998,5881,1863,1039,2434,545
"01370 Jokiniemi   (Vantaa )",5831,3522,3102,420,2309,1006,595,522,186
"01380 Kuusikko-Hakkila   (Vantaa )",1936,1030,960,70,906,411,155,288,52
"01390 Ruskeasanta-Ilola   (Vantaa )",8897,4993,4633,360,3904,1936,671,1071,226
"01400 Rekola   (Vantaa )",8168,4047,3569,478,4121,1657,632,1590,242
"01420 Päiväkumpu   (Vantaa )",3190,1649,1522,127,1541,699,279,461,102
"01450 Korso   (Vantaa )",18374,9870,8704,1166,8504,3454,1363,3029,658
"01480 Mikkola   (Vantaa )",6567,3398,2976,422,3169,1362,480,1049,278
"01490 Nikinmäki   (Sipoo )",3990,2103,1962,141,1887,1122,261,409,95
"01510 Kirkonkylä-Veromäki   (Vantaa )",6021,3649,3256,393,2372,1273,332,547,220
"01520 Tammisto   (Vantaa )",7853,4777,4429,348,3076,2009,451,432,184
"01530 Veromiehenkylä   (Vantaa )",565,386,336,50,179,64,35,32,48
"01600 Myyrmäki   (Vantaa )",16027,7835,6795,1040,8192,2292,996,4314,590
"01610 Kaivoksela   (Vantaa )",4318,2479,2211,268,1839,561,248,869,161
"01620 Martinlaakso   (Vantaa )",11836,5878,5108,770,5958,1862,800,2820,476
"01630 Hämeenkylä   (Vantaa )",2109,1137,1055,82,972,459,125,328,60
"01640 Hämevaara   (Vantaa )",2892,1555,1434,121,1337,512,176,551,98
"01650 Vapaala   (Vantaa )",4036,2144,1947,197,1892,617,254,873,148
"01660 Varisto   (Vantaa )",2363,1203,1066,137,1160,417,128,540,75
"01670 Vantaanlaakso   (Vantaa )",2747,1476,1392,84,1271,498,183,528,62
"01680 Askisto   (Vantaa )",2038,1067,969,98,971,440,161,306,64
"01690 Ylästö   (Vantaa )",4634,2472,2330,142,2162,1275,359,430,98
"01700 Kivistö   (Vantaa )",3419,1830,1716,114,1589,955,194,375,65
"01710 Pähkinärinne   (Vantaa )",4754,2596,2272,324,2158,718,301,977,162
"01720 Petikko   (Vantaa )",68,39,34,5,29,..,..,..,..
"01730 Vantaanpuisto   (Vantaa )",2410,1276,1181,95,1134,459,138,486,51
"01740 Tuupakan teollisuusalue   (Vantaa )",204,110,101,9,94,30,10,47,7
"01750 Keimola   (Vantaa )",864,452,420,32,412,187,62,132,31
"01760 Seutula   (Vantaa )",2137,1135,1054,81,1002,404,132,396,70
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",7607,3944,3628,316,3663,1521,495,1458,189
"01810 Luhtajoki   (Nurmijärvi )",735,378,357,21,357,179,52,104,22
"01820 Haikala   (Nurmijärvi )",3500,1864,1737,127,1636,874,276,420,66
"01830 Lepsämä   (Nurmijärvi )",2416,1211,1132,79,1205,590,185,372,58
"01840 Klaukkala   (Nurmijärvi )",4276,2278,2133,145,1998,1136,328,443,91
"01860 Perttula   (Nurmijärvi )",2132,1090,1015,75,1042,473,144,360,65
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8867,4304,3926,378,4563,1720,632,1983,228
"01940 Palojoki   (Nurmijärvi )",767,382,359,23,385,173,51,148,13
"02100 Tapiola   (Espoo )",4168,2083,1910,173,2085,485,257,1219,124
"02110 Otsolahti   (Espoo )",2696,1501,1391,110,1195,398,163,526,108
"02120 Länsikorkee-Suvikumpu   (Espoo )",2817,1536,1410,126,1281,379,176,636,90
"02130 Pohjois-Tapiola   (Espoo )",5928,3033,2819,214,2895,1108,448,1172,167
"02140 Laajalahti   (Espoo )",3710,1900,1740,160,1810,848,311,550,101
"02150 Otaniemi   (Espoo )",3774,1762,1701,61,2012,122,1461,98,331
