"Postal code area","Households, total, 2014 (TR)","Average income of households, 2014 (TR)","Median income of households, 2014 (TR)","Households belonging to the lowest income category, 2014 (TR)","Households belonging to the middle income category, 2014 (TR)","Households belonging to the highest income category, 2014 (TR)","Accumulated purchasing power of households, 2014 (TR)"
"Finland",2617780,38639,31413,666616,1477773,473391,101149337101
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",9874,52491,37564,1721,4096,4057,518293020
"00120 Punavuori   (Helsinki )",3819,58061,39400,609,1557,1653,221735541
"00130 Kaartinkaupunki   (Helsinki )",793,84010,43169,127,276,390,66620292
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",4353,81435,40260,751,1584,2018,354486100
"00150 Eira - Hernesaari   (Helsinki )",5629,53601,32396,1172,2418,2039,301718974
"00160 Katajanokka   (Helsinki )",2301,60758,41253,332,1002,967,139803037
"00170 Kruununhaka   (Helsinki )",3951,55893,40028,629,1610,1712,220834322
"00180 Kamppi - Ruoholahti   (Helsinki )",7196,43335,34275,1227,3645,2324,311840022
"00190 Suomenlinna   (Helsinki )",321,48519,42459,36,184,101,15574616
"00200 Lauttasaari   (Helsinki )",8384,47398,34847,1447,3855,3082,397386139
"00210 Vattuniemi   (Helsinki )",3895,59253,44815,399,1635,1861,230789559
"00220 Jätkäsaari   (Helsinki )",1437,41271,34868,277,727,433,59306222
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",2764,38803,32805,531,1555,678,107250727
"00250 Taka-Töölö   (Helsinki )",6678,43005,31619,1259,3245,2174,287184442
"00260 Keski-Töölö   (Helsinki )",3061,51142,35740,527,1306,1228,156544364
"00270 Pohjois-Meilahti   (Helsinki )",4442,39517,29725,906,2373,1163,175534324
"00280 Ruskeasuo   (Helsinki )",1593,38723,30102,351,817,425,61686033
"00290 Meilahden sairaala-alue   (Helsinki )",101,50714,33318,7,57,37,5122125
"00300 Pikku Huopalahti   (Helsinki )",2912,40039,33809,503,1649,760,116593252
"00310 Kivihaka   (Helsinki )",547,35392,28651,105,318,124,19359195
"00320 Etelä-Haaga   (Helsinki )",5942,35648,27973,1306,3179,1457,211821876
"00330 Munkkiniemi   (Helsinki )",4635,57411,36809,715,2053,1867,266100906
"00340 Kuusisaari-Lehtisaari   (Helsinki )",734,119817,63416,76,223,435,87946014
"00350 Munkkivuori-Niemenmäki   (Helsinki )",5311,37552,29189,1166,2862,1283,199436330
"00360 Pajamäki   (Helsinki )",1130,33858,27956,240,636,254,38259263
"00370 Reimarla   (Helsinki )",3214,40797,33153,581,1817,816,131120526
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",2334,38694,32807,475,1273,586,90311626
"00390 Konala   (Helsinki )",3204,39867,32572,617,1802,785,127733465
"00400 Pohjois-Haaga   (Helsinki )",5424,33186,27326,1373,3056,995,180000147
"00410 Malminkartano   (Helsinki )",4076,35181,30189,1040,2414,622,143398221
"00420 Kannelmäki   (Helsinki )",7530,33456,27579,1878,4531,1121,251926219
"00430 Maununneva   (Helsinki )",1933,59498,52771,199,929,805,115008967
"00440 Lassila   (Helsinki )",2482,35875,29498,582,1325,575,89041208
"00500 Sörnäinen   (Helsinki )",8892,29469,24695,2579,4704,1609,262039683
"00510 Etu-Vallila - Alppila   (Helsinki )",6095,29913,25121,1688,3347,1060,182321237
"00520 Itä-Pasila   (Helsinki )",3792,35083,29189,906,2030,856,133034884
"00530 Kallio   (Helsinki )",12319,33340,27420,3029,6537,2753,410711280
"00540 Kalasatama   (Helsinki )",810,41643,34334,163,406,241,33730820
"00550 Vallila   (Helsinki )",5911,30131,25550,1740,3205,966,178101768
"00560 Toukola-Vanhakaupunki   (Helsinki )",6362,42439,34531,1403,3059,1900,269995930
"00570 Kulosaari   (Helsinki )",1881,72018,41605,332,732,817,135465867
"00580 Verkkosaari   (Helsinki )",1230,43304,38501,200,630,400,53264002
"00590 Kaitalahti   (Helsinki )",141,81803,69811,10,49,82,11534215
"00600 Koskela-Helsinki   (Helsinki )",1986,35906,25773,612,1073,301,71309906
"00610 Käpylä   (Helsinki )",4330,37625,30950,821,2514,995,162916906
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",1489,47836,36633,252,737,500,71227523
"00630 Maunula-Suursuo   (Helsinki )",4551,33406,26042,1226,2614,711,152031934
"00640 Oulunkylä-Patola   (Helsinki )",4219,40997,32617,827,2292,1100,172964594
"00650 Veräjämäki   (Helsinki )",1985,45796,35601,313,1105,567,90904264
"00660 Länsi-Pakila   (Helsinki )",2586,68125,59209,191,1048,1347,176170141
"00670 Paloheinä   (Helsinki )",2210,71872,63610,113,843,1254,158836999
"00680 Itä-Pakila   (Helsinki )",1420,64637,57304,107,627,686,91785224
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",1056,55643,50713,92,571,393,58759252
"00700 Malmi   (Helsinki )",6958,34558,28395,1651,4193,1114,240451105
"00710 Pihlajamäki   (Helsinki )",6735,33427,28365,1590,4231,914,225129215
"00720 Pukinmäki-Savela   (Helsinki )",4484,35681,29640,995,2714,775,159992953
"00730 Tapanila   (Helsinki )",5100,46095,40100,735,2891,1474,235085742
"00740 Siltamäki   (Helsinki )",4428,42968,37855,793,2649,986,190262495
"00750 Puistola   (Helsinki )",4225,40667,33548,955,2356,914,171819029
"00760 Suurmetsä   (Helsinki )",3027,55115,50920,319,1621,1087,166833769
"00770 Jakomäki - Alppikylä   (Helsinki )",3187,31024,26852,936,2005,246,98873245
"00780 Tapaninvainio   (Helsinki )",3153,49770,43263,392,1682,1079,156925226
"00790 Viikki   (Helsinki )",4802,37875,32373,1147,2695,960,181877179
"00800 Länsi-Herttoniemi   (Helsinki )",4138,35288,26558,1066,2305,767,146020291
"00810 Herttoniemi   (Helsinki )",5795,40121,33476,994,3337,1464,232501232
"00820 Roihuvuori   (Helsinki )",4097,30672,26376,1181,2412,504,125662341
"00830 Tammisalo   (Helsinki )",913,89871,61957,103,289,521,82052160
"00840 Laajasalo   (Helsinki )",4087,47915,37190,600,2192,1295,195829137
"00850 Jollas   (Helsinki )",1180,77958,59638,120,476,584,91989867
"00860 Santahamina   (Helsinki )",166,49521,48690,7,107,52,8220492
"00870 Etelä-Laajasalo   (Helsinki )",2380,37850,30339,580,1356,444,90082331
"00880 Roihupellon teollisuusalue   (Helsinki )",346,39041,33217,49,203,94,13508197
"00890 Itäsalmi   (Helsinki )",659,104919,73171,48,244,367,69141799
"00900 Puotinharju   (Helsinki )",2334,31822,25814,651,1356,327,74272015
"00910 Puotila   (Helsinki )",3472,32209,26617,890,2029,553,111829201
"00920 Myllypuro   (Helsinki )",5762,37356,30589,1345,3369,1048,215246247
"00930 Itäkeskus-Marjaniemi   (Helsinki )",3223,44990,30845,784,1703,736,145001876
"00940 Kontula - Vesala   (Helsinki )",12654,32495,27405,3713,7628,1313,411195183
"00950 Vartioharju   (Helsinki )",2252,58154,51211,251,1069,932,130961721
"00960 Pohjois-Vuosaari   (Helsinki )",3649,35819,29823,778,2243,628,130703696
"00970 Mellunmäki   (Helsinki )",5552,34366,29068,1341,3425,786,190798530
"00980 Etelä-Vuosaari   (Helsinki )",10843,36014,29883,2659,6506,1678,390495519
"00990 Aurinkolahti   (Helsinki )",4017,44745,37489,528,2196,1293,179740365
"01120 Västerskog   (Sipoo )",533,61011,49278,77,252,204,32518739
"01150 Söderkulla   (Sipoo )",1805,59058,51318,211,911,683,106600005
"01180 Kalkkiranta   (Porvoo )",193,57739,49590,16,101,76,11143564
"01190 Box   (Sipoo )",402,51516,48540,47,231,124,20709396
"01200 Hakunila   (Vantaa )",5757,34948,29502,1466,3540,751,201195421
"01230 Vaarala   (Vantaa )",1286,47744,45322,153,739,394,61398790
"01260 Itä-Hakkila   (Vantaa )",1796,57455,51061,135,1028,633,103189668
"01280 Länsimäki   (Vantaa )",4377,39684,34948,884,2592,901,173697806
"01300 Tikkurila   (Vantaa )",9479,39281,32950,1590,5726,2163,372348541
"01340 Leinelä   (Vantaa )",347,33620,31287,50,237,60,11666267
"01350 Hiekkaharju   (Vantaa )",4722,38760,32220,773,3041,908,183024406
"01360 Koivukylä-Havukoski   (Vantaa )",6400,33066,27353,1728,3877,795,211620415
"01370 Jokiniemi   (Vantaa )",2936,35580,29988,700,1766,470,104464093
"01380 Kuusikko-Hakkila   (Vantaa )",735,57013,50973,48,418,269,41904864
"01390 Ruskeasanta-Ilola   (Vantaa )",3445,53540,50671,338,1956,1151,184444938
"01400 Rekola   (Vantaa )",3449,44215,38472,500,2155,794,152496261
"01420 Päiväkumpu   (Vantaa )",1085,60044,56819,80,581,424,65147231
"01450 Korso   (Vantaa )",8290,41647,36432,1561,4909,1820,345255769
"01480 Mikkola   (Vantaa )",2922,39503,33847,605,1818,499,115427919
"01490 Nikinmäki   (Sipoo )",1324,60344,57808,94,709,521,79895597
"01510 Kirkonkylä-Veromäki   (Vantaa )",2859,40341,35431,396,1762,701,115335522
"01520 Tammisto   (Vantaa )",3453,47265,41790,357,1989,1107,163204783
"01530 Veromiehenkylä   (Vantaa )",313,32933,29372,59,210,44,10308022
"01600 Myyrmäki   (Vantaa )",8751,34636,29866,1698,5546,1507,303100785
"01610 Kaivoksela   (Vantaa )",2403,36540,30948,450,1458,495,87805151
"01620 Martinlaakso   (Vantaa )",5953,38033,32731,1073,3711,1169,226410944
"01630 Hämeenkylä   (Vantaa )",825,61245,52695,48,427,350,50527410
"01640 Hämevaara   (Vantaa )",1282,51942,45605,138,659,485,66590025
"01650 Vapaala   (Vantaa )",1881,48277,40884,288,1004,589,90808950
"01660 Varisto   (Vantaa )",1056,44229,39166,148,632,276,46706222
"01670 Vantaanlaakso   (Vantaa )",1170,53986,49889,70,643,457,63164021
"01680 Askisto   (Vantaa )",771,56031,49873,71,420,280,43199707
"01690 Ylästö   (Vantaa )",1548,66137,61341,87,732,729,102380816
"01700 Kivistö   (Vantaa )",1181,62699,60141,52,625,504,74047321
"01710 Pähkinärinne   (Vantaa )",2563,36857,31428,449,1573,541,94463327
"01720 Petikko   (Vantaa )",34,39962,33397,6,20,8,1358720
"01730 Vantaanpuisto   (Vantaa )",1026,48347,43573,125,599,302,49603935
"01740 Tuupakan teollisuusalue   (Vantaa )",89,50218,49245,12,44,33,4469386
"01750 Keimola   (Vantaa )",317,59282,54013,31,169,117,18792269
"01760 Seutula   (Vantaa )",851,51099,45913,96,499,256,43485265
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",3388,46319,39879,514,1957,917,156927516
"01810 Luhtajoki   (Nurmijärvi )",251,58707,55238,23,141,87,14735447
"01820 Haikala   (Nurmijärvi )",1284,57644,52942,98,724,462,74015272
"01830 Lepsämä   (Nurmijärvi )",830,58258,53161,71,468,291,48354478
