"Postal code area","Aged 18 or over, total, 2012 (HR)","Average income of inhabitants, 2012 (HR)","Median income of inhabitants, 2012 (HR)","Inhabintants belonging to the lowest income category, 2012 (HR)","Inhabitants belonging to the middle income category, 2012 (HR)","Inhabintants belonging to the highest income category, 2012 (HR)","Accumulated purchasing power of inhabitants, 2012 (HR)"
"Finland",4347944,22744,20107,870034,2608459,869451,98890594835
"00100 Helsinki Keskusta  (Helsinki)",15521,31536,24608,3084,6623,5814,489467785
"00120 Punavuori  (Helsinki)",5904,35038,25712,1142,2420,2342,206861830
"00130 Kaartinkaupunki  (Helsinki)",1307,46132,26995,281,458,568,60294042
"00140 Kaivopuisto  (Helsinki)",6713,47176,26483,1272,2613,2828,316691438
"00150 Eira  (Helsinki)",8299,35130,24238,1595,3771,2933,291540873
"00160 Katajanokka  (Helsinki)",3808,35506,25705,635,1695,1478,135206568
"00170 Kruununhaka  (Helsinki)",6182,33507,26052,1122,2551,2509,207140771
"00180 Ruoholahti  (Helsinki)",10497,27099,23922,1930,5126,3441,284463434
"00190 Suomenlinna  (Helsinki)",570,24494,23613,106,295,169,13961848
"00200 Lauttasaari  (Helsinki)",12475,30229,25119,2005,5859,4611,377100768
"00210 Vattuniemi  (Helsinki)",5707,35971,28354,679,2479,2549,205283928
"00220 Jätkäsaari  (Helsinki)",584,14223,12107,293,256,35,8306365
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",4270,23335,21517,773,2550,947,99641949
"00250 Taka-Töölö  (Helsinki)",9821,27626,23645,1783,4946,3092,271310806
"00260 Keski-Töölö  (Helsinki)",4924,32454,24588,854,2284,1786,159805036
"00270 Pohjois-Meilahti  (Helsinki)",6460,26109,23004,1122,3458,1880,168664753
"00280 Ruskeasuo  (Helsinki)",2442,24596,22227,524,1232,686,60064457
"00290 Meilahden sairaala-alue  (Helsinki)",151,37587,25789,19,79,53,5675573
"00300 Pikku Huopalahti  (Helsinki)",4669,25389,22966,780,2624,1265,118542892
"00310 Kivihaka  (Helsinki)",776,24468,22883,115,454,207,18987313
"00320 Etelä-Haaga  (Helsinki)",8293,24851,22367,1437,4566,2290,206090609
"00330 Munkkiniemi  (Helsinki)",7111,34695,25657,1102,3255,2754,246714286
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1284,71427,31100,248,376,660,91712606
"00350 Munkkivuori-Niemenmäki  (Helsinki)",7525,25236,22824,1414,3990,2121,189904122
"00360 Pajamäki  (Helsinki)",1644,23048,21904,262,980,402,37891399
"00370 Reimarla  (Helsinki)",5181,25322,22567,903,2836,1442,131194081
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",3369,25092,23137,469,1993,907,84535046
"00390 Konala  (Helsinki)",4946,24698,22849,789,2837,1320,122153934
"00400 Pohjois-Haaga  (Helsinki)",8069,21583,20038,1638,4828,1603,174149315
"00410 Malminkartano  (Helsinki)",6979,20222,19525,1741,4126,1112,141128990
"00420 Kannelmäki  (Helsinki)",11548,21163,19744,2440,7104,2004,244392705
"00430 Maununneva  (Helsinki)",3653,29495,26450,602,1609,1442,107746741
"00440 Lassila  (Helsinki)",3911,22581,20667,711,2333,867,88314046
"00500 Sörnäinen  (Helsinki)",11842,21314,19752,2470,7153,2219,252399363
"00510 Etu-Vallila  (Helsinki)",7948,21485,19955,1588,4893,1467,170762180
"00520 Itä-Pasila  (Helsinki)",5747,21698,20246,1217,3327,1203,124696325
"00530 Kallio  (Helsinki)",17397,22844,20716,3516,10031,3850,397409981
"00540 Kalasatama  (Helsinki)",531,18800,16669,197,246,88,9982616
"00550 Vallila  (Helsinki)",8227,20663,19085,1918,4912,1397,169990480
"00560 Toukola-Vanhakaupunki  (Helsinki)",9808,24908,22686,2063,4911,2834,244295501
"00570 Kulosaari  (Helsinki)",3096,42893,26229,554,1252,1290,132795502
"00580 Verkkosaari  (Helsinki)",1551,26465,25204,239,813,499,41046803
"00590 Kaitalahti  (Helsinki)",275,38572,29591,47,95,133,10607349
"00600 Koskela-Helsinki  (Helsinki)",3495,20872,17220,864,2084,547,72948761
"00610 Käpylä  (Helsinki)",6604,23981,22352,995,4026,1583,158373533
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",2568,27804,23644,396,1348,824,71400579
"00630 Maunula-Suursuo  (Helsinki)",6618,21678,19243,1218,4177,1223,143462583
"00640 Oulunkylä-Patola  (Helsinki)",6401,25524,22748,1042,3611,1748,163378207
"00650 Veräjämäki  (Helsinki)",3345,26972,23906,538,1786,1021,90220834
"00660 Länsi-Pakila  (Helsinki)",5102,33769,28258,735,2055,2312,172289077
"00670 Paloheinä  (Helsinki)",4487,33987,30325,656,1590,2241,152501658
"00680 Itä-Pakila  (Helsinki)",2803,33935,27691,398,1203,1202,95118668
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",1998,28431,25688,293,965,740,56804316
"00700 Malmi  (Helsinki)",10723,21832,20701,1953,6851,1919,234108819
"00710 Pihlajamäki  (Helsinki)",9824,21138,20071,1751,6480,1593,207655842
"00720 Pukinmäki-Savela  (Helsinki)",6985,22112,20805,1295,4352,1338,154454798
"00730 Tapanila  (Helsinki)",8716,26099,24225,1348,4728,2640,227474983
"00740 Siltamäki  (Helsinki)",7886,23375,22008,1504,4544,1838,184334450
"00750 Puistola  (Helsinki)",7202,23205,21906,1426,4169,1607,167123917
"00760 Suurmetsä  (Helsinki)",5834,27881,25399,938,2901,1995,162657673
"00770 Jakomäki  (Helsinki)",4825,18965,18184,1022,3323,480,91503912
"00780 Tapaninvainio  (Helsinki)",5689,27311,24247,821,3059,1809,155373721
"00790 Viikki  (Helsinki)",7584,22585,21684,1701,4063,1820,171287054
"00800 Länsi-Herttoniemi  (Helsinki)",6016,22439,19987,1172,3598,1246,134992224
"00810 Herttoniemi  (Helsinki)",8990,25103,23134,1381,5249,2360,225675407
"00820 Roihuvuori  (Helsinki)",6090,20709,19295,1176,3939,975,126116208
"00830 Tammisalo  (Helsinki)",1721,52438,30306,281,581,859,90245160
"00840 Laajasalo  (Helsinki)",6745,28101,24320,1051,3442,2252,189543878
"00850 Jollas  (Helsinki)",2279,38927,28843,360,846,1073,88715403
"00860 Santahamina  (Helsinki)",333,27152,26702,37,182,114,9041741
"00870 Etelä-Laajasalo  (Helsinki)",3864,23032,19963,735,2330,799,88997176
"00880 Roihupellon teollisuusalue  (Helsinki)",52,18194,19388,17,26,9,946073
"00890 Itäsalmi  (Helsinki)",1410,44296,30029,235,483,692,62456888
"00900 Puotinharju  (Helsinki)",3383,20599,18889,749,2080,554,69685036
"00910 Puotila  (Helsinki)",5149,21374,19875,970,3303,876,110054069
"00920 Myllypuro  (Helsinki)",8866,22211,20386,1674,5492,1700,196918595
"00930 Itäkeskus-Marjaniemi  (Helsinki)",5306,25865,20393,1144,2916,1246,137240582
"00940 Kontula  (Helsinki)",20334,19771,18730,4419,13328,2587,402025279
"00950 Vartioharju  (Helsinki)",4326,29142,25367,679,2055,1592,126067847
"00960 Pohjois-Vuosaari  (Helsinki)",5643,22613,21621,922,3557,1164,127603052
"00970 Mellunkylä  (Helsinki)",8565,21195,20210,1648,5514,1403,181530953
