"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"10440 Bollsta   (Raasepori )",338,135,30,42,22,100,9
"10470 Fiskari   (Raasepori )",531,209,44,95,33,129,21
"10480 Antskog   (Raasepori )",120,47,14,21,6,32,0
"10520 Tenhola Kirkonkylä   (Raasepori )",1702,732,61,292,97,485,35
"10570 Bromarv   (Raasepori )",477,173,11,44,21,211,17
"10600 Tammisaari Keskus   (Raasepori )",4903,1887,216,528,307,1831,134
"10620 Tammisaari   (Raasepori )",1898,849,70,329,118,498,34
"10640 Dragsvik   (Raasepori )",961,494,34,189,60,163,21
"10650 Flyet   (Raasepori )",2730,1064,150,493,178,769,76
"10660 Trollböle   (Raasepori )",860,379,59,131,52,218,21
"10680 Skogby   (Raasepori )",203,90,12,36,13,50,2
"10710 Snappertuna   (Raasepori )",363,163,14,51,16,111,8
"10820 Lappohja   (Hanko )",553,178,41,62,24,226,22
"10900 Hanko Keskus   (Hanko )",4135,1453,261,526,201,1508,186
"10940 Hangonkylä   (Hanko )",2063,872,88,291,120,652,40
"10960 Hanko Pohjoinen   (Hanko )",1824,711,111,263,96,594,49
"11100 Riihimäki Keskus   (Riihimäki )",6604,2703,408,685,394,2233,181
"11120 Pohjois-Riihimäki   (Riihimäki )",7025,3057,385,1185,471,1747,180
"11130 Peltosaari-Patastenmäki   (Riihimäki )",9679,4142,624,1839,742,2005,327
"11310 Taka-Kasarmi   (Riihimäki )",784,359,38,187,55,124,21
"11710 Herajoki   (Riihimäki )",3130,1377,180,636,204,644,89
"11910 Lasi-Kumela   (Janakkala )",2420,1053,159,452,168,527,61
"12100 Oitti   (Hausjärvi )",2631,975,133,464,164,801,94
"12130 Mommila   (Hausjärvi )",329,134,17,49,24,95,10
"12170 Hietoinen   (Hausjärvi )",203,86,8,29,5,65,10
"12210 Hausjärvi kk   (Hausjärvi )",233,100,2,50,11,62,8
"12240 Hikiä   (Hausjärvi )",1685,792,74,341,111,318,49
"12310 Ryttylä   (Hausjärvi )",1879,806,82,366,111,440,74
"12350 Turkhauta   (Hausjärvi )",448,225,16,60,29,103,15
"12380 Leppäkoski   (Janakkala )",521,223,26,104,37,118,13
"12400 Tervakoski   (Janakkala )",4656,1942,221,835,292,1256,110
"12450 Vähikkälä   (Janakkala )",281,120,14,57,12,68,10
"12520 Kormu   (Loppi )",480,202,16,141,26,84,11
"12540 Launonen   (Loppi )",1573,737,52,356,103,281,44
"12600 Läyliäinen   (Loppi )",1876,833,69,380,101,438,55
"12630 Sajaniemi   (Loppi )",281,113,10,46,7,98,7
"12640 Joentaka   (Loppi )",314,157,13,52,19,65,8
"12700 Loppi kk   (Loppi )",2323,821,79,350,128,878,67
"12750 Pilpala   (Loppi )",537,214,18,90,31,171,13
"12820 Räyskälä   (Loppi )",56,20,5,9,2,17,3
"12920 Topeno   (Loppi )",362,161,16,56,17,101,11
"12950 Vojakkala-Eerolankulma   (Loppi )",176,68,11,20,11,62,4
"13100 Hämeenlinna Keskus   (Hämeenlinna )",11018,4310,669,1067,930,3771,271
"13110 Kantola   (Hämeenlinna )",192,82,15,33,7,43,12
"13130 Kauriala   (Hämeenlinna )",6035,2479,411,637,403,1951,154
"13200 Keinusaari   (Hämeenlinna )",1491,533,116,104,61,625,52
"13210 Hätilä   (Hämeenlinna )",8225,3250,592,1202,573,2360,248
"13220 Sairio   (Hämeenlinna )",1816,753,82,300,87,548,46
"13250 Katuma   (Hämeenlinna )",1038,331,157,106,67,289,88
"13270 Ruununmylly   (Hämeenlinna )",1653,788,62,426,112,232,33
"13300 Käikälä   (Hämeenlinna )",2775,1384,129,683,159,380,40
"13330 Harviala   (Janakkala )",818,390,25,209,42,140,12
"13430 Hattelmala   (Hämeenlinna )",1169,537,48,241,87,221,35
"13500 Jukola   (Hämeenlinna )",11870,5019,741,2243,890,2646,331
"13530 Hämeenlinna sairaala-alue   (Hämeenlinna )",0,0,0,0,0,0,0
"13600 Ojoinen   (Hämeenlinna )",3764,1482,272,562,318,1017,113
"13700 Parolannummi   (Hattula )",429,189,22,73,30,103,12
"13720 Parola   (Hattula )",4493,1952,219,772,282,1153,115
"13800 Katinala   (Hattula )",1361,564,58,197,87,407,48
"13880 Rahkoila   (Hattula )",1244,582,40,275,94,238,15
"13900 Pekola   (Hattula )",898,379,36,217,55,192,19
"14140 Jokimaa   (Janakkala )",210,85,14,32,12,63,4
"14200 Turenki   (Janakkala )",8788,3495,528,1392,557,2550,266
"14240 Väli-Janakkala   (Janakkala )",892,420,45,147,51,204,25
"14300 Renko kk   (Hämeenlinna )",2238,914,120,360,135,662,47
"14430 Vuohiniemi   (Hattula )",68,25,7,2,2,30,2
"14450 Rimmilä   (Hämeenlinna )",134,59,8,9,6,48,4
"14500 Iittala   (Hämeenlinna )",3274,1353,160,593,146,946,76
"14530 Leteensuo   (Hattula )",237,123,12,31,17,50,4
"14610 Lepaa   (Hattula )",418,167,21,71,62,89,8
"14620 Tyrväntö   (Hattula )",161,67,13,24,6,48,3
"14680 Alvettula   (Hämeenlinna )",594,224,34,89,29,198,20
"14690 Torvoila   (Hämeenlinna )",175,58,14,17,10,75,1
"14700 Hauho kk   (Hämeenlinna )",1911,653,115,233,108,749,53
"14770 Eteläinen   (Hämeenlinna )",969,423,47,232,57,190,20
"14810 Pohjoinen   (Hämeenlinna )",295,118,26,36,28,83,4
"14820 Syrjäntaka   (Hämeenlinna )",828,331,57,137,38,243,22
"14840 Sairiala   (Hämeenlinna )",220,78,16,31,15,73,7
"14870 Juttila   (Hämeenlinna )",231,77,19,27,13,89,6
"14930 Sappee   (Hämeenlinna )",107,38,6,9,3,48,3
"14960 Puutikkala   (Pälkäne )",77,21,6,6,3,38,3
"14980 Kuohijoki   (Pälkäne )",43,22,2,2,1,15,1
"15100 Lahti Asemanseutu   (Lahti )",6261,2581,585,731,521,1673,170
"15110 Keski-Lahti   (Lahti )",4936,1994,462,315,515,1482,168
"15140 Kartano-Paavola   (Lahti )",15292,5678,1249,1141,1211,5606,407
"15150 Möysä   (Lahti )",4285,1630,426,469,388,1265,107
"15160 Kolava   (Lahti )",2330,1094,82,875,121,119,39
"15170 Tenava-Tonttila   (Lahti )",3743,1366,385,489,263,1105,135
"15200 Kiveriö   (Lahti )",3477,1291,413,439,356,842,136
"15210 Kivistönmäki   (Lahti )",4327,1652,426,436,324,1379,110
"15230 Kytölä   (Lahti )",2793,1237,166,577,165,587,61
"15240 Mukkula   (Lahti )",7971,2638,708,1206,615,2578,226
"15270 Kukkila   (Hollola )",1761,794,82,464,102,270,49
"15300 Myllypohja-Koiskala   (Lahti )",3970,1677,356,769,280,778,110
"15320 Ahtiala   (Lahti )",3012,1292,209,726,201,507,77
"15340 Kunnas-Hiekkanummi   (Lahti )",2814,1287,151,621,237,463,55
"15460 Mäkelä   (Lahti )",584,259,22,107,33,145,18
"15500 Liipola   (Lahti )",5071,1451,798,738,364,1493,227
"15520 Saksala   (Lahti )",2212,862,203,214,98,785,50
"15540 Villähde   (Lahti )",4485,2021,213,1019,264,892,76
"15550 Rakokivi   (Lahti )",3709,1361,291,586,232,1126,113
"15560 Nastola kk   (Lahti )",4030,1499,288,672,242,1216,113
"15580 Ruuhijärvi   (Lahti )",241,110,18,35,16,56,6
"15610 Laune-Nikkilä   (Lahti )",5324,2261,346,985,366,1249,117
"15680 Renkomäki-Ämmälä   (Lahti )",3261,1533,135,913,232,376,72
"15700 Hennala-Jokimaa   (Hollola )",6775,2843,551,1042,502,1684,153
"15800 Kärpänen   (Lahti )",3464,1384,382,451,314,827,106
"15810 Kasakkamäki   (Lahti )",1329,565,81,278,86,295,24
"15820 Okeroinen   (Hollola )",1104,455,61,289,81,190,28
"15830 Metsäkangas   (Lahti )",3842,1511,292,487,236,1202,114
"15840 Riihelä   (Lahti )",2021,884,152,387,131,419,48
"15850 Likolampi   (Lahti )",667,270,68,110,63,131,25
"15860 Kartano   (Hollola )",3462,1419,231,513,188,1017,94
"15870 Salpakangas   (Hollola )",4120,1451,246,557,234,1531,101
"15880 Soramäki   (Hollola )",4772,1998,265,871,306,1215,117
"15900 Jalkaranta   (Lahti )",1691,676,66,253,119,536,41
"15950 Kiikkula   (Lahti )",3906,1528,254,482,242,1303,97
"15980 Messilä   (Hollola )",0,0,0,0,0,0,0
"16100 Uusikylä   (Lahti )",1400,549,114,240,77,377,43
"16160 Okkeri   (Lahti )",101,44,13,12,8,24,0
"16200 Artjärvi Keskus   (Orimattila )",667,252,43,86,17,253,16
"16230 Artjärvi Kirkonkylä   (Orimattila )",320,103,21,46,14,129,7
"16260 Hietana   (Orimattila )",181,77,6,29,10,57,2
"16270 Villikkala   (Orimattila )",139,57,9,18,8,42,5
"16280 Kuivanto   (Orimattila )",607,259,46,116,35,134,17
"16300 Orimattila Keskus   (Orimattila )",10596,4101,658,1737,647,3174,279
"16310 Virenoja   (Orimattila )",644,270,39,181,28,106,20
"16320 Pennala   (Orimattila )",1102,505,54,314,66,143,20
"16330 Heinämaa   (Orimattila )",345,151,22,67,19,82,4
"16350 Niinikoski   (Orimattila )",333,145,24,66,16,74,8
"16390 Pakaa   (Orimattila )",294,139,16,50,20,58,11
"16450 Mallusjoki   (Orimattila )",466,177,25,69,27,148,20
"16500 Herrala   (Hollola )",894,402,48,184,47,186,27
"16510 Luhtikylä   (Orimattila )",440,203,26,80,20,105,6
"16540 Mertie   (Kärkölä )",285,127,16,43,13,77,9
"16600 Järvelä   (Kärkölä )",2910,1158,171,420,178,894,89
"16610 Kärkölä kk   (Kärkölä )",726,288,32,131,46,205,24
"16630 Tennilä   (Hollola )",332,135,9,81,28,71,8
"16670 Lappila   (Kärkölä )",626,259,40,90,29,188,20
"16710 Hollola kk   (Hollola )",965,433,38,220,66,190,18
"16730 Kutajärvi   (Hollola )",1030,434,50,181,80,263,22
"16790 Manskivi   (Hollola )",108,46,7,20,9,23,3
"16800 Hämeenkoski   (Hollola )",2028,789,115,325,102,639,58
"16900 Lammi kk   (Hämeenlinna )",4888,1740,291,748,280,1701,128
"16960 Iso-Evo   (Hämeenlinna )",159,60,7,19,7,64,2
"16970 Evo   (Hämeenlinna )",74,27,3,8,19,11,6
"17110 Sipilä   (Hollola )",1172,479,65,251,111,236,30
"17120 Paimela   (Hollola )",565,243,26,116,30,131,19
"17130 Vesivehmaa   (Asikkala )",801,376,37,168,46,154,20
"17150 Urajärvi   (Asikkala )",372,162,20,58,12,108,12
"17200 Vääksy Keskus   (Asikkala )",5283,1860,254,695,301,2045,128
"17220 Pietilä   (Asikkala )",162,52,11,30,4,64,1
"17240 Kalkkinen   (Asikkala )",403,130,24,40,20,179,10
"17320 Asikkala   (Asikkala )",333,120,18,49,25,111,10
"17410 Viitaila   (Asikkala )",248,96,14,34,13,82,9
"17430 Kurhila   (Asikkala )",284,121,11,42,28,73,9
"17440 Vähimaa   (Asikkala )",58,18,2,7,4,27,0
"17450 Iso-Äiniö-Vähimaa   (Asikkala )",206,89,8,17,17,69,6
"17470 Maakeski   (Padasjoki )",282,108,11,44,19,93,7
"17500 Padasjoki Keskus   (Padasjoki )",1810,551,91,168,97,852,51
"17510 Nyystölä   (Padasjoki )",260,98,11,49,19,76,7
"17530 Arrakoski   (Padasjoki )",230,75,15,28,10,95,7
"17610 Auttoinen   (Padasjoki )",270,100,22,17,14,112,5
"17630 Vesijako   (Padasjoki )",115,46,8,10,1,42,8
"17710 Torittu   (Padasjoki )",68,24,2,8,3,29,2
"17740 Kasiniemi-Torittu   (Padasjoki )",50,13,1,2,1,31,2
"17780 Harmoinen   (Kuhmoinen )",70,24,3,9,3,27,4
"17800 Kuhmoinen Keskus   (Kuhmoinen )",1798,538,115,151,72,877,45
"17840 Harjunsalmi   (Kuhmoinen )",78,22,8,11,3,33,1
"17850 Pihlajakoski   (Kuhmoinen )",71,24,5,6,4,32,0
"17870 Ruolahti   (Kuhmoinen )",61,21,5,8,1,23,3
"17930 Päijälä   (Kuhmoinen )",77,25,7,3,4,37,1
"17950 Kylämä   (Kuhmoinen )",28,..,..,..,..,..,..
"17970 Puukkoinen   (Kuhmoinen )",31,14,1,0,1,15,0
"18100 Heinola Keskus   (Heinola )",6960,2261,445,712,359,3032,151
"18120 Reumasairaala-alue   (Heinola )",921,357,67,127,44,306,20
"18130 Tommola-Sahanniemi   (Heinola )",1837,563,191,176,106,729,72
"18150 Jyränkö   (Heinola )",2380,897,195,325,140,753,70
"18200 Kaakonlampi-Pyhätön   (Heinola )",2075,702,209,251,147,690,76
"18300 Heinola kk   (Heinola )",2745,1066,171,372,159,905,72
"18600 Myllyoja   (Heinola )",813,361,49,124,49,215,15
"19110 Vierumäki taajama   (Heinola )",665,310,44,112,29,155,15
"19120 Vierumäki urheiluopisto   (Heinola )",124,69,5,8,20,15,7
"19160 Huutotöyry   (Iitti )",488,183,38,83,26,142,16
"19210 Lusi   (Heinola )",463,167,27,79,25,153,12
"19230 Onkiniemi   (Sysmä )",116,44,8,15,3,39,7
"19250 Syrjäkoski   (Heinola )",47,17,2,4,2,22,0
"19260 Paaso-Syrjäkoski   (Heinola )",118,39,7,12,4,54,2
"19310 Karilanmaa   (Sysmä )",79,31,4,7,2,34,1
"19320 Nikkaroinen   (Sysmä )",98,42,2,14,5,29,6
"19370 Nuoramoinen   (Sysmä )",421,169,17,60,22,140,13
"19410 Kuortti   (Pertunmaa )",474,188,33,63,19,159,12
"19420 Mansikkamäki   (Pertunmaa )",158,68,12,14,5,53,6
"19430 Pertunmaa Keskus   (Pertunmaa )",762,233,40,93,34,344,18
"19460 Ruorasmäki   (Pertunmaa )",118,35,7,17,6,51,2
"19470 Lihavanpää-Hartosenpää   (Pertunmaa )",159,55,4,13,8,74,5
"19480 Hartosenpää   (Pertunmaa )",75,27,4,10,1,30,3
"19510 Lepsala   (Hartola )",36,14,2,3,1,15,1
"19540 Koitti-Lepsala   (Hartola )",287,104,13,30,17,115,8
"19600 Hartola Keskus   (Hartola )",2094,701,130,195,97,884,87
"19610 Murakka   (Hartola )",90,34,4,6,2,43,1
"19620 Pohela   (Hartola )",173,58,13,26,8,64,4
"19630 Kalhonkylä   (Hartola )",77,40,2,9,2,23,1
"19650 Joutsa Keskus   (Joutsa )",3390,1110,226,379,136,1431,108
"19670 Mieskonmäki   (Joutsa )",153,62,11,26,13,37,4
"19700 Sysmä Keskus   (Sysmä )",2908,895,141,263,125,1381,103
"19730 Särkilampi   (Sysmä )",27,..,..,..,..,..,..
"19740 Liikola   (Sysmä )",123,38,9,9,2,61,4
"19770 Valittula   (Sysmä )",138,56,7,26,7,33,9
"19850 Putkijärvi-Siltasuo   (Hartola )",96,37,5,5,4,40,5
"19910 Tammijärvi   (Luhanka )",447,162,19,50,16,188,12
"19920 Pappinen   (Joutsa )",152,61,16,22,7,44,2
"19950 Luhanka   (Luhanka )",298,85,14,31,17,147,4
"20100 Turku Keskus   (Turku )",26245,13006,1837,1744,2619,6312,727
"20200 Iso-Heikkilä   (Turku )",2154,916,205,125,175,645,88
"20210 Pahaniemi   (Turku )",4116,1436,497,572,292,1167,152
"20240 Pansio-Perno   (Turku )",5166,1773,706,827,377,1100,383
"20250 Pitkämäki-Muhkuri   (Turku )",731,340,40,107,40,180,24
"20300 Pohjola-Kastu   (Turku )",6793,3139,446,915,536,1600,157
"20320 Kuninkoja-Mälikkälä   (Turku )",16730,6973,1152,2240,937,5063,365
"20360 Kärsämäki-Urusvuori-Halinen   (Turku )",10969,3824,1168,1265,687,3661,364
"20380 Räntämäki-Saramäki   (Turku )",2895,1173,171,435,397,591,128
"20400 Moisio   (Turku )",3452,1602,175,957,242,411,65
"20460 Jäkärlä   (Turku )",3565,1494,334,626,205,802,104
"20500 Vesilinna   (Turku )",6467,3145,398,319,1261,1175,169
"20520 Kupittaa   (Turku )",3411,1685,207,240,459,727,93
"20540 Nummi-Ylioppilaskylä   (Turku )",20567,8710,1687,2950,3238,3212,770
"20610 Varissuo   (Turku )",13159,4116,1549,2317,1096,3357,724
"20660 Littoinen   (Kaarina )",7332,3491,291,1535,558,1323,134
"20700 Vartiovuori-Samppalinna   (Turku )",5800,2568,336,369,661,1717,149
"20720 Vasaramäki   (Turku )",6112,2309,358,678,503,2124,140
"20730 Skanssi   (Turku )",83,38,6,6,5,27,1
"20740 Ilpoinen-Harittu   (Turku )",9524,3900,855,1514,899,2070,286
"20750 Huhkola-Lauste-Vaala   (Turku )",4984,1692,604,865,422,1174,227
"20760 Piispanristi   (Kaarina )",4249,1955,230,747,271,951,95
"20780 Kaarina Keskus   (Kaarina )",11771,4766,635,2011,744,3245,370
"20800 Ammattikorkeakoulu   (Turku )",0,0,0,0,0,0,0
"20810 Martti-Korppolaismäki   (Turku )",16606,7837,1234,1771,1324,3995,445
"20880 Uittamo   (Turku )",4053,1562,241,529,245,1389,87
"20900 Moikoinen-Pikisaari   (Turku )",9527,4221,462,2341,804,1466,233
"20960 Kakskerta   (Turku )",1393,549,58,211,98,438,39
"21100 Naantali Keskus   (Naantali )",6819,2569,323,773,401,2543,210
"21110 Taimo-Nuhjala-Lietsala   (Naantali )",7600,3451,377,1498,518,1542,214
"21120 Viherjäinen   (Raisio )",1938,980,98,416,151,241,52
"21130 Poikko   (Naantali )",577,272,23,100,38,129,15
"21140 Rymättylä Keskus   (Naantali )",1301,527,67,214,57,403,33
"21150 Röölä   (Naantali )",310,126,13,29,16,119,7
"21160 Merimasku   (Naantali )",1746,835,74,344,97,357,39
"21180 Livonsaari   (Naantali )",222,91,16,38,7,62,8
"21195 Velkua   (Naantali )",222,80,9,28,8,91,6
"21200 Raisio Keskus   (Raisio )",12068,4645,789,1571,784,3876,403
"21210 Hakinmäki   (Raisio )",2550,1259,144,441,175,454,77
"21220 Somersoja   (Raisio )",1352,557,86,214,91,352,52
"21230 Lemu   (Masku )",1858,855,62,426,134,355,26
"21240 Askainen Keskus   (Masku )",870,377,50,146,48,228,21
"21250 Masku   (Masku )",6657,3108,269,1425,446,1294,115
"21260 Ihala   (Raisio )",3630,1740,162,674,256,714,84
"21270 Nousiainen   (Nousiainen )",4813,2164,222,988,315,1032,92
"21280 Kuloinen   (Raisio )",2240,1035,100,425,137,502,41
"21290 Rusko   (Rusko )",4185,1890,167,831,310,913,74
"21310 Vahto   (Rusko )",1805,856,75,364,120,360,30
"21330 Paattinen   (Turku )",1853,785,102,330,125,462,49
"21340 Tortinmäki   (Turku )",524,231,32,67,30,151,13
"21350 Ilmarinen   (Lieto )",1961,964,66,449,127,328,27
"21360 Lieto Asemanseutu   (Lieto )",1829,857,76,369,109,381,37
"21370 Aura kk.   (Aura )",569,262,29,100,33,129,16
"21380 Aura Keskus   (Aura )",3407,1521,156,719,210,733,68
"21410 Vanhalinna   (Lieto )",2341,1175,68,507,149,390,52
"21420 Lieto Keskus   (Lieto )",7824,3199,338,1561,503,2016,207
"21430 Yliskulma   (Lieto )",824,380,33,179,65,143,24
"21450 Tarvasjoki Keskus   (Lieto )",1843,776,91,342,129,466,39
"21480 Prunkila   (Marttila )",370,159,12,73,24,91,11
"21490 Marttila   (Marttila )",1108,426,53,168,59,366,36
"21500 Piikkiö   (Kaarina )",7222,3139,375,1500,477,1562,169
"21510 Hevonpää   (Paimio )",480,215,28,110,27,93,7
"21520 Naskarla   (Paimio )",2,..,..,..,..,..,..
"21530 Paimio Keskus   (Paimio )",8463,3595,435,1576,508,2150,199
"21540 Preitilä   (Paimio )",1330,662,43,277,81,240,27
"21555 Taatila   (Paimio )",324,148,9,64,15,78,10
"21560 Ollila   (Marttila )",503,200,22,82,27,155,17
"21570 Sauvo Keskus   (Sauvo )",2574,1087,109,461,141,709,67
"21590 Karuna   (Sauvo )",444,190,20,59,21,143,11
"21600 Parainen Keskus   (Parainen )",10689,4399,420,1795,685,3142,248
"21610 Kirjala   (Parainen )",1094,484,39,226,90,235,20
"21620 Kuusisto   (Kaarina )",2109,954,68,475,158,418,36
"21630 Lielahti   (Parainen )",582,269,21,113,41,124,14
"21650 Lillandet   (Parainen )",433,187,14,50,22,146,14
"21660 Nauvo Keskus   (Parainen )",759,307,31,93,38,263,27
"21670 Mattnäs-Nötö   (Parainen )",197,84,2,22,8,76,5
"21680 Nötö   (Parainen )",9,..,..,..,..,..,..
"21710 Korppoo Keskus-Utö   (Parainen )",659,255,32,78,43,234,17
"21720 Korpoström   (Parainen )",22,..,..,..,..,..,..
"21740 Utö   (Parainen )",44,21,1,9,1,9,3
"21750 Norrskata   (Parainen )",93,22,4,7,1,54,5
"21760 Houtskär Keskus   (Parainen )",395,155,11,42,16,161,10
"21770 Mossala   (Parainen )",127,55,1,19,13,35,4
"21800 Kyrö   (Pöytyä )",2459,1006,130,470,148,650,55
"21820 Kumila   (Pöytyä )",351,139,13,78,17,98,6
"21840 Karinainen   (Pöytyä )",375,161,10,110,30,54,10
"21860 Auvainen   (Pöytyä )",420,182,11,100,31,91,5
"21870 Riihikoski   (Pöytyä )",1953,830,100,367,99,524,33
"21880 Pöytyä   (Pöytyä )",402,161,17,47,23,141,13
"21890 Haveri   (Pöytyä )",246,103,9,45,15,70,4
"21900 Yläne Keskus   (Pöytyä )",1523,535,86,249,74,546,33
"21930 Uusikartano   (Pöytyä )",542,247,18,76,26,166,9
"22100 Maarianhamina   (Maarianhamina - Mariehamn )",11583,5777,265,1647,623,2805,466
"22120 Möckelö   (Jomala )",829,452,14,188,39,112,24
"22130 Gottby   (Jomala )",831,439,6,185,42,136,23
"22140 Önningby   (Jomala )",1149,627,8,298,58,132,26
"22150 Jomala Centrum   (Jomala )",1863,990,36,359,79,348,51
"22160 Järsö   (Lemland )",354,172,4,63,22,77,16
"22220 Emkarby   (Finström )",395,217,6,68,19,72,13
"22240 Hammarland   (Hammarland )",1472,739,26,263,68,325,51
"22270 Storby   (Eckerö )",905,443,21,120,36,239,46
"22310 Pålsböle   (Finström )",528,265,10,94,24,116,19
"22320 Ödkarby   (Saltvik )",845,422,16,144,46,195,22
"22330 Tjudö   (Finström )",317,160,4,51,11,80,11
"22340 Geta   (Geta )",486,235,8,74,16,117,36
"22410 Godby   (Finström )",1583,757,26,311,76,350,63
"22430 Saltvik   (Saltvik )",693,320,13,127,25,180,28
"22520 Tosarby   (Sund )",487,263,13,64,14,120,13
"22530 Sund   (Sund )",509,242,9,95,17,129,17
"22550 Vårdö   (Vårdö )",408,181,6,58,19,125,19
"22610 Lemland   (Lemland )",1517,782,17,306,86,261,65
"22630 Lumparland   (Lumparland )",395,188,4,58,21,108,16
"22710 Ålands Degerby   (Föglö )",554,256,2,68,31,162,35
"22720 Sottunga   (Sottunga )",91,50,0,3,2,34,2
"22730 Kökar   (Kökar )",244,109,7,22,14,83,9
"22810 Seglinge   (Kumlinge )",33,15,0,4,2,10,2
"22820 Kumlinge   (Kumlinge )",183,95,6,12,5,61,4
"22830 Enklinge   (Kumlinge )",76,32,0,11,6,26,1
"22840 Lappo   (Brändö )",65,28,3,5,3,24,2
"22910 Torsholma   (Brändö )",87,42,1,13,7,21,3
"22920 Brändö-Åland   (Brändö )",155,68,6,9,5,62,5
"22930 Fiskö   (Brändö )",32,10,0,0,1,19,2
"22940 Åva   (Brändö )",92,44,0,14,4,29,1
"22950 Jurmo   (Brändö )",46,20,3,5,2,14,2
"23100 Mynämäki Keskus   (Mynämäki )",6190,2535,307,972,387,1840,149
"23120 Mietoinen Keskus   (Mynämäki )",895,394,38,141,51,244,27
"23140 Hietamäki   (Mynämäki )",664,303,33,97,45,174,12
"23200 Vinkkilä   (Vehmaa )",1565,629,80,225,76,527,28
"23210 Vehmaa   (Vehmaa )",570,243,25,84,26,181,11
"23260 Rautila   (Vehmaa )",187,89,12,25,10,50,1
"23310 Taivassalo   (Taivassalo )",1613,625,83,227,46,605,27
"23360 Kustavi   (Kustavi )",895,317,41,75,46,393,23
"23390 Iniö   (Parainen )",212,75,9,19,11,97,1
"23450 Lokalahti   (Uusikaupunki )",957,408,36,148,37,314,14
"23500 Uusikaupunki Keskus   (Uusikaupunki )",11159,4577,568,1459,560,3718,277
"23600 Kalanti Keskus   (Uusikaupunki )",2243,932,76,400,120,669,46
"23660 Kalanti Asemanseutu   (Uusikaupunki )",389,174,9,80,24,97,5
"23800 Laitila Keskus   (Laitila )",7981,3344,328,1356,487,2272,194
"23840 Soukainen   (Laitila )",256,107,10,49,10,72,8
"23880 Suontaka   (Laitila )",102,50,5,16,5,26,0
"23930 Pyhämaa   (Uusikaupunki )",529,203,19,48,29,218,12
"23950 Pyhäranta   (Pyhäranta )",518,214,17,66,33,175,13
"23960 Santtio   (Pyhäranta )",239,90,10,36,11,81,11
"24100 Salo Keskus   (Salo )",9081,2952,808,955,540,3522,304
"24130 Ylhäisi   (Salo )",3891,1571,256,766,251,942,105
"24240 Rappula   (Salo )",3973,1283,363,440,259,1504,124
"24260 Ollikkala   (Salo )",4453,1472,590,602,282,1294,213
"24280 Tupuri-Hähkänä   (Salo )",5100,2362,342,1135,403,734,124
"24800 Halikko Keskus   (Salo )",4613,1810,374,649,333,1331,116
"24910 Halikko Asemanseutu   (Salo )",1130,484,45,305,83,196,17
"25110 Kruusila   (Salo )",350,149,30,45,20,95,11
"25130 Muurla   (Salo )",1511,619,97,277,87,389,42
"25160 Tuohittu   (Salo )",117,51,8,14,8,33,3
"25170 Kotalato   (Salo )",138,53,6,26,7,44,2
"25180 Romsila   (Salo )",242,98,24,44,13,55,8
"25190 Inkere   (Salo )",1005,391,110,208,63,207,26
"25210 Vartsala   (Salo )",406,159,28,100,23,90,6
"25230 Angelniemi   (Salo )",365,139,31,46,33,108,8
"25240 Hajala   (Salo )",666,273,43,110,27,192,21
"25250 Märynummi   (Salo )",1016,449,65,182,68,230,22
"25260 Vaskio   (Salo )",1031,418,61,185,61,284,22
"25320 Raatala   (Salo )",417,177,26,60,27,117,10
"25330 Kuusjoki Keskus   (Salo )",807,312,67,132,33,241,22
"25340 Kanunki   (Salo )",401,161,26,67,22,113,12
"25360 Pertteli Keskus   (Salo )",1234,502,92,241,102,275,22
"25370 Hiisi   (Salo )",690,261,44,144,50,175,16
"25380 Rekijoki   (Salo )",465,176,30,52,29,164,14
"25390 Kiikala Keskus   (Salo )",815,276,67,118,35,290,29
"25410 Suomusjärvi Keskus   (Salo )",1142,399,95,146,61,408,33
"25420 Lahnajärvi   (Salo )",141,63,7,21,8,39,3
"25430 Kettula   (Salo )",67,25,6,1,5,28,2
"25460 Toija   (Salo )",1199,436,76,176,71,407,33
"25470 Kisko kk   (Salo )",307,102,10,37,10,131,17
"25500 Perniö Keskus   (Salo )",3416,1224,198,520,187,1195,92
"25520 Perniö Asemanseutu   (Salo )",621,269,43,90,32,165,22
"25540 Knaapila   (Salo )",205,79,15,33,8,61,9
"25550 Aijala   (Salo )",91,25,9,11,3,42,1
"25560 Koski Asemanseutu   (Salo )",221,92,16,32,10,59,12
"25570 Teijo-Mathildedal   (Salo )",559,162,67,68,30,216,16
"25610 Ylönkylä   (Salo )",395,164,29,59,17,114,12
"25630 Finby   (Salo )",280,89,23,33,13,116,6
"25640 Förby   (Salo )",247,85,20,24,15,99,4
"25650 Strömma   (Kemiönsaari )",102,33,8,10,2,47,2
"25660 Mathildedal   (Salo )",135,43,11,18,2,56,5
"25700 Kemiö Keskus   (Kemiönsaari )",2357,881,106,392,121,793,64
"25710 Vreta-Vestlax   (Kemiönsaari )",320,146,15,61,18,70,10
"25730 Mjösund   (Kemiönsaari )",101,39,6,13,5,37,1
"25760 Kiila   (Kemiönsaari )",139,46,7,24,4,54,4
"25810 Mark   (Kemiönsaari )",61,31,5,1,5,18,1
"25820 Vestlax   (Kemiönsaari )",102,42,2,16,6,29,7
