"Postal code area","Inhabitants, 2016 (PT)","Employed, 2016 (PT)","Unemployed, 2016 (PT)","Children aged 0 to 14, 2016 (PT)","Students, 2016 (PT)","Pensioners, 2016 (PT)","Others, 2016 (PT)"
"00950 Vartioharju   (Helsinki )",5815,2744,290,1008,410,1195,168
"00960 Pohjois-Vuosaari   (Helsinki )",7281,3175,517,1113,507,1665,304
"00970 Mellunmäki   (Helsinki )",10672,4430,874,1538,824,2480,526
"00980 Etelä-Vuosaari   (Helsinki )",22616,8620,2017,4129,2003,4633,1214
"00990 Aurinkolahti   (Helsinki )",8258,3896,455,1364,441,1775,327
"01120 Västerskog   (Sipoo )",1373,656,56,238,79,294,50
"01150 Söderkulla   (Sipoo )",5547,2687,212,1265,335,898,150
"01180 Kalkkiranta   (Porvoo )",462,218,11,76,34,109,14
"01190 Box   (Sipoo )",1017,485,27,194,70,218,23
"01200 Hakunila   (Vantaa )",12045,4884,1098,2371,867,2193,632
"01230 Vaarala   (Vantaa )",2929,1523,154,473,199,485,95
"01260 Itä-Hakkila   (Vantaa )",4788,2305,190,967,343,845,138
"01280 Länsimäki   (Vantaa )",9694,4384,778,1684,660,1778,410
"01300 Tikkurila   (Vantaa )",18784,9194,1152,2500,1173,4185,580
"01340 Leinelä   (Vantaa )",795,465,54,96,48,107,25
"01350 Hiekkaharju   (Vantaa )",9915,4806,648,1660,723,1769,309
"01360 Koivukylä-Havukoski   (Vantaa )",12635,5489,996,1943,1080,2523,604
"01370 Jokiniemi   (Vantaa )",6565,3414,463,1099,722,640,227
"01380 Kuusikko-Hakkila   (Vantaa )",1934,939,78,427,157,285,48
"01390 Ruskeasanta-Ilola   (Vantaa )",8927,4610,373,1912,666,1157,209
"01400 Rekola   (Vantaa )",8321,3593,495,1635,660,1671,267
"01420 Päiväkumpu   (Vantaa )",3211,1539,133,685,269,497,88
"01450 Korso   (Vantaa )",18313,8557,1155,3369,1371,3216,645
"01480 Mikkola   (Vantaa )",6321,2896,427,1179,465,1086,268
"01490 Nikinmäki   (Sipoo )",4119,2040,151,1082,305,458,83
"01510 Kirkonkylä-Veromäki   (Vantaa )",6350,3303,413,1398,355,612,269
"01520 Tammisto   (Vantaa )",7847,4314,341,2017,480,494,201
"01530 Veromiehenkylä   (Vantaa )",464,252,51,51,36,26,48
"01600 Myyrmäki   (Vantaa )",16658,6877,1132,2391,1175,4409,674
"01610 Kaivoksela   (Vantaa )",5061,2511,359,720,312,955,204
"01620 Martinlaakso   (Vantaa )",11742,4987,798,1868,801,2823,465
"01630 Hämeenkylä   (Vantaa )",2105,1029,80,429,149,362,56
"01640 Hämevaara   (Vantaa )",3325,1610,190,577,219,608,121
"01650 Vapaala   (Vantaa )",4069,1920,197,657,257,889,149
"01660 Varisto   (Vantaa )",2328,1003,132,381,145,581,86
"01670 Vantaanlaakso   (Vantaa )",2774,1434,85,512,161,534,48
"01680 Askisto   (Vantaa )",2096,985,85,461,160,341,64
"01690 Ylästö   (Vantaa )",4651,2336,139,1253,348,467,108
"01700 Kivistö   (Vantaa )",6211,3576,259,1330,374,541,131
"01710 Pähkinärinne   (Vantaa )",5106,2365,335,813,305,1081,207
"01720 Petikko   (Vantaa )",63,33,4,3,5,12,6
"01730 Vantaanpuisto   (Vantaa )",2487,1236,87,467,136,492,69
"01740 Tuupakan teollisuusalue   (Vantaa )",198,95,8,29,8,53,5
"01750 Keimola   (Vantaa )",847,423,42,163,68,129,22
"01760 Seutula   (Vantaa )",2114,1014,82,392,140,417,69
"01770 Martinlaakson teollisuusalue   (Vantaa )",0,0,0,0,0,0,0
"01800 Klaukkala Keskus   (Nurmijärvi )",8036,3845,308,1596,508,1598,181
"01810 Luhtajoki   (Nurmijärvi )",708,342,16,155,68,112,15
"01820 Haikala   (Nurmijärvi )",3428,1720,112,819,263,450,64
"01830 Lepsämä   (Nurmijärvi )",2544,1177,82,639,215,379,52
"01840 Klaukkala   (Nurmijärvi )",4145,2080,135,1043,341,458,88
"01860 Perttula   (Nurmijärvi )",2121,981,68,472,146,388,66
"01900 Nurmijärvi Keskus   (Nurmijärvi )",8969,3990,342,1698,649,2049,241
"01940 Palojoki   (Nurmijärvi )",765,357,18,157,55,168,10
"02100 Tapiola   (Espoo )",4775,2205,207,580,280,1335,168
"02110 Otsolahti   (Espoo )",2784,1416,129,379,181,571,108
"02120 Länsikorkee-Suvikumpu   (Espoo )",2823,1414,123,383,186,641,76
"02130 Pohjois-Tapiola   (Espoo )",6154,2876,197,1222,469,1221,169
"02140 Laajalahti   (Espoo )",3753,1711,151,858,330,578,125
"02150 Otaniemi   (Espoo )",3960,1816,78,103,1445,83,435
"02160 Westend   (Espoo )",3142,1352,85,601,261,668,175
"02170 Haukilahti   (Espoo )",5714,2464,230,964,460,1370,226
"02180 Mankkaa   (Espoo )",6818,3220,226,1639,560,976,197
"02200 Niittykumpu   (Espoo )",7836,3792,294,1339,493,1627,291
"02210 Olari   (Espoo )",11021,4897,548,1800,804,2553,419
"02230 Matinkylä   (Espoo )",20910,9705,1342,3481,1662,3806,914
"02240 Friisilä   (Espoo )",2148,1008,70,440,184,394,52
"02250 Henttaa   (Espoo )",3809,1953,271,868,275,280,162
"02260 Kaitaa   (Espoo )",3727,1764,191,779,272,579,142
"02270 Finnoo-Eestinmalmi   (Espoo )",2254,1066,84,511,174,349,70
"02280 Malminmäki-Eestinlaakso   (Espoo )",4447,2182,274,1026,354,454,157
"02290 Puolarmetsän sairaala   (Espoo )",12,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",2534,1254,77,575,225,334,69
"02320 Espoonlahti   (Espoo )",16342,6881,1023,2577,1148,4080,633
"02330 Saunalahti-Kattilalaakso   (Espoo )",9071,4463,390,2231,642,1076,269
"02340 Latokaski   (Espoo )",5018,2441,162,1313,365,593,144
"02360 Soukka   (Espoo )",9757,4194,592,1679,725,2177,390
"02380 Suvisaaristo   (Espoo )",640,247,24,109,59,163,38
"02390 Sarvvik   (Kirkkonummi )",422,255,19,50,32,45,21
"02400 Kirkkonummi Keskus   (Kirkkonummi )",12378,5461,610,2322,947,2667,371
"02410 Gesterby   (Kirkkonummi )",2071,817,225,259,145,513,112
"02420 Jorvas   (Kirkkonummi )",1852,848,55,388,148,356,57
"02430 Masala   (Kirkkonummi )",4363,1915,311,1037,315,626,159
"02440 Luoma   (Kirkkonummi )",625,281,19,121,42,138,24
"02450 Sundsberg   (Kirkkonummi )",1916,985,52,689,83,79,28
"02460 Kantvik   (Kirkkonummi )",1757,865,104,332,132,276,48
"02470 Upinniemi   (Kirkkonummi )",315,181,21,22,26,59,6
"02480 Porkkala   (Kirkkonummi )",4448,2164,167,1028,306,659,124
"02490 Pikkala   (Siuntio )",312,165,12,42,15,61,17
"02510 Oitmäki   (Kirkkonummi )",514,241,27,84,45,97,20
"02520 Lapinkylä   (Kirkkonummi )",787,344,26,146,47,200,24
"02540 Kylmälä   (Kirkkonummi )",649,312,28,118,44,121,26
"02550 Evitskog   (Kirkkonummi )",870,399,48,178,42,162,41
"02570 Siuntio Kirkonkylä   (Siuntio )",1294,623,58,248,81,251,33
"02580 Siuntio Asemanseutu   (Siuntio )",3440,1539,109,757,232,713,90
"02590 Lappers   (Siuntio )",248,119,4,59,15,47,4
"02600 Etelä-Leppävaara   (Espoo )",11021,5458,656,1990,926,1539,452
"02610 Kilo   (Espoo )",6232,2891,418,1314,680,580,349
"02620 Karakallio   (Espoo )",8397,3731,417,1855,601,1527,266
"02630 Nihtisilta   (Espoo )",3418,1759,197,727,254,366,115
"02650 Pohjois-Leppävaara   (Espoo )",10459,5407,674,1587,716,1654,421
"02660 Lintuvaara   (Espoo )",6149,2886,273,1438,645,678,229
"02680 Uusmäki   (Espoo )",2471,1346,81,624,146,219,55
"02700 Kauniainen   (Kauniainen )",9244,3944,299,1696,881,2093,331
"02710 Viherlaakso   (Espoo )",6036,2668,320,1009,388,1476,175
"02720 Lähderanta   (Espoo )",2981,1369,119,548,245,599,101
"02730 Jupperi   (Espoo )",4549,2151,140,932,387,843,96
"02740 Bemböle-Pakankylä   (Espoo )",3173,1633,137,783,225,265,130
"02750 Sepänkylä-Kuurinniitty   (Espoo )",6196,3069,344,1526,500,552,205
"02760 Tuomarila-Suvela   (Espoo )",14284,6691,932,2932,1123,1911,695
"02770 Espoon Keskus   (Espoo )",10460,4707,692,1907,1079,1623,452
"02780 Kauklahti   (Espoo )",10143,4840,502,2583,768,1098,352
"02810 Gumböle-Karhusuo   (Espoo )",1665,812,49,472,129,168,35
"02820 Nupuri-Nuuksio   (Espoo )",1437,663,59,269,106,289,51
"02860 Siikajärvi   (Espoo )",659,296,31,118,47,151,16
"02880 Veikkola   (Kirkkonummi )",5852,2791,221,1437,440,853,110
"02920 Niipperi   (Espoo )",5307,2477,225,1423,436,585,161
"02940 Lippajärvi-Järvenperä   (Espoo )",10212,4919,468,2202,759,1561,303
"02970 Kalajärvi   (Espoo )",3664,1740,164,844,264,544,108
"02980 Lakisto   (Espoo )",351,176,27,20,17,97,14
"03100 Nummela   (Vihti )",15082,6736,810,2935,1011,3180,410
"03150 Huhmari   (Vihti )",767,378,37,109,62,161,20
"03220 Tervalampi   (Vihti )",593,284,21,80,39,158,11
"03250 Ojakkala   (Vihti )",1971,956,80,434,140,311,50
"03300 Otalampi   (Vihti )",2413,1149,106,538,149,425,46
"03320 Selki   (Vihti )",343,157,16,70,21,67,12
"03400 Vihti Kirkonkylä   (Vihti )",6553,2899,305,1282,473,1428,166
"03430 Jokikunta   (Vihti )",534,253,13,119,43,96,10
"03600 Karkkila Keskus   (Karkkila )",6558,2610,331,1081,366,1975,195
"03620 Polari   (Karkkila )",2095,878,127,376,131,520,63
"03710 Uusitalo   (Karkkila )",194,85,11,37,9,47,5
"03790 Vihtijärvi   (Vihti )",521,258,25,92,26,113,7
"03810 Ikkala   (Lohja )",603,236,54,99,36,156,22
"03850 Pusula   (Lohja )",1682,676,96,245,81,549,35
"03870 Hyönölä   (Lohja )",191,79,14,29,5,60,4
"04130 Sipoo   (Sipoo )",7171,3305,280,1349,530,1500,207
"04150 Martinkylä   (Sipoo )",661,311,27,126,44,126,27
"04170 Paippinen   (Sipoo )",1258,633,30,260,73,242,20
"04200 Kerava Keskus   (Kerava )",11407,4752,678,1507,719,3398,353
"04220 Ahjo-Kaskela   (Kerava )",5169,2603,303,1065,412,604,182
"04230 Pihkaniitty   (Kerava )",7605,3593,323,1511,443,1569,166
"04240 Talma   (Sipoo )",1233,613,43,233,92,218,34
"04250 Alikerava   (Kerava )",4769,2186,334,795,340,940,174
"04260 Savio   (Kerava )",6386,2965,416,1121,466,1223,195
"04300 Hyrylä   (Tuusula )",10297,4727,424,1977,657,2281,231
"04310 Tuusula Keskus   (Tuusula )",2569,1206,85,487,186,536,69
"04320 Riihikallio   (Tuusula )",4836,2307,219,922,296,989,103
"04330 Lahela   (Tuusula )",2320,1206,64,598,174,237,41
"04340 Mattila   (Tuusula )",2254,1107,101,431,172,398,45
"04350 Nahkela   (Tuusula )",522,255,16,86,37,111,17
"04360 Ruotsinkylä-Kiilinmäki   (Tuusula )",1241,603,57,223,90,231,37
"04370 Rusutjärvi   (Tuusula )",793,400,21,165,43,140,24
"04380 Tuomala   (Tuusula )",591,288,18,110,52,111,12
"04390 Jäniksenlinna   (Tuusula )",478,230,13,98,39,90,8
"04400 Loutti   (Järvenpää )",9918,4565,519,1289,619,2651,275
"04410 Järvenpää Keskus   (Järvenpää )",10344,4690,610,1740,752,2278,274
"04420 Kyrölä   (Järvenpää )",3854,1957,156,767,240,646,88
"04430 Kinnari-Mikonkorpi   (Järvenpää )",9046,4620,369,1758,611,1499,189
"04440 Jamppa   (Järvenpää )",4574,1835,417,783,353,993,193
"04460 Nummenkylä   (Tuusula )",1967,1026,88,478,130,193,52
"04480 Haarajoki   (Mäntsälä )",2454,1161,81,667,198,290,57
"04500 Kellokoski   (Tuusula )",6025,2816,259,1410,433,988,119
"04530 Ohkola   (Mäntsälä )",927,423,27,222,59,178,18
"04600 Mäntsälä Keskus   (Mäntsälä )",9286,3922,427,1649,596,2458,234
"04620 Kaunismäki   (Mäntsälä )",2081,1015,72,634,151,170,39
"04630 Sääksjärvi   (Mäntsälä )",876,382,39,170,77,173,35
"04660 Numminen   (Mäntsälä )",1731,814,76,378,132,287,44
"04680 Hirvihaara   (Mäntsälä )",664,293,30,154,46,122,19
"04740 Sälinkää   (Mäntsälä )",1188,509,44,247,68,291,29
"04770 Sahakylä   (Mäntsälä )",207,88,14,42,10,48,5
"04820 Kaukalampi   (Mäntsälä )",300,152,4,76,13,48,7
"04840 Hautjärvi   (Mäntsälä )",243,123,9,31,16,56,8
"04920 Saarentaus   (Mäntsälä )",342,160,19,66,19,65,13
"04940 Levanto   (Mäntsälä )",304,116,14,65,21,80,8
"05100 Röykkä   (Nurmijärvi )",2301,1107,107,532,147,364,44
"05200 Rajamäki   (Nurmijärvi )",6779,2991,285,1599,495,1223,186
"05250 Kiljava   (Nurmijärvi )",178,90,7,29,10,38,4
"05400 Jokela   (Tuusula )",6534,3009,313,1383,476,1222,131
"05430 Nuppulinna   (Tuusula )",1022,479,41,210,59,214,19
"05440 Hyvinkää   (Hyvinkää )",517,265,11,186,22,30,3
"05450 Nukari   (Nurmijärvi )",1089,486,44,239,90,203,27
"05460 Hakalanmäki-Hakala   (Hyvinkää )",3278,1520,150,585,198,740,85
"05470 Palopuro   (Hyvinkää )",323,149,16,54,21,69,14
"05510 Päivärinta   (Hyvinkää )",458,212,29,63,29,108,17
"05620 Noppo   (Hyvinkää )",1332,665,56,290,89,197,35
"05720 Kytäjä   (Hyvinkää )",566,274,27,132,22,96,15
"05800 Hyvinkää Keskus   (Hyvinkää )",9543,3894,538,982,583,3285,261
"05810 Martti   (Hyvinkää )",5705,2778,211,1431,528,615,142
"05820 Mustamännistö   (Hyvinkää )",5199,2350,302,1016,401,972,158
"05830 Kirjavatolppa-Kruununpuisto   (Hyvinkää )",7157,3283,359,1076,437,1804,198
"05840 Hyvinkäänkylä-Vehkoja   (Hyvinkää )",3754,1724,234,672,266,728,130
"05850 Hyvinkää, sairaala-alue   (Hyvinkää )",0,0,0,0,0,0,0
"05860 Talvisilta   (Hyvinkää )",1420,636,73,237,93,331,50
"05880 Paavola-Vaivero   (Hyvinkää )",3418,1245,290,489,245,966,183
"05900 Vieremä   (Hyvinkää )",3886,1544,221,414,231,1343,133
"05950 Ridasjärvi   (Hyvinkää )",393,185,18,66,22,97,5
"06100 Porvoo Keskus   (Porvoo )",18504,8159,858,2773,1304,4951,459
"06150 Kevätkumpu   (Porvoo )",5888,2443,363,998,385,1527,172
"06200 Porvoo itäinen   (Porvoo )",2636,1243,103,468,146,617,59
"06400 Gammelbacka   (Porvoo )",7344,3161,513,1422,593,1394,261
"06450 Eestinmäki-Ernestas   (Porvoo )",2028,1005,94,370,129,391,39
"06500 Saksala-Suomenkylä   (Porvoo )",2139,1038,81,384,128,448,60
"06530 Kerkkoo   (Porvoo )",830,418,22,188,48,138,16
"06650 Hamari   (Porvoo )",1449,653,70,258,98,337,33
"06750 Tolkkinen   (Porvoo )",1784,821,67,433,119,304,40
"06830 Kulloonkylä   (Porvoo )",1072,501,51,227,74,202,17
"06850 Kulloo   (Porvoo )",22,..,..,..,..,..,..
"06880 Kärrby   (Sipoo )",337,150,22,46,22,87,10
"06950 Emäsalo   (Porvoo )",384,162,14,53,23,122,10
"07110 Hinthaara   (Porvoo )",1571,723,54,398,116,250,30
"07130 Anttila   (Porvoo )",659,290,30,132,49,150,8
"07150 Laukkoski   (Pornainen )",978,437,30,229,82,180,20
"07170 Keski-Pornainen   (Pornainen )",2495,1156,95,569,198,428,49
"07190 Halkia   (Pornainen )",1468,716,65,331,97,229,30
"07220 Kaarenkylä   (Porvoo )",312,134,13,62,13,85,5
"07230 Monninkylä   (Askola )",1615,708,47,362,123,338,37
"07280 Ilola   (Porvoo )",909,439,43,186,64,155,22
"07310 Sannainen   (Porvoo )",432,217,9,97,23,64,22
"07320 Jakari-Sannäs   (Porvoo )",438,214,10,88,21,99,6
"07350 Gäddrag   (Porvoo )",83,38,2,18,0,20,5
"07360 Tirmo   (Porvoo )",40,19,3,1,1,14,2
"07370 Pellinki   (Porvoo )",133,53,4,13,3,55,5
"07390 Suurpellinki   (Porvoo )",123,53,1,25,9,30,5
"07410 Kråkö   (Porvoo )",308,134,11,42,9,107,5
"07450 Voolahti   (Porvoo )",422,186,9,75,20,119,13
"07500 Askola Kirkonkylä   (Askola )",1167,500,50,268,75,252,22
"07510 Vakkola   (Askola )",684,318,40,140,41,129,16
"07530 Onkimaa   (Askola )",303,132,17,50,9,91,4
"07550 Torpinkylä   (Pukkila )",306,140,15,56,25,67,3
"07560 Pukkila Keskus   (Pukkila )",1384,571,72,252,87,362,40
"07565 Kantele   (Pukkila )",260,115,10,32,24,67,12
"07580 Tiilää   (Askola )",71,34,6,13,3,14,1
"07590 Huuvari-Tiilää   (Askola )",628,280,29,124,40,137,18
"07600 Myrskylä Keskus   (Myrskylä )",1730,675,101,296,76,537,45
"07680 Juornaankylä   (Askola )",537,245,22,101,35,121,13
"07690 Kankkila   (Myrskylä )",144,56,16,17,7,43,5
"07700 Koskenkylän saha-alue   (Loviisa )",1218,577,64,258,79,224,16
"07720 Malmgård   (Loviisa )",79,41,1,8,4,22,3
"07740 Gammelby   (Loviisa )",427,203,15,79,20,96,14
"07750 Isnäs   (Loviisa )",540,226,37,82,25,159,11
"07780 Härkäpää   (Loviisa )",165,64,6,17,7,65,6
"07800 Lapinjärvi Keskus   (Lapinjärvi )",894,329,50,135,34,322,24
"07810 Ingermaninkylä   (Lapinjärvi )",273,123,14,40,12,75,9
"07820 Porlammi   (Lapinjärvi )",507,197,27,65,22,179,17
"07830 Pukaro   (Lapinjärvi )",278,125,18,39,18,71,7
"07840 Lindkoski   (Lapinjärvi )",206,96,9,33,15,49,4
"07850 Heikinkylä   (Lapinjärvi )",306,120,12,46,18,102,8
"07870 Skinnarby   (Loviisa )",444,208,18,69,27,106,16
"07880 Liljendal Keskus   (Loviisa )",1030,435,31,172,57,308,27
