"Postal code area","Aged 18 or over, total, 2016 (HR)","Average income of inhabitants, 2016 (HR)","Median income of inhabitants, 2016 (HR)","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabitants belonging to the middle income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)","Accumulated purchasing power of inhabitants, 2016 (HR)"
"00870 Etelä-Laajasalo   (Helsinki )",4644,23958,21802,867,2795,982,111260942
"00880 Roihupellon teollisuusalue   (Helsinki )",638,24366,22066,114,386,138,15545293
"00890 Östersundom   (Helsinki )",1467,49234,29265,309,481,677,72226547
"00900 Puotinharju   (Helsinki )",3566,21462,19900,788,2178,600,76534235
"00910 Puotila   (Helsinki )",5162,22420,20959,937,3325,900,115733090
"00920 Myllypuro   (Helsinki )",10020,23493,21809,1876,6057,2087,235403746
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5428,27443,21077,1203,2958,1267,148958639
"00940 Kontula - Vesala   (Helsinki )",20873,20403,19324,4904,13268,2701,425863178
"00950 Vartioharju   (Helsinki )",4593,30494,26198,703,2200,1690,140056757
"00960 Pohjois-Vuosaari   (Helsinki )",5924,23547,22200,993,3729,1202,139490570
"00970 Mellunmäki   (Helsinki )",8769,21999,20954,1712,5650,1407,192909977
"00980 Etelä-Vuosaari   (Helsinki )",17654,22537,20968,3716,10622,3316,397871456
"00990 Aurinkolahti   (Helsinki )",6732,28398,24894,971,3658,2103,191177674
"01120 Västerskog   (Sipoo )",1087,31902,25040,228,468,391,34677988
"01150 Söderkulla   (Sipoo )",4098,31248,26536,619,1962,1517,128052871
"01180 Kalkkiranta   (Porvoo )",362,29887,24847,72,163,127,10819083
"01190 Box   (Sipoo )",780,27241,25418,121,408,251,21247751
"01200 Hakunila   (Vantaa )",9264,22112,21052,1742,6059,1463,204842888
"01230 Vaarala   (Vantaa )",2363,26426,25368,353,1307,703,62444749
"01260 Itä-Hakkila   (Vantaa )",3617,29220,25773,554,1858,1205,105690127
"01280 Länsimäki   (Vantaa )",7695,23498,22558,1324,4819,1552,180816960
"01300 Tikkurila   (Vantaa )",15797,25420,23363,2359,9616,3822,401565598
"01340 Leinelä   (Vantaa )",684,22482,21856,91,489,104,15377759
"01350 Hiekkaharju   (Vantaa )",7913,24694,23118,1200,4915,1798,195403981
"01360 Koivukylä-Havukoski   (Vantaa )",10348,21398,20166,2162,6646,1540,221429031
"01370 Jokiniemi   (Vantaa )",5276,22484,21778,1042,3297,937,118624862
"01380 Kuusikko-Hakkila   (Vantaa )",1413,29244,26946,193,736,484,41322138
"01390 Ruskeasanta-Ilola   (Vantaa )",6672,28516,26330,936,3427,2309,190260092
"01400 Rekola   (Vantaa )",6315,25792,23810,930,3721,1664,162879073
"01420 Päiväkumpu   (Vantaa )",2356,28648,26511,371,1175,810,67493517
"01450 Korso   (Vantaa )",14277,24754,23428,2347,8482,3448,353418704
"01480 Mikkola   (Vantaa )",4897,23894,22824,818,3033,1046,117008900
"01490 Nikinmäki   (Sipoo )",2830,30422,28488,394,1277,1159,86093099
"01510 Kirkonkylä-Veromäki   (Vantaa )",4803,25431,24089,710,2883,1210,122144467
"01520 Tammisto   (Vantaa )",5609,29238,27435,672,2878,2059,163994264
"01530 Veromiehenkylä   (Vantaa )",405,20417,20923,95,260,50,8269044
"01600 Myyrmäki   (Vantaa )",13865,22895,21809,2304,9000,2561,317433788
"01610 Kaivoksela   (Vantaa )",4239,24505,23356,634,2679,926,103877029
"01620 Martinlaakso   (Vantaa )",9518,23867,22524,1550,5984,1984,227161874
"01630 Hämeenkylä   (Vantaa )",1587,31412,27636,182,816,589,49851436
"01640 Hämevaara   (Vantaa )",2630,28866,25404,378,1373,879,75918432
"01650 Vapaala   (Vantaa )",3298,27840,24696,498,1782,1018,91816011
"01660 Varisto   (Vantaa )",1856,25737,23775,265,1120,471,47768495
"01670 Vantaanlaakso   (Vantaa )",2178,29547,27408,223,1161,794,64352606
"01680 Askisto   (Vantaa )",1539,29637,26666,215,773,551,45612094
"01690 Ylästö   (Vantaa )",3164,33159,29805,400,1319,1445,104915655
