"Postal code area","Aged 18 or over, total, 2016 (HR)","Average income of inhabitants, 2016 (HR)","Median income of inhabitants, 2016 (HR)","Inhabintants belonging to the lowest income category, 2016 (HR)","Inhabitants belonging to the middle income category, 2016 (HR)","Inhabintants belonging to the highest income category, 2016 (HR)","Accumulated purchasing power of inhabitants, 2016 (HR)"
"22140 Önningby   (Jomala )",803,31054,30074,81,356,366,24936252
"22150 Jomala Centrum   (Jomala )",1447,27098,25453,192,838,417,39211052
"22160 Järsö   (Lemland )",277,33210,29679,36,117,124,9199177
"22220 Emkarby   (Finström )",309,26546,25088,39,187,83,8202760
"22240 Hammarland   (Hammarland )",1161,25730,24135,180,691,290,29872514
"22270 Storby   (Eckerö )",760,25097,23946,137,426,197,19073642
"22310 Pålsböle   (Finström )",418,23069,21975,82,253,83,9642755
"22320 Ödkarby   (Saltvik )",663,26539,25054,113,351,199,17595124
"22330 Tjudö   (Finström )",257,32796,24010,46,140,71,8428555
"22340 Geta   (Geta )",396,22923,22099,90,224,82,9077429
"22410 Godby   (Finström )",1219,24812,24026,193,729,297,30245972
"22430 Saltvik   (Saltvik )",550,25903,24640,62,349,139,14246813
"22520 Tosarby   (Sund )",410,25599,24075,56,257,97,10495779
"22530 Sund   (Sund )",403,24481,23056,62,245,96,9865804
"22550 Vårdö   (Vårdö )",336,24746,22736,63,197,76,8314671
"22610 Lemland   (Lemland )",1148,26499,25722,183,628,337,30421048
"22630 Lumparland   (Lumparland )",321,26519,23374,58,170,93,8512697
"22710 Ålands Degerby   (Föglö )",459,25848,23386,86,279,94,11864296
"22720 Sottunga   (Sottunga )",86,28443,23386,18,47,21,2446073
"22730 Kökar   (Kökar )",209,23408,20839,37,123,49,4892206
"22810 Seglinge   (Kumlinge )",29,..,..,..,..,..,..
"22820 Kumlinge   (Kumlinge )",168,24755,23561,30,91,47,4158915
"22830 Enklinge   (Kumlinge )",62,23841,23746,12,37,13,1478117
"22840 Lappo   (Brändö )",58,28010,21271,11,32,15,1624584
"22910 Torsholma   (Brändö )",67,28170,27991,11,33,23,1887404
"22920 Brändö-Åland   (Brändö )",145,27519,20580,26,83,36,3990248
"22930 Fiskö   (Brändö )",31,26583,26929,5,17,9,824077
"22940 Åva   (Brändö )",77,29988,24113,14,44,19,2309060
"22950 Jurmo   (Brändö )",39,23443,24952,9,20,10,914280
"23100 Mynämäki Keskus   (Mynämäki )",4975,22534,20590,942,3221,812,112104206
"23120 Mietoinen Keskus   (Mynämäki )",722,23728,22240,117,463,142,17131763
"23140 Hietamäki   (Mynämäki )",540,23937,22760,89,342,109,12926123
"23200 Vinkkilä   (Vehmaa )",1294,22138,18861,277,842,175,28646459
"23210 Vehmaa   (Vehmaa )",471,23194,20612,89,301,81,10924185
"23260 Rautila   (Vehmaa )",155,24860,22570,26,96,33,3853249
"23310 Taivassalo   (Taivassalo )",1357,22198,19609,280,853,224,30122233
"23360 Kustavi   (Kustavi )",800,22081,18299,176,506,118,17664861
"23390 Iniö   (Parainen )",184,22701,20349,44,105,35,4177045
"23450 Lokalahti   (Uusikaupunki )",787,23128,21371,162,492,133,18201515
"23500 Uusikaupunki Keskus   (Uusikaupunki )",9383,22680,21009,1496,6520,1367,212808781
"23600 Kalanti Keskus   (Uusikaupunki )",1776,22131,21092,313,1212,251,39304270
"23660 Kalanti Asemanseutu   (Uusikaupunki )",295,41357,21584,58,179,58,12200326
"23800 Laitila Keskus   (Laitila )",6330,22240,20455,1293,4080,957,140776911
"23840 Soukainen   (Laitila )",201,21730,19877,51,114,36,4367748
"23880 Suontaka   (Laitila )",82,21072,20185,22,51,9,1727930
"23930 Pyhämaa   (Uusikaupunki )",465,21358,19403,102,286,77,9931332
"23950 Pyhäranta   (Pyhäranta )",429,22359,21266,78,296,55,9591850
"23960 Santtio   (Pyhäranta )",194,21550,20384,43,121,30,4180630
"24100 Salo Keskus   (Salo )",7880,20707,17850,1722,5265,893,163173643
"24130 Ylhäisi   (Salo )",2990,23468,20747,561,1868,561,70169175
"24240 Rappula   (Salo )",3405,22130,18646,713,2186,506,75353887
"24260 Ollikkala   (Salo )",3737,19772,17636,957,2414,366,73886494
"24280 Tupuri-Hähkänä   (Salo )",3718,25618,23749,601,2219,898,95248252
"24800 Halikko Keskus   (Salo )",3769,23000,20433,700,2452,617,86688315
"24910 Halikko Asemanseutu   (Salo )",776,27354,24506,117,439,220,21226502
"25110 Kruusila   (Salo )",294,21986,18101,87,166,41,6463960
"25130 Muurla   (Salo )",1182,23952,21007,250,705,227,28311667
"25160 Tuohittu   (Salo )",100,25636,21326,24,62,14,2563551
"25170 Kotalato   (Salo )",108,21713,19984,28,57,23,2345001
"25180 Romsila   (Salo )",188,23746,21388,50,101,37,4464157
"25190 Inkere   (Salo )",750,22951,21133,137,496,117,17213290
"25210 Vartsala   (Salo )",293,26010,21984,47,173,73,7620963
"25230 Angelniemi   (Salo )",305,21984,19243,91,151,63,6705211
"25240 Hajala   (Salo )",538,23813,20263,108,322,108,12811311
"25250 Märynummi   (Salo )",793,24015,21910,121,535,137,19043661
"25260 Vaskio   (Salo )",810,22751,19902,194,475,141,18428676
"25320 Raatala   (Salo )",340,21714,19384,95,190,55,7382665
"25330 Kuusjoki Keskus   (Salo )",660,20842,19477,149,432,79,13755631
"25340 Kanunki   (Salo )",324,21334,19392,85,189,50,6912266
"25360 Pertteli Keskus   (Salo )",930,22330,21048,203,572,155,20766559
"25370 Hiisi   (Salo )",515,21714,20424,108,331,76,11182465
"25380 Rekijoki   (Salo )",406,20348,18042,102,249,55,8261436
"25390 Kiikala Keskus   (Salo )",672,21002,18164,167,402,103,14113250
"25410 Suomusjärvi Keskus   (Salo )",958,21146,18186,222,593,143,20257711
"25420 Lahnajärvi   (Salo )",116,23417,21861,23,71,22,2716373
"25430 Kettula   (Salo )",62,23280,20427,14,35,13,1443386
"25460 Toija   (Salo )",971,20883,18308,221,629,121,20277747
"25470 Kisko kk   (Salo )",253,22221,18877,62,158,33,5621929
"25500 Perniö Keskus   (Salo )",2789,21698,18381,600,1816,373,60516816
"25520 Perniö Asemanseutu   (Salo )",511,23843,20864,103,322,86,12183966
"25540 Knaapila   (Salo )",166,22925,19767,35,105,26,3805529
"25550 Aijala   (Salo )",77,18688,16535,20,51,6,1439000
"25560 Koski Asemanseutu   (Salo )",183,27284,18922,46,106,31,4993012
"25570 Teijo-Mathildedal   (Salo )",479,21403,17860,124,287,68,10252091
"25610 Ylönkylä   (Salo )",327,23756,20223,67,198,62,7768245
"25630 Finby   (Salo )",238,22471,19360,45,157,36,5348010
"25640 Förby   (Salo )",214,24179,19170,53,125,36,5174217
"25650 Strömma   (Kemiönsaari )",91,21133,18771,23,55,13,1923058
"25660 Mathildedal   (Salo )",116,25813,21079,16,70,30,2994297
"25700 Kemiö Keskus   (Kemiönsaari )",1896,21687,19575,390,1207,299,41118916
"25710 Vreta-Vestlax   (Kemiönsaari )",248,23859,23092,49,150,49,5916986
"25730 Mjösund   (Kemiönsaari )",83,22266,19518,12,55,16,1848081
"25760 Kiila   (Kemiönsaari )",112,19830,16715,30,72,10,2220953
"25810 Mark   (Kemiönsaari )",57,18237,18067,19,34,4,1039505
"25820 Vestlax   (Kemiönsaari )",82,21733,19372,19,47,16,1782084
"25830 Västanfjärd Keskus   (Kemiönsaari )",407,22619,19502,89,250,68,9205944
"25840 Nivelax   (Kemiönsaari )",212,22000,19278,42,131,39,4664095
"25860 Björkboda   (Kemiönsaari )",265,23780,20460,61,156,48,6301735
"25870 Dragsfjärd   (Kemiönsaari )",796,21247,18986,146,554,96,16912321
"25900 Taalintehdas   (Kemiönsaari )",1210,19929,17865,251,840,119,24114154
"25910 Vänoxa   (Kemiönsaari )",7,..,..,..,..,..,..
"25930 Kasnäs   (Kemiönsaari )",64,25478,23217,11,40,13,1630572
"25940 Hiittinen   (Kemiönsaari )",56,19777,17705,13,35,8,1107497
"25950 Rosala-Kasnäs-Hitis   (Kemiönsaari )",100,22681,20350,23,55,22,2268118
"25960 Högsåra   (Kemiönsaari )",40,22811,19424,11,19,10,912440
"26100 Rauma Keskus   (Rauma )",13678,22288,19481,2910,8410,2358,304849009
"26200 Merirauma-Kappelinluhta   (Rauma )",4087,26879,23234,717,2307,1063,109855816
"26410 Kaaro   (Rauma )",1112,26725,24585,169,633,310,29717754
"26510 Uotila   (Rauma )",2099,23580,21911,337,1338,424,49495086
"26560 Kolla   (Rauma )",553,24240,22756,99,332,122,13404725
"26660 Paroalho   (Rauma )",4085,22329,20733,753,2680,652,91212991
"26720 Monnanummi   (Rauma )",278,26503,25645,27,159,92,7367851
"26740 Vasarainen   (Rauma )",430,25811,22170,93,238,99,11098569
"26820 Sampaanala   (Rauma )",1311,20354,19234,316,835,160,26683634
"26840 Kortela   (Rauma )",624,24336,22161,111,387,126,15185953
"26910 Unaja   (Rauma )",500,24629,24110,83,292,125,12314564
"26930 Vermuntila   (Rauma )",472,23001,20188,98,290,84,10856558
"26950 Voiluoto   (Rauma )",318,24243,22706,56,180,82,7709359
"27100 Eurajoki Keskus   (Eurajoki )",2655,24215,22327,453,1603,599,64291372
"27110 Irjanne   (Eurajoki )",446,24007,23260,93,251,102,10707229
"27130 Eurajoki asemanseutu   (Eurajoki )",265,22611,20695,65,149,51,5991833
"27150 Lapijoki   (Eurajoki )",1117,24250,23603,180,714,223,27087320
"27160 Olkiluoto   (Eurajoki )",0,0,0,0,0,0,0
"27170 Kuivalahti   (Eurajoki )",295,27822,20239,73,157,65,8207615
"27220 Ala-Kieri   (Rauma )",484,22647,21897,105,287,92,10961122
"27230 Lappi   (Rauma )",1634,22551,19908,346,1011,277,36848478
"27250 Kodiksami   (Rauma )",115,21771,18120,26,67,22,2503707
"27260 Kuolimaa   (Rauma )",150,21466,18782,39,84,27,3219829
"27310 Kodisjoki   (Rauma )",400,21753,20560,84,250,66,8701140
"27320 Ihode   (Pyhäranta )",584,22391,21872,113,368,103,13076604
"27340 Reila   (Pyhäranta )",383,24010,21943,67,233,83,9195860
"27400 Kiukainen Keskus   (Eura )",1070,21184,18661,259,647,164,22666883
"27420 Panelia Asemanseutu   (Eura )",211,24273,21264,40,137,34,5121672
"27430 Panelia   (Eura )",975,21391,19530,227,614,134,20856277
"27450 Harola   (Eura )",170,22037,20333,31,118,21,3746352
"27500 Kauttua   (Eura )",2590,24123,22330,392,1697,501,62479637
"27510 Eura Keskus   (Eura )",3394,23276,20568,597,2216,581,78999550
"27600 Hinnerjoki   (Eura )",579,21965,19318,147,337,95,12717819
"27640 Honkilahti kk   (Eura )",256,19716,17061,73,155,28,5047398
"27650 Honkilahti   (Eura )",260,19756,17984,78,152,30,5136477
"27670 Mannila   (Eura )",131,21747,19609,35,73,23,2848872
"27710 Köyliö Keskus   (Säkylä )",890,22538,19450,180,585,125,20058626
"27730 Tuiskula   (Säkylä )",170,21336,19819,48,97,25,3627057
"27740 Voitoinen   (Säkylä )",133,20221,16868,46,64,23,2689416
"27750 Yttilä   (Säkylä )",272,21895,20892,44,182,46,5955448
"27800 Säkylä Keskus   (Säkylä )",2588,23634,21197,423,1697,468,61164280
"27820 Iso-Vimma   (Säkylä )",592,23211,21517,98,401,93,13741051
"27840 Kakkuri   (Säkylä )",378,23001,21356,60,262,56,8694219
"27860 Vuori   (Säkylä )",280,22774,20201,63,170,47,6376742
"27910 Huovinrinne   (Säkylä )",138,21831,21720,27,90,21,3012644
"27920 Otajoki   (Säkylä )",224,23378,21560,35,153,36,5236702
"28100 Pori Keskus   (Pori )",11679,21546,17845,2647,7592,1440,251635575
"28120 Käppärä-Isomäki   (Pori )",2999,21859,18867,659,1927,413,65554575
"28130 Impola   (Pori )",5528,20733,18000,1388,3449,691,114612658
"28190 Pormestarinluoto   (Pori )",3207,19321,17437,741,2166,300,61963051
"28200 Toejoki   (Pori )",3822,23398,22101,620,2476,726,89426241
"28220 Ruosniemi   (Pori )",3689,23822,22406,581,2393,715,87879278
"28240 Isojoenranta   (Pori )",594,25259,22234,88,367,139,15003677
"28260 Harjunpää   (Ulvila )",742,23643,21411,130,475,137,17542945
"28300 Kalaholma-Väinölä   (Pori )",1990,27511,24655,275,1183,532,54747016
"28330 Koivistonluoto   (Pori )",2247,22023,19053,501,1463,283,49486468
"28360 Vanhakoivisto   (Pori )",3464,21707,19827,659,2312,493,75192241
"28370 Sampola   (Pori )",2797,18681,16821,681,1945,171,52250217
"28400 Ulvila Keskus   (Ulvila )",4466,23035,20845,793,2904,769,102873292
"28430 Kartano-Harmaalinna   (Pori )",1259,24331,23393,192,789,278,30632749
"28450 Vanha-Ulvila   (Ulvila )",3343,23784,21538,533,2186,624,79509815
"28500 Keskussairaala-alue-Tiilimäki   (Pori )",817,18387,16934,187,577,53,15022581
"28540 Pinomäki   (Pori )",504,24321,23536,100,293,111,12257607
"28560 Lattomeri   (Pori )",367,23954,23189,71,220,76,8790984
"28580 Niittymaa   (Pori )",458,23079,21284,89,286,83,10570172
"28600 Vähärauma   (Pori )",3774,25835,23203,657,2231,886,97499591
"28610 Musa-Tiiliruukki   (Pori )",3191,23996,21523,600,1946,645,76572759
"28660 Pietniemi-Leppäkorpi   (Pori )",2935,24866,22838,464,1842,629,72981716
"28760 Kyläsaari   (Pori )",1771,22498,21932,334,1148,289,39843854
"28800 Pihlava   (Pori )",3481,20968,19464,724,2306,451,72988348
"28840 Yyteri-Kaanaa   (Pori )",739,21528,19763,157,457,125,15909101
"28880 Mäntyluoto   (Pori )",361,20762,17694,81,229,51,7495200
"28900 Tahkoluoto-Reposaari   (Pori )",848,21302,18816,188,531,129,18064200
"29100 Luvia Keskus   (Eurajoki )",2349,23679,21416,432,1448,469,55621317
"29180 Peränkylä   (Eurajoki )",219,21812,19656,46,141,32,4776930
"29200 Harjavalta Keskus   (Harjavalta )",5929,22499,20314,1072,3920,937,133394749
"29250 Nakkila Keskus   (Nakkila )",3783,22051,20101,796,2390,597,83420789
"29270 Hormisto   (Nakkila )",357,20871,18101,95,225,37,7450924
"29280 Järvimaa   (Nakkila )",229,21160,20500,53,151,25,4845583
"29310 Kaasmarkku   (Ulvila )",449,23429,21377,95,270,84,10519468
"29320 Leineperi   (Ulvila )",179,23365,21139,44,101,34,4182259
"29340 Kullaa Keskus   (Ulvila )",762,20633,19381,192,468,102,15722108
"29350 Palus   (Ulvila )",233,21459,18443,60,135,38,4999913
"29570 Söörmarkku   (Pori )",692,25467,23402,112,414,166,17623343
"29600 Noormarkku Keskus   (Pori )",3757,23822,21229,684,2388,685,89499635
"29630 Pomarkku Keskus   (Pomarkku )",1536,20272,18002,395,936,205,31137488
"29640 Honkakoski   (Pomarkku )",227,20987,16528,74,119,34,4763984
"29680 Kairila   (Pori )",250,20171,16541,84,132,34,5042645
"29700 Ahlainen   (Pori )",661,20637,17983,165,414,82,13641084
"29720 Lamppi   (Pori )",160,28693,17745,45,99,16,4590909
"29740 Etelämaa   (Merikarvia )",75,21182,20801,20,47,8,1588686
"29750 Pohjansaha   (Merikarvia )",94,20767,19405,31,48,15,1952119
"29760 Köörtilä   (Merikarvia )",67,21494,18552,15,41,11,1440103
"29790 Tuorila   (Merikarvia )",256,22545,19253,68,143,45,5771527
"29810 Siikainen Keskus   (Siikainen )",753,19154,16866,232,456,65,14422943
"29830 Sammi   (Siikainen )",145,18545,16527,50,80,15,2689056
"29860 Otamo   (Siikainen )",122,17820,16253,40,71,11,2174065
"29880 Leväsjoki-Saarineva   (Siikainen )",161,20025,15651,61,74,26,3224046
"29900 Merikarvia Keskus-Rannikko   (Merikarvia )",1878,21040,18063,437,1236,205,39512332
"29940 Kuvaskangas   (Merikarvia )",223,19857,15987,87,102,34,4428111
"30100 Forssa Keskus   (Tammela )",8699,22391,19723,1624,5690,1385,194781244
"30300 Viksberg   (Forssa )",2212,17714,16152,615,1463,134,39184098
"30420 Tölö   (Forssa )",4054,21053,19335,812,2710,532,85347324
"31110 Matku   (Forssa )",458,21512,18927,101,294,63,9852559
"31130 Koijärvi   (Forssa )",211,22319,20127,45,134,32,4709266
"31140 Menonen   (Urjala )",147,20865,17616,40,85,22,3067118
"31160 Nuutajärvi   (Urjala )",243,18299,15993,72,147,24,4446555
"31170 Savijoki   (Forssa )",171,20874,16038,51,98,22,3569476
"31230 Susikas   (Tammela )",165,20951,18470,42,97,26,3456996
"31250 Teuro   (Tammela )",175,27825,24008,26,109,40,4869351
"31300 Tammela Keskus   (Tammela )",2529,23240,20916,456,1594,479,58773827
"31310 Mustiala   (Tammela )",82,19672,17309,25,46,11,1613137
"31340 Porras   (Tammela )",443,21955,19744,109,261,73,9726073
"31350 Vistinkoski   (Tammela )",208,23794,20594,41,127,40,4949236
"31370 Eerikkilän Urheiluopisto   (Tammela )",1,..,..,..,..,..,..
"31380 Letku-Torro   (Tammela )",254,22978,21877,49,152,53,5836330
"31400 Somero Keskus   (Somero )",5153,21083,18490,1106,3349,698,108640082
"31410 Ylöpirtti   (Somero )",300,21186,19739,77,173,50,6355794
"31450 Häntälä   (Somero )",282,24163,22001,59,162,61,6814023
"31460 Hirsjärvi   (Somero )",207,27472,19594,61,112,34,5686779
"31470 Somerniemi   (Somero )",566,23862,20437,150,286,130,13505822
"31490 Terttilä   (Somero )",201,22933,20976,53,110,38,4609610
"31500 Koski Tl   (Koski Tl )",1992,21500,18800,523,1164,305,42827048
"31520 Pitkäjärvi   (Somero )",404,22468,19002,106,211,87,9076895
"31530 Pyöli   (Somero )",268,22926,21012,75,135,58,6144175
"31600 Jokioinen Keskus   (Jokioinen )",2932,22612,21050,494,1942,496,66297574
"31610 Vaulammi   (Jokioinen )",378,21983,20758,91,218,69,8309685
"31620 Latovainio   (Jokioinen )",324,25190,20928,57,209,58,8161417
"31630 Minkiö   (Jokioinen )",445,23006,21104,87,279,79,10237543
"31640 Humppila Keskus   (Humppila )",1678,20700,18780,391,1067,220,34734098
"31650 Venäjänkangas   (Humppila )",220,22520,20117,46,133,41,4954420
"31700 Urjala Asemanseutu-Hanhisuo   (Urjala )",1149,21092,19415,274,718,157,24234292
"31720 Urjalankylä-Kehro   (Urjala )",317,20816,17772,81,196,40,6598728
"31730 Honkola   (Urjala )",105,55264,18218,33,52,20,5802743
"31750 Kehro   (Urjala )",50,16887,14726,19,28,3,844347
"31760 Urjala Keskus   (Urjala )",1561,20526,17735,339,1048,174,32041669
"31810 Oriniemi   (Punkalaidun )",328,21877,18049,90,185,53,7175795
"31830 Halkivaha   (Urjala )",232,19294,17124,67,136,29,4476108
"31850 Koskioinen   (Punkalaidun )",113,23139,19247,32,57,24,2614752
"31860 Tursa   (Urjala )",267,18833,15763,90,151,26,5028469
"31900 Punkalaidun Keskus   (Punkalaidun )",1592,19542,17368,422,1015,155,31110690
"31930 Vanttila   (Punkalaidun )",95,20307,17281,29,52,14,1929135
"31950 Sadonmaa   (Punkalaidun )",132,19523,16450,41,74,17,2576976
"31960 Orisuo   (Loimaa )",56,21251,15153,16,34,6,1190082
"31970 Kanteenmaa   (Punkalaidun )",131,21876,18460,36,76,19,2865741
"32100 Ypäjä Keskus   (Ypäjä )",1684,20796,18612,423,1040,221,35021161
"32140 Ypäjä Asemanseutu   (Ypäjä )",247,21107,18405,70,131,46,5213487
"32200 Loimaa Keskus   (Loimaa )",6861,21631,19180,1445,4502,914,148408396
"32210 Loimaa kk   (Loimaa )",1934,22186,19039,411,1254,269,42908622
"32250 Kojonkulma   (Loimaa )",227,25149,21034,47,137,43,5708873
"32260 Kojonperä   (Loimaa )",132,20326,15868,38,77,17,2682983
"32270 Metsämaa-Murto   (Loimaa )",382,21923,19335,90,231,61,8374689
"32280 Metsäkorpi   (Loimaa )",140,18623,16775,47,79,14,2607192
"32300 Mellilä   (Loimaa )",1098,21555,18471,290,645,163,23667453
"32410 Niinijoki   (Loimaa )",447,24520,21998,97,245,105,10960409
"32430 Ylhäinen   (Loimaa )",81,24459,21588,12,50,19,1981149
"32440 Alastaro Keskus   (Loimaa )",1499,20119,17939,365,965,169,30158219
"32450 Tammiainen   (Loimaa )",213,20791,17736,50,135,28,4428414
"32500 Oripää Keskus   (Oripää )",901,25662,19892,195,561,145,23121118
"32520 Latva   (Oripää )",121,25614,20129,27,66,28,3099296
"32560 Virttaa   (Loimaa )",365,22430,20922,83,221,61,8187028
"32610 Vampula Keskus   (Huittinen )",846,21871,19222,198,533,115,18503216
"32620 Rutava   (Huittinen )",334,19408,17568,102,195,37,6482144
"32700 Huittinen Keskus   (Huittinen )",6465,21383,19026,1414,4185,866,138241288
"32710 Sampu   (Huittinen )",480,24662,22776,83,287,110,11837826
"32730 Keikyä   (Sastamala )",616,20961,18938,164,362,90,12912006
"32740 Äetsä Keskus   (Sastamala )",1484,21003,18599,343,966,175,31168843
"32760 Suttila   (Huittinen )",147,19558,18442,41,89,17,2874986
"32770 Huhtamo   (Huittinen )",184,20019,17131,56,101,27,3683578
"32800 Kokemäki Keskus   (Kokemäki )",3422,21051,18885,774,2171,477,72034989
"32810 Peipohja   (Kokemäki )",1499,21013,19454,350,979,170,31498584
"32830 Riste   (Kokemäki )",391,20583,19103,94,252,45,8047779
"32860 Korkeaoja   (Kokemäki )",129,21140,20711,34,76,19,2727053
"32910 Kauvatsa Asemanseutu   (Kokemäki )",240,19941,18810,68,146,26,4785817
"32920 Kauvatsa   (Kokemäki )",492,19400,16731,162,273,57,9544641
"33100 Tampere Keskus   (Tampere )",15606,24120,19885,3654,8892,3060,376420648
"33180 Lapinniemi-Käpylä   (Tampere )",2030,25508,20262,374,1230,426,51781180
"33200 Tampere Keskus Läntinen   (Tampere )",6049,24874,19728,1361,3499,1189,150460245
"33210 Itä-Amuri-Tammerkoski   (Tampere )",5514,23186,19016,1197,3393,924,127845558
"33230 Länsi-Amuri   (Tampere )",5335,26985,21898,984,3055,1296,143963231
"33240 Tahmela   (Tampere )",1337,36386,24719,264,620,453,48647503
"33250 Pispala   (Tampere )",1938,26415,21382,431,1019,488,51192028
"33270 Epilä   (Tampere )",5921,25377,21649,1073,3552,1296,150257468
"33300 Rahola   (Tampere )",4086,25672,21887,779,2363,944,104895062
"33310 Tesoma   (Tampere )",5841,20113,18190,1279,3929,633,117477424
"33330 Myllypuro-Kalkku   (Tampere )",2616,21808,20302,500,1703,413,57049475
"33340 Haukiluoma-Ikuri   (Tampere )",4024,24279,22517,661,2475,888,97697532
"33380 Pitkäniemi   (Nokia )",30,17918,16171,4,25,1,537539
"33400 Luoteis-Tampere   (Tampere )",6473,24853,21194,1243,3796,1434,160873423
"33410 Lentävänniemi   (Tampere )",4018,21364,19370,823,2660,535,85840389
"33420 Lamminpää   (Tampere )",1653,25069,21538,345,913,395,41439027
"33430 Vuorentausta   (Ylöjärvi )",2281,24204,23128,360,1461,460,55208208
"33450 Siivikkala   (Ylöjärvi )",2138,27773,24622,305,1221,612,59377964
"33470 Ylöjärvi Keskus   (Ylöjärvi )",4924,22746,20027,900,3219,805,112000254
"33480 Manninmäki-Haavisto   (Ylöjärvi )",5262,26125,24043,794,3098,1370,137470377
"33500 Osmonmäki-Petsamo   (Tampere )",10088,21808,19262,2245,6228,1615,219994656
"33520 Keskussairaala-alue-Kauppi   (Tampere )",810,23644,20571,180,449,181,19151677
"33530 Kissanmaa   (Tampere )",4326,22075,18634,1178,2368,780,95496424
"33540 Kaleva   (Tampere )",8102,19192,17278,2323,4897,882,155491427
"33560 Takahuhti   (Tampere )",8200,24689,20696,1552,4985,1663,202451520
"33580 Atala-Linnainmaa   (Tampere )",11844,24830,22468,1927,7325,2592,294089836
"33610 Olkahinen-Tasanne   (Tampere )",2963,27194,24974,435,1679,849,80575925
"33680 Aitolahti   (Tampere )",1295,29389,22918,247,719,329,38058828
"33700 Messukylä   (Tampere )",1435,27086,21755,319,737,379,38868071
"33710 Kaukajärvi   (Tampere )",14270,22449,20298,3085,8597,2588,320353611
"33720 Hervanta   (Tampere )",21436,17733,16082,7233,12295,1908,380123152
"33730 Leinola-Vehmainen   (Tampere )",1453,26884,23538,231,837,385,39062780
"33800 Nekala   (Tampere )",4405,22071,18820,1008,2602,795,97223056
"33820 Koivistonkylä   (Tampere )",7284,25587,22116,1422,4092,1770,186375716
"33840 Peltolammi   (Tampere )",2978,19948,18530,749,1896,333,59406274
"33850 Multisilta   (Pirkkala )",2011,20270,18341,460,1351,200,40762547
"33870 Vuores   (Lempäälä )",2285,24615,22356,422,1329,534,56245919
"33880 Höytämö   (Lempäälä )",2873,25135,22877,498,1670,705,72213172
"33900 Härmälä-Rantaperkiö   (Tampere )",9403,21996,20042,1983,5929,1491,206827222
"33920 Toivio   (Pirkkala )",854,29020,26312,117,435,302,24782770
"33950 Killo   (Pirkkala )",4437,27560,23360,675,2567,1195,122284287
"33960 Suuppa   (Pirkkala )",7836,26597,23605,1185,4504,2147,208414067
"33980 Pirkkala kk   (Pirkkala )",1043,30444,24954,172,543,328,31753591
"34110 Lakiala   (Ylöjärvi )",834,28482,25640,143,444,247,23754110
"34130 Ylinen   (Ylöjärvi )",919,24649,23334,173,535,211,22652073
"34140 Mutala   (Ylöjärvi )",549,26451,22764,107,307,135,14521406
"34150 Kyrönlahti   (Ylöjärvi )",314,24197,21631,77,167,70,7597721
"34180 Länsi-Teisko   (Ylöjärvi )",130,22482,19086,36,71,23,2922676
"34240 Kämmenteisko   (Tampere )",1217,25553,23481,220,696,301,31097455
"34260 Terälahti   (Tampere )",711,24990,20769,174,388,149,17767857
"34270 Velaatta   (Tampere )",257,22629,18132,76,127,54,5815762
"34300 Kuru Keskus   (Ylöjärvi )",1267,20902,17682,308,807,152,26482384
"34320 Parkkuu   (Ylöjärvi )",178,22083,19568,43,103,32,3930720
"34330 Poikelus   (Ylöjärvi )",207,21766,19191,54,114,39,4505479
"34410 Murole   (Ruovesi )",142,21842,18087,39,78,25,3101555
"34420 Muroleen Kanava   (Ruovesi )",39,23358,17181,13,19,7,910949
"34430 Kekkonen   (Ruovesi )",106,21731,18636,26,57,23,2303460
"34450 Jäminkipohja   (Ruovesi )",291,23603,17230,95,163,33,6868463
"34510 Luode   (Ylöjärvi )",81,18917,15579,25,48,8,1532317
"34530 Länsi-Aure   (Ylöjärvi )",55,20868,18059,19,27,9,1147736
"34550 Itä-Aure   (Ylöjärvi )",145,18821,15085,51,79,15,2728985
"34600 Ruovesi Keskus-Nenonen   (Ruovesi )",2210,20565,18096,481,1481,248,45447835
"34640 Mustajärvi   (Ruovesi )",164,21524,19533,46,89,29,3529967
"34710 Vaskivesi   (Virrat )",291,21466,18365,86,153,52,6246543
"34730 Vaskuu   (Virrat )",84,18410,15096,29,48,7,1546422
"34740 Koro   (Virrat )",68,19454,17686,24,37,7,1322889
"34770 Kurjenkylä   (Virrat )",187,18045,17287,57,115,15,3374407
"34800 Virrat Keskus   (Virrat )",3861,20822,18169,855,2557,449,80395230
"34870 Visuvesi   (Ruovesi )",479,19069,15831,142,289,48,9134233
"34910 Äijänneva   (Virrat )",92,18953,14603,39,44,9,1743668
"34930 Liedenpohja   (Virrat )",260,21343,17674,75,156,29,5549119
"34950 Ohtola   (Virrat )",164,19814,17369,42,101,21,3249557
"34970 Toisvesi   (Virrat )",87,19488,18252,25,54,8,1695471
"34980 Killinkoski   (Virrat )",318,18568,16084,88,210,20,5904620
"35100 Orivesi Asemanseutu   (Orivesi )",2302,22255,20410,454,1443,405,51231375
"35220 Eräjärvi   (Orivesi )",444,20088,17600,134,253,57,8918870
"35240 Ristakallio   (Orivesi )",156,21164,17582,52,79,25,3301524
"35260 Leväslahti   (Orivesi )",13,..,..,..,..,..,..
"35270 Västilä   (Orivesi )",133,21238,17587,38,75,20,2824697
"35300 Orivesi Keskus   (Orivesi )",3830,21479,18776,816,2437,577,82265737
"35320 Hirsilä   (Orivesi )",430,19990,18069,105,270,55,8595752
