"Postal code area","Free-time residences, 2017 (RA)","Buildings, total, 2017 (RA)","Other buildings, 2017 (RA)","Residential buildings, 2017 (RA)","Dwellings, 2017 (RA)","Average floor area, 2017 (RA)","Dwellings in small houses, 2017 (RA)","Dwellings in blocks of flats, 2017 (RA)"
"Finland",507200,1523196,228770,1294426,2946814,80.1,1568029,1378785
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",0,634,326,308,11884,65.9,2,11882
"00120 Punavuori   (Helsinki )",0,248,100,148,4446,68.9,7,4439
"00130 Kaartinkaupunki   (Helsinki )",0,142,108,34,915,75.0,0,915
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",0,248,75,173,5439,73.8,14,5425
"00150 Eira - Hernesaari   (Helsinki )",2,372,107,265,6759,55.5,32,6727
"00160 Katajanokka   (Helsinki )",0,141,63,78,2706,76.4,2,2704
"00170 Kruununhaka   (Helsinki )",0,265,131,134,4642,68.2,9,4633
"00180 Kamppi - Ruoholahti   (Helsinki )",0,339,150,189,8700,59.4,80,8620
"00190 Suomenlinna   (Helsinki )",0,116,59,57,408,69.6,85,323
"00200 Lauttasaari   (Helsinki )",5,592,60,532,9341,60.2,492,8849
"00210 Vattuniemi   (Helsinki )",0,239,95,144,4816,70.0,41,4775
"00220 Jätkäsaari   (Helsinki )",0,74,26,48,3372,55.0,0,3372
"00230 Ilmala   (Helsinki )",0,2,2,0,0,0.0,0,0
"00240 Länsi-Pasila   (Helsinki )",0,205,91,114,2988,62.8,14,2974
"00250 Taka-Töölö   (Helsinki )",0,411,129,282,7777,53.8,73,7704
"00260 Keski-Töölö   (Helsinki )",0,141,48,93,3677,62.9,0,3677
"00270 Pohjois-Meilahti   (Helsinki )",0,194,27,167,4880,53.0,68,4812
"00280 Ruskeasuo   (Helsinki )",0,138,26,112,1788,55.8,37,1751
"00290 Meilahden sairaala-alue   (Helsinki )",0,36,31,5,113,64.4,0,113
"00300 Pikku Huopalahti   (Helsinki )",0,225,61,164,3151,61.7,65,3086
"00310 Kivihaka   (Helsinki )",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga   (Helsinki )",0,401,50,351,6750,49.7,172,6578
"00330 Munkkiniemi   (Helsinki )",0,386,53,333,5380,70.2,249,5131
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1,224,22,202,858,123.2,401,457
"00350 Munkkivuori-Niemenmäki   (Helsinki )",0,266,65,201,5686,54.9,141,5545
"00360 Pajamäki   (Helsinki )",3,37,7,30,1230,49.8,0,1230
"00370 Reimarla   (Helsinki )",0,784,144,640,3555,66.9,913,2642
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",0,172,105,67,2559,59.0,12,2547
"00390 Konala   (Helsinki )",0,739,142,597,3539,63.1,865,2674
"00400 Pohjois-Haaga   (Helsinki )",0,222,28,194,5781,52.6,69,5712
"00410 Malminkartano   (Helsinki )",0,359,69,290,4363,63.7,350,4013
"00420 Kannelmäki   (Helsinki )",0,709,63,646,8012,59.5,910,7102
"00430 Maununneva   (Helsinki )",0,1262,60,1202,2403,86.8,1729,674
"00440 Lassila   (Helsinki )",0,214,45,169,2775,57.6,96,2679
"00500 Sörnäinen   (Helsinki )",0,226,61,165,9717,39.4,0,9717
"00510 Etu-Vallila - Alppila   (Helsinki )",0,373,151,222,6849,41.3,64,6785
"00520 Itä-Pasila   (Helsinki )",0,211,85,126,4243,54.5,2,4241
"00530 Kallio   (Helsinki )",0,346,114,232,13669,45.3,7,13662
"00540 Kalasatama   (Helsinki )",0,76,42,34,1347,62.5,22,1325
"00550 Vallila   (Helsinki )",6,195,27,168,6390,45.5,17,6373
"00560 Toukola-Vanhakaupunki   (Helsinki )",3,657,134,523,7114,61.2,457,6657
"00570 Kulosaari   (Helsinki )",1,446,70,376,2102,90.0,580,1522
"00580 Verkkosaari   (Helsinki )",0,150,102,48,1412,61.0,12,1400
"00590 Kaitalahti   (Helsinki )",14,170,17,153,461,75.6,161,300
"00600 Koskela-Helsinki   (Helsinki )",0,286,34,252,1850,65.1,253,1597
"00610 Käpylä   (Helsinki )",2,487,72,415,4689,56.3,397,4292
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",0,400,87,313,1587,79.5,525,1062
"00630 Maunula-Suursuo   (Helsinki )",0,571,35,536,5009,60.1,728,4281
"00640 Oulunkylä-Patola   (Helsinki )",0,628,74,554,4588,67.7,936,3652
"00650 Veräjämäki   (Helsinki )",0,374,33,341,2152,74.9,564,1588
"00660 Länsi-Pakila   (Helsinki )",0,1432,68,1364,2884,98.2,2668,216
"00670 Paloheinä   (Helsinki )",1,1313,43,1270,2384,100.4,2365,19
"00680 Itä-Pakila   (Helsinki )",1,819,75,744,1560,99.4,1384,176
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",0,639,39,600,1131,92.4,942,189
"00700 Malmi   (Helsinki )",1,1379,290,1089,7507,62.6,1246,6261
"00710 Pihlajamäki   (Helsinki )",0,390,75,315,7153,62.7,450,6703
"00720 Pukinmäki-Savela   (Helsinki )",1,550,69,481,4856,62.7,586,4270
"00730 Tapanila   (Helsinki )",2,1902,121,1781,5414,75.8,2651,2763
"00740 Siltamäki   (Helsinki )",0,1532,103,1429,4789,77.5,2352,2437
"00750 Puistola   (Helsinki )",3,1403,132,1271,4645,72.7,1920,2725
"00760 Suurmetsä   (Helsinki )",1,1667,124,1543,3249,89.5,2614,635
"00770 Jakomäki - Alppikylä   (Helsinki )",0,562,287,275,3817,64.6,344,3473
"00780 Tapaninvainio   (Helsinki )",1,1365,72,1293,3318,81.9,2150,1168
"00790 Viikki   (Helsinki )",0,407,82,325,5360,62.6,471,4889
"00800 Länsi-Herttoniemi   (Helsinki )",0,452,39,413,4496,57.2,485,4011
"00810 Herttoniemi   (Helsinki )",1,291,86,205,6306,62.1,120,6186
"00820 Roihuvuori   (Helsinki )",0,157,49,108,4339,53.7,0,4339
"00830 Tammisalo   (Helsinki )",42,365,28,337,1000,110.2,816,184
"00840 Laajasalo   (Helsinki )",3,717,65,652,4440,74.8,1419,3021
"00850 Jollas   (Helsinki )",130,726,45,681,1319,103.5,1061,258
"00860 Santahamina   (Helsinki )",1,115,82,33,238,61.9,33,205
"00870 Etelä-Laajasalo   (Helsinki )",11,361,35,326,3333,67.0,429,2904
"00880 Roihupellon teollisuusalue   (Helsinki )",0,217,209,8,415,56.6,3,412
"00890 Östersundom   (Helsinki )",46,914,209,705,725,161.1,713,12
"00900 Puotinharju   (Helsinki )",0,173,45,128,2444,59.5,139,2305
"00910 Puotila   (Helsinki )",0,231,38,193,3647,55.7,124,3523
"00920 Myllypuro   (Helsinki )",1,1026,58,968,6541,69.5,1538,5003
"00930 Itäkeskus-Marjaniemi   (Helsinki )",18,674,61,613,3500,80.0,940,2560
"00940 Kontula - Vesala   (Helsinki )",1,1295,152,1143,13511,64.6,1515,11996
"00950 Vartioharju   (Helsinki )",2,1464,86,1378,2697,88.8,1991,706
"00960 Pohjois-Vuosaari   (Helsinki )",2,307,18,289,4034,62.9,692,3342
"00970 Mellunmäki   (Helsinki )",0,690,64,626,5867,64.3,926,4941
"00980 Etelä-Vuosaari   (Helsinki )",86,1298,293,1005,11962,66.5,1577,10385
"00990 Aurinkolahti   (Helsinki )",10,212,30,182,4661,66.1,216,4445
"01120 Västerskog   (Sipoo )",853,739,119,620,625,122.5,569,56
"01150 Söderkulla   (Sipoo )",432,1752,200,1552,2549,102.2,1717,832
"01180 Kalkkiranta   (Porvoo )",513,278,43,235,211,123.4,211,0
"01190 Box   (Sipoo )",61,528,78,450,431,119.1,431,0
"01200 Hakunila   (Vantaa )",18,899,98,801,6012,67.9,1246,4766
"01230 Vaarala   (Vantaa )",2,513,46,467,1501,79.3,1060,441
"01260 Itä-Hakkila   (Vantaa )",27,1491,93,1398,1929,100.6,1811,118
"01280 Länsimäki   (Vantaa )",1,914,35,879,4777,70.6,1989,2788
"01300 Tikkurila   (Vantaa )",2,1815,259,1556,11384,65.3,2621,8763
"01340 Leinelä   (Vantaa )",0,29,4,25,753,52.9,8,745
"01350 Hiekkaharju   (Vantaa )",2,1059,37,1022,5557,66.9,1466,4091
"01360 Koivukylä-Havukoski   (Vantaa )",3,852,58,794,6979,63.6,1082,5897
"01370 Jokiniemi   (Vantaa )",0,458,45,413,3580,62.0,785,2795
"01380 Kuusikko-Hakkila   (Vantaa )",3,581,82,499,773,98.2,773,0
"01390 Ruskeasanta-Ilola   (Vantaa )",6,2269,66,2203,3768,91.6,3042,726
"01400 Rekola   (Vantaa )",13,1771,73,1698,4065,80.0,2187,1878
"01420 Päiväkumpu   (Vantaa )",12,1036,25,1011,1165,109.6,1165,0
"01450 Korso   (Vantaa )",15,3492,218,3274,8851,77.2,4633,4218
"01480 Mikkola   (Vantaa )",15,984,64,920,3220,74.2,1027,2193
"01490 Nikinmäki   (Sipoo )",23,1277,51,1226,1543,113.3,1491,52
"01510 Kirkonkylä-Veromäki   (Vantaa )",4,734,275,459,3158,65.3,641,2517
