"Postal code area","Inhabitants, total, 2013 (HE)","Females, 2013 (HE)","Males, 2013 (HE)","Average age of inhabitants, 2013 (HE)","0-2 years, 2013 (HE)","3-6 years, 2013 (HE)","7-12 years, 2013 (HE)","13-15 years, 2013 (HE)","16-17 years, 2013 (HE)","18-19 years, 2013 (HE)","20-24 years, 2013 (HE)","25-29 years, 2013 (HE)","30-34 years, 2013 (HE)","35-39 years, 2013 (HE)","40-44 years, 2013 (HE)","45-49 years, 2013 (HE)","50-54 years, 2013 (HE)","55-59 years, 2013 (HE)","60-64 years, 2013 (HE)","65-69 years, 2013 (HE)","70-74 years, 2013 (HE)","75-79 years, 2013 (HE)","80-84 years, 2013 (HE)","85 years or over, 2013 (HE)"
"Finland",5451270,2770906,2680364,41,179244,245158,352960,176185,123133,131887,340871,339934,350780,340126,315840,368266,374932,374239,381168,356236,235915,191561,143760,129075
"00100 Helsinki Keskusta  (Helsinki)",17402,9144,8258,40,475,498,532,221,147,260,1687,2487,1990,1443,1028,973,955,844,850,1092,710,464,341,405
"00120 Punavuori  (Helsinki)",6795,3565,3230,40,188,222,227,98,65,97,557,886,781,610,446,417,381,371,369,399,297,172,105,107
"00130 Kaartinkaupunki  (Helsinki)",1457,734,723,41,36,40,59,25,23,26,88,178,132,140,117,103,85,81,97,101,58,42,16,10
"00140 Kaivopuisto  (Helsinki)",7707,4144,3563,41,194,251,329,145,99,108,541,885,842,660,500,509,468,409,423,497,334,216,130,167
"00150 Eira  (Helsinki)",9277,4932,4345,39,258,286,259,123,72,126,818,1351,1198,916,596,544,520,455,458,487,346,196,122,146
"00160 Katajanokka  (Helsinki)",4469,2404,2065,43,124,180,233,109,64,78,241,308,337,332,288,296,272,303,362,382,261,119,74,106
"00170 Kruununhaka  (Helsinki)",7219,3891,3328,40,218,226,290,124,92,126,489,832,818,635,463,472,455,430,379,430,282,184,139,135
"00180 Ruoholahti  (Helsinki)",12495,6570,5925,39,336,387,501,256,205,256,1057,1510,1461,1157,796,837,827,670,652,623,373,262,174,155
"00190 Suomenlinna  (Helsinki)",788,388,400,37,26,44,70,27,31,25,31,25,49,73,48,103,70,49,36,41,16,12,7,5
"00200 Lauttasaari  (Helsinki)",14814,8113,6701,40,575,572,630,247,173,240,1029,1648,1707,1407,957,866,745,720,734,854,580,346,332,452
"00210 Vattuniemi  (Helsinki)",7119,3844,3275,42,300,319,346,122,74,91,240,574,686,643,456,471,397,415,464,605,347,231,192,146
"00220 Jätkäsaari  (Helsinki)",1642,866,776,30,74,60,42,13,21,46,453,308,177,86,42,41,48,67,78,57,18,6,5,0
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",5175,2840,2335,42,154,162,184,98,72,100,486,472,525,326,235,284,350,356,405,416,197,180,93,80
"00250 Taka-Töölö  (Helsinki)",10931,5999,4932,40,289,286,273,138,95,139,1161,1702,1412,973,597,571,520,531,516,583,415,275,212,243
"00260 Keski-Töölö  (Helsinki)",5387,2948,2439,44,142,146,135,57,31,62,474,642,530,444,294,320,303,264,320,397,284,174,168,200
"00270 Pohjois-Meilahti  (Helsinki)",7546,4284,3262,38,209,260,337,180,111,149,711,973,811,604,482,458,442,419,347,373,248,161,139,132
"00280 Ruskeasuo  (Helsinki)",2803,1610,1193,40,79,84,93,53,28,39,402,359,268,210,144,175,159,121,102,120,106,61,86,114
"00290 Meilahden sairaala-alue  (Helsinki)",157,92,65,44,5,4,0,0,1,3,7,23,12,12,10,8,23,11,13,17,5,1,2,0
"00300 Pikku Huopalahti  (Helsinki)",5725,3114,2611,40,226,247,341,177,107,124,352,465,477,392,335,433,425,412,320,323,183,121,112,153
"00310 Kivihaka  (Helsinki)",887,491,396,41,32,32,19,14,11,17,69,91,108,75,50,44,62,62,54,51,26,22,20,28
"00320 Etelä-Haaga  (Helsinki)",9460,5312,4148,40,271,273,303,118,89,151,1098,1284,1056,749,520,496,452,520,426,471,334,258,255,336
"00330 Munkkiniemi  (Helsinki)",8469,4828,3641,44,215,322,451,221,181,154,464,697,636,540,490,503,536,449,448,559,416,379,299,509
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1663,838,825,41,51,76,121,70,71,62,65,52,59,106,113,128,164,113,104,100,71,59,39,39
"00350 Munkkivuori-Niemenmäki  (Helsinki)",9095,5046,4049,40,280,332,445,197,127,208,845,896,829,699,526,648,583,515,457,480,320,221,243,244
"00360 Pajamäki  (Helsinki)",1820,1008,812,43,56,52,58,19,24,43,146,155,215,139,100,109,132,116,116,98,58,57,61,66
"00370 Reimarla  (Helsinki)",6348,3350,2998,39,235,302,387,175,118,117,510,539,538,486,349,401,371,378,358,349,253,203,136,143
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",4333,2202,2131,38,174,182,217,109,104,79,276,432,428,345,287,352,309,311,254,224,92,94,44,20
"00390 Konala  (Helsinki)",6269,3197,3072,38,249,258,325,162,109,150,483,634,587,449,393,457,400,438,376,313,197,141,76,72
"00400 Pohjois-Haaga  (Helsinki)",9273,5080,4193,42,274,293,313,173,123,172,845,1030,972,719,513,484,475,493,497,517,380,310,316,374
"00410 Malminkartano  (Helsinki)",8495,4437,4058,36,283,373,468,255,201,263,1001,903,691,565,478,585,554,611,517,397,176,101,50,23
"00420 Kannelmäki  (Helsinki)",13723,7336,6387,41,398,490,616,357,256,319,1347,1238,1069,921,708,870,868,898,937,883,574,407,297,270
"00430 Maununneva  (Helsinki)",4758,2424,2334,39,153,233,367,218,137,129,277,204,241,292,328,405,362,391,389,330,135,80,56,31
"00440 Lassila  (Helsinki)",4494,2505,1989,44,143,136,168,63,62,84,397,469,389,255,170,212,243,291,341,330,186,174,150,231
"00500 Sörnäinen  (Helsinki)",12393,6251,6142,37,210,133,132,48,55,164,1645,2484,2126,1243,679,690,579,542,488,447,253,178,157,140
"00510 Etu-Vallila  (Helsinki)",8737,4472,4265,39,201,146,122,29,48,94,988,1455,1488,910,447,478,431,428,412,393,233,171,144,119
"00520 Itä-Pasila  (Helsinki)",6707,3470,3237,39,230,228,185,93,79,97,644,942,823,539,368,361,324,373,411,401,243,156,115,95
"00530 Kallio  (Helsinki)",18484,9772,8712,41,316,250,226,78,84,205,2004,3093,2719,1672,1011,1061,931,945,1019,1006,653,482,370,359
