"Postal code area","Workplaces, 2014 (TP)","Primary production, 2014 (TP)","Processing, 2014 (TP)","Services, 2014 (TP)","A Agriculture, forestry and fishing, 2014 (TP)","B Mining and quarrying, 2014 (TP)","C Manufacturing, 2014 (TP)","D Electricity, gas, steam and air conditioning supply, 2014 (TP)","E Water supply; sewerage, waste management and remediation activities, 2014 (TP)","F Construction, 2014 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2014 (TP)","H Transportation and storage, 2014 (TP)","I Accommodation and food service activities, 2014 (TP)","J Information and communication, 2014 (TP)","K Financial and insurance activities, 2014 (TP)","L Real estate activities, 2014 (TP)","M Professional, scientific and technical activities, 2014 (TP)","N Administrative and support service activities, 2014 (TP)","O Public administration and defence; compulsory social security, 2014 (TP)","P Education, 2014 (TP)","Q Human health and social work activities, 2014 (TP)","R Arts, entertainment and recreation, 2014 (TP)","S Other service activities, 2014 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2014 (TP)","U Activities of extraterritorial organisations and bodies, 2014 (TP)","X Industry unknown, 2014 (TP)"
"Finland",2093843,60068,452706,1581055,60068,5111,284167,11039,10335,142054,260291,128025,78807,84636,43357,20052,124659,85414,113569,156878,378943,41081,64816,199,328,14
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",45898,105,1580,44213,105,0,612,542,2,424,6855,1190,4623,5132,4723,714,6611,1411,2864,2624,2815,2237,2381,0,33,0
"00120 Punavuori   (Helsinki )",8486,11,235,8240,11,10,129,8,3,85,790,265,634,822,878,183,1591,245,582,427,536,200,1087,0,0,0
"00130 Kaartinkaupunki   (Helsinki )",11074,14,455,10605,14,4,277,0,4,170,539,122,897,830,800,324,1908,401,2124,114,1096,324,1126,0,0,0
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",2309,14,135,2160,14,0,41,0,0,94,230,179,280,283,17,82,352,79,51,38,340,84,137,0,8,0
"00150 Eira - Hernesaari   (Helsinki )",4975,3,716,4256,3,0,603,0,3,110,393,99,175,1092,31,97,1222,132,0,181,556,96,174,8,0,0
"00160 Katajanokka   (Helsinki )",3697,3,464,3230,3,0,411,0,0,53,347,549,325,111,26,26,245,131,1231,38,88,15,98,0,0,0
"00170 Kruununhaka   (Helsinki )",8671,5,141,8525,5,1,29,0,0,111,238,34,478,194,636,69,375,127,2910,1746,314,591,579,0,234,0
"00180 Kamppi - Ruoholahti   (Helsinki )",20082,2,2005,18075,2,0,905,278,56,766,1273,294,694,3647,1009,160,3915,900,2493,1123,1388,436,743,0,0,0
"00190 Suomenlinna   (Helsinki )",427,0,28,399,0,0,5,0,0,23,6,13,66,0,0,0,17,31,155,34,25,25,27,0,0,0
"00200 Lauttasaari   (Helsinki )",2356,8,165,2183,8,0,23,0,0,142,414,130,119,62,21,48,359,123,12,173,484,105,133,0,0,0
"00210 Vattuniemi   (Helsinki )",4371,0,315,4056,0,0,210,0,2,103,1080,77,95,1130,54,68,1079,164,0,9,145,54,101,0,0,0
"00220 Jätkäsaari   (Helsinki )",768,0,55,713,0,0,7,0,0,48,34,512,45,9,2,1,18,20,25,19,22,5,1,0,0,0
"00230 Ilmala   (Helsinki )",2178,0,5,2173,0,0,5,0,0,0,7,1962,14,162,0,27,0,0,0,0,1,0,0,0,0,0
