"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"00920 Myllypuro   (Helsinki )",9399,3203,6196,776,3447,898,1075
"00930 Itäkeskus-Marjaniemi   (Helsinki )",5481,1836,3645,568,1750,523,804
"00940 Kontula - Vesala   (Helsinki )",20517,8386,12131,1774,7556,1529,1272
"00950 Vartioharju   (Helsinki )",4290,913,3377,440,1619,487,831
"00960 Pohjois-Vuosaari   (Helsinki )",5662,1752,3910,535,2302,547,526
"00970 Mellunmäki   (Helsinki )",8756,2996,5760,757,3669,723,611
"00980 Etelä-Vuosaari   (Helsinki )",17382,5806,11576,1534,6396,1791,1855
"00990 Aurinkolahti   (Helsinki )",6368,1475,4893,617,2239,864,1173
"01120 Västerskog   (Sipoo )",1042,288,754,89,409,120,136
"01150 Söderkulla   (Sipoo )",3543,862,2681,288,1326,540,527
"01180 Kalkkiranta   (Porvoo )",365,90,275,24,159,48,44
"01190 Box   (Sipoo )",790,225,565,64,346,81,74
"01200 Hakunila   (Vantaa )",9271,3661,5610,645,3782,667,516
"01230 Vaarala   (Vantaa )",2320,612,1708,224,976,275,233
"01260 Itä-Hakkila   (Vantaa )",3574,883,2691,293,1593,400,405
"01280 Länsimäki   (Vantaa )",7403,2433,4970,560,3166,713,531
"01300 Tikkurila   (Vantaa )",15080,4391,10689,1403,6050,1814,1422
"01340 Leinelä   (Vantaa )",520,133,387,48,253,50,36
"01350 Hiekkaharju   (Vantaa )",7553,2087,5466,670,3271,882,643
"01360 Koivukylä-Havukoski   (Vantaa )",9986,3616,6370,857,4009,917,587
"01370 Jokiniemi   (Vantaa )",4658,1188,3470,649,1841,557,423
"01380 Kuusikko-Hakkila   (Vantaa )",1433,344,1089,105,629,187,168
"01390 Ruskeasanta-Ilola   (Vantaa )",6592,1488,5104,629,2917,906,652
"01400 Rekola   (Vantaa )",6179,1791,4388,453,2673,667,595
"01420 Päiväkumpu   (Vantaa )",2306,599,1707,177,994,266,270
"01450 Korso   (Vantaa )",14259,4321,9938,1140,6209,1544,1045
"01480 Mikkola   (Vantaa )",4960,1658,3302,376,2122,492,312
"01490 Nikinmäki   (Sipoo )",2699,574,2125,226,1163,376,360
"01510 Kirkonkylä-Veromäki   (Vantaa )",4608,1251,3357,432,1832,691,402
"01520 Tammisto   (Vantaa )",5656,982,4674,539,2002,1081,1052
"01530 Veromiehenkylä   (Vantaa )",494,213,281,39,190,36,16
"01600 Myyrmäki   (Vantaa )",13372,4234,9138,1267,5113,1553,1205
"01610 Kaivoksela   (Vantaa )",3672,1048,2624,356,1439,463,366
"01620 Martinlaakso   (Vantaa )",9627,3085,6542,848,3738,1082,874
"01630 Hämeenkylä   (Vantaa )",1577,277,1300,148,643,260,249
"01640 Hämevaara   (Vantaa )",2283,545,1738,190,909,306,333
"01650 Vapaala   (Vantaa )",3296,785,2511,337,1300,402,472
"01660 Varisto   (Vantaa )",1882,551,1331,155,756,215,205
"01670 Vantaanlaakso   (Vantaa )",2136,435,1701,153,858,365,325
"01680 Askisto   (Vantaa )",1487,381,1106,130,605,186,185
"01690 Ylästö   (Vantaa )",3115,494,2621,259,1176,557,629
"01700 Kivistö   (Vantaa )",2345,419,1926,175,945,429,377
"01710 Pähkinärinne   (Vantaa )",3899,1083,2816,332,1531,530,423
"01720 Petikko   (Vantaa )",62,21,41,2,34,2,3
"01730 Vantaanpuisto   (Vantaa )",1867,519,1348,139,800,235,174
"01740 Tuupakan teollisuusalue   (Vantaa )",170,56,114,9,69,14,22
"01750 Keimola   (Vantaa )",637,160,477,50,274,87,66
"01760 Seutula   (Vantaa )",1645,532,1113,103,742,145,123
"01770 Martinlaakson teollisuusalue   (Vantaa )",.,.,.,.,.,.,.
"01800 Klaukkala Keskus   (Nurmijärvi )",5786,1522,4264,440,2558,689,577
"01810 Luhtajoki   (Nurmijärvi )",511,144,367,37,228,62,40
"01820 Haikala   (Nurmijärvi )",2447,485,1962,208,1052,373,329
"01830 Lepsämä   (Nurmijärvi )",1698,427,1271,114,824,178,155
"01840 Klaukkala   (Nurmijärvi )",2925,561,2364,234,1249,441,440
"01860 Perttula   (Nurmijärvi )",1567,428,1139,115,745,142,137
"01900 Nurmijärvi Keskus   (Nurmijärvi )",6743,1855,4888,398,3131,716,643
"01940 Palojoki   (Nurmijärvi )",553,153,400,31,259,62,48
"02100 Tapiola   (Espoo )",3607,604,3003,503,846,520,1134
"02110 Otsolahti   (Espoo )",2248,280,1968,321,449,367,831
"02120 Länsikorkee-Suvikumpu   (Espoo )",2387,368,2019,334,500,356,829
"02130 Pohjois-Tapiola   (Espoo )",4616,651,3965,564,986,628,1787
"02140 Laajalahti   (Espoo )",2712,522,2190,292,649,360,889
"02150 Otaniemi   (Espoo )",3641,583,3058,1864,170,525,499
"02160 Westend   (Espoo )",2381,286,2095,335,473,317,970
"02170 Haukilahti   (Espoo )",4528,663,3865,584,1106,647,1528
"02180 Mankkaa   (Espoo )",4707,682,4025,495,1135,629,1766
"02200 Niittykumpu   (Espoo )",7940,1264,6676,910,2235,1295,2236
"02210 Olari   (Espoo )",8984,1820,7164,1104,2667,1273,2120
"02230 Matinkylä   (Espoo )",16100,3963,12137,1933,4798,2161,3245
"02240 Friisilä   (Espoo )",1478,165,1313,151,380,220,562
"02260 Kaitaa   (Espoo )",2814,597,2217,303,952,344,618
"02270 Finnoo-Eestinmalmi   (Espoo )",1655,324,1331,170,496,222,443
"02280 Malminmäki-Eestinlaakso   (Espoo )",3161,737,2424,283,1105,406,630
"02290 Puolarmetsän sairaala   (Espoo )",16,..,..,..,..,..,..
"02300 Nöykkiönpuro   (Espoo )",1802,311,1491,210,523,231,527
"02320 Espoonlahti   (Espoo )",13168,3407,9761,1348,4688,1581,2144
"02330 Saunalahti-Kattilalaakso   (Espoo )",6044,1064,4980,628,1875,864,1613
"02340 Latokaski   (Espoo )",3519,574,2945,347,1220,602,776
"02360 Soukka   (Espoo )",7484,1841,5643,729,2449,928,1537
"02380 Suvisaaristo   (Espoo )",482,88,394,65,130,56,143
"02400 Kirkkonummi Keskus   (Kirkkonummi )",9452,2461,6991,803,3730,1165,1293
"02410 Gesterby   (Kirkkonummi )",1774,639,1135,116,750,151,118
"02420 Jorvas   (Kirkkonummi )",1347,265,1082,135,466,207,274
"02430 Masala   (Kirkkonummi )",2960,808,2152,221,1151,397,383
"02440 Luoma   (Kirkkonummi )",488,99,389,45,183,54,107
"02450 Sundsberg   (Kirkkonummi )",1141,103,1038,101,319,225,393
"02460 Kantvik   (Kirkkonummi )",1265,288,977,111,489,163,214
"02470 Upinniemi   (Kirkkonummi )",312,72,240,33,164,26,17
