"Postal code area","Aged 18 or over, total, 2014 (KO)","Basic level studies, 2014 (KO)","With education, total, 2014 (KO)","Matriculation examination, 2014 (KO)","Vocational diploma, 2014 (KO)","Academic degree - Lower level university degree, 2014 (KO)","Academic degree - Higher level university degree, 2014 (KO)"
"09430 Saukkola   (Lohja )",1327,409,918,88,641,113,76
"09520 Millola   (Lohja )",100,35,65,6,48,4,7
"09630 Koisjärvi   (Lohja )",394,108,286,15,223,31,17
"09810 Nummi-Oinola   (Lohja )",833,302,531,39,359,72,61
"09930 Leppäkorpi   (Lohja )",241,87,154,11,119,15,9
"10120 Tähtelä   (Inkoo )",506,123,383,39,233,62,49
"10140 Päivölä   (Inkoo )",238,60,178,22,102,29,25
"10160 Degerby   (Inkoo )",674,159,515,63,289,82,81
"10210 Inkoo Keskus   (Inkoo )",2185,640,1545,144,937,233,231
"10230 Inkoo Asemanseutu   (Inkoo )",304,68,236,31,151,21,33
"10250 Fagervik   (Inkoo )",117,38,79,9,47,14,9
"10270 Barösund   (Inkoo )",115,39,76,8,54,7,7
"10300 Karjaa Keskus   (Raasepori )",6051,2005,4046,371,2627,563,485
"10320 Bäljars   (Raasepori )",1048,370,678,55,472,88,63
"10330 Pinjainen   (Raasepori )",487,128,359,28,231,55,45
"10350 Meltolan sairaala-alue   (Raasepori )",77,48,29,4,19,5,1
"10360 Mustio   (Raasepori )",1079,297,782,51,594,77,60
"10380 Kaunislahti   (Raasepori )",93,33,60,2,49,6,3
"10410 Åminnefors   (Raasepori )",316,140,176,17,126,21,12
"10420 Pohjankuru   (Raasepori )",1504,637,867,56,642,92,77
"10440 Bollsta   (Raasepori )",283,97,186,17,130,22,17
"10470 Fiskari   (Raasepori )",406,112,294,41,139,45,69
"10480 Antskog   (Raasepori )",100,36,64,8,38,9,9
"10520 Tenhola Kirkonkylä   (Raasepori )",1372,460,912,60,674,105,73
"10570 Bromarv   (Raasepori )",430,189,241,17,195,16,13
"10600 Tammisaari Keskus   (Raasepori )",4275,1349,2926,282,1778,445,421
"10620 Tammisaari   (Raasepori )",1508,473,1035,61,717,157,100
"10640 Dragsvik   (Raasepori )",742,165,577,46,377,77,77
"10650 Flyet   (Raasepori )",2159,693,1466,135,931,214,186
"10660 Trollböle   (Raasepori )",739,247,492,40,382,44,26
"10680 Skogby   (Raasepori )",167,61,106,5,90,9,2
"10710 Snappertuna   (Raasepori )",309,90,219,14,150,31,24
"10820 Lappohja   (Hanko )",542,237,305,16,242,18,29
"10900 Hanko Keskus   (Hanko )",3631,1541,2090,194,1474,243,179
"10940 Hangonkylä   (Hanko )",1729,626,1103,79,797,130,97
"10960 Hanko Pohjoinen   (Hanko )",1524,563,961,75,711,98,77
"11100 Riihimäki Keskus   (Riihimäki )",5830,1806,4024,395,2649,560,420
"11120 Pohjois-Riihimäki   (Riihimäki )",5665,1484,4181,264,2961,586,370
"11130 Peltosaari-Patastenmäki   (Riihimäki )",7400,1989,5411,463,3675,760,513
"11310 Taka-Kasarmi   (Riihimäki )",571,117,454,27,334,52,41
"11710 Herajoki   (Riihimäki )",2414,619,1795,115,1289,236,155
"11910 Lasi-Kumela   (Janakkala )",1924,496,1428,95,1024,210,99
"12100 Oitti   (Hausjärvi )",2112,691,1421,80,1099,150,92
"12130 Mommila   (Hausjärvi )",270,88,182,12,138,15,17
"12170 Hietoinen   (Hausjärvi )",187,66,121,4,96,16,5
"12210 Hausjärvi kk   (Hausjärvi )",183,50,133,7,102,16,8
"12240 Hikiä   (Hausjärvi )",1303,302,1001,63,759,115,64
"12310 Ryttylä   (Hausjärvi )",1447,409,1038,58,775,104,101
"12350 Turkhauta   (Hausjärvi )",369,94,275,19,205,31,20
"12380 Leppäkoski   (Janakkala )",406,120,286,15,229,22,20
"12400 Tervakoski   (Janakkala )",3652,1037,2615,137,1991,299,188
"12450 Vähikkälä   (Janakkala )",229,67,162,2,132,15,13
"12520 Kormu   (Loppi )",323,70,253,14,193,30,16
"12540 Launonen   (Loppi )",1145,300,845,40,661,85,59
"12600 Läyliäinen   (Loppi )",1455,458,997,63,771,117,46
"12630 Sajaniemi   (Loppi )",232,72,160,9,124,15,12
"12640 Joentaka   (Loppi )",260,78,182,6,139,20,17
"12700 Loppi kk   (Loppi )",1918,717,1201,54,914,143,90
"12750 Pilpala   (Loppi )",449,152,297,22,221,31,23
"12820 Räyskälä   (Loppi )",45,13,32,1,27,4,0
"12920 Topeno   (Loppi )",295,94,201,9,158,26,8
"12950 Vojakkala-Eerolankulma   (Loppi )",151,56,95,6,69,12,8
"13100 Hämeenlinna Keskus   (Hämeenlinna )",9428,2170,7258,828,4179,1124,1127
"13110 Kantola   (Hämeenlinna )",158,45,113,5,80,19,9
"13130 Kauriala   (Hämeenlinna )",5410,1475,3935,345,2601,556,433
"13200 Keinusaari   (Hämeenlinna )",1358,380,978,78,582,160,158
"13210 Hätilä   (Hämeenlinna )",6785,1767,5018,397,3142,693,786
"13220 Sairio   (Hämeenlinna )",1458,321,1137,84,635,169,249
"13250 Katuma   (Hämeenlinna )",931,383,548,47,407,50,44
"13270 Ruununmylly   (Hämeenlinna )",1118,186,932,71,511,193,157
"13300 Käikälä   (Hämeenlinna )",2037,396,1641,89,1055,324,173
"13330 Harviala   (Janakkala )",536,125,411,18,273,73,47
"13430 Hattelmala   (Hämeenlinna )",862,170,692,43,446,104,99
"13500 Jukola   (Hattula )",9050,2076,6974,431,4674,1034,835
"13530 Hämeenlinna sairaala-alue   (Hämeenlinna )",1,..,..,..,..,..,..
"13600 Ojoinen   (Hämeenlinna )",3101,893,2208,222,1528,274,184
"13700 Parolannummi   (Hattula )",352,73,279,22,190,40,27
"13720 Parola   (Hattula )",3530,878,2652,174,1920,329,229
"13800 Katinala   (Hattula )",1076,300,776,50,556,97,73
"13880 Rahkoila   (Hattula )",918,179,739,28,509,125,77
"13900 Pekola   (Hattula )",661,145,516,32,327,85,72
"14140 Jokimaa   (Janakkala )",168,56,112,2,94,8,8
"14200 Turenki   (Janakkala )",7089,2140,4949,248,3736,592,373
"14240 Väli-Janakkala   (Janakkala )",718,154,564,37,426,67,34
"14300 Renko kk   (Hämeenlinna )",1719,521,1198,54,961,114,69
"14330 Kaloinen   (Hämeenlinna )",14,..,..,..,..,..,..
"14370 Lukana   (Hämeenlinna )",82,30,52,3,41,5,3
"14430 Vuohiniemi   (Hattula )",62,21,41,3,34,2,2
"14450 Rimmilä   (Hämeenlinna )",101,35,66,2,52,7,5
"14500 Iittala   (Hämeenlinna )",2643,827,1816,83,1383,211,139
"14530 Leteensuo   (Hattula )",193,55,138,7,113,13,5
"14610 Lepaa   (Hattula )",355,62,293,46,193,34,20
"14620 Tyrväntö   (Hattula )",138,31,107,3,92,10,2
"14680 Alvettula   (Hämeenlinna )",486,126,360,24,279,26,31
"14690 Torvoila   (Hämeenlinna )",154,52,102,7,77,9,9
"14700 Hauho kk   (Hämeenlinna )",1651,579,1072,42,875,95,60
"14770 Eteläinen   (Hämeenlinna )",683,134,549,22,419,64,44
"14810 Pohjoinen   (Hämeenlinna )",236,77,159,5,131,12,11
"14820 Syrjäntaka   (Hämeenlinna )",687,213,474,23,378,46,27
"14840 Sairiala   (Hämeenlinna )",181,62,119,3,88,10,18
"14870 Juttila   (Hämeenlinna )",200,72,128,6,105,9,8
"14930 Sappee   (Hämeenlinna )",102,36,66,3,58,5,0
"14960 Puutikkala   (Pälkäne )",79,27,52,3,36,7,6
"14980 Kuohijoki   (Pälkäne )",41,14,27,1,24,1,1
"15100 Lahti Asemanseutu   (Lahti )",5331,1353,3978,555,2240,680,503
"15110 Keski-Lahti   (Lahti )",4455,1183,3272,504,1846,511,411
"15140 Kartano-Paavola   (Lahti )",13717,3927,9790,1160,5999,1556,1075
"15150 Möysä   (Lahti )",3728,1029,2699,298,1698,436,267
"15160 Kolava   (Lahti )",1140,106,1034,75,408,320,231
"15170 Tenava-Tonttila   (Lahti )",3235,937,2298,170,1658,287,183
"15200 Kiveriö   (Lahti )",2989,952,2037,209,1427,247,154
"15210 Kivistönmäki   (Lahti )",3643,1171,2472,202,1834,305,131
"15230 Kytölä   (Lahti )",2131,494,1637,96,1075,297,169
"15240 Mukkula   (Lahti )",6550,2117,4433,343,3148,555,387
"15270 Kukkila   (Hollola )",1220,253,967,64,618,169,116
"15300 Myllypohja-Koiskala   (Lahti )",3067,735,2332,164,1550,383,235
"15320 Ahtiala   (Lahti )",2042,416,1626,102,1018,304,202
"15340 Kunnas-Hiekkanummi   (Lahti )",2022,435,1587,92,1081,272,142
"15460 Mäkelä   (Lahti )",483,123,360,16,273,43,28
"15500 Liipola   (Lahti )",4048,1603,2445,162,1930,213,140
"15520 Saksala   (Lahti )",1977,578,1399,88,1029,194,88
"15540 Villähde   (Lahti )",3324,766,2558,140,1779,418,221
"15550 Rakokivi   (Lahti )",2968,1020,1948,99,1543,215,91
"15560 Nastola kk   (Lahti )",3240,1082,2158,125,1622,266,145
"15580 Ruuhijärvi   (Lahti )",187,57,130,8,104,9,9
"15610 Laune-Nikkilä   (Lahti )",4128,1051,3077,195,2126,492,264
"15680 Renkomäki-Ämmälä   (Lahti )",2155,413,1742,92,1122,361,167
"15700 Hennala-Jokimaa   (Hollola )",5264,1376,3888,296,2672,573,347
"15800 Kärpänen   (Lahti )",2935,865,2070,226,1420,249,175
"15810 Kasakkamäki   (Lahti )",1022,262,760,59,529,116,56
"15820 Okeroinen   (Hollola )",752,178,574,30,420,90,34
"15830 Metsäkangas   (Lahti )",3185,972,2213,155,1635,271,152
"15840 Riihelä   (Lahti )",1547,373,1174,65,848,166,95
"15850 Likolampi   (Lahti )",521,125,396,25,269,62,40
"15860 Kartano   (Hollola )",2812,824,1988,124,1440,273,151
"15870 Salpakangas   (Hollola )",3404,984,2420,116,1709,358,237
"15880 Soramäki   (Hollola )",3764,924,2840,161,1957,416,306
"15900 Jalkaranta   (Lahti )",1352,209,1143,88,500,215,340
"15950 Kiikkula   (Lahti )",3461,866,2595,218,1605,381,391
"15980 Messilä   (Hollola )",.,.,.,.,.,.,.
"16100 Uusikylä   (Lahti )",1139,368,771,33,621,80,37
"16160 Okkeri   (Lahti )",82,34,48,0,42,4,2
"16200 Artjärvi Keskus   (Orimattila )",570,230,340,22,267,32,19
"16230 Artjärvi Kirkonkylä   (Orimattila )",257,116,141,6,121,10,4
"16260 Hietana   (Orimattila )",145,50,95,6,81,7,1
"16270 Villikkala   (Orimattila )",123,38,85,3,61,10,11
"16280 Kuivanto   (Orimattila )",477,154,323,15,259,30,19
"16300 Orimattila Keskus   (Orimattila )",8540,2822,5718,324,4439,626,329
"16310 Virenoja   (Orimattila )",443,110,333,21,236,52,24
"16320 Pennala   (Orimattila )",700,121,579,29,393,110,47
"16330 Heinämaa   (Orimattila )",271,70,201,17,147,24,13
"16350 Niinikoski   (Orimattila )",261,97,164,9,127,25,3
"16390 Pakaa   (Orimattila )",220,59,161,10,127,17,7
"16450 Mallusjoki   (Orimattila )",391,133,258,10,196,32,20
"16500 Herrala   (Hollola )",669,180,489,33,369,58,29
"16510 Luhtikylä   (Orimattila )",357,92,265,20,200,28,17
"16540 Mertie   (Kärkölä )",233,71,162,10,127,17,8
"16600 Järvelä   (Kärkölä )",2439,935,1504,92,1194,144,74
"16610 Kärkölä kk   (Kärkölä )",584,169,415,26,307,57,25
"16630 Tennilä   (Hollola )",235,66,169,17,115,26,11
"16670 Lappila   (Kärkölä )",542,191,351,19,275,28,29
"16710 Hollola kk   (Hollola )",706,174,532,35,370,78,49
"16730 Kutajärvi   (Hollola )",799,230,569,32,412,78,47
"16790 Manskivi   (Hollola )",87,33,54,6,40,3,5
"16800 Hämeenkoski   (Hollola )",1669,533,1136,58,895,112,71
"16900 Lammi kk   (Hämeenlinna )",3979,1271,2708,128,2113,265,202
"16960 Iso-Evo   (Hämeenlinna )",134,47,87,4,67,13,3
"16970 Evo   (Hämeenlinna )",67,13,54,22,25,6,1
"16980 Ronni   (Hämeenlinna )",6,..,..,..,..,..,..
"17110 Sipilä   (Hollola )",851,184,667,48,465,87,67
"17120 Paimela   (Hollola )",449,114,335,17,246,45,27
"17130 Vesivehmaa   (Asikkala )",610,131,479,31,350,76,22
"17150 Urajärvi   (Asikkala )",298,92,206,9,164,22,11
"17200 Vääksy Keskus   (Asikkala )",4460,1430,3030,213,2120,403,294
"17220 Pietilä   (Asikkala )",145,61,84,6,66,11,1
"17240 Kalkkinen   (Asikkala )",346,129,217,11,179,18,9
"17320 Asikkala   (Asikkala )",267,81,186,7,145,19,15
"17410 Viitaila   (Asikkala )",213,61,152,5,122,16,9
"17430 Kurhila   (Asikkala )",220,53,167,12,123,21,11
"17440 Vähimaa   (Asikkala )",57,21,36,6,23,4,3
"17450 Iso-Äiniö-Vähimaa   (Asikkala )",180,60,120,5,97,11,7
"17470 Maakeski   (Padasjoki )",221,81,140,8,111,17,4
"17500 Padasjoki Keskus   (Padasjoki )",1636,715,921,54,716,98,53
"17510 Nyystölä   (Padasjoki )",209,69,140,6,110,20,4
"17530 Arrakoski   (Padasjoki )",200,89,111,7,86,12,6
"17610 Auttoinen   (Padasjoki )",261,113,148,8,124,11,5
"17630 Vesijako   (Padasjoki )",109,44,65,8,44,8,5
"17710 Torittu   (Padasjoki )",63,23,40,1,29,6,4
"17740 Kasiniemi-Torittu   (Padasjoki )",50,18,32,0,28,4,0
"17780 Harmoinen   (Kuhmoinen )",60,19,41,5,29,5,2
"17800 Kuhmoinen Keskus   (Kuhmoinen )",1617,637,980,45,782,89,64
"17840 Harjunsalmi   (Kuhmoinen )",65,29,36,5,29,1,1
"17850 Pihlajakoski   (Kuhmoinen )",79,31,48,4,34,6,4
"17870 Ruolahti   (Kuhmoinen )",61,26,35,1,33,0,1
"17930 Päijälä   (Kuhmoinen )",74,28,46,1,42,0,3
"17950 Kylämä   (Kuhmoinen )",22,..,..,..,..,..,..
"17970 Puukkoinen   (Kuhmoinen )",32,9,23,1,16,4,2
"18100 Heinola Keskus   (Heinola )",6075,1937,4138,215,3039,493,391
"18120 Reumasairaala-alue   (Heinola )",744,212,532,24,436,44,28
"18130 Tommola-Sahanniemi   (Heinola )",1663,647,1016,58,805,85,68
"18150 Jyränkö   (Heinola )",1985,598,1387,64,1084,163,76
"18200 Kaakonlampi-Pyhätön   (Heinola )",1819,636,1183,58,968,110,47
"18300 Heinola kk   (Heinola )",2346,763,1583,62,1307,138,76
"18600 Myllyoja   (Heinola )",656,177,479,24,390,45,20
"19110 Vierumäki taajama   (Heinola )",527,174,353,17,290,37,9
"19120 Vierumäki urheiluopisto   (Heinola )",118,10,108,24,51,14,19
"19160 Huutotöyry   (Iitti )",401,124,277,10,219,26,22
"19210 Lusi   (Heinola )",363,123,240,13,186,23,18
"19230 Onkiniemi   (Sysmä )",96,30,66,3,59,3,1
"19250 Syrjäkoski   (Heinola )",47,16,31,0,30,1,0
"19260 Paaso-Syrjäkoski   (Heinola )",115,54,61,3,55,2,1
"19310 Karilanmaa   (Sysmä )",74,32,42,1,37,1,3
"19320 Nikkaroinen   (Sysmä )",77,31,46,3,37,4,2
"19370 Nuoramoinen   (Sysmä )",362,145,217,17,172,16,12
"19410 Kuortti   (Pertunmaa )",397,139,258,18,212,21,7
"19420 Mansikkamäki   (Pertunmaa )",149,61,88,6,77,3,2
"19430 Pertunmaa Keskus   (Pertunmaa )",650,269,381,15,302,49,15
"19460 Ruorasmäki   (Pertunmaa )",105,35,70,5,56,6,3
"19470 Lihavanpää-Hartosenpää   (Pertunmaa )",142,66,76,3,63,8,2
"19480 Hartosenpää   (Pertunmaa )",66,35,31,2,26,1,2
"19510 Lepsala   (Hartola )",31,9,22,1,20,1,0
"19540 Koitti-Lepsala   (Hartola )",250,113,137,7,107,17,6
"19600 Hartola Keskus   (Hartola )",1939,800,1139,50,922,104,63
"19610 Murakka   (Hartola )",93,34,59,4,46,7,2
"19620 Pohela   (Hartola )",146,52,94,9,74,6,5
"19630 Kalhonkylä   (Hartola )",64,21,43,5,34,3,1
"19650 Joutsa Keskus   (Joutsa )",2990,1174,1816,86,1444,188,98
"19670 Mieskonmäki   (Joutsa )",120,33,87,2,75,9,1
"19700 Sysmä Keskus   (Sysmä )",2656,1129,1527,58,1197,173,99
"19730 Särkilampi   (Sysmä )",24,..,..,..,..,..,..
"19740 Liikola   (Sysmä )",113,46,67,1,59,4,3
"19770 Valittula   (Sysmä )",102,34,68,4,59,4,1
"19850 Putkijärvi-Siltasuo   (Hartola )",87,37,50,0,43,4,3
"19910 Tammijärvi   (Luhanka )",389,175,214,11,160,29,14
"19920 Pappinen   (Joutsa )",141,55,86,1,73,7,5
"19950 Luhanka   (Luhanka )",262,116,146,8,106,20,12
"20100 Turku Keskus   (Turku )",23557,4056,19501,4501,7799,3492,3709
"20200 Iso-Heikkilä   (Turku )",1821,561,1260,199,747,191,123
"20210 Pahaniemi   (Turku )",3498,1213,2285,198,1779,195,113
"20240 Pansio-Perno   (Turku )",4111,1627,2484,206,1919,203,156
"20250 Pitkämäki-Muhkuri   (Turku )",603,124,479,54,266,65,94
"20300 Pohjola-Kastu   (Turku )",5403,1237,4166,555,2166,667,778
"20320 Kuninkoja-Mälikkälä   (Turku )",13784,3527,10257,971,6534,1510,1242
"20360 Kärsämäki-Urusvuori-Halinen   (Turku )",9434,3268,6166,573,4444,651,498
"20380 Räntämäki-Saramäki   (Turku )",2285,489,1796,374,817,284,321
"20400 Moisio   (Turku )",2202,438,1764,105,1115,294,250
"20460 Jäkärlä   (Turku )",2838,790,2048,145,1553,232,118
"20500 Vesilinna   (Turku )",6135,911,5224,1902,1268,904,1150
"20520 Kupittaa   (Turku )",2871,486,2385,716,834,404,431
"20540 Nummi-Ylioppilaskylä   (Turku )",16971,3696,13275,3282,5135,2289,2569
"20610 Varissuo   (Turku )",10441,3797,6644,778,4343,780,743
"20660 Littoinen   (Kaarina )",5368,1018,4350,370,2378,714,888
"20700 Vartiovuori-Samppalinna   (Turku )",5220,976,4244,1001,1614,770,859
"20720 Vasaramäki   (Turku )",5338,1397,3941,574,1895,607,865
"20730 Skanssi   (Turku )",50,10,40,4,23,5,8
"20740 Ilpoinen-Harittu   (Turku )",7669,1814,5855,740,3320,875,920
"20750 Huhkola-Lauste-Vaala   (Turku )",4080,1378,2702,278,1822,310,292
"20760 Piispanristi   (Kaarina )",3250,653,2597,235,1526,389,447
"20780 Kaarina Keskus   (Kaarina )",9174,2413,6761,542,4196,982,1041
"20800 Ammattikorkeakoulu   (Turku )",.,.,.,.,.,.,.
"20810 Martti-Korppolaismäki   (Turku )",14042,2840,11202,1713,5337,2078,2074
"20880 Uittamo   (Turku )",3422,711,2711,264,1455,431,561
"20900 Moikoinen-Pikisaari   (Turku )",6286,1049,5237,467,2408,885,1477
"20960 Kakskerta   (Turku )",1154,266,888,88,484,134,182
"21100 Naantali Keskus   (Naantali )",5812,1664,4148,353,2696,512,587
"21110 Taimo-Nuhjala-Lietsala   (Naantali )",5683,1168,4515,319,2905,691,600
"21120 Viherjäinen   (Raisio )",1372,244,1128,73,753,156,146
"21130 Poikko   (Naantali )",454,91,363,27,247,49,40
"21140 Rymättylä Keskus   (Naantali )",1055,322,733,37,558,73,65
"21150 Röölä   (Naantali )",271,91,180,12,136,13,19
"21160 Merimasku   (Naantali )",1329,250,1079,75,690,161,153
"21180 Livonsaari   (Naantali )",173,47,126,12,84,16,14
"21195 Velkua   (Naantali )",190,48,142,12,88,25,17
"21200 Raisio Keskus   (Raisio )",10068,3345,6723,473,4956,736,558
"21210 Hakinmäki   (Raisio )",1996,420,1576,119,1069,219,169
"21220 Somersoja   (Raisio )",1115,339,776,37,566,106,67
"21230 Lemu   (Masku )",1325,324,1001,51,704,140,106
"21240 Askainen Keskus   (Masku )",703,193,510,26,388,66,30
"21250 Masku   (Masku )",4963,1018,3945,251,2591,596,507
"21260 Ihala   (Raisio )",2813,584,2229,145,1385,370,329
"21270 Nousiainen   (Nousiainen )",3614,906,2708,167,1987,342,212
"21280 Kuloinen   (Raisio )",1748,352,1396,102,880,221,193
"21290 Rusko   (Rusko )",3029,651,2378,161,1607,319,291
"21310 Vahto   (Rusko )",1375,349,1026,66,748,131,81
"21330 Paattinen   (Turku )",1420,382,1038,80,723,128,107
"21340 Tortinmäki   (Turku )",482,171,311,14,262,22,13
"21350 Ilmarinen   (Lieto )",1367,259,1108,82,647,181,198
"21360 Lieto Asemanseutu   (Lieto )",1378,358,1020,60,735,121,104
"21370 Aura kk.   (Aura )",477,121,356,26,261,28,41
"21380 Aura Keskus   (Aura )",2541,797,1744,94,1316,198,136
"21410 Vanhalinna   (Lieto )",1687,302,1385,115,720,221,329
"21420 Lieto Keskus   (Lieto )",5886,1581,4305,294,2825,632,554
"21430 Yliskulma   (Lieto )",597,130,467,31,337,59,40
"21450 Tarvasjoki Keskus   (Lieto )",1414,436,978,60,733,111,74
"21480 Prunkila   (Marttila )",292,89,203,8,151,30,14
"21490 Marttila   (Marttila )",918,336,582,39,450,56,37
"21500 Piikkiö   (Kaarina )",5317,1325,3992,300,2485,569,638
"21510 Hevonpää   (Paimio )",353,72,281,21,184,33,43
"21520 Naskarla   (Paimio )",13,..,..,..,..,..,..
"21530 Paimio Keskus   (Paimio )",6485,1698,4787,298,3287,693,509
"21540 Preitilä   (Paimio )",1009,156,853,55,564,134,100
"21555 Taatila   (Paimio )",262,66,196,9,129,35,23
"21560 Ollila   (Marttila )",422,145,277,23,208,25,21
"21570 Sauvo Keskus   (Sauvo )",2019,590,1429,92,994,188,155
"21590 Karuna   (Sauvo )",373,99,274,16,197,36,25
"21600 Parainen Keskus   (Parainen )",8488,2284,6204,515,3764,942,983
"21610 Kirjala   (Parainen )",819,171,648,47,414,85,102
"21620 Kuusisto   (Kaarina )",1525,274,1251,97,636,189,329
"21630 Lielahti   (Parainen )",432,94,338,24,218,50,46
"21650 Lillandet   (Parainen )",379,118,261,23,176,37,25
"21660 Nauvo Keskus   (Parainen )",610,194,416,33,256,73,54
"21670 Mattnäs-Nötö   (Parainen )",184,53,131,5,94,17,15
"21680 Nötö   (Parainen )",11,..,..,..,..,..,..
"21710 Korppoo Keskus-Utö   (Parainen )",542,175,367,24,254,46,43
"21720 Korpoström   (Parainen )",22,..,..,..,..,..,..
"21740 Utö   (Parainen )",37,3,34,4,14,8,8
"21750 Norrskata   (Parainen )",94,32,62,6,36,9,11
"21760 Houtskär Keskus   (Parainen )",369,147,222,16,160,28,18
"21770 Mossala   (Parainen )",97,26,71,2,55,12,2
"21800 Kyrö   (Pöytyä )",1943,711,1232,73,963,107,89
"21820 Kumila   (Pöytyä )",279,95,184,6,129,38,11
"21840 Karinainen   (Pöytyä )",243,80,163,10,125,19,9
"21860 Auvainen   (Pöytyä )",308,88,220,18,163,25,14
"21870 Riihikoski   (Pöytyä )",1514,465,1049,52,803,123,71
"21880 Pöytyä   (Pöytyä )",354,125,229,14,178,23,14
"21890 Haveri   (Pöytyä )",215,61,154,9,123,11,11
"21900 Yläne Keskus   (Pöytyä )",1241,487,754,33,583,84,54
"21930 Uusikartano   (Pöytyä )",446,147,299,14,258,20,7
"22100 Maarianhamina   (Maarianhamina )",9490,2943,6547,734,4128,930,755
"22120 Möckelö   (Jomala )",571,156,415,31,283,71,30
"22130 Gottby   (Jomala )",621,185,436,29,332,50,25
"22140 Önningby   (Jomala )",806,198,608,54,399,102,53
"22150 Jomala Centrum   (Jomala )",1373,496,877,62,659,112,44
"22160 Järsö   (Lemland )",251,64,187,32,118,24,13
"22220 Emkarby   (Finström )",310,119,191,10,157,17,7
"22240 Hammarland   (Hammarland )",1173,462,711,39,579,69,24
"22270 Storby   (Eckerö )",764,327,437,24,349,44,20
"22310 Pålsböle   (Finström )",413,174,239,21,186,22,10
"22320 Ödkarby   (Saltvik )",651,244,407,34,327,28,18
"22330 Tjudö   (Finström )",254,119,135,13,107,9,6
"22340 Geta   (Geta )",406,177,229,16,185,18,10
"22410 Godby   (Finström )",1225,422,803,60,635,76,32
"22430 Saltvik   (Saltvik )",560,211,349,19,275,39,16
"22520 Tosarby   (Sund )",401,155,246,20,198,15,13
"22530 Sund   (Sund )",426,168,258,14,197,33,14
"22550 Vårdö   (Vårdö )",344,126,218,15,171,19,13
"22610 Lemland   (Lemland )",1135,341,794,61,593,99,41
"22630 Lumparland   (Lumparland )",335,125,210,14,159,22,15
"22710 Ålands Degerby   (Föglö )",467,219,248,17,185,29,17
"22720 Sottunga   (Sottunga )",89,31,58,2,43,9,4
"22730 Kökar   (Kökar )",217,101,116,7,80,21,8
"22810 Seglinge   (Kumlinge )",32,16,16,3,9,2,2
"22820 Kumlinge   (Kumlinge )",176,73,103,6,79,12,6
"22830 Enklinge   (Kumlinge )",69,26,43,2,32,9,0
"22840 Lappo   (Brändö )",62,25,37,2,20,8,7
"22910 Torsholma   (Brändö )",69,15,54,3,33,14,4
"22920 Brändö-Åland   (Brändö )",143,56,87,7,59,11,10
"22930 Fiskö   (Brändö )",34,15,19,1,13,2,3
"22940 Åva   (Brändö )",72,25,47,3,28,8,8
"22950 Jurmo   (Brändö )",39,13,26,6,18,1,1
"23100 Mynämäki Keskus   (Mynämäki )",5015,1582,3433,194,2617,370,252
"23120 Mietoinen Keskus   (Mynämäki )",722,168,554,30,446,48,30
"23140 Hietamäki   (Mynämäki )",538,138,400,20,314,38,28
"23200 Vinkkilä   (Vehmaa )",1329,461,868,38,728,70,32
"23210 Vehmaa   (Vehmaa )",472,150,322,19,260,30,13
"23260 Rautila   (Vehmaa )",158,34,124,8,96,13,7
"23310 Taivassalo   (Taivassalo )",1381,539,842,40,673,73,56
"23360 Kustavi   (Kustavi )",778,294,484,33,363,43,45
"23390 Iniö   (Parainen )",193,78,115,8,77,20,10
"23450 Lokalahti   (Uusikaupunki )",800,260,540,19,445,53,23
"23500 Uusikaupunki Keskus   (Uusikaupunki )",9467,2661,6806,320,5285,782,419
"23600 Kalanti Keskus   (Uusikaupunki )",1791,527,1264,67,1040,107,50
"23660 Kalanti Asemanseutu   (Uusikaupunki )",292,65,227,9,189,23,6
"23800 Laitila Keskus   (Laitila )",6416,2120,4296,241,3334,480,241
"23840 Soukainen   (Laitila )",143,46,97,4,83,6,4
"23880 Suontaka   (Laitila )",80,32,48,1,42,5,0
"23930 Pyhämaa   (Uusikaupunki )",461,176,285,12,233,27,13
"23950 Pyhäranta   (Pyhäranta )",446,152,294,17,238,33,6
"23960 Santtio   (Pyhäranta )",196,61,135,7,104,17,7
"24100 Salo Keskus   (Salo )",7924,2802,5122,405,3649,639,429
"24130 Ylhäisi   (Salo )",3029,832,2197,151,1507,334,205
"24240 Rappula   (Salo )",3370,1160,2210,137,1558,278,237
"24260 Ollikkala   (Salo )",3769,1336,2433,160,1860,274,139
"24280 Tupuri-Hähkänä   (Salo )",3776,770,3006,177,1981,525,323
"24800 Halikko Keskus   (Salo )",3722,1045,2677,181,1844,376,276
"24910 Halikko Asemanseutu   (Salo )",753,167,586,23,373,114,76
"25110 Kruusila   (Salo )",291,92,199,12,157,20,10
"25130 Muurla   (Salo )",1188,346,842,54,594,114,80
"25160 Tuohittu   (Salo )",93,33,60,8,37,7,8
"25170 Kotalato   (Salo )",119,34,85,6,59,14,6
"25180 Romsila   (Salo )",186,50,136,1,96,22,17
"25190 Inkere   (Salo )",748,234,514,18,419,64,13
"25210 Vartsala   (Salo )",299,75,224,12,146,39,27
"25230 Angelniemi   (Salo )",302,77,225,12,158,36,19
"25240 Hajala   (Salo )",544,150,394,22,283,48,41
"25250 Märynummi   (Salo )",798,162,636,35,476,82,43
"25260 Vaskio   (Salo )",815,287,528,37,403,60,28
"25320 Raatala   (Salo )",355,118,237,14,183,27,13
"25330 Kuusjoki Keskus   (Salo )",671,256,415,23,337,34,21
