"Postal code area","Inhabitants, 2012 (PT)","Labour force, 2012 (PT)","Employed, 2012 (PT)","Unemployed, 2012 (PT)","Persons outside the labour force, 2012 (PT)","Children aged 0 to 14, 2012 (PT)","Students, 2012 (PT)","Pensioners, 2012 (PT)","Others, 2012 (PT)"
"Finland",5426674,2621312,2339904,281408,2805362,891392,410856,1313087,190027
"00100 Helsinki Keskusta  (Helsinki)",17308,10303,9780,523,7005,1550,1222,3251,982
"00120 Punavuori  (Helsinki)",6681,4054,3833,221,2627,681,400,1156,390
"00130 Kaartinkaupunki  (Helsinki)",1502,873,841,32,629,167,109,246,107
"00140 Kaivopuisto  (Helsinki)",7746,4421,4224,197,3325,895,516,1414,500
"00150 Eira  (Helsinki)",9300,5834,5502,332,3466,873,568,1434,591
"00160 Katajanokka  (Helsinki)",4507,2344,2221,123,2163,597,306,1018,242
"00170 Kruununhaka  (Helsinki)",7123,4277,4071,206,2846,801,519,1237,289
"00180 Ruoholahti  (Helsinki)",12149,7308,6861,447,4841,1325,945,1936,635
"00190 Suomenlinna  (Helsinki)",756,401,387,14,355,142,80,99,34
"00200 Lauttasaari  (Helsinki)",14607,8420,8001,419,6187,1873,940,2791,583
"00210 Vattuniemi  (Helsinki)",6798,3700,3527,173,3098,975,287,1579,257
"00220 Jätkäsaari  (Helsinki)",602,333,316,17,269,6,199,48,16
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",4898,2663,2465,198,2235,519,412,1110,194
"00250 Taka-Töölö  (Helsinki)",10868,6802,6458,344,4066,911,727,1956,472
"00260 Keski-Töölö  (Helsinki)",5415,3030,2891,139,2385,437,291,1355,302
"00270 Pohjois-Meilahti  (Helsinki)",7575,4499,4206,293,3076,921,584,1269,302
"00280 Ruskeasuo  (Helsinki)",2792,1562,1501,61,1230,304,302,538,86
"00290 Meilahden sairaala-alue  (Helsinki)",161,110,104,6,51,8,5,26,12
"00300 Pikku Huopalahti  (Helsinki)",5742,3073,2808,265,2669,915,425,1081,248
"00310 Kivihaka  (Helsinki)",881,536,497,39,345,90,55,167,33
"00320 Etelä-Haaga  (Helsinki)",9220,5611,5282,329,3609,808,631,1851,319
"00330 Munkkiniemi  (Helsinki)",8470,4152,3941,211,4318,1104,613,2286,315
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1693,765,744,21,928,305,169,327,127
"00350 Munkkivuori-Niemenmäki  (Helsinki)",8857,4917,4619,298,3940,1127,735,1770,308
"00360 Pajamäki  (Helsinki)",1862,1080,1001,79,782,180,124,408,70
"00370 Reimarla  (Helsinki)",6414,3399,3165,234,3015,1045,465,1241,264
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",4132,2368,2197,171,1764,637,293,645,189
"00390 Konala  (Helsinki)",5977,3464,3239,225,2513,867,410,988,248
"00400 Pohjois-Haaga  (Helsinki)",9197,4796,4395,401,4401,943,724,2230,504
"00410 Malminkartano  (Helsinki)",8574,4775,4349,426,3799,1311,967,1059,462
"00420 Kannelmäki  (Helsinki)",13639,7046,6402,644,6593,1705,1129,2939,820
"00430 Maununneva  (Helsinki)",4751,2492,2362,130,2259,897,449,751,162
"00440 Lassila  (Helsinki)",4490,2218,2049,169,2272,481,339,1272,180
"00500 Sörnäinen  (Helsinki)",12401,8849,8040,809,3552,494,845,1573,640
"00510 Etu-Vallila  (Helsinki)",8433,5686,5162,524,2747,422,547,1352,426
"00520 Itä-Pasila  (Helsinki)",6473,3654,3331,323,2819,628,469,1294,428
"00530 Kallio  (Helsinki)",18348,11849,10873,976,6499,835,1246,3540,878
"00540 Kalasatama  (Helsinki)",596,391,381,10,205,50,129,15,11
"00550 Vallila  (Helsinki)",9033,5674,5148,526,3359,677,856,1467,359
"00560 Toukola-Vanhakaupunki  (Helsinki)",11940,7057,6644,413,4883,1921,1182,1405,375
"00570 Kulosaari  (Helsinki)",3827,1856,1760,96,1971,614,283,872,202
"00580 Verkkosaari  (Helsinki)",1921,1059,1011,48,862,331,98,352,81
"00590 Kaitalahti  (Helsinki)",368,191,185,6,177,74,25,62,16
"00600 Koskela-Helsinki  (Helsinki)",4119,1687,1519,168,2432,507,393,1323,209
"00610 Käpylä  (Helsinki)",7951,4239,3897,342,3712,1138,518,1796,260
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",3082,1530,1448,82,1552,415,199,835,103
"00630 Maunula-Suursuo  (Helsinki)",7812,3785,3350,435,4027,1004,511,2145,367
"00640 Oulunkylä-Patola  (Helsinki)",7711,3859,3590,269,3852,1091,593,1880,288
"00650 Veräjämäki  (Helsinki)",4284,2305,2138,167,1979,771,344,696,168
"00660 Länsi-Pakila  (Helsinki)",6506,3076,2925,151,3430,1134,474,1623,199
"00670 Paloheinä  (Helsinki)",6016,3091,2958,133,2925,1242,510,1006,167
"00680 Itä-Pakila  (Helsinki)",3723,1828,1731,97,1895,744,290,746,115
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",2711,1419,1338,81,1292,580,223,397,92
"00700 Malmi  (Helsinki)",13085,6898,6188,710,6187,1947,1031,2570,639
"00710 Pihlajamäki  (Helsinki)",11870,5908,5222,686,5962,1732,813,2792,625
"00720 Pukinmäki-Savela  (Helsinki)",8305,4347,3961,386,3958,1089,587,1896,386
"00730 Tapanila  (Helsinki)",11313,6306,5859,447,5007,2140,866,1636,365
"00740 Siltamäki  (Helsinki)",10044,5016,4688,328,5028,1767,907,1965,389
"00750 Puistola  (Helsinki)",9122,4894,4455,439,4228,1588,777,1416,447
"00760 Suurmetsä  (Helsinki)",7733,4027,3820,207,3706,1529,671,1260,246
"00770 Jakomäki  (Helsinki)",5999,2802,2377,425,3197,955,480,1393,369
"00780 Tapaninvainio  (Helsinki)",7036,3637,3381,256,3399,1087,466,1623,223
"00790 Viikki  (Helsinki)",10119,5500,5181,319,4619,2256,1107,847,409
"00800 Länsi-Herttoniemi  (Helsinki)",7063,3773,3328,445,3290,864,514,1584,328
"00810 Herttoniemi  (Helsinki)",11149,6465,5880,585,4684,1827,776,1593,488
"00820 Roihuvuori  (Helsinki)",7268,3763,3310,453,3505,994,555,1567,389
"00830 Tammisalo  (Helsinki)",2235,976,934,42,1259,428,140,583,108
"00840 Laajasalo  (Helsinki)",8170,3978,3714,264,4192,1191,546,2171,284
"00850 Jollas  (Helsinki)",3113,1607,1525,82,1506,692,248,438,128
"00860 Santahamina  (Helsinki)",475,293,292,1,182,130,27,8,17
"00870 Etelä-Laajasalo  (Helsinki)",4858,2323,2098,225,2535,823,400,1096,216
"00880 Roihupellon teollisuusalue  (Helsinki)",52,41,31,10,11,..,..,..,..
"00890 Itäsalmi  (Helsinki)",2148,1040,994,46,1108,574,234,216,84
"00900 Puotinharju  (Helsinki)",3968,1955,1677,278,2013,478,274,1029,232
"00910 Puotila  (Helsinki)",6082,3076,2718,358,3006,784,421,1536,265
"00920 Myllypuro  (Helsinki)",10989,5217,4651,566,5772,1768,677,2762,565
"00930 Itäkeskus-Marjaniemi  (Helsinki)",6584,3110,2728,382,3474,1045,553,1468,408
"00940 Kontula  (Helsinki)",25445,11868,10202,1666,13577,4180,2169,5721,1507
"00950 Vartioharju  (Helsinki)",5567,2889,2730,159,2678,989,436,1067,186
"00960 Pohjois-Vuosaari  (Helsinki)",7020,3561,3212,349,3459,1109,487,1565,298
"00970 Mellunkylä  (Helsinki)",10331,5191,4555,636,5140,1386,765,2454,535
"00980 Etelä-Vuosaari  (Helsinki)",22486,10708,9301,1407,11778,4267,1900,4330,1281
"00990 Aurinkolahti  (Helsinki)",7185,4079,3826,253,3106,1110,343,1402,251
"01120 Västerskog  (Sipoo)",1279,644,614,30,635,219,82,270,64
"01150 Söderkulla  (Sipoo)",4519,2282,2199,83,2237,1027,303,777,130
"01180 Kalkkiranta  (Sipoo)",491,240,229,11,251,99,33,102,17
"01190 Box  (Sipoo)",1010,537,517,20,473,192,63,201,17
"01200 Hakunila  (Vantaa)",11794,6135,5270,865,5659,2163,871,2093,532
"01230 Vaarala  (Vantaa)",2908,1659,1569,90,1249,532,191,444,82
"01260 Itä-Hakkila  (Vantaa)",4748,2551,2405,146,2197,993,345,725,134
"01280 Länsimäki  (Vantaa)",9570,5278,4656,622,4292,1729,625,1594,344
"01300 Tikkurila  (Vantaa)",17176,9451,8684,767,7725,2281,1053,3860,531
"01340 Leinelä  (Vantaa)",367,241,221,20,126,34,22,57,13
"01350 Hiekkaharju  (Vantaa)",8893,4877,4488,389,4016,1515,607,1634,260
"01360 Koivukylä-Havukoski  (Vantaa)",12013,6432,5629,803,5581,1823,932,2291,535
"01370 Jokiniemi  (Vantaa)",5741,3488,3209,279,2253,962,628,477,186
"01380 Kuusikko-Hakkila  (Vantaa)",1943,1064,1005,59,879,408,148,267,56
"01390 Ruskeasanta-Ilola  (Vantaa)",8574,4805,4561,244,3769,1867,662,998,242
"01400 Rekola  (Vantaa)",8001,4016,3647,369,3985,1679,607,1436,263
"01420 Päiväkumpu  (Vantaa)",3225,1651,1563,88,1574,753,288,443,90
"01450 Korso  (Vantaa)",18274,9911,9053,858,8363,3481,1335,2919,628
"01480 Mikkola  (Vantaa)",6582,3480,3111,369,3102,1355,475,1002,270
"01490 Nikinmäki  (Vantaa)",3851,1983,1883,100,1868,1098,254,406,110
"01510 Kirkonkylä-Veromäki  (Vantaa)",5303,3252,3013,239,2051,1080,302,475,194
"01520 Tammisto  (Vantaa)",7508,4681,4458,223,2827,1918,347,370,192
"01530 Veromiehenkylä  (Vantaa)",535,368,329,39,167,69,30,30,38
"01600 Myyrmäki  (Vantaa)",15668,7926,7133,793,7742,2116,956,4128,542
"01610 Kaivoksela  (Vantaa)",4025,2372,2184,188,1653,530,229,774,120
"01620 Martinlaakso  (Vantaa)",11794,6019,5389,630,5775,1809,767,2758,441
"01630 Hämeenkylä  (Vantaa)",2104,1164,1102,62,940,455,132,301,52
"01640 Hämevaara  (Vantaa)",2720,1484,1397,87,1236,506,138,514,78
"01650 Vapaala  (Vantaa)",4019,2161,2016,145,1858,584,280,849,145
"01660 Varisto  (Vantaa)",2358,1200,1085,115,1158,397,153,526,82
"01670 Vantaanlaakso  (Vantaa)",2732,1494,1418,76,1238,507,171,490,70
"01680 Askisto  (Vantaa)",2034,1083,1014,69,951,463,165,268,55
"01690 Ylästö  (Vantaa)",4624,2437,2343,94,2187,1331,354,401,101
"01700 Kivistö  (Vantaa)",2993,1561,1500,61,1432,818,179,375,60
"01710 Pähkinärinne  (Vantaa)",4678,2625,2404,221,2053,729,264,900,160
"01720 Petikko  (Vantaa)",63,46,45,1,17,..,..,..,..
"01730 Vantaanpuisto  (Vantaa)",2301,1178,1116,62,1123,454,137,476,56
"01740 Tuupakan teollisuusalue  (Vantaa)",210,115,107,8,95,38,7,43,7
"01750 Keimola  (Vantaa)",855,451,429,22,404,195,62,127,20
"01760 Seutula  (Vantaa)",2099,1122,1063,59,977,397,128,390,62
"01770 Martinlaakson teollisuusalue  (Vantaa)",.,.,.,.,.,.,.,.,.
"01800 Klaukkala Keskus  (Nurmijärvi)",7104,3708,3529,179,3396,1368,469,1321,238
"01810 Luhtajoki  (Nurmijärvi)",713,350,332,18,363,189,57,98,19
"01820 Haikala  (Nurmijärvi)",3483,1875,1803,72,1608,891,246,388,83
"01830 Lepsämä  (Nurmijärvi)",2405,1205,1169,36,1200,620,164,361,55
"01840 Klaukkala  (Nurmijärvi)",4229,2244,2165,79,1985,1170,317,412,86
"01860 Perttula  (Nurmijärvi)",2138,1071,1041,30,1067,488,149,347,83
"01900 Nurmijärvi Keskus  (Nurmijärvi)",8762,4258,4023,235,4504,1789,592,1902,221
"01940 Palojoki  (Nurmijärvi)",804,392,376,16,412,188,52,155,17
"02100 Tapiola  (Espoo)",3888,1960,1854,106,1928,434,249,1115,130
"02110 Otsolahti  (Espoo)",2677,1469,1392,77,1208,381,172,547,108
"02120 Länsikorkee-Hakalehto  (Espoo)",2769,1482,1395,87,1287,346,183,681,77
"02130 Pohjois-Tapiola  (Espoo)",5918,2986,2846,140,2932,1071,492,1164,205
"02140 Laajalahti-Friisinmäki  (Espoo)",3656,1883,1778,105,1773,787,313,535,138
"02150 Otaniemi  (Espoo)",3731,1884,1853,31,1847,124,1395,92,236
"02160 Westend  (Espoo)",3098,1411,1361,50,1687,625,246,636,180
"02170 Haukilahti  (Espoo)",5789,2742,2609,133,3047,985,469,1368,225
"02180 Mankkaa  (Espoo)",6615,3297,3131,166,3318,1602,555,920,241
"02200 Niittykumpu  (Espoo)",8793,4908,4665,243,3885,1499,596,1488,302
"02210 Olari-Kuitinmäki  (Espoo)",11099,5727,5350,377,5372,1754,848,2385,385
"02230 Matinkylä  (Espoo)",19192,10194,9349,845,8998,3245,1486,3322,945
"02240 Friisilä  (Espoo)",1977,1009,968,41,968,430,164,306,68
"02260 Iivisniemi  (Espoo)",3817,1983,1857,126,1834,828,316,538,152
"02270 Suomenoja  (Espoo)",2262,1195,1126,69,1067,531,177,292,67
"02280 Puolarmetsä  (Espoo)",4413,2455,2289,166,1958,1035,353,388,182
"02290 Puolarmetsän sairaala  (Espoo)",26,0,0,0,26,..,..,..,..
"02300 Nöykkiö  (Espoo)",2547,1289,1244,45,1258,615,240,324,79
"02320 Kivenlahti  (Espoo)",15664,7912,7275,637,7752,2490,1090,3477,695
"02330 Kattilalaakso  (Espoo)",7953,4310,4101,209,3643,1998,573,827,245
"02340 Latokaski  (Espoo)",5040,2709,2611,98,2331,1319,362,509,141
"02360 Espoonlahti  (Espoo)",9312,4605,4280,325,4707,1568,697,2072,370
"02380 Suvisaaristo  (Espoo)",651,266,258,8,385,133,49,151,52
"02400 Kirkkonummi Keskus  (Kirkkonummi)",12313,6121,5713,408,6192,2525,944,2310,413
"02410 Gesterby  (Kirkkonummi)",2157,1144,966,178,1013,299,104,500,110
"02420 Jorvas  (Kirkkonummi)",1886,918,877,41,968,447,149,306,66
"02430 Masala  (Kirkkonummi)",4081,2150,1960,190,1931,1045,259,465,162
"02440 Luoma  (Kirkkonummi)",653,321,314,7,332,129,59,126,18
"02450 Sundsberg  (Kirkkonummi)",1652,895,869,26,757,577,54,85,41
"02460 Kantvik  (Kirkkonummi)",1618,896,833,63,722,293,136,237,56
"02470 Upinniemi  (Kirkkonummi)",330,212,195,17,118,55,19,36,8
"02480 Porkkala  (Kirkkonummi)",4051,2117,2017,100,1934,946,300,560,128
"02490 Pikkala  (Siuntio)",302,184,168,16,118,46,8,50,14
"02510 Oitmäki  (Kirkkonummi)",498,247,239,8,251,101,41,86,23
"02520 Lapinkylä  (Kirkkonummi)",821,406,386,20,415,170,48,170,27
"02540 Kylmälä  (Kirkkonummi)",680,357,335,22,323,140,45,113,25
"02550 Evitskog  (Kirkkonummi)",858,451,428,23,407,177,48,143,39
"02570 Siuntio Kirkonkylä  (Siuntio)",1361,707,668,39,654,276,90,235,53
"02580 Siuntio Asemanseutu  (Siuntio)",3379,1641,1578,63,1738,781,219,627,111
"02590 Lappers  (Siuntio)",260,125,120,5,135,67,13,46,9
"02600 Etelä-Leppävaara  (Espoo)",10547,6132,5751,381,4415,1872,796,1308,439
"02610 Kilo  (Espoo)",5782,3243,2993,250,2539,1190,585,491,273
"02620 Karakallio  (Espoo)",7992,3989,3685,304,4003,1729,543,1450,281
"02630 Nihtisilta  (Espoo)",2958,1683,1573,110,1275,642,222,289,122
"02650 Pohjois-Leppävaara  (Espoo)",9682,5759,5341,418,3923,1321,674,1495,433
"02660 Lintuvaara  (Espoo)",6214,3228,3048,180,2986,1437,650,637,262
"02680 Uusmäki  (Espoo)",649,324,313,11,325,151,39,116,19
"02700 Suur-Kauniainen  (Kauniainen)",8792,3937,3757,180,4855,1661,850,1999,345
"02710 Viherlaakso  (Espoo)",6042,3058,2880,178,2984,1051,364,1373,196
"02720 Laaksolahti-Lähderanta  (Espoo)",2684,1356,1280,76,1328,490,218,529,91
"02730 Laaksolahti  (Espoo)",4559,2340,2245,95,2219,967,408,740,104
"02740 Karvasmäki-Kunnarla  (Espoo)",2675,1530,1460,70,1145,667,178,211,89
"02750 Sepänkylä  (Espoo)",5866,3251,3058,193,2615,1488,426,463,238
"02760 Espoon Keskus Itäinen  (Espoo)",14212,7967,7363,604,6245,2724,1088,1715,718
"02770 Espoon Keskus Läntinen  (Espoo)",9995,5299,4857,442,4696,1939,942,1332,483
"02780 Kauklahti  (Espoo)",7911,4028,3787,241,3883,2047,580,947,309
"02810 Kumpyöli-Karhusuo  (Espoo)",1779,941,898,43,838,519,119,155,45
"02820 Nupuri-Nuuksio  (Espoo)",1471,710,672,38,761,300,96,320,45
"02860 Siikajärvi  (Espoo)",713,348,326,22,365,148,51,140,26
"02880 Veikkola  (Kirkkonummi)",5848,3049,2925,124,2799,1539,366,757,137
