"Postal code area","Workplaces, 2012 (TP)","Primary production, 2012 (TP)","Processing, 2012 (TP)","Services, 2012 (TP)","A Agriculture, forestry and fishing, 2012 (TP)","B Mining and quarrying, 2012 (TP)","C Manufacturing, 2012 (TP)","D Electricity, gas, steam and air conditioning supply, 2012 (TP)","E Water supply; sewerage, waste management and remediation activities, 2012 (TP)","F Construction, 2012 (TP)","G Wholesale and retail trade; repair of motor vehicles and motorcycles, 2012 (TP)","H Transportation and storage, 2012 (TP)","I Accommodation and food service activities, 2012 (TP)","J Information and communication, 2012 (TP)","K Financial and insurance activities, 2012 (TP)","L Real estate activities, 2012 (TP)","M Professional, scientific and technical activities, 2012 (TP)","N Administrative and support service activities, 2012 (TP)","O Public administration and defence; compulsory social security, 2012 (TP)","P Education, 2012 (TP)","Q Human health and social work activities, 2012 (TP)","R Arts, entertainment and recreation, 2012 (TP)","S Other service activities, 2012 (TP)","T Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use, 2012 (TP)","U Activities of extraterritorial organisations and bodies, 2012 (TP)","X Industry unknown, 2012 (TP)"
"Finland",2178407,63443,493245,1621666,63443,5227,316554,12492,10258,148714,275718,135613,81128,86164,45854,20405,127658,83575,116378,165658,375797,40290,66964,223,241,53
"00100 Helsinki Keskusta  (Helsinki)",46945,128,1289,45527,128,1,210,771,0,307,8002,1480,4493,4915,4546,687,6545,1701,3263,2878,2611,1760,2434,0,212,1
"00120 Punavuori  (Helsinki)",9854,7,263,9584,7,4,137,12,4,106,1055,197,783,1088,787,227,1547,277,1040,414,633,226,1310,0,0,0
"00130 Kaartinkaupunki  (Helsinki)",11413,16,884,10513,16,4,672,3,1,204,774,512,733,651,845,213,1808,291,2078,146,1116,420,926,0,0,0
"00140 Kaivopuisto  (Helsinki)",2354,13,145,2196,13,0,36,0,0,109,242,155,238,273,14,87,351,90,86,29,254,100,276,1,0,0
"00150 Eira  (Helsinki)",5250,11,728,4511,11,0,605,0,0,123,381,94,202,1217,26,110,1254,133,0,210,630,94,155,5,0,0
"00160 Katajanokka  (Helsinki)",5279,6,426,4847,6,0,321,0,0,105,630,414,297,96,29,21,449,182,2131,44,76,10,468,0,0,0
"00170 Kruununhaka  (Helsinki)",8261,4,132,8124,4,0,26,0,0,106,281,40,433,120,621,56,435,113,2798,1766,284,564,613,0,0,1
"00180 Ruoholahti  (Helsinki)",20140,4,1862,18274,4,0,727,231,29,875,1314,768,661,3440,1157,93,4090,746,2484,950,1177,443,951,0,0,0
"00190 Suomenlinna  (Helsinki)",459,0,14,445,0,0,13,0,0,1,29,0,58,3,0,0,27,87,134,29,23,29,11,0,15,0
"00200 Lauttasaari  (Helsinki)",2437,2,195,2240,2,0,36,0,0,159,514,173,75,54,28,66,348,103,15,170,391,183,120,0,0,0
"00210 Vattuniemi  (Helsinki)",4535,4,319,4211,4,0,224,0,4,91,1234,93,65,1055,83,54,1247,145,0,7,107,64,57,0,0,1
"00220 Jätkäsaari  (Helsinki)",702,0,6,696,0,0,6,0,0,0,12,633,28,6,0,0,7,3,0,0,0,7,0,0,0,0
"00230 Ilmala  (Helsinki)",2679,0,0,2679,0,0,0,0,0,0,0,2401,16,200,28,32,1,0,0,0,0,0,1,0,0,0
"00240 Länsi-Pasila  (Helsinki)",12673,34,453,12186,34,0,69,98,124,162,334,1176,446,4549,691,193,733,693,2036,52,495,555,233,0,0,0
"00250 Taka-Töölö  (Helsinki)",8265,23,121,8121,23,0,20,3,1,97,295,183,384,214,65,153,611,202,551,576,3784,708,394,1,0,0
"00260 Keski-Töölö  (Helsinki)",7544,5,36,7503,5,0,9,0,0,27,202,123,512,38,33,53,1062,47,0,561,3832,756,279,0,5,0
"00270 Pohjois-Meilahti  (Helsinki)",2668,4,911,1753,4,0,13,0,0,898,179,14,91,45,0,31,341,307,0,229,355,92,69,0,0,0
