"Postal code area","Aged 18 or over, total, 2012 (KO)","Basic level studies, 2012 (KO)","With education, total, 2012 (KO)","Matriculation examination, 2012 (KO)","Vocational diploma, 2012 (KO)","Academic degree - Lower level university degree, 2012 (KO)","Academic degree - Higher level university degree, 2012 (KO)"
"Finland",4347944,1240898,3107046,321936,1947719,432503,404888
"00100 Helsinki Keskusta  (Helsinki)",15521,2304,13217,2972,2800,2516,4929
"00120 Punavuori  (Helsinki)",5904,864,5040,1182,1146,859,1853
"00130 Kaartinkaupunki  (Helsinki)",1307,192,1115,248,235,185,447
"00140 Kaivopuisto  (Helsinki)",6713,965,5748,1266,1251,1006,2225
"00150 Eira  (Helsinki)",8299,1303,6996,1570,1609,1341,2476
"00160 Katajanokka  (Helsinki)",3808,680,3128,587,837,546,1158
"00170 Kruununhaka  (Helsinki)",6182,765,5417,1111,1187,963,2156
"00180 Ruoholahti  (Helsinki)",10497,2078,8419,1784,2601,1656,2378
"00190 Suomenlinna  (Helsinki)",570,113,457,66,195,50,146
"00200 Lauttasaari  (Helsinki)",12475,1910,10565,2053,2758,2044,3710
"00210 Vattuniemi  (Helsinki)",5707,855,4852,677,1418,910,1847
"00220 Jätkäsaari  (Helsinki)",584,78,506,290,128,62,26
"00230 Ilmala  (Helsinki)",.,.,.,.,.,.,.
"00240 Länsi-Pasila  (Helsinki)",4270,940,3330,603,1388,601,738
"00250 Taka-Töölö  (Helsinki)",9821,1391,8430,1868,2142,1710,2710
"00260 Keski-Töölö  (Helsinki)",4924,827,4097,825,1009,805,1458
"00270 Pohjois-Meilahti  (Helsinki)",6460,1108,5352,1135,1575,1003,1639
"00280 Ruskeasuo  (Helsinki)",2442,377,2065,531,543,397,594
"00290 Meilahden sairaala-alue  (Helsinki)",151,18,133,13,52,31,37
"00300 Pikku Huopalahti  (Helsinki)",4669,1049,3620,624,1462,621,913
"00310 Kivihaka  (Helsinki)",776,149,627,115,238,134,140
"00320 Etelä-Haaga  (Helsinki)",8293,1473,6820,1371,2057,1444,1948
"00330 Munkkiniemi  (Helsinki)",7111,1146,5965,1059,1640,1026,2240
"00340 Kuusisaari-Lehtisaari  (Helsinki)",1284,177,1107,182,270,150,505
"00350 Munkkivuori-Niemenmäki  (Helsinki)",7525,1372,6153,1262,2111,1143,1637
"00360 Pajamäki  (Helsinki)",1644,340,1304,221,533,239,311
"00370 Reimarla  (Helsinki)",5181,1322,3859,683,1618,670,888
"00380 Pitäjänmäen teollisuusalue  (Helsinki)",3369,842,2527,387,1112,477,551
"00390 Konala  (Helsinki)",4946,1316,3630,591,1759,644,636
"00400 Pohjois-Haaga  (Helsinki)",8069,2342,5727,1035,2346,1041,1305
"00410 Malminkartano  (Helsinki)",6979,2071,4908,1063,2437,735,673
"00420 Kannelmäki  (Helsinki)",11548,3756,7792,1445,3959,1245,1143
"00430 Maununneva  (Helsinki)",3653,722,2931,466,1253,450,762
"00440 Lassila  (Helsinki)",3911,1098,2813,482,1210,515,606
"00500 Sörnäinen  (Helsinki)",11842,2360,9482,2468,3115,2027,1872
"00510 Etu-Vallila  (Helsinki)",7948,1731,6217,1419,2210,1356,1232
"00520 Itä-Pasila  (Helsinki)",5747,1467,4280,909,1620,809,942
"00530 Kallio  (Helsinki)",17397,3463,13934,3288,4439,2830,3377
"00540 Kalasatama  (Helsinki)",531,56,475,193,127,84,71
"00550 Vallila  (Helsinki)",8227,1924,6303,1627,2156,1285,1235
"00560 Toukola-Vanhakaupunki  (Helsinki)",9808,1535,8273,1814,2495,1731,2233
"00570 Kulosaari  (Helsinki)",3096,533,2563,464,675,444,980
"00580 Verkkosaari  (Helsinki)",1551,349,1202,192,400,255,355
"00590 Kaitalahti  (Helsinki)",275,37,238,33,76,40,89
"00600 Koskela-Helsinki  (Helsinki)",3495,1316,2179,516,946,304,413
"00610 Käpylä  (Helsinki)",6604,1659,4945,812,1917,896,1320
"00620 Metsälä-Etelä-Oulunkylä  (Helsinki)",2568,613,1955,305,752,337,561
"00630 Maunula-Suursuo  (Helsinki)",6618,2398,4220,654,2059,588,919
"00640 Oulunkylä-Patola  (Helsinki)",6401,1592,4809,808,1959,825,1217
"00650 Veräjämäki  (Helsinki)",3345,792,2553,374,1065,404,710
"00660 Länsi-Pakila  (Helsinki)",5102,952,4150,518,1507,621,1504
"00670 Paloheinä  (Helsinki)",4487,720,3767,514,1353,555,1345
"00680 Itä-Pakila  (Helsinki)",2803,577,2226,305,880,365,676
"00690 Tuomarinkylä-Torpparinmäki  (Helsinki)",1998,428,1570,242,688,237,403
"00700 Malmi  (Helsinki)",10723,3645,7078,1093,4081,1033,871
