"Postal code area","Free-time residences, 2016 (RA)","Buildings, total, 2016 (RA)","Other buildings, 2016 (RA)","Residential buildings, 2016 (RA)","Dwellings, 2016 (RA)","Average floor area, 2016 (RA)","Dwellings in small houses, 2016 (RA)","Dwellings in blocks of flats, 2016 (RA)"
"Finland",502903,1512241,222050,1290191,2911973,80.3,1559725,1352247
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",0,630,322,308,11768,66.2,2,11766
"00120 Punavuori   (Helsinki )",0,248,101,147,4421,69.2,7,4414
"00130 Kaartinkaupunki   (Helsinki )",0,142,108,34,902,74.9,0,902
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",0,249,77,172,5426,73.9,14,5412
"00150 Eira - Hernesaari   (Helsinki )",2,371,106,265,6766,55.6,32,6734
"00160 Katajanokka   (Helsinki )",0,141,63,78,2670,76.6,2,2668
"00170 Kruununhaka   (Helsinki )",0,265,131,134,4590,68.0,9,4581
"00180 Kamppi - Ruoholahti   (Helsinki )",0,337,146,191,8673,59.3,80,8593
"00190 Suomenlinna   (Helsinki )",0,114,58,56,411,70.5,87,324
"00200 Lauttasaari   (Helsinki )",5,581,51,530,9217,60.2,486,8731
"00210 Vattuniemi   (Helsinki )",0,236,95,141,4572,71.0,41,4531
"00220 Jätkäsaari   (Helsinki )",0,52,22,30,2239,56.2,0,2239
"00230 Ilmala   (Helsinki )",0,2,2,0,0,0.0,0,0
"00240 Länsi-Pasila   (Helsinki )",0,203,89,114,2934,63.0,13,2921
"00250 Taka-Töölö   (Helsinki )",0,411,130,281,7762,53.7,71,7691
"00260 Keski-Töölö   (Helsinki )",0,141,49,92,3641,63.0,0,3641
"00270 Pohjois-Meilahti   (Helsinki )",0,194,27,167,4872,53.0,68,4804
"00280 Ruskeasuo   (Helsinki )",0,136,26,110,1790,55.8,39,1751
"00290 Meilahden sairaala-alue   (Helsinki )",0,35,30,5,113,64.4,0,113
"00300 Pikku Huopalahti   (Helsinki )",0,225,61,164,3149,61.8,65,3084
"00310 Kivihaka   (Helsinki )",0,35,11,24,604,50.9,13,591
"00320 Etelä-Haaga   (Helsinki )",0,400,50,350,6737,49.6,172,6565
"00330 Munkkiniemi   (Helsinki )",0,384,51,333,5342,70.2,240,5102
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1,224,21,203,856,122.8,399,457
"00350 Munkkivuori-Niemenmäki   (Helsinki )",0,264,64,200,5674,54.9,141,5533
"00360 Pajamäki   (Helsinki )",3,37,7,30,1230,49.8,0,1230
"00370 Reimarla   (Helsinki )",0,780,143,637,3547,66.8,905,2642
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",0,170,105,65,2524,59.5,13,2511
"00390 Konala   (Helsinki )",0,733,142,591,3435,63.1,856,2579
"00400 Pohjois-Haaga   (Helsinki )",0,222,28,194,5783,52.6,69,5714
"00410 Malminkartano   (Helsinki )",0,358,70,288,4319,63.9,343,3976
"00420 Kannelmäki   (Helsinki )",0,710,63,647,8007,59.5,907,7100
"00430 Maununneva   (Helsinki )",0,1240,58,1182,2203,89.3,1707,496
"00440 Lassila   (Helsinki )",0,206,44,162,2745,57.4,70,2675
"00500 Sörnäinen   (Helsinki )",0,226,61,165,9716,39.4,0,9716
"00510 Etu-Vallila - Alppila   (Helsinki )",0,371,149,222,6806,41.1,64,6742
"00520 Itä-Pasila   (Helsinki )",0,210,84,126,4243,54.5,2,4241
"00530 Kallio   (Helsinki )",0,344,112,232,13630,45.3,7,13623
"00540 Kalasatama   (Helsinki )",0,71,41,30,1259,62.1,20,1239
"00550 Vallila   (Helsinki )",6,195,27,168,6390,45.5,17,6373
"00560 Toukola-Vanhakaupunki   (Helsinki )",3,652,132,520,7110,61.2,449,6661
"00570 Kulosaari   (Helsinki )",0,444,72,372,2090,89.5,577,1513
"00580 Verkkosaari   (Helsinki )",0,148,100,48,1417,60.8,12,1405
"00590 Kaitalahti   (Helsinki )",14,166,18,148,379,78.7,157,222
"00600 Koskela-Helsinki   (Helsinki )",0,287,35,252,1851,65.0,252,1599
"00610 Käpylä   (Helsinki )",2,485,71,414,4627,56.2,396,4231
"00620 Metsälä-Etelä-Oulunkylä   (Helsinki )",0,401,90,311,1582,79.6,524,1058
"00630 Maunula-Suursuo   (Helsinki )",0,567,36,531,4977,60.1,726,4251
"00640 Oulunkylä-Patola   (Helsinki )",0,624,76,548,4561,67.8,937,3624
"00650 Veräjämäki   (Helsinki )",0,373,33,340,2147,74.9,560,1587
"00660 Länsi-Pakila   (Helsinki )",0,1430,66,1364,2872,98.2,2656,216
"00670 Paloheinä   (Helsinki )",1,1310,43,1267,2377,100.4,2358,19
"00680 Itä-Pakila   (Helsinki )",1,809,73,736,1554,99.4,1378,176
"00690 Tuomarinkylä-Torpparinmäki   (Helsinki )",0,635,39,596,1126,92.4,937,189
"00700 Malmi   (Helsinki )",2,1370,290,1080,7493,62.5,1229,6264
"00710 Pihlajamäki   (Helsinki )",0,389,76,313,7146,62.7,449,6697
"00720 Pukinmäki-Savela   (Helsinki )",1,546,68,478,4847,62.7,579,4268
"00730 Tapanila   (Helsinki )",2,1881,115,1766,5401,75.8,2638,2763
"00740 Siltamäki   (Helsinki )",0,1520,106,1414,4660,78.1,2341,2319
"00750 Puistola   (Helsinki )",3,1400,132,1268,4550,73.0,1919,2631
"00760 Suurmetsä   (Helsinki )",1,1655,124,1531,3231,89.5,2596,635
"00770 Jakomäki - Alppikylä   (Helsinki )",0,545,287,258,3492,64.8,310,3182
"00780 Tapaninvainio   (Helsinki )",1,1357,71,1286,3309,81.8,2141,1168
"00790 Viikki   (Helsinki )",0,395,81,314,5275,62.7,463,4812
"00800 Länsi-Herttoniemi   (Helsinki )",0,445,39,406,4420,57.3,483,3937
"00810 Herttoniemi   (Helsinki )",1,286,84,202,6273,62.3,122,6151
"00820 Roihuvuori   (Helsinki )",0,157,49,108,4337,53.6,0,4337
"00830 Tammisalo   (Helsinki )",41,365,29,336,997,110.8,813,184
"00840 Laajasalo   (Helsinki )",4,714,65,649,4351,75.7,1418,2933
"00850 Jollas   (Helsinki )",131,715,45,670,1298,103.5,1047,251
"00860 Santahamina   (Helsinki )",1,119,82,37,250,61.7,37,213
"00870 Etelä-Laajasalo   (Helsinki )",11,357,34,323,3242,66.8,428,2814
"00880 Roihupellon teollisuusalue   (Helsinki )",0,216,208,8,415,56.6,3,412
"00890 Itäsalmi   (Helsinki )",47,894,197,697,708,162.1,707,1
"00900 Puotinharju   (Helsinki )",0,168,42,126,2436,59.4,138,2298
"00910 Puotila   (Helsinki )",0,229,36,193,3646,55.7,124,3522
"00920 Myllypuro   (Helsinki )",1,1001,57,944,6323,69.4,1465,4858
"00930 Itäkeskus-Marjaniemi   (Helsinki )",19,667,60,607,3489,80.0,934,2555
"00940 Kontula - Vesala   (Helsinki )",1,1280,149,1131,13467,64.6,1507,11960
"00950 Vartioharju   (Helsinki )",2,1451,87,1364,2600,89.9,1965,635
"00960 Pohjois-Vuosaari   (Helsinki )",2,307,19,288,4060,62.9,692,3368
"00970 Mellunmäki   (Helsinki )",0,674,63,611,5846,64.2,898,4948
"00980 Etelä-Vuosaari   (Helsinki )",86,1283,289,994,11558,67.1,1569,9989
"00990 Aurinkolahti   (Helsinki )",10,206,27,179,4546,66.3,216,4330
"01120 Västerskog   (Sipoo )",848,748,131,617,622,121.9,566,56
"01150 Söderkulla   (Sipoo )",436,1704,202,1502,2464,102.8,1672,792
