"Postal code area","Aged 18 or over, total, 2017 (KO)","Basic level studies, 2017 (KO)","With education, total, 2017 (KO)","Matriculation examination, 2017 (KO)","Vocational diploma, 2017 (KO)","Academic degree - Lower level university degree, 2017 (KO)","Academic degree - Higher level university degree, 2017 (KO)"
"Finland",4446869,1112261,3334608,303230,2035528,518969,476881
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",16159,1996,14163,2618,2942,2899,5704
"00120 Punavuori   (Helsinki )",6170,805,5365,1058,1195,969,2143
"00130 Kaartinkaupunki   (Helsinki )",1307,142,1165,242,224,199,500
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6767,821,5946,1082,1288,1143,2433
"00150 Eira - Hernesaari   (Helsinki )",8408,1129,7279,1395,1675,1478,2731
"00160 Katajanokka   (Helsinki )",3814,575,3239,517,843,608,1271
"00170 Kruununhaka   (Helsinki )",6423,736,5687,1007,1197,1059,2424
"00180 Kamppi - Ruoholahti   (Helsinki )",11945,2194,9751,1669,2862,2105,3115
"00190 Suomenlinna   (Helsinki )",559,87,472,72,174,75,151
"00200 Lauttasaari   (Helsinki )",13271,1691,11580,1817,2804,2448,4511
"00210 Vattuniemi   (Helsinki )",6958,846,6112,724,1627,1263,2498
"00220 Jätkäsaari   (Helsinki )",5038,607,4431,1047,1107,1086,1191
"00230 Ilmala   (Helsinki )",0,0,0,0,0,0,0
"00240 Länsi-Pasila   (Helsinki )",4556,888,3668,564,1342,795,967
"00250 Taka-Töölö   (Helsinki )",10013,1270,8743,1589,2120,1949,3085
"00260 Keski-Töölö   (Helsinki )",4930,769,4161,720,953,878,1610
"00270 Pohjois-Meilahti   (Helsinki )",6562,964,5598,972,1614,1155,1857
"00280 Ruskeasuo   (Helsinki )",2574,338,2236,505,552,460,719
"00290 Meilahden sairaala-alue   (Helsinki )",129,14,115,5,41,23,46
"00300 Pikku Huopalahti   (Helsinki )",4661,1032,3629,507,1432,686,1004
"00310 Kivihaka   (Helsinki )",783,132,651,97,226,176,152
"00320 Etelä-Haaga   (Helsinki )",8988,1300,7688,1237,2208,1858,2385
