"Postal code area","Aged 18 or over, total, 2015 (HR)","Average income of inhabitants, 2015 (HR)","Median income of inhabitants, 2015 (HR)","Inhabintants belonging to the lowest income category, 2015 (HR)","Inhabitants belonging to the middle income category, 2015 (HR)","Inhabintants belonging to the highest income category, 2015 (HR)","Accumulated purchasing power of inhabitants, 2015 (HR)"
"Finland",4414248,23529,20637,882912,2648536,882800,103862753748
"00100 Helsinki Keskusta - Etu-Töölö   (Helsinki",15830,35952,25986,2852,6708,6270,569112559
"00120 Punavuori   (Helsinki )",6105,37920,26284,1158,2531,2416,231501417
"00130 Kaartinkaupunki   (Helsinki )",1340,53489,28401,249,500,591,71675209
"00140 Kaivopuisto - Ullanlinna   (Helsinki )",6780,54105,27696,1220,2570,2990,366829462
"00150 Eira - Hernesaari   (Helsinki )",8268,38606,25499,1455,3692,3121,319190681
"00160 Katajanokka   (Helsinki )",3749,40166,27188,587,1636,1526,150584003
"00170 Kruununhaka   (Helsinki )",6381,40782,27358,1109,2570,2702,260230559
"00180 Kamppi - Ruoholahti   (Helsinki )",11384,29273,24835,2060,5511,3813,333248453
"00190 Suomenlinna   (Helsinki )",582,26804,24881,95,292,195,15600011
"00200 Lauttasaari   (Helsinki )",12626,32094,26155,1974,5850,4802,405214494
"00210 Vattuniemi   (Helsinki )",6403,38964,29616,751,2672,2980,249489463
"00220 Jätkäsaari   (Helsinki )",2435,26647,23017,534,1161,740,64885110
"00230 Ilmala   (Helsinki )",.,.,.,.,.,.,.
"00240 Länsi-Pasila   (Helsinki )",4457,24342,22500,802,2617,1038,108491657
"00250 Taka-Töölö   (Helsinki )",9919,29098,24745,1700,4839,3380,288626760
"00260 Keski-Töölö   (Helsinki )",4886,34199,25502,777,2274,1835,167097773
"00270 Pohjois-Meilahti   (Helsinki )",6514,27339,23748,1114,3404,1996,178083676
"00280 Ruskeasuo   (Helsinki )",2616,25902,22428,561,1349,706,67759355
"00290 Meilahden sairaala-alue   (Helsinki )",143,38043,26642,19,71,53,5440129
"00300 Pikku Huopalahti   (Helsinki )",4670,26005,23737,752,2626,1292,121441433
"00310 Kivihaka   (Helsinki )",788,25292,23401,131,441,216,19930323
"00320 Etelä-Haaga   (Helsinki )",8588,25934,23268,1411,4800,2377,222719523
"00330 Munkkiniemi   (Helsinki )",7374,37737,27084,1179,3143,3052,278274713
"00340 Kuusisaari-Lehtisaari   (Helsinki )",1313,76022,32520,253,360,700,99817079
"00350 Munkkivuori-Niemenmäki   (Helsinki )",7847,26131,23383,1434,4173,2240,205048425
"00360 Pajamäki   (Helsinki )",1646,23693,22466,295,944,407,38998377
"00370 Reimarla   (Helsinki )",5356,25455,22860,943,2963,1450,136335134
"00380 Pitäjänmäen teollisuusalue   (Helsinki )",3588,25615,23385,570,2045,973,91905009
"00390 Konala   (Helsinki )",5122,25539,23388,796,2913,1413,130812835
"00400 Pohjois-Haaga   (Helsinki )",8200,22450,20910,1711,4788,1701,184088742
"00410 Malminkartano   (Helsinki )",7072,20937,20020,1753,4149,1170,148069192
